Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 06:28:00 PM    Left Gate (PHX) @ Tuesday 03:28:00 PM MST,,,Airline
,,,
Taxi Time: 9 minutes,,,
Tue 06:37:51 PM    Departure (PHX) @ Tuesday 03:37:51 PM MST,,,FlightAware ADS-B (KPHX)
Tue 06:37:51 PM,33.4311,-112.0160, 270,158,182,"1,275"
Tue 06:38:07 PM,33.4313,-112.0301, 271,158,182,"2,000"
Tue 06:38:23 PM,33.4313,-112.0454, 270,166,191,"2,700"
Tue 06:38:39 PM,33.4313,-112.0604, 269,193,222,"3,000"
Tue 06:38:55 PM,33.4315,-112.0793, 271,204,235,"3,800"
Tue 06:39:11 PM,33.4318,-112.0961, 273,202,232,"4,675"
Tue 06:39:33 PM,33.4343,-112.1234, 276,234,269,"5,375"
Tue 06:39:53 PM,33.4352,-112.1486, 271,242,278,"6,400"
Tue 06:40:09 PM,33.4380,-112.1723, 293,244,281,"7,300"
Tue 06:40:26 PM,33.4498,-112.1898, 318,253,291,"7,825"
Tue 06:40:43 PM,33.4688,-112.1989, 353,261,300,"7,800"
Tue 06:41:02 PM,33.4908,-112.1980, 4,261,300,"7,975"
Tue 06:41:32 PM,33.5267,-112.1953, 3,265,305,"9,200"
Tue 06:41:50 PM,33.5496,-112.1956, 356,264,304,"10,450"
Tue 06:42:34 PM,33.6076,-112.2031, 355,315,362,"12,150"
Tue 06:42:54 PM,33.6350,-112.2081, 348,316,364,"13,475"
Tue 06:43:31 PM,33.6927,-112.2262, 345,345,397,"15,175"
Tue 06:44:01 PM,33.7387,-112.2410, 345,361,415,"16,475"
Tue 06:44:31 PM,33.7878,-112.2566, 345,364,419,"18,225"
Tue 06:45:01 PM,33.8387,-112.2732, 345,375,432,"19,675"
Tue 06:45:32 PM,33.8893,-112.2895, 345,367,422,"19,950"
Tue 06:46:05 PM,33.9415,-112.3064, 345,339,390,"19,975"
Tue 06:46:35 PM,33.9869,-112.3212, 345,338,389,"19,975"
Tue 06:46:52 PM,34.0130,-112.3312, 338,344,396,"20,000"
Tue 06:47:12 PM,34.0407,-112.3489, 327,350,403,"20,000"
Tue 06:47:28 PM,34.0615,-112.3684, 320,350,403,"20,000"
Tue 06:47:58 PM,34.0996,-112.4069, 320,379,436,"20,000"
Tue 06:48:31 PM,34.1436,-112.4510, 320,378,435,"20,000"
Tue 06:49:05 PM,34.1891,-112.4966, 320,377,434,"20,000"
Tue 06:49:38 PM,34.2338,-112.5418, 320,376,433,"19,975"
Tue 06:50:12 PM,34.2790,-112.5874, 320,377,434,"19,975"
