Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 08:46:03 AM    Departure (PHX) @ Tuesday 05:46:03 AM MST,,,FlightAware ADS-B (KPHX)
Tue 08:46:03 AM,33.4288,-112.0112, 89,109,125,"1,225"
Tue 08:46:19 AM,33.4289,-112.0013, 91,105,121,"1,600"
Tue 08:46:35 AM,33.4292,-111.9927, 79,102,117,"1,925"
Tue 08:46:51 AM,33.4326,-111.9852, 58,94,108,"2,325"
Tue 08:47:07 AM,33.4362,-111.9784, 57,91,105,"2,700"
Tue 08:47:23 AM,33.4402,-111.9715, 55,95,109,"3,000"
Tue 08:47:39 AM,33.4443,-111.9643, 56,98,113,"3,275"
Tue 08:47:55 AM,33.4485,-111.9568, 56,102,117,"3,550"
Tue 08:48:11 AM,33.4530,-111.9489, 55,109,125,"3,825"
Tue 08:48:27 AM,33.4578,-111.9407, 55,111,128,"4,125"
Tue 08:48:43 AM,33.4624,-111.9327, 55,114,131,"4,425"
Tue 08:49:00 AM,33.4676,-111.9238, 55,114,131,"4,750"
Tue 08:49:17 AM,33.4731,-111.9164, 31,118,136,"5,050"
Tue 08:49:34 AM,33.4823,-111.9141, 7,121,139,"5,375"
Tue 08:50:04 AM,33.4989,-111.9122, 6,124,143,"5,900"
Tue 08:50:34 AM,33.5191,-111.9089, 10,154,177,"5,975"
Tue 08:51:04 AM,33.5414,-111.9043, 10,171,197,"5,950"
,,,
Tue 08:51:16 AM,33.5511,-111.9023, 9,173,199,"5,925"
,,,
Tue 08:51:20 AM,33.5545,-111.9017, 9,174,200,"5,925"
Tue 08:51:36 AM,33.5669,-111.8994, 9,176,203,"5,925"
Tue 08:51:52 AM,33.5794,-111.8970, 9,177,204,"5,925"
Tue 08:52:08 AM,33.5927,-111.8953, 356,178,205,"5,900"
Tue 08:52:24 AM,33.6049,-111.9024, 316,177,204,"5,925"
Tue 08:52:40 AM,33.6132,-111.9135, 311,177,204,"5,925"
Tue 08:52:56 AM,33.6212,-111.9246, 311,178,205,"5,925"
Tue 08:53:12 AM,33.6307,-111.9378, 310,173,199,"5,975"
Tue 08:53:30 AM,33.6388,-111.9496, 309,150,173,"6,425"
Tue 08:53:50 AM,33.6470,-111.9622, 307,139,160,"6,875"
Tue 08:54:08 AM,33.6536,-111.9731, 306,135,155,"7,250"
Tue 08:54:36 AM,33.6635,-111.9894, 306,134,154,"7,750"
Tue 08:55:06 AM,33.6752,-112.0080, 308,132,152,"8,300"
Tue 08:55:36 AM,33.6859,-112.0244, 308,132,152,"8,800"
Tue 08:56:06 AM,33.6978,-112.0424, 309,137,158,"9,250"
Tue 08:56:36 AM,33.7098,-112.0607, 308,137,158,"9,725"
Tue 08:57:06 AM,33.7223,-112.0792, 310,155,178,"9,950"
Tue 08:57:36 AM,33.7371,-112.0997, 311,167,192,"10,000"
Tue 08:57:53 AM,33.7456,-112.1114, 312,158,182,"10,250"
Tue 08:58:20 AM,33.7581,-112.1289, 311,146,168,"10,725"
Tue 08:58:50 AM,33.7712,-112.1474, 310,142,163,"11,175"
Tue 08:59:20 AM,33.7836,-112.1649, 310,142,163,"11,575"
Tue 08:59:50 AM,33.7969,-112.1841, 309,145,167,"11,950"
Tue 09:00:33 AM,33.8173,-112.2125, 312,171,197,"11,975"
Tue 09:01:03 AM,33.8333,-112.2339, 311,173,199,"11,950"
Tue 09:01:31 AM,33.8488,-112.2549, 314,173,199,"11,925"
Tue 09:01:49 AM,33.8605,-112.2620, 348,171,197,"11,925"
Tue 09:02:29 AM,33.8912,-112.2742, 340,172,198,"11,950"
Tue 09:03:00 AM,33.9145,-112.2844, 340,172,198,"11,950"
Tue 09:03:30 AM,33.9374,-112.2945, 340,172,198,"11,950"
Tue 09:04:00 AM,33.9597,-112.3042, 340,171,197,"11,925"
Tue 09:04:30 AM,33.9802,-112.3132, 340,170,196,"11,950"
Tue 09:05:01 AM,34.0039,-112.3235, 340,172,198,"11,950"
Tue 09:05:28 AM,34.0248,-112.3328, 338,171,197,"11,925"
Tue 09:05:48 AM,34.0365,-112.3446, 314,170,196,"11,950"
Tue 09:06:30 AM,34.0626,-112.3693, 322,171,197,"11,950"
Tue 09:07:00 AM,34.0814,-112.3877, 320,170,196,"11,950"
Tue 09:07:30 AM,34.0992,-112.4057, 320,170,196,"11,950"
Tue 09:08:00 AM,34.1172,-112.4238, 320,168,193,"11,950"
Tue 09:08:30 AM,34.1346,-112.4413, 320,167,192,"11,950"
Tue 09:08:50 AM,34.1485,-112.4515, 334,167,192,"11,950"
Tue 09:09:19 AM,34.1680,-112.4649, 329,167,192,"11,950"
Tue 09:09:50 AM,34.1882,-112.4801, 328,168,193,"11,925"
Tue 09:10:20 AM,34.2068,-112.4941, 328,167,192,"11,950"
Tue 09:10:50 AM,34.2277,-112.5095, 329,167,192,"11,950"
Tue 09:11:21 AM,34.2475,-112.5238, 329,166,191,"11,950"
Tue 09:11:51 AM,34.2678,-112.5383, 329,166,191,"11,950"
Tue 09:12:21 AM,34.2877,-112.5529, 329,165,190,"11,950"
Tue 09:12:51 AM,34.3074,-112.5672, 329,165,190,"11,950"
Tue 09:13:21 AM,34.3267,-112.5812, 329,165,190,"11,950"
Tue 09:13:51 AM,34.3465,-112.5957, 329,166,191,"11,925"
Tue 09:14:21 AM,34.3664,-112.6103, 329,165,190,"11,925"
Tue 09:14:51 AM,34.3856,-112.6244, 329,164,189,"11,925"
Tue 09:15:21 AM,34.4051,-112.6386, 329,164,189,"11,925"
Tue 09:15:51 AM,34.4248,-112.6530, 329,165,190,"11,925"
Tue 09:16:21 AM,34.4447,-112.6674, 329,165,190,"11,925"
Tue 09:16:52 AM,34.4640,-112.6816, 329,165,190,"11,925"
Tue 09:17:23 AM,34.4851,-112.6970, 329,167,192,"11,900"
Tue 09:17:53 AM,34.5044,-112.7111, 329,166,191,"11,900"
Tue 09:18:23 AM,34.5242,-112.7256, 329,166,191,"11,925"
Tue 09:18:54 AM,34.5447,-112.7407, 329,167,192,"11,925"
Tue 09:19:24 AM,34.5641,-112.7549, 329,166,191,"11,925"
Tue 09:19:54 AM,34.5840,-112.7695, 329,167,192,"11,900"
Tue 09:20:24 AM,34.6036,-112.7838, 329,167,192,"11,900"
Tue 09:20:54 AM,34.6236,-112.7984, 329,165,190,"11,925"
Tue 09:21:24 AM,34.6431,-112.8128, 329,165,190,"11,925"
Tue 09:21:54 AM,34.6628,-112.8272, 328,166,191,"11,925"
Tue 09:22:24 AM,34.6825,-112.8419, 329,166,191,"11,925"
Tue 09:22:54 AM,34.7022,-112.8563, 329,166,191,"11,925"
Tue 09:23:38 AM,34.7313,-112.8774, 329,168,193,"11,875"
Tue 09:24:08 AM,34.7513,-112.8920, 329,166,191,"11,875"
Tue 09:24:38 AM,34.7708,-112.9065, 328,166,191,"11,900"
Tue 09:25:09 AM,34.7920,-112.9222, 328,167,192,"11,900"
Tue 09:25:39 AM,34.8122,-112.9373, 328,168,193,"11,900"
Tue 09:26:09 AM,34.8318,-112.9518, 329,168,193,"11,900"
Tue 09:26:40 AM,34.8517,-112.9664, 329,168,193,"11,875"
