Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 09:07:49 PM    Departure (PHX) @ Tuesday 06:07:49 PM MST,,,FlightAware ADS-B (KPHX)
Tue 09:07:49 PM,33.4311,-112.0202, 270,155,178,"1,425"
Tue 09:08:05 PM,33.4314,-112.0349, 272,160,184,"2,050"
Tue 09:08:21 PM,33.4319,-112.0494, 272,170,196,"2,575"
Tue 09:08:37 PM,33.4324,-112.0662, 272,194,223,"2,900"
Tue 09:08:53 PM,33.4328,-112.0829, 272,218,251,"3,100"
Tue 09:09:17 PM,33.4342,-112.1142, 272,220,253,"4,300"
Tue 09:09:35 PM,33.4344,-112.1348, 270,234,269,"4,825"
Tue 09:09:53 PM,33.4346,-112.1587, 273,241,277,"5,600"
Tue 09:10:09 PM,33.4404,-112.1790, 305,248,285,"6,200"
Tue 09:10:26 PM,33.4568,-112.1938, 338,250,288,"6,950"
Tue 09:10:42 PM,33.4758,-112.1964, 2,252,290,"7,700"
Tue 09:10:58 PM,33.4932,-112.1962, 360,252,290,"8,450"
Tue 09:11:28 PM,33.5293,-112.1964, 359,251,289,"9,825"
Tue 09:12:09 PM,33.5771,-112.2003, 356,278,320,"11,100"
Tue 09:12:36 PM,33.6163,-112.2038, 354,309,356,"11,600"
Tue 09:12:59 PM,33.6470,-112.2113, 345,333,383,"11,950"
Tue 09:13:29 PM,33.6942,-112.2264, 345,348,400,"12,800"
Tue 09:13:59 PM,33.7438,-112.2424, 345,355,409,"14,000"
Tue 09:14:29 PM,33.7898,-112.2572, 345,356,410,"15,250"
Tue 09:14:59 PM,33.8364,-112.2725, 345,355,409,"16,575"
Tue 09:15:29 PM,33.8858,-112.2885, 345,359,413,"17,775"
Tue 09:16:00 PM,33.9342,-112.3040, 345,361,415,"18,975"
Tue 09:16:32 PM,33.9868,-112.3211, 345,363,418,"20,175"
Tue 09:16:52 PM,34.0191,-112.3346, 335,366,421,"20,925"
Tue 09:17:11 PM,34.0479,-112.3555, 323,369,425,"21,650"
Tue 09:17:52 PM,34.1023,-112.4095, 320,376,433,"22,950"
Tue 09:18:22 PM,34.1410,-112.4482, 320,381,438,"23,750"
Tue 09:18:52 PM,34.1821,-112.4896, 320,386,444,"24,500"
Tue 09:19:22 PM,34.2228,-112.5308, 320,390,449,"25,250"
Tue 09:19:53 PM,34.2684,-112.5768, 320,397,457,"25,950"
Tue 09:20:23 PM,34.3088,-112.6176, 320,402,463,"26,550"
Tue 09:20:53 PM,34.3531,-112.6626, 320,410,472,"27,100"
Tue 09:21:23 PM,34.3960,-112.7061, 320,414,476,"27,725"
Tue 09:21:54 PM,34.4417,-112.7525, 320,415,478,"28,000"
Tue 09:22:24 PM,34.4857,-112.7972, 320,412,474,"28,000"
Tue 09:22:55 PM,34.5309,-112.8432, 320,411,473,"28,000"
Tue 09:23:25 PM,34.5750,-112.8883, 320,411,473,"28,000"
Tue 09:23:59 PM,34.6251,-112.9394, 320,410,472,"28,000"
Tue 09:24:29 PM,34.6672,-112.9826, 320,411,473,"28,000"
Tue 09:25:00 PM,34.7129,-113.0293, 320,410,472,"28,000"
Tue 09:25:33 PM,34.7587,-113.0780, 314,410,472,"28,000"
Tue 09:26:03 PM,34.7997,-113.1298, 314,410,472,"28,000"
Tue 09:26:33 PM,34.8386,-113.1791, 314,409,471,"28,000"
Tue 09:27:03 PM,34.8779,-113.2287, 314,409,471,"28,000"
Tue 09:27:34 PM,34.9180,-113.2797, 314,410,472,"28,000"
Tue 09:28:04 PM,34.9572,-113.3296, 314,411,473,"28,000"
Tue 09:28:36 PM,35.0029,-113.3846, 320,410,472,"28,000"
Tue 09:29:06 PM,35.0445,-113.4264, 320,410,472,"28,000"
Tue 09:29:36 PM,35.0892,-113.4717, 320,411,473,"27,550"
Tue 09:30:06 PM,35.1323,-113.5151, 321,420,483,"26,850"
Tue 09:30:36 PM,35.1788,-113.5618, 320,423,487,"26,125"
Tue 09:31:06 PM,35.2231,-113.6065, 320,420,483,"25,400"
Tue 09:31:36 PM,35.2684,-113.6522, 320,412,474,"24,650"
Tue 09:32:06 PM,35.3115,-113.6960, 320,411,473,"24,000"
Tue 09:32:36 PM,35.3563,-113.7412, 320,403,464,"23,950"
Tue 09:33:06 PM,35.3980,-113.7837, 320,371,427,"23,975"
Tue 09:33:37 PM,35.4391,-113.8258, 320,381,438,"24,000"
Tue 09:34:07 PM,35.4796,-113.8672, 320,384,442,"23,700"
Tue 09:34:37 PM,35.5193,-113.9077, 320,378,435,"22,675"
Tue 09:35:07 PM,35.5604,-113.9498, 320,373,429,"21,500"
Tue 09:35:37 PM,35.5987,-113.9890, 320,368,423,"20,425"
Tue 09:36:07 PM,35.6376,-114.0288, 320,362,417,"19,300"
Tue 09:36:37 PM,35.6755,-114.0677, 320,356,410,"18,225"
Tue 09:37:08 PM,35.7152,-114.1085, 320,340,391,"18,125"
Tue 09:37:36 PM,35.7479,-114.1427, 317,318,366,"17,950"
Tue 09:37:53 PM,35.7626,-114.1644, 306,310,357,"17,825"
Tue 09:38:35 PM,35.7925,-114.2297, 299,320,368,"16,425"
Tue 09:39:05 PM,35.8141,-114.2786, 298,318,366,"15,550"
