Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 08:57:33 PM    Departure (PHX) @ Tuesday 05:57:33 PM MST,,,FlightAware ADS-B (KPHX)
Tue 08:57:33 PM,33.4311,-112.0211, 270,160,184,"1,575"
Tue 08:57:49 PM,33.4311,-112.0349, 271,161,185,"2,375"
Tue 08:58:05 PM,33.4313,-112.0499, 271,194,223,"2,725"
Tue 08:58:21 PM,33.4315,-112.0681, 271,209,241,"3,275"
Tue 08:58:37 PM,33.4320,-112.0881, 272,211,243,"4,225"
Tue 08:59:01 PM,33.4331,-112.1161, 272,238,274,"4,975"
Tue 08:59:31 PM,33.4343,-112.1572, 273,235,270,"6,950"
Tue 08:59:48 PM,33.4399,-112.1782, 301,250,288,"7,925"
Tue 09:00:06 PM,33.4561,-112.1954, 324,293,337,"8,325"
Tue 09:00:30 PM,33.4822,-112.2246, 314,306,352,"9,700"
Tue 09:01:00 PM,33.5103,-112.2579, 315,295,339,"12,150"
Tue 09:01:30 PM,33.5393,-112.2921, 314,281,323,"14,475"
Tue 09:02:14 PM,33.5780,-112.3419, 313,278,320,"14,750"
Tue 09:02:44 PM,33.6039,-112.3754, 313,279,321,"14,725"
Tue 09:03:14 PM,33.6307,-112.4104, 312,286,329,"14,925"
Tue 09:03:44 PM,33.6577,-112.4463, 313,287,330,"15,075"
Tue 09:04:15 PM,33.6854,-112.4823, 313,289,333,"15,050"
Tue 09:04:45 PM,33.7134,-112.5192, 312,297,342,"15,475"
Tue 09:05:15 PM,33.7398,-112.5547, 312,294,338,"17,300"
Tue 09:05:44 PM,33.7668,-112.5914, 313,302,348,"18,800"
Tue 09:06:00 PM,33.7826,-112.6073, 326,296,341,"19,725"
Tue 09:06:16 PM,33.8005,-112.6190, 334,281,323,"21,050"
Tue 09:06:46 PM,33.8346,-112.6401, 332,255,293,"23,450"
Tue 09:07:16 PM,33.8668,-112.6605, 332,280,322,"24,125"
Tue 09:07:47 PM,33.9054,-112.6848, 332,315,362,"24,150"
Tue 09:08:17 PM,33.9454,-112.7097, 333,337,388,"24,525"
Tue 09:08:47 PM,33.9870,-112.7358, 332,344,396,"25,350"
Tue 09:09:17 PM,34.0307,-112.7631, 333,355,409,"26,050"
Tue 09:09:47 PM,34.0748,-112.7907, 332,354,407,"27,125"
Tue 09:10:17 PM,34.1180,-112.8180, 332,358,412,"28,025"
Tue 09:10:48 PM,34.1638,-112.8466, 333,364,419,"27,975"
Tue 09:11:19 PM,34.2088,-112.8750, 332,349,402,"28,000"
Tue 09:11:49 PM,34.2524,-112.9028, 332,346,398,"28,000"
Tue 09:12:19 PM,34.2955,-112.9299, 333,344,396,"28,000"
Tue 09:12:49 PM,34.3369,-112.9560, 332,344,396,"28,000"
Tue 09:13:19 PM,34.3790,-112.9827, 332,344,396,"28,000"
Tue 09:13:55 PM,34.4295,-113.0146, 332,347,399,"28,000"
Tue 09:14:25 PM,34.4726,-113.0418, 332,347,399,"28,000"
Tue 09:14:56 PM,34.5180,-113.0706, 332,348,400,"28,000"
Tue 09:15:28 PM,34.5625,-113.0989, 332,348,400,"28,000"
Tue 09:16:00 PM,34.6076,-113.1275, 332,347,399,"28,000"
Tue 09:16:31 PM,34.6520,-113.1558, 332,346,398,"28,000"
Tue 09:17:01 PM,34.6945,-113.1830, 332,345,397,"28,000"
Tue 09:17:31 PM,34.7363,-113.2097, 332,344,396,"28,000"
Tue 09:18:02 PM,34.7820,-113.2388, 332,345,397,"28,000"
Tue 09:18:32 PM,34.8251,-113.2664, 332,347,399,"28,000"
Tue 09:19:04 PM,34.8688,-113.2942, 332,348,400,"28,000"
Tue 09:19:35 PM,34.9135,-113.3230, 332,349,402,"28,000"
Tue 09:20:05 PM,34.9554,-113.3500, 332,349,402,"28,000"
Tue 09:20:21 PM,34.9798,-113.3659, 330,345,397,"27,975"
Tue 09:20:42 PM,35.0063,-113.3885, 321,321,369,"27,975"
Tue 09:21:13 PM,35.0383,-113.4207, 321,283,326,"27,975"
Tue 09:21:44 PM,35.0683,-113.4508, 321,268,308,"27,850"
Tue 09:22:15 PM,35.0985,-113.4809, 321,268,308,"27,300"
Tue 09:22:45 PM,35.1271,-113.5095, 321,265,305,"26,800"
Tue 09:23:15 PM,35.1546,-113.5372, 320,272,313,"26,350"
Tue 09:23:46 PM,35.1862,-113.5693, 320,291,335,"25,975"
Tue 09:24:17 PM,35.2196,-113.6032, 321,308,354,"26,000"
Tue 09:24:47 PM,35.2529,-113.6369, 320,312,359,"26,000"
Tue 09:25:17 PM,35.2860,-113.6706, 320,311,358,"26,000"
Tue 09:25:47 PM,35.3201,-113.7050, 320,314,361,"26,000"
Tue 09:26:17 PM,35.3540,-113.7393, 320,317,365,"26,000"
Tue 09:26:48 PM,35.3873,-113.7732, 320,317,365,"26,000"
Tue 09:27:18 PM,35.4213,-113.8078, 320,317,365,"26,000"
Tue 09:27:48 PM,35.4557,-113.8429, 320,317,365,"26,000"
Tue 09:28:20 PM,35.4914,-113.8793, 320,317,365,"26,000"
Tue 09:28:50 PM,35.5249,-113.9135, 320,316,364,"26,000"
Tue 09:29:20 PM,35.5589,-113.9483, 320,312,359,"25,200"
Tue 09:29:50 PM,35.5921,-113.9826, 320,305,351,"23,900"
Tue 09:30:20 PM,35.6247,-114.0157, 321,299,344,"22,600"
Tue 09:30:50 PM,35.6576,-114.0492, 320,298,343,"21,275"
