Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 08:43:42 AM,33.4289,-112.0188, 90,94,108,"1,025"
Tue 08:43:58 AM,33.4288,-112.0095, 90,115,132,"1,225"
,,,
Tue 08:44:00 AM    Departure (PHX) @ Tuesday 05:44:00 AM MST,,,Albuquerque Center
,,,
Tue 08:44:14 AM,33.4291,-111.9991, 89,126,145,"1,425"
Tue 08:44:30 AM,33.4294,-111.9885, 83,121,139,"1,775"
Tue 08:44:46 AM,33.4330,-111.9787, 61,114,131,"2,125"
Tue 08:45:02 AM,33.4368,-111.9706, 59,98,113,"2,650"
Tue 08:45:18 AM,33.4406,-111.9633, 59,102,117,"2,925"
Tue 08:45:34 AM,33.4449,-111.9548, 59,107,123,"3,250"
Tue 08:45:50 AM,33.4489,-111.9468, 58,111,128,"3,525"
Tue 08:46:06 AM,33.4530,-111.9390, 57,111,128,"3,825"
Tue 08:46:22 AM,33.4577,-111.9306, 56,112,129,"4,175"
Tue 08:46:38 AM,33.4624,-111.9220, 56,114,131,"4,450"
Tue 08:47:05 AM,33.4704,-111.9080, 54,113,130,"4,975"
Tue 08:47:22 AM,33.4761,-111.8992, 44,117,135,"5,325"
Tue 08:47:40 AM,33.4855,-111.8953, 9,121,139,"5,700"
Tue 08:48:03 AM,33.4992,-111.8927, 7,144,166,"5,925"
Tue 08:48:24 AM,33.5145,-111.8951, 350,165,190,"5,950"
Tue 08:48:54 AM,33.5374,-111.8998, 350,176,203,"5,925"
Tue 08:49:10 AM,33.5510,-111.9026, 350,178,205,"5,925"
Tue 08:49:26 AM,33.5634,-111.9052, 350,180,207,"5,925"
Tue 08:49:42 AM,33.5759,-111.9078, 350,181,208,"5,925"
Tue 08:49:59 AM,33.5909,-111.9108, 351,182,209,"5,925"
Tue 08:50:15 AM,33.6039,-111.9135, 350,182,209,"5,925"
Tue 08:50:31 AM,33.6163,-111.9160, 351,183,211,"5,925"
Tue 08:50:47 AM,33.6296,-111.9188, 348,182,209,"5,925"
Tue 08:51:03 AM,33.6414,-111.9291, 303,176,203,"5,975"
Tue 08:51:24 AM,33.6490,-111.9431, 302,141,162,"6,650"
Tue 08:51:44 AM,33.6560,-111.9567, 302,130,150,"7,225"
Tue 08:52:13 AM,33.6646,-111.9743, 301,131,151,"7,800"
Tue 08:52:43 AM,33.6745,-111.9934, 302,139,160,"8,325"
Tue 08:53:13 AM,33.6853,-112.0140, 302,142,163,"8,850"
Tue 08:53:43 AM,33.6953,-112.0331, 302,145,167,"9,325"
Tue 08:54:13 AM,33.7066,-112.0549, 302,146,168,"9,850"
Tue 08:54:43 AM,33.7170,-112.0750, 302,145,167,"10,350"
Tue 08:55:13 AM,33.7273,-112.0945, 303,141,162,"10,875"
Tue 08:55:52 AM,33.7423,-112.1212, 304,149,171,"11,400"
Tue 08:56:12 AM,33.7494,-112.1339, 304,150,173,"11,675"
Tue 08:56:42 AM,33.7612,-112.1556, 302,163,188,"11,925"
Tue 08:56:58 AM,33.7685,-112.1692, 305,172,198,"11,950"
Tue 08:57:19 AM,33.7810,-112.1822, 327,179,206,"11,950"
Tue 08:57:36 AM,33.7936,-112.1908, 332,182,209,"11,950"
Tue 08:58:06 AM,33.8156,-112.2041, 333,183,211,"11,925"
Tue 08:58:36 AM,33.8386,-112.2181, 333,184,212,"11,925"
Tue 08:59:06 AM,33.8615,-112.2321, 333,184,212,"11,925"
Tue 08:59:36 AM,33.8847,-112.2463, 333,184,212,"11,925"
Tue 09:00:06 AM,33.9072,-112.2602, 333,184,212,"11,925"
Tue 09:00:36 AM,33.9301,-112.2742, 333,185,213,"11,925"
Tue 09:01:06 AM,33.9530,-112.2883, 333,185,213,"11,925"
Tue 09:01:36 AM,33.9758,-112.3023, 333,184,212,"11,925"
Tue 09:02:06 AM,33.9983,-112.3162, 333,185,213,"11,925"
Tue 09:02:36 AM,34.0218,-112.3307, 333,186,214,"11,925"
Tue 09:03:06 AM,34.0446,-112.3448, 333,186,214,"11,925"
Tue 09:03:36 AM,34.0677,-112.3590, 333,186,214,"11,925"
Tue 09:04:06 AM,34.0909,-112.3734, 333,184,212,"11,925"
Tue 09:04:36 AM,34.1128,-112.3869, 333,183,211,"11,925"
