Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 10:54:12 AM    Departure (PHX) @ Tuesday 07:54:12 AM MST,,,FlightAware ADS-B (KFFZ)
Tue 10:54:12 AM,33.4312,-111.9968, 89,163,188,"1,225"
Tue 10:54:28 AM,33.4315,-111.9822, 88,166,191,"1,850"
Tue 10:54:44 AM,33.4320,-111.9684, 87,179,206,"2,250"
Tue 10:55:00 AM,33.4331,-111.9520, 85,200,230,"2,575"
Tue 10:55:16 AM,33.4343,-111.9325, 86,217,250,"2,975"
Tue 10:55:38 AM,33.4354,-111.9048, 88,221,254,"4,000"
Tue 10:55:56 AM,33.4368,-111.8823, 78,236,272,"4,575"
Tue 10:56:14 AM,33.4458,-111.8621, 50,253,291,"4,875"
Tue 10:56:30 AM,33.4624,-111.8494, 20,258,297,"5,475"
Tue 10:56:47 AM,33.4822,-111.8465, 2,261,300,"6,275"
Tue 10:57:17 AM,33.5194,-111.8438, 3,267,307,"7,625"
Tue 10:57:47 AM,33.5572,-111.8416, 3,274,315,"8,750"
Tue 10:58:17 AM,33.5934,-111.8397, 2,272,313,"8,800"
Tue 10:58:47 AM,33.6323,-111.8378, 3,271,312,"8,800"
Tue 10:59:03 AM,33.6512,-111.8377, 351,272,313,"8,800"
Tue 10:59:21 AM,33.6740,-111.8504, 322,279,321,"8,850"
Tue 10:59:43 AM,33.6930,-111.8758, 311,285,328,"9,375"
Tue 11:00:28 AM,33.7322,-111.9284, 311,319,367,"10,525"
Tue 11:00:58 AM,33.7632,-111.9706, 311,347,399,"11,125"
Tue 11:01:28 AM,33.7956,-112.0154, 311,352,405,"12,375"
Tue 11:01:58 AM,33.8280,-112.0599, 311,352,405,"13,725"
Tue 11:02:28 AM,33.8605,-112.1043, 311,361,415,"14,800"
Tue 11:02:58 AM,33.8942,-112.1505, 311,367,422,"16,025"
Tue 11:03:28 AM,33.9277,-112.1966, 311,365,420,"17,475"
Tue 11:03:58 AM,33.9614,-112.2431, 311,370,426,"18,600"
Tue 11:04:28 AM,33.9952,-112.2897, 311,383,441,"19,425"
Tue 11:04:49 AM,34.0210,-112.3250, 313,386,444,"20,125"
Tue 11:05:09 AM,34.0481,-112.3548, 320,387,445,"20,625"
Tue 11:05:39 AM,34.0891,-112.3961, 320,390,449,"21,675"
Tue 11:06:09 AM,34.1309,-112.4382, 320,403,464,"22,325"
Tue 11:06:39 AM,34.1738,-112.4812, 320,421,484,"22,600"
Tue 11:07:09 AM,34.2172,-112.5253, 320,427,491,"23,275"
Tue 11:07:39 AM,34.2653,-112.5739, 320,434,499,"24,000"
