Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 11:20:00 PM    Left Gate (PHX) @ Tuesday 08:20:00 PM MST,,,Airline
,,,
Taxi Time: 11 minutes,,,
Tue 11:31:40 PM    Departure (PHX) @ Tuesday 08:31:40 PM MST,,,FlightAware ADS-B (KPHX)
Tue 11:31:40 PM,33.4311,-112.0128, 270,157,181,900
Tue 11:31:56 PM,33.4312,-112.0286, 271,169,194,"1,450"
Tue 11:32:12 PM,33.4316,-112.0428, 272,165,190,"2,250"
Tue 11:32:28 PM,33.4319,-112.0575, 271,178,205,"2,750"
Tue 11:32:44 PM,33.4321,-112.0749, 271,195,224,"3,300"
Tue 11:33:00 PM,33.4326,-112.0920, 272,216,249,"3,725"
Tue 11:33:19 PM,33.4334,-112.1169, 272,239,275,"4,475"
Tue 11:33:47 PM,33.4344,-112.1566, 274,249,287,"6,100"
Tue 11:34:05 PM,33.4414,-112.1801, 300,255,293,"6,825"
Tue 11:34:21 PM,33.4562,-112.1932, 337,254,292,"7,675"
Tue 11:34:37 PM,33.4734,-112.1959, 1,245,282,"8,575"
Tue 11:34:56 PM,33.4956,-112.1954, 0,246,283,"9,675"
Tue 11:35:29 PM,33.5332,-112.1960, 358,256,295,"11,350"
Tue 11:36:08 PM,33.5851,-112.2006, 356,312,359,"12,225"
Tue 11:36:29 PM,33.6177,-112.2036, 354,337,388,"12,750"
Tue 11:36:46 PM,33.6422,-112.2094, 345,347,399,"13,425"
Tue 11:37:16 PM,33.6886,-112.2247, 345,350,403,"14,975"
Tue 11:37:46 PM,33.7369,-112.2400, 345,351,404,"16,550"
Tue 11:38:16 PM,33.7841,-112.2553, 345,352,405,"18,075"
Tue 11:38:46 PM,33.8335,-112.2712, 345,357,411,"19,450"
Tue 11:39:16 PM,33.8802,-112.2864, 345,363,418,"20,625"
Tue 11:39:46 PM,33.9292,-112.3022, 345,369,425,"21,775"
Tue 11:40:16 PM,33.9779,-112.3179, 345,375,432,"22,800"
Tue 11:40:36 PM,34.0123,-112.3301, 340,377,434,"23,575"
Tue 11:40:55 PM,34.0427,-112.3500, 326,381,438,"24,425"
Tue 11:41:36 PM,34.0994,-112.4063, 321,384,442,"25,825"
Tue 11:42:06 PM,34.1373,-112.4440, 320,398,458,"26,000"
Tue 11:42:37 PM,34.1845,-112.4915, 320,428,493,"26,000"
Tue 11:43:07 PM,34.2333,-112.5406, 320,449,517,"26,000"
Tue 11:43:39 PM,34.2851,-112.5929, 320,463,533,"26,000"
Tue 11:44:10 PM,34.3341,-112.6426, 320,464,534,"26,000"
Tue 11:44:40 PM,34.3839,-112.6931, 320,463,533,"26,000"
Tue 11:45:10 PM,34.4340,-112.7441, 320,464,534,"26,000"
Tue 11:45:45 PM,34.4903,-112.8012, 320,464,534,"26,000"
Tue 11:46:15 PM,34.5411,-112.8529, 320,463,533,"26,000"
Tue 11:46:45 PM,34.5904,-112.9033, 320,464,534,"26,000"
Tue 11:47:15 PM,34.6398,-112.9538, 320,465,535,"26,000"
Tue 11:47:45 PM,34.6879,-113.0030, 320,465,535,"25,975"
Tue 11:48:15 PM,34.7384,-113.0547, 320,465,535,"26,000"
Tue 11:48:34 PM,34.7699,-113.0877, 317,455,524,"26,000"
Tue 11:49:17 PM,34.8269,-113.1629, 313,404,465,"26,000"
Tue 11:49:47 PM,34.8647,-113.2113, 314,380,437,"26,000"
Tue 11:50:17 PM,34.8997,-113.2558, 314,379,436,"26,000"
Tue 11:50:48 PM,34.9374,-113.3037, 314,379,436,"26,000"
Tue 11:51:21 PM,34.9783,-113.3557, 314,380,437,"26,000"
Tue 11:52:06 PM,35.0379,-113.4190, 321,377,434,"26,000"
Tue 11:52:36 PM,35.0781,-113.4596, 320,386,444,"25,975"
Tue 11:53:06 PM,35.1203,-113.5021, 320,414,476,"25,500"
Tue 11:53:36 PM,35.1655,-113.5479, 320,414,476,"25,000"
Tue 11:54:06 PM,35.2105,-113.5934, 320,409,471,"24,525"
Tue 11:54:36 PM,35.2540,-113.6375, 320,403,464,"23,975"
Tue 11:55:06 PM,35.2959,-113.6799, 320,400,460,"23,500"
Tue 11:55:36 PM,35.3391,-113.7238, 320,395,455,"23,025"
Tue 11:56:06 PM,35.3799,-113.7654, 320,392,451,"22,525"
Tue 11:56:36 PM,35.4222,-113.8085, 320,391,450,"22,050"
Tue 11:57:06 PM,35.4623,-113.8491, 320,388,447,"21,525"
Tue 11:57:36 PM,35.5048,-113.8927, 320,385,443,"21,025"
Tue 11:58:06 PM,35.5448,-113.9336, 320,386,444,"20,525"
Tue 11:58:37 PM,35.5886,-113.9782, 320,385,443,"19,750"
Tue 11:59:07 PM,35.6289,-114.0196, 320,378,435,"18,675"
Tue 11:59:37 PM,35.6670,-114.0587, 320,368,423,"17,700"
Wed 12:00:07 AM,35.7061,-114.0990, 320,349,402,"17,075"
Wed 12:00:37 AM,35.7420,-114.1358, 320,329,379,"16,575"
Wed 12:00:57 AM,35.7625,-114.1630, 302,319,367,"16,200"
Wed 12:01:42 AM,35.7942,-114.2339, 299,313,360,"15,525"
Wed 12:02:12 AM,35.8142,-114.2789, 299,312,359,"14,900"
Wed 12:02:43 AM,35.8355,-114.3267, 300,312,359,"13,975"
Wed 12:03:21 AM,35.8684,-114.3813, 307,306,352,"12,950"
Wed 12:03:51 AM,35.8937,-114.4221, 306,305,351,"12,225"
Wed 12:04:28 AM,35.9200,-114.4805, 298,306,352,"11,325"
Wed 12:04:58 AM,35.9397,-114.5255, 298,294,338,"10,700"
Wed 12:05:27 AM,35.9582,-114.5681, 298,290,334,"9,975"
Wed 12:05:57 AM,35.9772,-114.6117, 298,290,334,"9,075"
Wed 12:06:27 AM,35.9952,-114.6539, 298,279,321,"8,525"
Wed 12:06:57 AM,36.0123,-114.6935, 298,263,303,"8,150"
Wed 12:07:27 AM,36.0294,-114.7333, 298,255,293,"7,625"
Wed 12:07:57 AM,36.0458,-114.7714, 298,238,274,"7,300"
Wed 12:08:27 AM,36.0615,-114.8075, 298,238,274,"6,975"
Wed 12:08:45 AM,36.0701,-114.8299, 289,237,273,"6,600"
Wed 12:09:03 AM,36.0730,-114.8525, 274,237,273,"6,250"
Wed 12:09:23 AM,36.0734,-114.8787, 271,235,270,"5,750"
Wed 12:09:53 AM,36.0736,-114.9177, 270,218,251,"5,075"
Wed 12:10:23 AM,36.0736,-114.9533, 270,192,221,"4,500"
Wed 12:10:53 AM,36.0737,-114.9862, 270,195,224,"3,950"
Wed 12:11:23 AM,36.0737,-115.0177, 270,184,212,"3,450"
Wed 12:11:53 AM,36.0737,-115.0481, 270,159,183,"3,000"
,,,
Wed 12:12:12 AM,36.0736,-115.0636, 269,154,177,"3,113"
,,,
Wed 12:12:27 AM,36.0737,-115.0780, 270,150,173,"2,550"
Wed 12:12:43 AM,36.0737,-115.0915, 270,150,173,"2,350"
Wed 12:12:59 AM,36.0737,-115.1044, 270,149,171,"2,150"
Wed 12:13:15 AM,36.0737,-115.1181, 270,147,169,"1,925"
Wed 12:13:31 AM,36.0737,-115.1308, 269,149,171,"1,775"
Wed 12:13:47 AM,36.0737,-115.1432, 272,108,124,"1,800"
,,,
Wed 12:14:03 AM    Arrival (LAS) @ Tuesday 09:14:03 PM PDT,,,FlightAware
,,,
Taxi Time: 3 minutes,,,
Wed 12:18:00 AM    Gate Arrival (LAS) @ Tuesday 09:18:00 PM PDT,,,Airline
