Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 12:00:40 AM    Departure (PHX) @ Tuesday 09:00:40 PM MST,,,FlightAware ADS-B (KSDL)
Wed 12:00:40 AM,33.4311,-111.9983, 90,144,166,"1,850"
Wed 12:00:56 AM,33.4318,-111.9850, 86,152,175,"2,550"
Wed 12:01:12 AM,33.4325,-111.9717, 87,176,203,"2,875"
Wed 12:01:28 AM,33.4332,-111.9557, 87,198,228,"3,225"
Wed 12:01:44 AM,33.4339,-111.9360, 88,220,253,"3,675"
Wed 12:02:09 AM,33.4349,-111.9053, 88,232,267,"4,750"
Wed 12:02:28 AM,33.4368,-111.8801, 74,254,292,"5,400"
Wed 12:02:44 AM,33.4458,-111.8601, 49,275,316,"5,675"
Wed 12:03:03 AM,33.4675,-111.8448, 16,274,315,"6,550"
Wed 12:03:33 AM,33.5062,-111.8420, 2,273,314,"8,250"
Wed 12:04:03 AM,33.5441,-111.8404, 2,276,318,"9,975"
Wed 12:04:22 AM,33.5683,-111.8410, 350,292,336,"10,650"
Wed 12:04:39 AM,33.5883,-111.8531, 319,311,358,"10,975"
Wed 12:05:15 AM,33.6280,-111.8975, 318,338,389,"12,075"
Wed 12:05:45 AM,33.6640,-111.9367, 318,348,400,"13,575"
Wed 12:06:15 AM,33.7003,-111.9760, 318,358,412,"15,050"
Wed 12:06:45 AM,33.7376,-112.0165, 318,355,409,"16,900"
Wed 12:07:15 AM,33.7727,-112.0552, 317,347,399,"18,775"
Wed 12:07:45 AM,33.8088,-112.0947, 318,333,383,"20,600"
Wed 12:08:15 AM,33.8410,-112.1298, 318,325,374,"21,025"
Wed 12:08:46 AM,33.8771,-112.1692, 318,322,371,"21,000"
Wed 12:09:16 AM,33.9094,-112.2045, 318,321,369,"21,000"
Wed 12:09:46 AM,33.9429,-112.2412, 318,326,375,"21,600"
Wed 12:10:16 AM,33.9757,-112.2773, 318,328,377,"22,900"
Wed 12:10:46 AM,34.0106,-112.3157, 318,335,386,"24,050"
Wed 12:11:04 AM,34.0296,-112.3365, 320,339,390,"24,625"
Wed 12:11:34 AM,34.0675,-112.3745, 320,347,399,"25,625"
Wed 12:12:04 AM,34.1052,-112.4123, 320,351,404,"26,675"
Wed 12:12:34 AM,34.1421,-112.4493, 320,353,406,"27,700"
Wed 12:13:04 AM,34.1794,-112.4869, 320,357,411,"28,000"
Wed 12:13:34 AM,34.2176,-112.5254, 320,358,412,"28,000"
Wed 12:14:04 AM,34.2553,-112.5636, 320,357,411,"28,000"
Wed 12:14:35 AM,34.2956,-112.6045, 320,357,411,"28,000"
Wed 12:15:06 AM,34.3353,-112.6446, 320,357,411,"28,000"
Wed 12:15:36 AM,34.3740,-112.6837, 320,356,410,"28,000"
Wed 12:16:06 AM,34.4106,-112.7208, 320,356,410,"28,000"
Wed 12:16:36 AM,34.4499,-112.7606, 320,357,411,"28,000"
Wed 12:17:07 AM,34.4871,-112.7986, 320,341,392,"27,975"
Wed 12:17:37 AM,34.5208,-112.8331, 320,302,348,"27,975"
Wed 12:18:09 AM,34.5542,-112.8670, 320,278,320,"27,975"
Wed 12:18:41 AM,34.5848,-112.8981, 320,274,315,"28,000"
Wed 12:19:11 AM,34.6148,-112.9289, 320,274,315,"28,000"
Wed 12:19:42 AM,34.6446,-112.9593, 320,275,316,"28,000"
Wed 12:20:12 AM,34.6733,-112.9887, 320,278,320,"28,000"
Wed 12:20:42 AM,34.7034,-113.0195, 320,278,320,"28,000"
Wed 12:21:12 AM,34.7334,-113.0502, 320,278,320,"28,000"
Wed 12:21:38 AM,34.7581,-113.0772, 314,280,322,"28,000"
Wed 12:22:08 AM,34.7844,-113.1102, 314,280,322,"28,000"
Wed 12:22:38 AM,34.8108,-113.1436, 314,280,322,"28,000"
Wed 12:23:08 AM,34.8392,-113.1797, 314,279,321,"28,000"
Wed 12:23:38 AM,34.8660,-113.2138, 314,278,320,"28,000"
Wed 12:24:08 AM,34.8923,-113.2471, 314,278,320,"28,000"
Wed 12:24:38 AM,34.9181,-113.2799, 314,278,320,"28,000"
Wed 12:24:56 AM,34.9340,-113.3018, 303,282,325,"28,000"
Wed 12:25:12 AM,34.9424,-113.3275, 283,297,342,"28,000"
Wed 12:25:43 AM,34.9499,-113.3779, 280,300,345,"28,000"
Wed 12:26:13 AM,34.9569,-113.4264, 280,299,344,"28,000"
Wed 12:26:31 AM,34.9613,-113.4581, 279,300,345,"28,000"
Wed 12:26:51 AM,34.9591,-113.4913, 254,332,382,"28,000"
Wed 12:27:08 AM,34.9474,-113.5218, 235,362,417,"28,000"
Wed 12:27:50 AM,34.8970,-113.5871, 225,380,437,"28,000"
Wed 12:28:08 AM,34.8767,-113.6155, 235,361,415,"28,025"
Wed 12:28:28 AM,34.8631,-113.6509, 250,336,387,"28,000"
Wed 12:28:44 AM,34.8607,-113.6786, 277,302,348,"28,000"
Wed 12:29:03 AM,34.8690,-113.7066, 300,284,327,"28,000"
Wed 12:29:23 AM,34.8860,-113.7305, 322,279,321,"28,000"
Wed 12:29:40 AM,34.9044,-113.7434, 338,284,327,"28,000"
Wed 12:30:17 AM,34.9496,-113.7653, 338,282,325,"27,575"
Wed 12:30:47 AM,34.9862,-113.7828, 339,279,321,"27,050"
Wed 12:31:17 AM,35.0226,-113.8002, 339,277,319,"26,550"
Wed 12:31:47 AM,35.0591,-113.8177, 339,273,314,"26,025"
Wed 12:32:17 AM,35.0938,-113.8342, 339,274,315,"25,550"
Wed 12:32:47 AM,35.1277,-113.8503, 339,273,314,"25,075"
Wed 12:33:17 AM,35.1641,-113.8676, 339,270,311,"24,525"
Wed 12:33:47 AM,35.1990,-113.8843, 339,270,311,"24,025"
Wed 12:34:17 AM,35.2337,-113.9008, 339,271,312,"23,525"
Wed 12:34:48 AM,35.2693,-113.9178, 339,268,308,"23,025"
Wed 12:35:18 AM,35.3064,-113.9355, 339,280,322,"22,575"
Wed 12:35:48 AM,35.3429,-113.9531, 338,286,329,"22,100"
Wed 12:36:18 AM,35.3799,-113.9708, 339,287,330,"21,625"
Wed 12:36:49 AM,35.4179,-113.9890, 339,285,328,"21,100"
Wed 12:37:19 AM,35.4541,-114.0065, 338,283,326,"20,600"
Wed 12:37:49 AM,35.4918,-114.0243, 339,283,326,"20,100"
Wed 12:38:19 AM,35.5274,-114.0412, 338,283,326,"19,625"
Wed 12:38:49 AM,35.5639,-114.0591, 338,285,328,"19,125"
Wed 12:39:19 AM,35.6005,-114.0768, 339,285,328,"18,625"
Wed 12:39:49 AM,35.6375,-114.0947, 339,287,330,"18,125"
Wed 12:40:14 AM,35.6683,-114.1096, 336,287,330,"17,700"
Wed 12:40:32 AM,35.6871,-114.1302, 304,292,336,"17,375"
Wed 12:40:53 AM,35.6973,-114.1596, 290,297,342,"17,075"
Wed 12:41:23 AM,35.7123,-114.2081, 291,295,339,"16,575"
Wed 12:41:53 AM,35.7268,-114.2550, 291,298,343,"16,075"
Wed 12:42:23 AM,35.7417,-114.3028, 291,299,344,"15,575"
Wed 12:42:53 AM,35.7565,-114.3502, 291,302,348,"15,075"
Wed 12:43:23 AM,35.7716,-114.3987, 291,308,354,"14,575"
Wed 12:43:54 AM,35.7872,-114.4500, 291,302,348,"14,025"
