Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 11:59:04 PM    Departure (PHX) @ Tuesday 08:59:04 PM MST,,,FlightAware ADS-B (KPHX)
Tue 11:59:04 PM,33.4310,-112.0204, 269,149,171,"1,350"
Tue 11:59:20 PM,33.4309,-112.0334, 270,134,154,"2,225"
Tue 11:59:36 PM,33.4309,-112.0464, 270,149,171,"2,675"
Tue 11:59:52 PM,33.4310,-112.0589, 271,170,196,"3,050"
Wed 12:00:08 AM,33.4314,-112.0766, 272,195,224,"3,525"
Wed 12:00:24 AM,33.4321,-112.0951, 273,218,251,"4,075"
Wed 12:00:43 AM,33.4329,-112.1174, 272,238,274,"4,800"
Wed 12:01:12 AM,33.4342,-112.1573, 273,252,290,"6,400"
Wed 12:01:28 AM,33.4396,-112.1782, 300,260,299,"7,150"
Wed 12:01:45 AM,33.4562,-112.1942, 339,253,291,"8,150"
Wed 12:02:03 AM,33.4766,-112.1970, 2,247,284,"9,275"
Wed 12:02:41 AM,33.5203,-112.1956, 1,264,304,"11,300"
Wed 12:03:25 AM,33.5781,-112.1999, 356,319,367,"12,700"
Wed 12:03:55 AM,33.6240,-112.2047, 352,334,384,"14,050"
Wed 12:04:24 AM,33.6681,-112.2181, 345,337,388,"15,725"
Wed 12:04:54 AM,33.7139,-112.2330, 345,336,387,"17,525"
Wed 12:05:24 AM,33.7591,-112.2475, 345,342,394,"19,025"
Wed 12:05:54 AM,33.8046,-112.2620, 345,345,397,"20,375"
Wed 12:06:24 AM,33.8526,-112.2776, 345,354,407,"21,325"
Wed 12:06:54 AM,33.9021,-112.2935, 345,384,442,"21,750"
Wed 12:07:24 AM,33.9549,-112.3106, 345,403,464,"22,300"
Wed 12:07:51 AM,34.0052,-112.3271, 343,413,475,"23,050"
Wed 12:08:08 AM,34.0337,-112.3422, 330,423,487,"23,550"
Wed 12:08:50 AM,34.0977,-112.4050, 320,437,503,"24,825"
Wed 12:09:20 AM,34.1438,-112.4514, 320,441,507,"25,700"
Wed 12:09:50 AM,34.1927,-112.5003, 320,445,512,"26,575"
Wed 12:10:20 AM,34.2392,-112.5470, 320,450,518,"27,225"
Wed 12:10:50 AM,34.2882,-112.5966, 320,457,526,"27,825"
Wed 12:11:20 AM,34.3365,-112.6454, 320,456,525,"28,000"
Wed 12:11:55 AM,34.3932,-112.7029, 320,460,529,"28,000"
Wed 12:12:33 AM,34.4583,-112.7691, 320,460,529,"28,000"
Wed 12:13:03 AM,34.5063,-112.8179, 320,461,531,"28,000"
Wed 12:13:33 AM,34.5560,-112.8686, 320,461,531,"28,000"
Wed 12:14:04 AM,34.6052,-112.9188, 320,462,532,"28,000"
Wed 12:14:34 AM,34.6548,-112.9696, 320,463,533,"28,000"
Wed 12:15:05 AM,34.7060,-113.0219, 320,462,532,"28,000"
Wed 12:15:35 AM,34.7557,-113.0729, 320,462,532,"28,000"
Wed 12:16:15 AM,34.8140,-113.1428, 312,465,535,"28,000"
Wed 12:16:45 AM,34.8577,-113.2015, 312,466,536,"28,000"
Wed 12:17:15 AM,34.9020,-113.2593, 313,430,495,"28,000"
Wed 12:17:37 AM,34.9264,-113.2980, 299,410,472,"28,000"
Wed 12:17:57 AM,34.9378,-113.3408, 277,401,461,"28,000"
Wed 12:18:24 AM,34.9403,-113.4002, 272,397,457,"28,000"
Wed 12:18:54 AM,34.9423,-113.4679, 272,398,458,"28,000"
Wed 12:19:25 AM,34.9444,-113.5372, 272,398,458,"28,000"
Wed 12:19:55 AM,34.9466,-113.6049, 272,398,458,"28,000"
Wed 12:20:25 AM,34.9487,-113.6718, 272,398,458,"28,000"
Wed 12:20:56 AM,34.9510,-113.7411, 272,399,459,"28,000"
Wed 12:21:26 AM,34.9531,-113.8111, 272,400,460,"28,000"
Wed 12:21:51 AM,34.9552,-113.8634, 276,398,458,"28,000"
Wed 12:22:12 AM,34.9666,-113.9091, 294,388,447,"27,825"
Wed 12:22:28 AM,34.9820,-113.9371, 311,376,433,"27,575"
Wed 12:22:48 AM,35.0094,-113.9631, 332,378,435,"27,300"
Wed 12:23:06 AM,35.0394,-113.9754, 348,391,450,"27,025"
Wed 12:23:49 AM,35.1149,-113.9938, 349,400,460,"26,300"
Wed 12:24:19 AM,35.1700,-114.0074, 348,394,453,"25,775"
Wed 12:24:50 AM,35.2252,-114.0212, 349,390,449,"25,275"
Wed 12:25:20 AM,35.2783,-114.0344, 349,389,448,"24,775"
Wed 12:25:50 AM,35.3319,-114.0476, 349,386,444,"24,275"
Wed 12:26:20 AM,35.3851,-114.0607, 349,385,443,"23,775"
Wed 12:26:50 AM,35.4376,-114.0737, 348,379,436,"22,850"
Wed 12:27:20 AM,35.4875,-114.0861, 349,372,428,"21,775"
Wed 12:27:50 AM,35.5388,-114.0987, 349,366,421,"20,700"
Wed 12:28:20 AM,35.5864,-114.1105, 349,360,414,"19,675"
Wed 12:28:50 AM,35.6360,-114.1228, 349,352,405,"18,625"
Wed 12:29:21 AM,35.6848,-114.1349, 349,342,394,"17,750"
Wed 12:29:51 AM,35.7314,-114.1466, 348,326,375,"17,100"
Wed 12:30:10 AM,35.7564,-114.1593, 326,319,367,"16,725"
Wed 12:30:29 AM,35.7726,-114.1837, 299,317,365,"16,300"
Wed 12:30:59 AM,35.7934,-114.2316, 298,312,359,"15,475"
Wed 12:31:29 AM,35.8138,-114.2785, 298,308,354,"14,675"
Wed 12:31:47 AM,35.8287,-114.3071, 316,301,346,"14,150"
Wed 12:32:04 AM,35.8463,-114.3214, 338,291,335,"13,925"
Wed 12:32:20 AM,35.8691,-114.3244, 7,278,320,"13,725"
Wed 12:32:58 AM,35.9140,-114.3133, 12,258,297,"13,725"
Wed 12:33:28 AM,35.9496,-114.3039, 12,259,298,"13,700"
Wed 12:33:59 AM,35.9844,-114.2947, 12,258,297,"13,700"
Wed 12:34:21 AM,36.0117,-114.2876, 9,256,295,"13,700"
Wed 12:34:38 AM,36.0292,-114.2891, 339,253,291,"13,625"
Wed 12:35:19 AM,36.0727,-114.3169, 331,254,292,"12,575"
Wed 12:35:38 AM,36.0921,-114.3323, 317,253,291,"12,075"
Wed 12:35:58 AM,36.1033,-114.3566, 284,254,292,"11,575"
Wed 12:36:38 AM,36.1006,-114.4151, 264,254,292,"10,600"
Wed 12:37:03 AM,36.0974,-114.4514, 264,253,291,"9,950"
Wed 12:37:33 AM,36.0937,-114.4944, 264,243,280,"9,400"
Wed 12:38:03 AM,36.0901,-114.5348, 264,241,277,"8,675"
