Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 12:10:00 PM    Left Gate (PHX) @ Tuesday 09:10:00 AM MST,,,Airline
,,,
Taxi Time: 22 minutes,,,
Tue 12:32:22 PM    Departure (PHX) @ Tuesday 09:32:22 AM MST,,,FlightAware ADS-B (KCHD)
Tue 12:32:22 PM,33.4311,-112.0015, 90,168,193,975
Tue 12:32:38 PM,33.4313,-111.9868, 88,169,194,"1,625"
Tue 12:32:54 PM,33.4321,-111.9709, 86,179,206,"2,100"
Tue 12:33:10 PM,33.4330,-111.9540, 86,205,236,"2,425"
Tue 12:33:26 PM,33.4340,-111.9355, 87,219,252,"2,850"
Tue 12:33:50 PM,33.4351,-111.9064, 87,222,255,"3,925"
Tue 12:34:06 PM,33.4362,-111.8862, 84,229,264,"4,600"
Tue 12:34:22 PM,33.4435,-111.8667, 52,249,287,"4,875"
Tue 12:34:40 PM,33.4628,-111.8529, 14,257,296,"5,575"
Tue 12:35:02 PM,33.4885,-111.8502, 5,256,295,"6,750"
Tue 12:35:32 PM,33.5216,-111.8468, 4,265,305,"7,900"
Tue 12:36:02 PM,33.5605,-111.8436, 4,278,320,"8,750"
Tue 12:36:32 PM,33.5990,-111.8407, 4,279,321,"8,750"
Tue 12:37:02 PM,33.6375,-111.8378, 2,276,318,"8,750"
Tue 12:37:20 PM,33.6612,-111.8387, 355,278,320,"8,800"
Tue 12:37:43 PM,33.6900,-111.8432, 352,280,322,"9,300"
Tue 12:38:01 PM,33.7137,-111.8483, 345,281,323,"10,150"
Tue 12:38:17 PM,33.7323,-111.8584, 327,304,350,"10,400"
Tue 12:39:02 PM,33.7768,-111.9213, 306,343,395,"11,450"
Tue 12:39:32 PM,33.8064,-111.9697, 306,346,398,"12,850"
Tue 12:40:02 PM,33.8332,-112.0140, 306,328,377,"14,750"
Tue 12:40:32 PM,33.8596,-112.0575, 306,328,377,"16,175"
Tue 12:41:02 PM,33.8883,-112.1042, 306,350,403,"16,925"
Tue 12:41:32 PM,33.9176,-112.1521, 306,375,432,"17,400"
Tue 12:42:02 PM,33.9489,-112.2040, 306,388,447,"18,200"
Tue 12:42:32 PM,33.9804,-112.2564, 306,388,447,"19,375"
Tue 12:43:02 PM,34.0115,-112.3077, 307,386,444,"20,600"
Tue 12:43:18 PM,34.0312,-112.3353, 313,382,440,"21,200"
Tue 12:43:39 PM,34.0564,-112.3632, 320,381,438,"21,750"
Tue 12:44:09 PM,34.0983,-112.4055, 320,394,453,"22,400"
Tue 12:44:39 PM,34.1418,-112.4493, 320,399,459,"23,225"
Tue 12:45:09 PM,34.1829,-112.4906, 320,395,455,"24,325"
Tue 12:45:39 PM,34.2261,-112.5342, 320,397,457,"25,275"
Tue 12:46:09 PM,34.2679,-112.5765, 320,404,465,"26,000"
Tue 12:46:39 PM,34.3123,-112.6214, 320,410,472,"26,750"
Tue 12:47:09 PM,34.3536,-112.6631, 320,415,478,"27,375"
Tue 12:47:40 PM,34.4022,-112.7124, 320,422,486,"28,000"
Tue 12:48:10 PM,34.4455,-112.7563, 320,423,487,"28,000"
Tue 12:48:41 PM,34.4927,-112.8044, 320,422,486,"28,000"
Tue 12:49:12 PM,34.5398,-112.8524, 320,422,486,"28,000"
Tue 12:49:42 PM,34.5819,-112.8953, 320,421,484,"28,000"
Tue 12:50:12 PM,34.6282,-112.9425, 320,420,483,"28,000"
Tue 12:50:43 PM,34.6732,-112.9887, 320,421,484,"28,000"
Tue 12:51:13 PM,34.7171,-113.0337, 320,420,483,"28,000"
Tue 12:51:43 PM,34.7632,-113.0837, 314,417,480,"28,000"
Tue 12:52:18 PM,34.8082,-113.1404, 314,412,474,"28,000"
Tue 12:52:48 PM,34.8471,-113.1897, 314,412,474,"28,000"
Tue 12:53:18 PM,34.8874,-113.2408, 314,412,474,"28,000"
Tue 12:53:48 PM,34.9265,-113.2906, 314,413,475,"28,000"
Tue 12:54:18 PM,34.9667,-113.3417, 314,413,475,"28,000"
