Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 01:01:00 PM    Left Gate (PHX) @ Tuesday 10:01:00 AM MST,,,Airline
,,,
Taxi Time: 31 minutes,,,
Tue 01:32:46 PM    Departure (PHX) @ Tuesday 10:32:46 AM MST,,,FlightAware ADS-B (KPHX)
Tue 01:32:46 PM,33.4310,-112.0256, 269,165,190,"1,550"
Tue 01:33:02 PM,33.4306,-112.0394, 269,174,200,"2,075"
Tue 01:33:18 PM,33.4312,-112.0554, 273,193,222,"2,450"
Tue 01:33:34 PM,33.4319,-112.0743, 272,215,247,"2,750"
Tue 01:33:50 PM,33.4326,-112.0942, 273,230,265,"3,225"
Tue 01:34:09 PM,33.4334,-112.1187, 273,230,265,"4,200"
Tue 01:34:37 PM,33.4348,-112.1573, 275,255,293,"5,075"
Tue 01:34:56 PM,33.4424,-112.1800, 308,252,290,"5,800"
Tue 01:35:13 PM,33.4588,-112.1942, 336,240,276,"6,800"
Tue 01:35:31 PM,33.4770,-112.1974, 1,240,276,"7,500"
Tue 01:36:01 PM,33.5110,-112.1961, 1,245,282,"8,825"
Tue 01:36:19 PM,33.5318,-112.1959, 358,255,293,"9,500"
Tue 01:36:55 PM,33.5773,-112.2000, 356,288,331,"10,325"
Tue 01:37:22 PM,33.6139,-112.2032, 354,317,365,"10,775"
Tue 01:37:38 PM,33.6403,-112.2089, 347,333,383,"11,025"
Tue 01:38:08 PM,33.6834,-112.2228, 345,351,404,"11,825"
Tue 01:38:38 PM,33.7326,-112.2387, 345,355,409,"13,050"
Tue 01:39:08 PM,33.7800,-112.2543, 345,353,406,"14,525"
Tue 01:39:38 PM,33.8279,-112.2698, 345,349,402,"15,900"
Tue 01:40:08 PM,33.8753,-112.2850, 345,355,409,"17,000"
Tue 01:40:38 PM,33.9233,-112.3005, 345,366,421,"17,925"
Tue 01:41:08 PM,33.9711,-112.3160, 345,369,425,"18,950"
Tue 01:41:24 PM,33.9999,-112.3256, 342,370,426,"19,550"
Tue 01:41:47 PM,34.0348,-112.3449, 330,376,433,"20,375"
Tue 01:42:03 PM,34.0567,-112.3641, 320,381,438,"20,950"
Tue 01:42:33 PM,34.0978,-112.4048, 320,384,442,"21,975"
Tue 01:43:03 PM,34.1405,-112.4476, 320,387,445,"23,000"
Tue 01:43:33 PM,34.1813,-112.4887, 320,391,450,"23,875"
Tue 01:44:03 PM,34.2230,-112.5309, 320,395,455,"24,700"
Tue 01:44:33 PM,34.2656,-112.5742, 320,398,458,"25,475"
Tue 01:45:03 PM,34.3072,-112.6162, 320,401,461,"26,200"
Tue 01:45:33 PM,34.3499,-112.6593, 320,405,466,"26,875"
Tue 01:46:03 PM,34.3941,-112.7041, 320,410,472,"27,450"
Tue 01:46:33 PM,34.4370,-112.7477, 320,413,475,"27,975"
Tue 01:47:04 PM,34.4834,-112.7950, 320,415,478,"28,000"
Tue 01:47:37 PM,34.5312,-112.8435, 320,415,478,"28,000"
Tue 01:48:09 PM,34.5779,-112.8912, 320,414,476,"28,000"
Tue 01:48:39 PM,34.6219,-112.9363, 320,412,474,"28,000"
Tue 01:49:11 PM,34.6706,-112.9859, 320,410,472,"28,000"
Tue 01:49:41 PM,34.7140,-113.0304, 320,409,471,"28,000"
Tue 01:50:05 PM,34.7478,-113.0654, 318,410,472,"28,000"
Tue 01:50:29 PM,34.7803,-113.1053, 314,412,474,"28,000"
Tue 01:50:59 PM,34.8190,-113.1540, 314,412,474,"28,000"
Tue 01:51:29 PM,34.8587,-113.2045, 314,413,475,"28,000"
Tue 01:51:59 PM,34.8975,-113.2538, 314,414,476,"28,000"
Tue 01:52:29 PM,34.9368,-113.3037, 314,416,479,"28,000"
Tue 01:53:00 PM,34.9803,-113.3590, 314,417,480,"28,000"
Tue 01:53:22 PM,35.0115,-113.3931, 321,414,476,"28,000"
Tue 01:53:52 PM,35.0542,-113.4363, 320,416,479,"28,000"
Tue 01:54:22 PM,35.0989,-113.4813, 320,418,481,"28,000"
Tue 01:54:54 PM,35.1459,-113.5288, 320,398,458,"27,425"
Tue 01:55:24 PM,35.1863,-113.5697, 320,381,438,"26,850"
Tue 01:55:54 PM,35.2282,-113.6118, 321,369,425,"26,275"
Tue 01:56:24 PM,35.2678,-113.6518, 320,366,421,"25,725"
Tue 01:56:55 PM,35.3065,-113.6910, 320,363,418,"25,225"
Tue 01:57:25 PM,35.3460,-113.7312, 320,364,419,"24,725"
Tue 01:57:55 PM,35.3843,-113.7701, 320,362,417,"24,250"
Tue 01:58:25 PM,35.4250,-113.8115, 320,363,418,"24,000"
Tue 01:58:55 PM,35.4610,-113.8482, 320,362,417,"24,000"
Tue 01:59:25 PM,35.5016,-113.8896, 320,356,410,"23,425"
Tue 01:59:55 PM,35.5386,-113.9274, 320,356,410,"22,500"
Tue 02:00:25 PM,35.5754,-113.9652, 320,351,404,"21,475"
Tue 02:00:55 PM,35.6122,-114.0030, 320,347,399,"20,450"
Tue 02:01:25 PM,35.6479,-114.0396, 320,344,396,"19,475"
Tue 02:01:55 PM,35.6854,-114.0777, 320,339,390,"18,500"
Tue 02:02:25 PM,35.7212,-114.1146, 320,334,384,"17,800"
Tue 02:02:44 PM,35.7443,-114.1390, 316,337,388,"17,475"
Tue 02:03:00 PM,35.7614,-114.1633, 307,343,395,"17,000"
Tue 02:03:22 PM,35.7795,-114.2010, 299,343,395,"16,325"
Tue 02:03:53 PM,35.8023,-114.2518, 299,342,394,"15,325"
Tue 02:04:23 PM,35.8250,-114.3030, 298,339,390,"14,350"
Tue 02:04:46 PM,35.8437,-114.3420, 306,333,383,"13,625"
Tue 02:05:22 PM,35.8760,-114.3942, 307,330,380,"12,475"
Tue 02:05:52 PM,35.9036,-114.4386, 307,327,376,"11,550"
Tue 02:06:22 PM,35.9309,-114.4822, 307,315,362,"10,900"
Tue 02:06:53 PM,35.9578,-114.5253, 308,292,336,"10,625"
Tue 02:07:16 PM,35.9773,-114.5568, 307,287,330,"9,975"
Tue 02:07:46 PM,35.9999,-114.5937, 307,272,313,"9,575"
Tue 02:08:16 PM,36.0213,-114.6284, 307,267,307,"8,900"
Tue 02:08:35 PM,36.0372,-114.6545, 305,266,306,"8,475"
Tue 02:08:56 PM,36.0500,-114.6805, 301,256,295,"8,175"
Tue 02:09:24 PM,36.0671,-114.7154, 299,242,278,"7,875"
Tue 02:09:42 PM,36.0726,-114.7378, 279,242,278,"7,750"
Tue 02:10:09 PM,36.0737,-114.7741, 270,241,277,"7,625"
Tue 02:10:39 PM,36.0733,-114.8147, 269,243,280,"6,775"
Tue 02:11:09 PM,36.0735,-114.8567, 270,227,261,"6,200"
Tue 02:11:39 PM,36.0736,-114.8954, 271,218,251,"5,550"
Tue 02:12:00 PM,36.0734,-114.9198, 270,213,245,"5,125"
Tue 02:12:30 PM,36.0737,-114.9550, 270,199,229,"4,600"
Tue 02:12:58 PM,36.0737,-114.9860, 269,189,217,"4,050"
Tue 02:13:22 PM,36.0738,-115.0115, 270,188,216,"3,650"
Tue 02:13:42 PM,36.0737,-115.0316, 270,172,198,"3,350"
Tue 02:14:12 PM,36.0737,-115.0599, 270,163,188,"2,875"
Tue 02:14:28 PM,36.0737,-115.0766, 271,164,189,"2,625"
Tue 02:14:44 PM,36.0737,-115.0900, 269,159,183,"2,425"
Tue 02:15:00 PM,36.0737,-115.1052, 269,165,190,"2,200"
Tue 02:15:16 PM,36.0737,-115.1200, 271,164,189,"1,975"
Tue 02:15:33 PM,36.0737,-115.1364, 270,162,186,"1,800"
,,,
Tue 02:16:05 PM    Arrival (LAS) @ Tuesday 11:16:05 AM PDT,,,Airline
Taxi Time: 3 minutes,,,
Tue 02:20:00 PM    Gate Arrival (LAS) @ Tuesday 11:20:00 AM PDT,,,Airline
