Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 01:49:00 PM    Left Gate (PHX) @ Tuesday 10:49:00 AM MST,,,Airline
,,,
Taxi Time: 15 minutes,,,
Tue 02:04:04 PM    Departure (PHX) @ Tuesday 11:04:04 AM MST,,,FlightAware ADS-B (KSDL)
Tue 02:04:04 PM,33.4311,-112.0300, 269,168,193,"1,350"
Tue 02:04:20 PM,33.4311,-112.0439, 271,170,196,"2,100"
Tue 02:04:36 PM,33.4311,-112.0607, 271,190,219,"2,500"
Tue 02:04:52 PM,33.4316,-112.0781, 272,208,239,"2,900"
Tue 02:05:08 PM,33.4325,-112.0981, 274,227,261,"3,350"
Tue 02:05:24 PM,33.4333,-112.1169, 273,226,260,"4,175"
Tue 02:05:54 PM,33.4348,-112.1565, 273,236,272,"5,625"
Tue 02:06:10 PM,33.4399,-112.1778, 298,248,285,"6,050"
Tue 02:06:27 PM,33.4530,-112.1922, 332,255,293,"6,550"
Tue 02:06:44 PM,33.4740,-112.1973, 1,252,290,"7,375"
Tue 02:07:10 PM,33.5019,-112.1961, 2,248,285,"8,775"
Tue 02:07:30 PM,33.5273,-112.1956, 0,256,295,"9,650"
Tue 02:08:10 PM,33.5763,-112.2000, 355,296,341,"11,075"
Tue 02:08:39 PM,33.6176,-112.2040, 353,330,380,"11,800"
Tue 02:08:55 PM,33.6424,-112.2093, 346,350,403,"12,200"
Tue 02:09:35 PM,33.7078,-112.2305, 345,364,419,"14,050"
Tue 02:10:05 PM,33.7558,-112.2463, 344,366,421,"15,650"
Tue 02:10:35 PM,33.8062,-112.2628, 345,376,433,"16,825"
Tue 02:11:05 PM,33.8593,-112.2796, 345,381,438,"18,125"
Tue 02:11:35 PM,33.9111,-112.2958, 345,383,441,"19,500"
Tue 02:12:05 PM,33.9605,-112.3118, 345,388,447,"20,650"
Tue 02:12:23 PM,33.9927,-112.3226, 344,388,447,"21,450"
Tue 02:12:44 PM,34.0293,-112.3414, 333,399,459,"22,325"
Tue 02:13:02 PM,34.0547,-112.3615, 322,410,472,"23,025"
Tue 02:13:38 PM,34.1088,-112.4155, 320,418,481,"24,225"
Tue 02:14:08 PM,34.1530,-112.4600, 320,422,486,"25,050"
Tue 02:14:38 PM,34.1980,-112.5054, 320,426,490,"25,825"
Tue 02:15:08 PM,34.2434,-112.5513, 320,424,488,"26,900"
Tue 02:15:39 PM,34.2893,-112.5980, 320,425,489,"27,875"
