Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 02:19:00 PM    Left Gate (PHX) @ Tuesday 11:19:00 AM MST,,,Airline
,,,
Taxi Time: 19 minutes,,,
Tue 02:38:26 PM    Departure (PHX) @ Tuesday 11:38:26 AM MST,,,FlightAware ADS-B (KFFZ)
Tue 02:38:26 PM,33.4311,-112.0169, 269,151,174,"1,125"
Tue 02:38:42 PM,33.4308,-112.0285, 268,149,171,"1,700"
Tue 02:38:58 PM,33.4305,-112.0415, 271,160,184,"2,200"
Tue 02:39:14 PM,33.4309,-112.0575, 272,176,203,"2,550"
Tue 02:39:30 PM,33.4314,-112.0751, 273,199,229,"2,975"
Tue 02:39:46 PM,33.4322,-112.0928, 273,224,258,"3,325"
Tue 02:40:06 PM,33.4335,-112.1188, 274,245,282,"4,100"
Tue 02:40:35 PM,33.4352,-112.1576, 275,256,295,"5,500"
Tue 02:40:51 PM,33.4415,-112.1803, 308,262,302,"6,150"
Tue 02:41:09 PM,33.4589,-112.1946, 341,252,290,"7,150"
Tue 02:41:31 PM,33.4845,-112.1959, 2,249,287,"8,300"
Tue 02:42:01 PM,33.5189,-112.1952, 0,251,289,"8,775"
Tue 02:42:30 PM,33.5540,-112.1977, 355,270,311,"9,750"
Tue 02:43:00 PM,33.5944,-112.2016, 356,306,352,"10,400"
Tue 02:43:22 PM,33.6256,-112.2049, 352,330,380,"10,925"
Tue 02:44:01 PM,33.6848,-112.2233, 345,337,388,"12,800"
Tue 02:44:31 PM,33.7298,-112.2380, 345,333,383,"14,350"
Tue 02:45:01 PM,33.7749,-112.2526, 345,339,390,"15,600"
Tue 02:45:31 PM,33.8209,-112.2673, 345,349,402,"16,600"
Tue 02:46:01 PM,33.8672,-112.2823, 345,354,407,"17,750"
Tue 02:46:31 PM,33.9167,-112.2984, 345,360,414,"18,900"
Tue 02:47:01 PM,33.9652,-112.3141, 345,366,421,"19,900"
Tue 02:47:31 PM,34.0140,-112.3303, 341,365,420,"20,850"
Tue 02:47:51 PM,34.0437,-112.3494, 322,384,442,"21,000"
Tue 02:48:21 PM,34.0857,-112.3923, 320,390,449,"21,650"
Tue 02:48:51 PM,34.1263,-112.4335, 320,393,452,"22,475"
Tue 02:49:21 PM,34.1683,-112.4756, 320,395,455,"23,350"
Tue 02:49:51 PM,34.2102,-112.5178, 320,397,457,"24,300"
Tue 02:50:21 PM,34.2518,-112.5598, 320,397,457,"25,300"
Tue 02:50:51 PM,34.2956,-112.6040, 320,403,464,"26,050"
Tue 02:51:21 PM,34.3386,-112.6474, 320,408,470,"26,725"
Tue 02:51:51 PM,34.3836,-112.6928, 320,417,480,"27,275"
Tue 02:52:21 PM,34.4294,-112.7393, 320,424,488,"27,875"
Tue 02:52:53 PM,34.4757,-112.7865, 320,416,479,"28,000"
Tue 02:53:24 PM,34.5208,-112.8325, 320,420,483,"28,000"
Tue 02:53:57 PM,34.5689,-112.8816, 320,422,486,"28,000"
Tue 02:54:30 PM,34.6207,-112.9344, 320,422,486,"28,000"
Tue 02:55:00 PM,34.6636,-112.9784, 320,419,482,"28,000"
Tue 02:55:30 PM,34.7082,-113.0242, 320,414,476,"28,000"
Tue 02:56:00 PM,34.7531,-113.0700, 320,420,483,"28,000"
Tue 02:56:16 PM,34.7758,-113.0942, 316,421,484,"28,000"
Tue 02:56:46 PM,34.8149,-113.1445, 312,423,487,"28,000"
Tue 02:57:16 PM,34.8552,-113.1987, 312,409,471,"28,000"
Tue 02:57:46 PM,34.8916,-113.2463, 313,379,436,"28,000"
Tue 02:58:17 PM,34.9293,-113.2942, 314,371,427,"28,000"
Tue 02:58:47 PM,34.9635,-113.3375, 314,371,427,"28,000"
Tue 02:59:09 PM,34.9920,-113.3732, 317,368,423,"28,000"
Tue 02:59:54 PM,35.0500,-113.4319, 321,369,425,"27,675"
Tue 03:00:17 PM,35.0803,-113.4591, 333,349,402,"27,200"
Tue 03:00:33 PM,35.1047,-113.4671, 355,330,380,"26,850"
Tue 03:00:50 PM,35.1293,-113.4621, 21,320,368,"26,525"
Tue 03:01:10 PM,35.1577,-113.4460, 26,322,371,"26,200"
Tue 03:01:40 PM,35.1968,-113.4225, 26,317,365,"25,575"
Tue 03:02:00 PM,35.2235,-113.4090, 16,312,359,"25,175"
Tue 03:02:16 PM,35.2462,-113.4062, 357,317,365,"24,925"
Tue 03:02:33 PM,35.2711,-113.4133, 338,330,380,"24,650"
