Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 02:13:00 PM    Left Gate (PHX) @ Tuesday 11:13:00 AM MST,,,Airline
,,,
Taxi Time: 23 minutes,,,
Tue 02:36:34 PM    Departure (PHX) @ Tuesday 11:36:34 AM MST,,,FlightAware ADS-B (KFFZ)
Tue 02:36:34 PM,33.4311,-112.0206, 269,162,186,"1,350"
Tue 02:36:50 PM,33.4308,-112.0348, 269,163,188,"2,050"
Tue 02:37:06 PM,33.4308,-112.0503, 270,171,197,"2,575"
Tue 02:37:22 PM,33.4311,-112.0664, 272,187,215,"2,925"
Tue 02:37:38 PM,33.4317,-112.0841, 272,206,237,"3,300"
Tue 02:38:06 PM,33.4330,-112.1198, 273,246,283,"3,825"
Tue 02:38:36 PM,33.4345,-112.1601, 275,249,287,"5,350"
Tue 02:38:52 PM,33.4402,-112.1804, 302,249,287,"6,125"
Tue 02:39:10 PM,33.4556,-112.1943, 340,249,287,"6,850"
Tue 02:39:40 PM,33.4926,-112.1964, 2,245,282,"8,550"
Tue 02:40:10 PM,33.5254,-112.1951, 1,251,289,"9,950"
Tue 02:40:48 PM,33.5703,-112.1984, 355,254,292,"11,750"
Tue 02:41:18 PM,33.6065,-112.2020, 355,257,296,"13,175"
Tue 02:41:37 PM,33.6294,-112.2052, 349,259,298,"14,025"
Tue 02:42:07 PM,33.6641,-112.2166, 344,259,298,"15,275"
Tue 02:42:37 PM,33.6983,-112.2278, 345,266,306,"16,350"
Tue 02:43:07 PM,33.7362,-112.2398, 345,296,341,"16,850"
Tue 02:43:37 PM,33.7784,-112.2533, 345,324,373,"17,275"
Tue 02:44:08 PM,33.8265,-112.2689, 345,349,402,"17,775"
Tue 02:44:38 PM,33.8716,-112.2835, 345,363,418,"18,425"
Tue 02:45:08 PM,33.9222,-112.3000, 345,361,415,"19,675"
Tue 02:45:38 PM,33.9688,-112.3153, 345,367,422,"20,525"
Tue 02:46:04 PM,34.0134,-112.3302, 342,366,421,"21,525"
Tue 02:46:26 PM,34.0468,-112.3533, 320,378,435,"22,250"
Tue 02:46:56 PM,34.0865,-112.3940, 320,384,442,"22,950"
Tue 02:47:26 PM,34.1274,-112.4349, 320,388,447,"23,725"
Tue 02:47:56 PM,34.1679,-112.4753, 320,393,452,"24,400"
Tue 02:48:26 PM,34.2098,-112.5174, 320,397,457,"25,100"
Tue 02:48:56 PM,34.2513,-112.5594, 320,395,455,"26,000"
Tue 02:49:26 PM,34.2945,-112.6032, 320,390,449,"26,900"
Tue 02:49:56 PM,34.3362,-112.6454, 320,385,443,"27,825"
Tue 02:50:26 PM,34.3779,-112.6876, 320,398,458,"28,000"
Tue 02:50:56 PM,34.4195,-112.7297, 320,405,466,"28,000"
Tue 02:51:27 PM,34.4645,-112.7754, 320,408,470,"28,000"
Tue 02:51:57 PM,34.5074,-112.8192, 320,407,468,"28,000"
