Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 05:25:00 PM    Left Gate (PHX) @ Wednesday 02:25:00 PM MST,,,Airline
,,,
Wed 05:34:37 PM,33.4311,-112.0080, 270,130,150,"1,100"
Wed 05:34:53 PM,33.4311,-112.0236, 270,178,205,"1,350"
,,,
Taxi Time: 10 minutes,,,
Wed 05:35:00 PM    Departure (PHX) @ Wednesday 02:35:00 PM MST,,,Albuquerque Center
,,,
Wed 05:35:09 PM,33.4311,-112.0394, 271,171,197,"2,300"
Wed 05:35:25 PM,33.4315,-112.0536, 272,180,207,"2,775"
Wed 05:35:41 PM,33.4319,-112.0698, 272,195,224,"3,200"
Wed 05:35:57 PM,33.4322,-112.0900, 271,211,243,"3,550"
Wed 05:36:21 PM,33.4331,-112.1184, 272,242,278,"4,100"
Wed 05:36:50 PM,33.4346,-112.1593, 276,251,289,"5,550"
Wed 05:37:06 PM,33.4406,-112.1785, 302,253,291,"6,225"
Wed 05:37:22 PM,33.4554,-112.1933, 333,251,289,"7,025"
Wed 05:37:40 PM,33.4776,-112.1965, 0,254,292,"7,950"
Wed 05:38:04 PM,33.5061,-112.1960, 1,258,297,"9,100"
Wed 05:38:22 PM,33.5278,-112.1959, 360,260,299,"9,950"
Wed 05:38:58 PM,33.5721,-112.1995, 356,293,337,"10,850"
Wed 05:39:28 PM,33.6142,-112.2034, 355,326,375,"11,425"
Wed 05:39:44 PM,33.6414,-112.2092, 346,346,398,"11,725"
Wed 05:40:14 PM,33.6876,-112.2242, 345,372,428,"12,225"
Wed 05:40:34 PM,33.7230,-112.2356, 345,379,436,"12,900"
Wed 05:41:04 PM,33.7758,-112.2527, 345,387,445,"14,050"
Wed 05:41:34 PM,33.8262,-112.2689, 345,394,453,"15,125"
Wed 05:42:04 PM,33.8777,-112.2855, 345,397,457,"16,250"
Wed 05:42:34 PM,33.9322,-112.3032, 345,400,460,"17,350"
Wed 05:43:04 PM,33.9870,-112.3210, 345,404,465,"18,375"
Wed 05:43:25 PM,34.0231,-112.3355, 335,408,470,"18,975"
Wed 05:44:10 PM,34.0922,-112.3996, 321,408,470,"20,525"
Wed 05:44:40 PM,34.1345,-112.4415, 320,417,480,"21,200"
Wed 05:45:10 PM,34.1793,-112.4864, 320,421,484,"21,875"
Wed 05:45:40 PM,34.2235,-112.5310, 320,426,490,"22,575"
Wed 05:46:10 PM,34.2714,-112.5793, 320,439,505,"22,925"
Wed 05:46:40 PM,34.3182,-112.6265, 320,447,514,"23,475"
Wed 05:47:10 PM,34.3648,-112.6738, 320,447,514,"24,200"
Wed 05:47:40 PM,34.4123,-112.7219, 320,445,512,"25,000"
Wed 05:48:10 PM,34.4615,-112.7719, 320,439,505,"26,000"
Wed 05:48:40 PM,34.5082,-112.8194, 320,439,505,"26,700"
Wed 05:49:10 PM,34.5553,-112.8674, 320,437,503,"27,450"
Wed 05:49:40 PM,34.5995,-112.9125, 320,434,499,"27,975"
Wed 05:50:10 PM,34.6467,-112.9608, 320,431,496,"28,000"
Wed 05:50:40 PM,34.6925,-113.0077, 320,433,498,"28,000"
Wed 05:51:10 PM,34.7379,-113.0544, 320,435,501,"28,000"
Wed 05:51:30 PM,34.7692,-113.0870, 317,435,501,"28,000"
Wed 05:52:10 PM,34.8218,-113.1563, 313,434,499,"28,000"
Wed 05:52:41 PM,34.8668,-113.2139, 314,434,499,"28,000"
Wed 05:53:11 PM,34.9079,-113.2663, 314,434,499,"28,000"
Wed 05:53:41 PM,34.9495,-113.3192, 314,433,498,"28,000"
Wed 05:54:07 PM,34.9854,-113.3640, 316,433,498,"28,000"
Wed 05:54:28 PM,35.0151,-113.3963, 320,434,499,"28,000"
Wed 05:54:58 PM,35.0615,-113.4429, 320,434,499,"28,000"
Wed 05:55:28 PM,35.1087,-113.4905, 320,430,495,"27,800"
Wed 05:55:58 PM,35.1539,-113.5362, 320,418,481,"27,325"
Wed 05:56:28 PM,35.1988,-113.5816, 320,408,470,"26,875"
Wed 05:56:58 PM,35.2404,-113.6238, 320,403,464,"26,375"
Wed 05:57:28 PM,35.2832,-113.6671, 320,400,460,"25,900"
Wed 05:57:58 PM,35.3257,-113.7101, 320,398,458,"25,350"
Wed 05:58:28 PM,35.3675,-113.7527, 320,394,453,"24,400"
Wed 05:58:58 PM,35.4109,-113.7968, 320,391,450,"23,400"
Wed 05:59:28 PM,35.4535,-113.8403, 320,389,448,"22,450"
Wed 05:59:58 PM,35.4941,-113.8816, 320,383,441,"21,500"
Wed 06:00:29 PM,35.5349,-113.9234, 320,376,433,"20,625"
Wed 06:00:59 PM,35.5753,-113.9646, 320,369,425,"19,675"
Wed 06:01:29 PM,35.6147,-114.0051, 320,367,422,"18,775"
Wed 06:01:59 PM,35.6518,-114.0432, 320,361,415,"17,900"
Wed 06:02:30 PM,35.6919,-114.0843, 320,353,406,"17,075"
Wed 06:03:00 PM,35.7276,-114.1211, 320,324,373,"16,575"
Wed 06:03:23 PM,35.7530,-114.1481, 316,308,354,"15,900"
Wed 06:03:39 PM,35.7652,-114.1692, 300,309,356,"15,300"
Wed 06:04:09 PM,35.7865,-114.2166, 299,308,354,"14,475"
Wed 06:04:40 PM,35.8079,-114.2648, 298,297,342,"13,900"
Wed 06:05:00 PM,35.8209,-114.2936, 302,281,323,"13,825"
Wed 06:05:20 PM,35.8382,-114.3123, 332,264,304,"13,600"
Wed 06:05:38 PM,35.8611,-114.3162, 7,250,288,"13,400"
Wed 06:05:55 PM,35.8788,-114.3119, 13,248,285,"13,125"
Wed 06:06:25 PM,35.9134,-114.3019, 13,247,284,"12,450"
Wed 06:06:55 PM,35.9468,-114.2923, 13,242,278,"11,875"
Wed 06:07:12 PM,35.9653,-114.2892, 3,246,283,"11,475"
Wed 06:07:47 PM,36.0035,-114.2959, 351,243,280,"10,775"
Wed 06:08:05 PM,36.0242,-114.3035, 332,246,283,"10,375"
Wed 06:08:23 PM,36.0368,-114.3198, 302,248,285,"9,925"
Wed 06:08:43 PM,36.0414,-114.3482, 275,255,293,"9,400"
Wed 06:09:13 PM,36.0448,-114.3909, 276,248,285,"8,875"
Wed 06:09:43 PM,36.0486,-114.4332, 276,240,276,"8,400"
Wed 06:10:13 PM,36.0522,-114.4747, 276,235,270,"7,925"
Wed 06:10:29 PM,36.0541,-114.4956, 276,232,267,"7,875"
Wed 06:10:45 PM,36.0557,-114.5154, 276,233,268,"7,875"
Wed 06:11:16 PM,36.0592,-114.5564, 276,231,266,"7,875"
Wed 06:11:46 PM,36.0624,-114.5958, 276,238,274,"7,875"
Wed 06:12:13 PM,36.0658,-114.6352, 278,242,278,"7,850"
Wed 06:12:32 PM,36.0727,-114.6593, 283,240,276,"7,850"
Wed 06:12:49 PM,36.0734,-114.6830, 268,244,281,"7,875"
Wed 06:13:10 PM,36.0730,-114.7107, 270,238,274,"7,875"
Wed 06:13:40 PM,36.0733,-114.7511, 270,239,275,"7,775"
Wed 06:14:10 PM,36.0735,-114.7909, 270,232,267,"7,250"
Wed 06:14:40 PM,36.0735,-114.8321, 271,232,267,"6,625"
Wed 06:15:10 PM,36.0736,-114.8722, 270,234,269,"5,900"
Wed 06:15:40 PM,36.0736,-114.9095, 270,214,246,"5,325"
Wed 06:16:10 PM,36.0736,-114.9457, 270,208,239,"4,725"
Wed 06:16:40 PM,36.0737,-114.9814, 271,208,239,"4,175"
Wed 06:17:05 PM,36.0737,-115.0107, 271,199,229,"3,700"
Wed 06:17:34 PM,36.0737,-115.0398, 270,179,206,"3,250"
Wed 06:17:56 PM,36.0737,-115.0633, 270,169,194,"2,900"
Wed 06:18:12 PM,36.0737,-115.0789, 271,161,185,"2,650"
Wed 06:18:28 PM,36.0736,-115.0910, 270,158,182,"2,500"
Wed 06:18:44 PM,36.0737,-115.1071, 271,160,184,"2,250"
Wed 06:19:00 PM,36.0737,-115.1210, 270,156,180,"2,050"
Wed 06:19:16 PM,36.0737,-115.1347, 270,149,171,"1,925"
,,,
Wed 06:19:48 PM    Arrival (LAS) @ Wednesday 03:19:48 PM PDT,,,FlightAware
,,,
Taxi Time: 6 minutes,,,
