Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 06:49:00 PM    Left Gate (PHX) @ Wednesday 03:49:00 PM MST,,,Airline
,,,
Taxi Time: 13 minutes,,,
Wed 07:02:50 PM    Departure (PHX) @ Wednesday 04:02:50 PM MST,,,FlightAware ADS-B (KPHX)
Wed 07:02:50 PM,33.4312,-112.0229, 270,150,173,"1,775"
Wed 07:03:06 PM,33.4312,-112.0364, 271,149,171,"2,450"
Wed 07:03:22 PM,33.4313,-112.0495, 270,161,185,"2,900"
Wed 07:03:38 PM,33.4314,-112.0663, 271,182,209,"3,200"
Wed 07:03:54 PM,33.4319,-112.0835, 273,199,229,"3,675"
Wed 07:04:23 PM,33.4330,-112.1171, 273,224,258,"4,675"
Wed 07:04:52 PM,33.4345,-112.1539, 274,229,264,"6,125"
Wed 07:05:09 PM,33.4395,-112.1744, 300,231,266,"7,000"
Wed 07:05:26 PM,33.4517,-112.1898, 325,237,273,"7,850"
Wed 07:05:45 PM,33.4719,-112.1972, 355,250,288,"8,800"
Wed 07:06:05 PM,33.4957,-112.1969, 1,250,288,"9,925"
Wed 07:06:33 PM,33.5299,-112.1958, 0,262,302,"11,275"
Wed 07:07:06 PM,33.5704,-112.1997, 355,267,307,"13,125"
Wed 07:07:25 PM,33.5927,-112.2030, 350,265,305,"14,275"
Wed 07:07:41 PM,33.6125,-112.2065, 354,270,311,"15,225"
Wed 07:08:01 PM,33.6365,-112.2097, 351,269,310,"16,325"
Wed 07:08:17 PM,33.6567,-112.2149, 347,274,315,"17,100"
Wed 07:08:37 PM,33.6799,-112.2219, 345,280,322,"18,075"
Wed 07:08:56 PM,33.7050,-112.2303, 346,283,326,"19,000"
Wed 07:09:26 PM,33.7431,-112.2424, 345,282,325,"20,625"
Wed 07:09:46 PM,33.7676,-112.2523, 335,272,313,"20,975"
Wed 07:10:08 PM,33.7877,-112.2705, 320,269,310,"21,175"
Wed 07:10:30 PM,33.8120,-112.2951, 322,297,342,"21,575"
Wed 07:10:48 PM,33.8304,-112.3114, 324,316,364,"21,825"
Wed 07:11:18 PM,33.8680,-112.3438, 324,331,381,"22,700"
Wed 07:11:48 PM,33.9060,-112.3781, 323,352,405,"23,275"
Wed 07:12:18 PM,33.9459,-112.4138, 324,356,410,"24,525"
Wed 07:12:48 PM,33.9857,-112.4489, 323,363,418,"25,575"
Wed 07:13:18 PM,34.0262,-112.4858, 323,368,423,"26,575"
Wed 07:13:48 PM,34.0680,-112.5240, 322,366,421,"27,875"
Wed 07:14:18 PM,34.1068,-112.5595, 323,370,426,"28,000"
Wed 07:14:48 PM,34.1478,-112.5967, 323,370,426,"28,000"
Wed 07:15:19 PM,34.1891,-112.6343, 323,368,423,"28,000"
Wed 07:15:52 PM,34.2347,-112.6759, 323,368,423,"28,000"
Wed 07:16:22 PM,34.2750,-112.7129, 323,368,423,"28,000"
Wed 07:16:53 PM,34.3170,-112.7510, 323,366,421,"28,000"
Wed 07:17:24 PM,34.3590,-112.7892, 323,364,419,"28,000"
Wed 07:17:54 PM,34.3997,-112.8267, 323,362,417,"28,000"
Wed 07:18:25 PM,34.4405,-112.8640, 323,362,417,"28,000"
Wed 07:18:55 PM,34.4831,-112.9031, 323,360,414,"27,975"
Wed 07:19:26 PM,34.5223,-112.9390, 323,348,400,"27,950"
Wed 07:19:56 PM,34.5611,-112.9746, 323,349,402,"27,425"
Wed 07:20:27 PM,34.6001,-113.0103, 323,345,397,"26,925"
Wed 07:20:57 PM,34.6376,-113.0451, 322,340,391,"26,400"
Wed 07:21:27 PM,34.6767,-113.0816, 322,344,396,"25,975"
Wed 07:21:57 PM,34.7147,-113.1166, 323,343,395,"26,000"
Wed 07:22:28 PM,34.7535,-113.1523, 323,342,394,"26,000"
Wed 07:22:59 PM,34.7904,-113.1864, 323,340,391,"26,000"
Wed 07:23:29 PM,34.8290,-113.2222, 323,345,397,"26,025"
Wed 07:23:59 PM,34.8666,-113.2567, 323,332,382,"25,975"
Wed 07:24:30 PM,34.9025,-113.2900, 322,301,346,"25,975"
Wed 07:25:06 PM,34.9413,-113.3269, 322,294,338,"26,000"
Wed 07:25:36 PM,34.9728,-113.3564, 323,295,339,"26,000"
Wed 07:26:06 PM,35.0055,-113.3873, 321,294,338,"26,000"
Wed 07:26:36 PM,35.0369,-113.4189, 320,293,337,"26,000"
Wed 07:27:06 PM,35.0672,-113.4496, 320,295,339,"26,000"
Wed 07:27:36 PM,35.1001,-113.4827, 320,296,341,"26,000"
Wed 07:28:07 PM,35.1343,-113.5172, 320,307,353,"26,025"
Wed 07:28:37 PM,35.1679,-113.5513, 320,343,395,"25,875"
Wed 07:29:07 PM,35.2065,-113.5899, 321,360,414,"25,425"
Wed 07:29:37 PM,35.2457,-113.6291, 321,367,422,"24,950"
Wed 07:30:08 PM,35.2861,-113.6702, 320,368,423,"24,450"
Wed 07:30:38 PM,35.3263,-113.7112, 320,372,428,"23,975"
Wed 07:31:08 PM,35.3664,-113.7521, 320,371,427,"24,000"
Wed 07:31:39 PM,35.4058,-113.7923, 320,372,428,"24,000"
Wed 07:32:10 PM,35.4472,-113.8344, 320,375,432,"24,000"
Wed 07:32:40 PM,35.4881,-113.8760, 320,376,433,"24,000"
Wed 07:33:10 PM,35.5278,-113.9165, 320,370,426,"23,575"
Wed 07:33:43 PM,35.5716,-113.9611, 321,357,411,"22,450"
Wed 07:34:13 PM,35.6071,-113.9975, 320,347,399,"21,475"
Wed 07:34:43 PM,35.6454,-114.0369, 320,357,411,"20,200"
Wed 07:35:13 PM,35.6838,-114.0762, 320,351,404,"19,025"
Wed 07:35:43 PM,35.7191,-114.1126, 320,322,371,"18,750"
Wed 07:36:08 PM,35.7466,-114.1412, 319,298,343,"18,575"
Wed 07:36:24 PM,35.7608,-114.1608, 308,289,333,"18,350"
Wed 07:37:08 PM,35.7890,-114.2223, 299,287,330,"17,100"
Wed 07:37:38 PM,35.8075,-114.2642, 299,286,329,"16,275"
Wed 07:38:00 PM,35.8216,-114.2957, 302,285,328,"15,650"
Wed 07:38:17 PM,35.8394,-114.3140, 337,281,323,"15,150"
Wed 07:38:33 PM,35.8601,-114.3153, 4,277,319,"15,025"
Wed 07:39:03 PM,35.8969,-114.3105, 6,270,311,"15,000"
Wed 07:39:33 PM,35.9310,-114.3062, 6,247,284,"14,950"
Wed 07:40:03 PM,35.9654,-114.3018, 6,241,277,"14,325"
Wed 07:40:33 PM,35.9978,-114.2973, 6,243,280,"13,600"
Wed 07:41:04 PM,36.0334,-114.2920, 6,240,276,"12,900"
Wed 07:41:24 PM,36.0547,-114.2912, 344,235,270,"12,475"
Wed 07:41:40 PM,36.0701,-114.3040, 308,227,261,"12,175"
Wed 07:41:56 PM,36.0744,-114.3230, 278,227,261,"11,875"
Wed 07:42:36 PM,36.0716,-114.3746, 266,231,266,"11,000"
Wed 07:42:55 PM,36.0708,-114.4005, 270,231,266,"10,575"
Wed 07:43:25 PM,36.0716,-114.4406, 272,232,267,"9,975"
Wed 07:43:55 PM,36.0724,-114.4798, 271,230,265,"9,400"
Wed 07:44:25 PM,36.0725,-114.5170, 270,231,266,"8,850"
Wed 07:44:49 PM,36.0725,-114.5484, 270,224,258,"8,475"
Wed 07:45:19 PM,36.0727,-114.5891, 271,220,253,"8,025"
Wed 07:45:47 PM,36.0727,-114.6226, 273,226,260,"8,025"
Wed 07:46:07 PM,36.0730,-114.6464, 272,231,266,"8,025"
Wed 07:46:36 PM,36.0732,-114.6872, 271,230,265,"8,025"
Wed 07:46:57 PM,36.0731,-114.7150, 270,239,275,"8,025"
Wed 07:47:27 PM,36.0733,-114.7576, 271,242,278,"7,650"
Wed 07:47:46 PM,36.0733,-114.7833, 270,240,276,"7,275"
Wed 07:48:16 PM,36.0735,-114.8239, 270,226,260,"6,875"
Wed 07:48:46 PM,36.0735,-114.8594, 270,203,234,"6,400"
Wed 07:49:16 PM,36.0736,-114.8925, 270,194,223,"5,825"
Wed 07:49:43 PM,36.0736,-114.9228, 269,188,216,"5,350"
Wed 07:50:07 PM,36.0737,-114.9493, 270,188,216,"4,925"
Wed 07:50:37 PM,36.0737,-114.9808, 269,188,216,"4,400"
Wed 07:51:03 PM,36.0737,-115.0085, 269,182,209,"3,975"
Wed 07:51:33 PM,36.0737,-115.0372, 269,166,191,"3,525"
Wed 07:51:54 PM,36.0737,-115.0571, 269,147,169,"3,250"
,,,
Wed 07:52:02 PM,36.0737,-115.0637, 270,145,167,"3,150"
,,,
Wed 07:52:10 PM,36.0737,-115.0705, 270,140,161,"3,025"
Wed 07:52:26 PM,36.0737,-115.0824, 270,141,162,"2,825"
Wed 07:52:42 PM,36.0737,-115.0953, 270,141,162,"2,600"
Wed 07:52:58 PM,36.0737,-115.1081, 270,145,167,"2,425"
Wed 07:53:14 PM,36.0737,-115.1221, 270,148,170,"2,200"
Wed 07:53:30 PM,36.0737,-115.1348, 270,145,167,"2,075"
,,,
Wed 07:54:02 PM    Arrival (LAS) @ Wednesday 04:54:02 PM PDT,,,FlightAware
,,,
Taxi Time: 4 minutes,,,
Wed 07:59:00 PM    Gate Arrival (LAS) @ Wednesday 04:59:00 PM PDT,,,Airline
