Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 07:42:00 PM    Left Gate (PHX) @ Wednesday 04:42:00 PM MST,,,Airline
,,,
Taxi Time: 10 minutes,,,
Wed 07:52:08 PM    Departure (PHX) @ Wednesday 04:52:08 PM MST,,,FlightAware ADS-B (KFFZ)
Wed 07:52:08 PM,33.4311,-112.0155, 270,154,177,"1,425"
Wed 07:52:24 PM,33.4312,-112.0290, 270,153,176,"2,150"
Wed 07:52:40 PM,33.4310,-112.0425, 269,162,186,"2,725"
Wed 07:52:56 PM,33.4311,-112.0579, 271,185,213,"3,025"
Wed 07:53:12 PM,33.4314,-112.0753, 271,200,230,"3,450"
Wed 07:53:28 PM,33.4321,-112.0956, 273,214,246,"4,075"
Wed 07:53:47 PM,33.4331,-112.1183, 273,224,258,"4,825"
Wed 07:54:17 PM,33.4341,-112.1540, 272,232,267,"6,100"
Wed 07:54:34 PM,33.4385,-112.1761, 298,233,268,"6,975"
Wed 07:54:50 PM,33.4516,-112.1902, 329,240,276,"7,750"
Wed 07:55:08 PM,33.4705,-112.1963, 359,251,289,"8,600"
Wed 07:55:32 PM,33.4979,-112.1954, 0,252,290,"9,750"
Wed 07:56:00 PM,33.5313,-112.1959, 356,254,292,"11,100"
Wed 07:56:30 PM,33.5693,-112.1996, 355,285,328,"11,925"
Wed 07:57:00 PM,33.6104,-112.2032, 355,293,337,"13,200"
Wed 07:57:23 PM,33.6421,-112.2097, 346,312,359,"13,775"
Wed 07:57:40 PM,33.6659,-112.2174, 345,335,386,"14,025"
Wed 07:58:10 PM,33.7144,-112.2328, 345,369,425,"14,500"
Wed 07:58:40 PM,33.7635,-112.2485, 345,370,426,"15,875"
Wed 07:59:10 PM,33.8130,-112.2643, 345,362,417,"17,675"
Wed 07:59:40 PM,33.8589,-112.2794, 345,362,417,"18,925"
Wed 08:00:10 PM,33.9097,-112.2963, 345,369,425,"20,025"
Wed 08:00:40 PM,33.9582,-112.3120, 345,377,434,"21,025"
Wed 08:01:04 PM,34.0011,-112.3261, 343,375,432,"21,950"
Wed 08:01:26 PM,34.0352,-112.3451, 330,364,419,"22,700"
Wed 08:02:06 PM,34.0874,-112.3946, 320,362,417,"23,925"
Wed 08:02:36 PM,34.1254,-112.4326, 320,368,423,"24,650"
Wed 08:03:06 PM,34.1662,-112.4737, 320,375,432,"25,350"
Wed 08:03:36 PM,34.2056,-112.5134, 320,381,438,"26,025"
Wed 08:04:06 PM,34.2463,-112.5545, 320,377,434,"27,100"
Wed 08:04:36 PM,34.2861,-112.5946, 320,373,429,"27,975"
Wed 08:05:06 PM,34.3260,-112.6350, 320,372,428,"28,000"
Wed 08:05:36 PM,34.3643,-112.6739, 320,371,427,"28,000"
Wed 08:06:06 PM,34.4049,-112.7152, 320,371,427,"28,000"
