Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 07:45:00 PM    Left Gate (PHX) @ Wednesday 04:45:00 PM MST,,,Airline
,,,
Taxi Time: 10 minutes,,,
Wed 07:55:21 PM    Departure (PHX) @ Wednesday 04:55:21 PM MST,,,FlightAware ADS-B (KPHX)
Wed 07:55:21 PM,33.4310,-111.9957, 90,168,193,"1,325"
Wed 07:55:37 PM,33.4310,-111.9813, 89,170,196,"1,975"
Wed 07:55:53 PM,33.4317,-111.9665, 86,184,212,"2,300"
Wed 07:56:09 PM,33.4327,-111.9497, 86,196,226,"2,700"
Wed 07:56:25 PM,33.4337,-111.9307, 87,214,246,"3,050"
Wed 07:56:46 PM,33.4350,-111.9052, 86,225,259,"3,700"
Wed 07:57:03 PM,33.4368,-111.8819, 78,233,268,"4,450"
Wed 07:57:19 PM,33.4451,-111.8642, 47,243,280,"4,950"
Wed 07:57:37 PM,33.4614,-111.8533, 14,238,274,"5,800"
Wed 07:57:55 PM,33.4811,-111.8555, 341,247,284,"6,625"
Wed 07:58:12 PM,33.4981,-111.8683, 324,264,304,"7,350"
Wed 07:58:42 PM,33.5283,-111.8945, 324,273,314,"8,975"
Wed 07:59:27 PM,33.5752,-111.9355, 324,302,348,"11,075"
Wed 07:59:57 PM,33.6115,-111.9678, 324,345,397,"11,575"
Wed 08:00:27 PM,33.6517,-112.0030, 324,361,415,"12,825"
Wed 08:00:57 PM,33.6924,-112.0390, 324,366,421,"14,325"
Wed 08:01:27 PM,33.7329,-112.0748, 323,367,422,"15,925"
Wed 08:01:57 PM,33.7746,-112.1118, 324,373,429,"17,325"
Wed 08:02:27 PM,33.8158,-112.1479, 324,379,436,"18,575"
Wed 08:02:57 PM,33.8597,-112.1864, 324,383,441,"19,900"
Wed 08:03:27 PM,33.9036,-112.2251, 324,391,450,"21,050"
Wed 08:03:57 PM,33.9487,-112.2648, 324,397,457,"22,125"
Wed 08:04:27 PM,33.9936,-112.3044, 324,404,465,"23,050"
Wed 08:04:52 PM,34.0293,-112.3363, 322,408,470,"23,850"
Wed 08:05:32 PM,34.0899,-112.3970, 320,416,479,"25,125"
Wed 08:06:03 PM,34.1344,-112.4416, 320,422,486,"25,975"
Wed 08:06:33 PM,34.1794,-112.4868, 320,418,481,"27,075"
Wed 08:07:03 PM,34.2248,-112.5325, 320,399,459,"27,975"
Wed 08:07:33 PM,34.2636,-112.5720, 320,366,421,"27,975"
Wed 08:08:03 PM,34.3017,-112.6110, 320,350,403,"27,975"
Wed 08:08:33 PM,34.3388,-112.6486, 320,348,400,"28,000"
Wed 08:09:03 PM,34.3756,-112.6856, 320,347,399,"28,000"
Wed 08:09:33 PM,34.4121,-112.7225, 320,346,398,"28,000"
Wed 08:10:03 PM,34.4481,-112.7589, 320,344,396,"28,000"
Wed 08:10:33 PM,34.4843,-112.7958, 320,342,394,"28,000"
Wed 08:11:03 PM,34.5220,-112.8341, 320,343,395,"28,000"
Wed 08:11:33 PM,34.5604,-112.8735, 320,364,419,"28,025"
Wed 08:12:03 PM,34.5999,-112.9140, 320,392,451,"28,025"
Wed 08:12:33 PM,34.6416,-112.9564, 320,408,470,"28,025"
Wed 08:13:03 PM,34.6874,-113.0027, 320,412,474,"28,000"
Wed 08:13:33 PM,34.7288,-113.0451, 320,414,476,"28,000"
Wed 08:13:53 PM,34.7583,-113.0769, 316,411,473,"28,000"
Wed 08:14:19 PM,34.7941,-113.1224, 314,410,472,"28,000"
Wed 08:14:50 PM,34.8334,-113.1722, 314,410,472,"28,000"
Wed 08:15:21 PM,34.8725,-113.2220, 314,411,473,"28,000"
Wed 08:15:52 PM,34.9153,-113.2761, 314,411,473,"28,000"
Wed 08:16:22 PM,34.9544,-113.3260, 314,411,473,"28,000"
Wed 08:16:45 PM,34.9848,-113.3645, 315,412,474,"28,000"
Wed 08:17:33 PM,35.0526,-113.4345, 320,413,475,"28,000"
Wed 08:18:03 PM,35.0997,-113.4821, 320,413,475,"28,000"
Wed 08:18:34 PM,35.1447,-113.5276, 320,413,475,"28,000"
Wed 08:19:05 PM,35.1897,-113.5730, 320,413,475,"28,000"
Wed 08:19:35 PM,35.2342,-113.6178, 320,414,476,"28,000"
Wed 08:20:05 PM,35.2788,-113.6629, 320,412,474,"27,375"
Wed 08:20:35 PM,35.3215,-113.7059, 321,408,470,"26,075"
Wed 08:21:05 PM,35.3641,-113.7495, 320,405,466,"25,950"
Wed 08:21:35 PM,35.4083,-113.7947, 320,395,455,"25,100"
Wed 08:22:05 PM,35.4490,-113.8361, 320,386,444,"24,075"
Wed 08:22:36 PM,35.4913,-113.8795, 320,385,443,"24,000"
Wed 08:23:06 PM,35.5339,-113.9228, 320,370,426,"23,625"
Wed 08:23:36 PM,35.5714,-113.9610, 320,366,421,"22,300"
Wed 08:24:06 PM,35.6114,-114.0014, 320,347,399,"21,350"
Wed 08:24:36 PM,35.6474,-114.0387, 320,337,388,"20,125"
Wed 08:25:06 PM,35.6822,-114.0748, 320,326,375,"19,075"
Wed 08:25:36 PM,35.7158,-114.1093, 321,321,369,"18,150"
Wed 08:26:02 PM,35.7452,-114.1391, 318,307,353,"17,725"
Wed 08:26:19 PM,35.7618,-114.1628, 306,299,344,"17,475"
Wed 08:26:35 PM,35.7727,-114.1862, 298,295,339,"17,225"
Wed 08:27:06 PM,35.7923,-114.2300, 299,292,336,"16,725"
Wed 08:27:37 PM,35.8126,-114.2755, 299,293,337,"16,200"
Wed 08:28:05 PM,35.8299,-114.3151, 296,292,336,"15,750"
Wed 08:28:21 PM,35.8359,-114.3408, 276,292,336,"15,500"
Wed 08:29:01 PM,35.8306,-114.4063, 263,288,331,"14,825"
Wed 08:29:32 PM,35.8252,-114.4590, 263,284,327,"14,275"
Wed 08:30:02 PM,35.8203,-114.5041, 262,287,330,"13,900"
Wed 08:30:32 PM,35.8149,-114.5529, 262,286,329,"13,900"
Wed 08:31:02 PM,35.8096,-114.6016, 263,285,328,"13,400"
Wed 08:31:32 PM,35.8043,-114.6502, 263,284,327,"12,925"
Wed 08:32:02 PM,35.7990,-114.6981, 262,282,325,"12,400"
Wed 08:32:32 PM,35.7937,-114.7469, 262,281,323,"11,900"
Wed 08:33:02 PM,35.7886,-114.7936, 262,276,318,"11,425"
Wed 08:33:32 PM,35.7836,-114.8371, 262,268,308,"10,925"
Wed 08:34:02 PM,35.7788,-114.8837, 263,261,300,"10,350"
Wed 08:34:23 PM,35.7753,-114.9157, 262,261,300,"10,000"
Wed 08:34:44 PM,35.7723,-114.9432, 265,257,296,"9,900"
Wed 08:35:04 PM,35.7718,-114.9724, 270,258,297,"9,675"
Wed 08:35:34 PM,35.7716,-115.0180, 270,260,299,"9,175"
Wed 08:36:04 PM,35.7715,-115.0638, 270,265,305,"8,900"
Wed 08:36:34 PM,35.7715,-115.1069, 270,267,307,"8,400"
Wed 08:37:04 PM,35.7713,-115.1509, 270,259,298,"7,925"
Wed 08:37:24 PM,35.7713,-115.1823, 272,242,278,"7,925"
Wed 08:37:43 PM,35.7772,-115.2057, 299,244,281,"7,900"
Wed 08:38:03 PM,35.7917,-115.2272, 310,247,284,"7,925"
Wed 08:38:34 PM,35.8138,-115.2603, 309,246,283,"7,925"
Wed 08:39:04 PM,35.8360,-115.2932, 310,253,291,"7,925"
