Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 10:41:00 PM    Left Gate (PHX) @ Wednesday 07:41:00 PM MST,,,Airline
,,,
Taxi Time: 9 minutes,,,
Wed 10:50:21 PM    Departure (PHX) @ Wednesday 07:50:21 PM MST,,,FlightAware ADS-B (KPHX)
Wed 10:50:21 PM,33.4314,-112.0231, 271,156,180,"1,800"
Wed 10:50:37 PM,33.4315,-112.0365, 271,164,189,"2,450"
Wed 10:50:53 PM,33.4318,-112.0526, 271,187,215,"2,850"
Wed 10:51:09 PM,33.4318,-112.0703, 270,207,238,"3,300"
Wed 10:51:25 PM,33.4322,-112.0887, 272,213,245,"4,025"
Wed 10:51:48 PM,33.4334,-112.1182, 273,239,275,"5,225"
Wed 10:52:17 PM,33.4348,-112.1579, 275,264,304,"6,850"
Wed 10:52:33 PM,33.4430,-112.1802, 312,270,311,"7,700"
Wed 10:52:52 PM,33.4636,-112.1946, 346,266,306,"9,225"
Wed 10:53:09 PM,33.4834,-112.1958, 0,266,306,"10,350"
Wed 10:53:36 PM,33.5170,-112.1962, 360,269,310,"12,175"
Wed 10:53:53 PM,33.5384,-112.1969, 355,273,314,"13,250"
Wed 10:54:15 PM,33.5687,-112.1997, 356,310,357,"13,875"
Wed 10:54:45 PM,33.6146,-112.2039, 354,356,410,"14,450"
Wed 10:55:11 PM,33.6542,-112.2138, 345,362,417,"15,950"
Wed 10:55:41 PM,33.7055,-112.2301, 345,375,432,"17,375"
Wed 10:56:05 PM,33.7475,-112.2434, 347,384,442,"18,625"
Wed 10:56:22 PM,33.7760,-112.2462, 3,393,452,"19,350"
Wed 10:57:02 PM,33.8505,-112.2291, 12,408,470,"20,950"
Wed 10:57:24 PM,33.8908,-112.2201, 4,407,468,"21,000"
Wed 10:57:42 PM,33.9229,-112.2246, 341,401,461,"21,000"
Wed 10:58:01 PM,33.9532,-112.2445, 322,397,457,"21,100"
Wed 10:58:42 PM,34.0069,-112.3094, 315,400,460,"22,850"
Wed 10:59:06 PM,34.0398,-112.3464, 320,406,467,"23,925"
Wed 10:59:43 PM,34.0928,-112.3997, 320,416,479,"25,350"
Wed 11:00:13 PM,34.1374,-112.4446, 320,421,484,"26,425"
Wed 11:00:43 PM,34.1826,-112.4903, 320,427,491,"27,500"
Wed 11:01:13 PM,34.2292,-112.5373, 320,430,495,"28,000"
Wed 11:01:48 PM,34.2828,-112.5911, 320,428,493,"28,000"
Wed 11:02:21 PM,34.3338,-112.6428, 320,427,491,"28,000"
Wed 11:02:52 PM,34.3791,-112.6889, 320,426,490,"28,000"
Wed 11:03:22 PM,34.4255,-112.7361, 320,425,489,"28,000"
Wed 11:03:52 PM,34.4700,-112.7815, 320,427,491,"28,025"
Wed 11:04:22 PM,34.5176,-112.8300, 320,450,518,"28,025"
Wed 11:04:52 PM,34.5648,-112.8782, 320,457,526,"28,000"
Wed 11:05:22 PM,34.6152,-112.9293, 320,457,526,"28,000"
Wed 11:05:52 PM,34.6616,-112.9768, 320,457,526,"28,000"
