Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 12:50:12 PM    Departure (PHX) @ Wednesday 09:50:12 AM MST,,,FlightAware ADS-B (KPHX)
Wed 12:50:12 PM,33.4311,-112.0001, 90,165,190,"1,350"
Wed 12:50:28 PM,33.4312,-111.9854, 89,167,192,"1,950"
Wed 12:50:44 PM,33.4315,-111.9697, 88,183,211,"2,400"
Wed 12:51:00 PM,33.4323,-111.9528, 86,202,232,"2,675"
Wed 12:51:16 PM,33.4335,-111.9350, 86,225,259,"2,925"
Wed 12:51:39 PM,33.4353,-111.9045, 86,235,270,"3,800"
Wed 12:51:55 PM,33.4370,-111.8825, 79,243,280,"4,450"
Wed 12:52:23 PM,33.4520,-111.8468, 60,271,312,"5,125"
,,,
Wed 12:52:48 PM,33.4677,-111.8143, 60,280,322,"6,100"
,,,
Wed 12:53:04 PM,33.4784,-111.7922, 60,288,331,"6,900"
Wed 12:53:25 PM,33.4925,-111.7620, 61,299,344,"8,025"
Wed 12:53:41 PM,33.5043,-111.7384, 56,304,350,"8,800"
Wed 12:53:59 PM,33.5222,-111.7207, 34,305,351,"9,750"
Wed 12:54:21 PM,33.5485,-111.7010, 22,319,367,"10,600"
Wed 12:54:42 PM,33.5793,-111.6901, 15,345,397,"10,950"
Wed 12:54:59 PM,33.6103,-111.6896, 346,358,412,"11,250"
Wed 12:55:16 PM,33.6352,-111.7054, 321,356,410,"11,825"
Wed 12:56:01 PM,33.6793,-111.7720, 308,358,412,"14,075"
Wed 12:56:31 PM,33.7102,-111.8205, 307,365,420,"15,500"
Wed 12:57:01 PM,33.7406,-111.8695, 307,360,414,"17,225"
Wed 12:57:31 PM,33.7696,-111.9165, 307,343,395,"19,250"
Wed 12:58:01 PM,33.7974,-111.9618, 306,338,389,"20,875"
Wed 12:58:31 PM,33.8248,-112.0065, 307,348,400,"21,800"
Wed 12:59:01 PM,33.8549,-112.0549, 307,354,407,"22,900"
Wed 12:59:31 PM,33.8843,-112.1021, 307,357,411,"23,900"
Wed 01:00:01 PM,33.9136,-112.1496, 307,362,417,"24,775"
Wed 01:00:31 PM,33.9434,-112.1978, 307,365,420,"25,750"
Wed 01:01:01 PM,33.9751,-112.2489, 307,362,417,"26,875"
Wed 01:01:31 PM,34.0036,-112.2952, 306,358,412,"27,925"
Wed 01:01:51 PM,34.0237,-112.3260, 312,362,417,"28,000"
Wed 01:02:34 PM,34.0779,-112.3848, 320,370,426,"28,000"
Wed 01:03:07 PM,34.1217,-112.4290, 320,370,426,"28,000"
Wed 01:03:38 PM,34.1641,-112.4717, 320,370,426,"28,000"
Wed 01:04:08 PM,34.2026,-112.5104, 320,371,427,"28,000"
Wed 01:04:38 PM,34.2407,-112.5489, 320,373,429,"28,000"
Wed 01:05:08 PM,34.2814,-112.5900, 320,374,430,"28,000"
Wed 01:05:38 PM,34.3207,-112.6300, 320,374,430,"28,000"
Wed 01:06:08 PM,34.3619,-112.6716, 320,375,432,"28,000"
Wed 01:06:38 PM,34.4004,-112.7106, 320,375,432,"28,000"
Wed 01:07:08 PM,34.4424,-112.7531, 320,374,430,"28,000"
Wed 01:07:38 PM,34.4806,-112.7919, 320,375,432,"28,000"
Wed 01:08:08 PM,34.5200,-112.8322, 320,375,432,"28,000"
Wed 01:08:38 PM,34.5593,-112.8722, 320,375,432,"28,000"
Wed 01:09:08 PM,34.5993,-112.9130, 320,375,432,"28,000"
Wed 01:09:39 PM,34.6412,-112.9558, 320,374,430,"28,000"
Wed 01:10:10 PM,34.6813,-112.9968, 320,373,429,"28,000"
Wed 01:10:40 PM,34.7210,-113.0376, 320,372,428,"28,000"
Wed 01:11:08 PM,34.7585,-113.0779, 316,370,426,"28,000"
Wed 01:11:38 PM,34.7947,-113.1235, 314,371,427,"28,000"
Wed 01:12:08 PM,34.8289,-113.1666, 314,371,427,"28,000"
Wed 01:12:39 PM,34.8660,-113.2137, 314,371,427,"28,000"
Wed 01:13:09 PM,34.9007,-113.2576, 314,373,429,"28,000"
Wed 01:13:39 PM,34.9369,-113.3032, 314,373,429,"28,000"
Wed 01:14:10 PM,34.9742,-113.3508, 314,375,432,"28,000"
Wed 01:14:31 PM,35.0016,-113.3832, 319,378,435,"28,000"
Wed 01:15:01 PM,35.0416,-113.4235, 320,379,436,"28,000"
Wed 01:15:31 PM,35.0810,-113.4633, 320,380,437,"28,000"
Wed 01:16:01 PM,35.1213,-113.5039, 321,364,419,"27,500"
Wed 01:16:31 PM,35.1589,-113.5414, 321,347,399,"26,900"
Wed 01:17:01 PM,35.1962,-113.5792, 320,343,395,"26,350"
Wed 01:17:31 PM,35.2326,-113.6164, 320,342,394,"25,825"
Wed 01:18:02 PM,35.2709,-113.6552, 320,340,391,"25,300"
Wed 01:18:32 PM,35.3073,-113.6920, 320,339,390,"24,800"
Wed 01:19:03 PM,35.3437,-113.7288, 320,339,390,"24,275"
Wed 01:19:34 PM,35.3833,-113.7690, 320,342,394,"23,750"
Wed 01:20:04 PM,35.4197,-113.8063, 320,342,394,"23,250"
Wed 01:20:34 PM,35.4563,-113.8435, 320,341,392,"22,725"
Wed 01:21:04 PM,35.4926,-113.8805, 320,342,394,"22,250"
Wed 01:21:35 PM,35.5289,-113.9176, 320,341,392,"21,725"
Wed 01:22:05 PM,35.5654,-113.9548, 320,341,392,"20,850"
Wed 01:22:35 PM,35.6018,-113.9921, 320,339,390,"19,675"
Wed 01:23:05 PM,35.6376,-114.0290, 320,337,388,"18,550"
Wed 01:23:35 PM,35.6731,-114.0654, 320,335,386,"17,450"
Wed 01:24:04 PM,35.7073,-114.1008, 317,317,365,"16,900"
Wed 01:24:49 PM,35.7332,-114.1708, 291,302,348,"16,125"
Wed 01:25:19 PM,35.7477,-114.2183, 291,290,334,"15,575"
Wed 01:25:49 PM,35.7618,-114.2644, 290,279,321,"15,000"
Wed 01:26:19 PM,35.7749,-114.3088, 290,273,314,"14,500"
Wed 01:26:44 PM,35.7852,-114.3440, 288,273,314,"14,125"
Wed 01:27:05 PM,35.7891,-114.3767, 270,277,319,"13,775"
Wed 01:27:47 PM,35.7869,-114.4420, 268,271,312,"13,050"
Wed 01:28:17 PM,35.7856,-114.4872, 268,264,304,"12,525"
Wed 01:28:47 PM,35.7845,-114.5326, 268,261,300,"11,925"
Wed 01:29:17 PM,35.7832,-114.5772, 268,259,298,"11,200"
Wed 01:29:47 PM,35.7820,-114.6188, 268,240,276,"10,925"
Wed 01:30:17 PM,35.7807,-114.6597, 268,228,262,"10,950"
Wed 01:30:50 PM,35.7794,-114.7019, 268,223,257,"10,925"
Wed 01:31:20 PM,35.7783,-114.7400, 268,225,259,"10,950"
Wed 01:32:02 PM,35.7766,-114.7943, 269,226,260,"10,950"
Wed 01:32:32 PM,35.7754,-114.8329, 268,225,259,"10,950"
Wed 01:33:02 PM,35.7742,-114.8725, 269,228,262,"10,950"
Wed 01:33:32 PM,35.7731,-114.9114, 268,229,264,"10,925"
Wed 01:34:02 PM,35.7717,-114.9497, 269,232,267,"10,950"
Wed 01:34:27 PM,35.7715,-114.9827, 271,228,262,"10,625"
Wed 01:34:49 PM,35.7718,-115.0133, 270,238,274,"9,975"
Wed 01:35:13 PM,35.7718,-115.0434, 270,240,276,"9,525"
Wed 01:35:29 PM,35.7717,-115.0657, 270,235,270,"9,375"
Wed 01:35:58 PM,35.7715,-115.1046, 271,231,266,"8,875"
Wed 01:36:18 PM,35.7760,-115.1309, 294,227,261,"8,500"
Wed 01:36:48 PM,35.7869,-115.1658, 290,228,262,"7,925"
Wed 01:37:04 PM,35.7930,-115.1859, 291,229,264,"7,725"
Wed 01:37:34 PM,35.8041,-115.2225, 291,231,266,"7,250"
Wed 01:37:51 PM,35.8114,-115.2421, 306,227,261,"7,025"
Wed 01:38:09 PM,35.8286,-115.2531, 350,226,260,"6,725"
Wed 01:38:39 PM,35.8575,-115.2581, 352,214,246,"6,475"
Wed 01:39:10 PM,35.8883,-115.2632, 352,192,221,"6,225"
Wed 01:39:26 PM,35.9024,-115.2648, 5,185,213,"6,225"
Wed 01:39:49 PM,35.9211,-115.2579, 22,187,215,"5,850"
Wed 01:40:19 PM,35.9445,-115.2455, 24,187,215,"5,350"
Wed 01:40:44 PM,35.9634,-115.2343, 24,179,206,"4,875"
Wed 01:41:07 PM,35.9805,-115.2246, 26,166,191,"4,475"
,,,
Wed 01:41:13 PM,35.9840,-115.2226, 25,162,186,"4,375"
,,,
Wed 01:41:23 PM,35.9918,-115.2182, 25,158,182,"4,200"
Wed 01:41:39 PM,36.0020,-115.2125, 24,151,174,"3,950"
Wed 01:41:55 PM,36.0117,-115.2069, 24,151,174,"3,725"
,,,
Wed 01:42:09 PM,36.0204,-115.2019, 25,152,175,"3,525"
,,,
Wed 01:42:11 PM,36.0215,-115.2013, 25,154,177,"3,500"
Wed 01:42:27 PM,36.0315,-115.1954, 25,147,169,"3,325"
Wed 01:42:43 PM,36.0413,-115.1898, 25,148,170,"3,050"
Wed 01:42:59 PM,36.0528,-115.1834, 25,150,173,"2,775"
Wed 01:43:15 PM,36.0617,-115.1782, 25,149,171,"2,525"
Wed 01:43:31 PM,36.0724,-115.1723, 24,151,174,"2,275"
Wed 01:43:47 PM,36.0821,-115.1667, 25,148,170,"2,075"
,,,
Wed 01:44:19 PM    Arrival (LAS) @ Wednesday 10:44:19 AM PDT,,,FlightAware
,,,
Taxi Time: 8 minutes,,,
Wed 01:53:00 PM    Gate Arrival (LAS) @ Wednesday 10:53:00 AM PDT,,,Airline
