Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 11:56:36 PM    Departure (PHX) @ Wednesday 08:56:36 PM MST,,,FlightAware ADS-B (KPHX)
Wed 11:56:36 PM,33.4310,-112.0259, 269,176,203,"1,475"
Wed 11:56:52 PM,33.4309,-112.0404, 270,178,205,"2,100"
Wed 11:57:08 PM,33.4308,-112.0568, 270,185,213,"2,725"
Wed 11:57:24 PM,33.4313,-112.0738, 273,205,236,"3,150"
Wed 11:57:40 PM,33.4322,-112.0960, 273,229,264,"3,600"
Wed 11:57:59 PM,33.4331,-112.1182, 272,243,280,"4,275"
Wed 11:58:26 PM,33.4345,-112.1574, 275,250,288,"5,775"
Wed 11:58:44 PM,33.4417,-112.1795, 304,252,290,"6,550"
Wed 11:59:00 PM,33.4556,-112.1929, 334,258,297,"7,250"
Wed 11:59:17 PM,33.4764,-112.1962, 2,255,293,"8,200"
Wed 11:59:39 PM,33.5040,-112.1956, 0,264,304,"9,275"
Thu 12:00:07 AM,33.5389,-112.1965, 356,272,313,"10,750"
Thu 12:00:37 AM,33.5777,-112.2001, 356,311,358,"11,425"
Thu 12:01:04 AM,33.6204,-112.2042, 354,346,398,"11,975"
Thu 12:01:25 AM,33.6526,-112.2129, 344,365,420,"12,525"
Thu 12:01:55 AM,33.7045,-112.2297, 345,366,421,"14,125"
Thu 12:02:25 AM,33.7530,-112.2453, 345,371,427,"15,475"
Thu 12:02:55 AM,33.8034,-112.2616, 345,378,435,"16,800"
Thu 12:03:25 AM,33.8521,-112.2774, 345,384,442,"17,925"
Thu 12:03:48 AM,33.8911,-112.2900, 345,382,440,"19,050"
Thu 12:04:18 AM,33.9430,-112.3068, 345,390,449,"20,125"
Thu 12:04:47 AM,33.9963,-112.3240, 346,394,453,"21,100"
Thu 12:05:09 AM,34.0313,-112.3406, 332,387,445,"21,825"
Thu 12:05:29 AM,34.0604,-112.3675, 320,385,443,"22,000"
Thu 12:05:59 AM,34.1014,-112.4085, 320,388,447,"22,000"
Thu 12:06:29 AM,34.1430,-112.4501, 320,390,449,"22,000"
Thu 12:06:59 AM,34.1844,-112.4917, 320,393,452,"22,000"
Thu 12:07:29 AM,34.2279,-112.5355, 320,392,451,"22,000"
