Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 11:43:00 PM    Departure (PHX) @ Wednesday 08:43:00 PM MST,,,FlightAware ADS-B (KGYR)
Wed 11:43:00 PM,33.4310,-112.0233, 269,152,175,"1,900"
Wed 11:43:16 PM,33.4310,-112.0358, 271,159,183,"2,525"
Wed 11:43:32 PM,33.4312,-112.0527, 271,192,221,"2,900"
Wed 11:43:48 PM,33.4314,-112.0692, 271,212,244,"3,425"
Wed 11:44:04 PM,33.4318,-112.0896, 273,214,246,"4,375"
Wed 11:44:27 PM,33.4330,-112.1168, 273,242,278,"5,200"
Wed 11:44:56 PM,33.4348,-112.1577, 276,263,303,"6,550"
Wed 11:45:14 PM,33.4448,-112.1818, 313,268,308,"7,475"
Wed 11:45:31 PM,33.4636,-112.1946, 344,266,306,"8,425"
Wed 11:45:47 PM,33.4829,-112.1958, 1,266,306,"9,400"
Wed 11:46:13 PM,33.5148,-112.1961, 360,268,308,"10,825"
Wed 11:46:52 PM,33.5656,-112.1994, 356,302,348,"12,375"
Wed 11:47:22 PM,33.6095,-112.2032, 355,346,398,"12,925"
Wed 11:47:44 PM,33.6442,-112.2107, 345,346,398,"14,200"
Wed 11:48:14 PM,33.6934,-112.2263, 345,354,407,"15,800"
Wed 11:48:44 PM,33.7394,-112.2411, 345,370,426,"16,975"
Wed 11:49:14 PM,33.7916,-112.2580, 345,380,437,"18,375"
Wed 11:49:44 PM,33.8435,-112.2747, 345,392,451,"19,650"
Wed 11:50:14 PM,33.8954,-112.2916, 345,398,458,"20,925"
Wed 11:50:44 PM,33.9492,-112.3089, 345,405,466,"22,175"
Wed 11:51:07 PM,33.9898,-112.3222, 344,410,472,"23,075"
Wed 11:51:25 PM,34.0223,-112.3375, 333,411,473,"23,800"
Wed 11:51:45 PM,34.0542,-112.3619, 322,411,473,"24,525"
Wed 11:52:22 PM,34.1086,-112.4159, 320,417,480,"25,875"
Wed 11:52:52 PM,34.1551,-112.4625, 320,421,484,"26,950"
Wed 11:53:22 PM,34.1992,-112.5070, 320,427,491,"27,875"
Wed 11:53:52 PM,34.2449,-112.5531, 320,429,494,"28,025"
Wed 11:54:23 PM,34.2934,-112.6020, 320,428,493,"28,025"
Wed 11:54:54 PM,34.3406,-112.6498, 320,427,491,"28,000"
Wed 11:55:24 PM,34.3847,-112.6946, 320,425,489,"28,000"
Wed 11:55:54 PM,34.4293,-112.7400, 320,425,489,"28,025"
Wed 11:56:24 PM,34.4754,-112.7868, 320,427,491,"28,025"
Wed 11:56:54 PM,34.5188,-112.8310, 320,427,491,"28,025"
Wed 11:57:25 PM,34.5668,-112.8799, 320,428,493,"28,025"
Wed 11:57:55 PM,34.6134,-112.9274, 320,428,493,"28,025"
Wed 11:58:27 PM,34.6620,-112.9772, 320,426,490,"28,000"
Wed 11:58:57 PM,34.7079,-113.0242, 320,427,491,"28,025"
Wed 11:59:24 PM,34.7478,-113.0654, 318,426,490,"28,000"
Wed 11:59:59 PM,34.7948,-113.1234, 314,422,486,"28,000"
Thu 12:00:30 AM,34.8383,-113.1783, 314,422,486,"28,025"
Thu 12:01:00 AM,34.8773,-113.2281, 314,422,486,"28,000"
Thu 12:01:31 AM,34.9210,-113.2836, 314,422,486,"28,025"
Thu 12:02:02 AM,34.9620,-113.3358, 314,424,488,"28,000"
Thu 12:02:20 AM,34.9862,-113.3661, 316,426,490,"28,025"
Thu 12:02:56 AM,35.0410,-113.4229, 320,428,493,"28,000"
Thu 12:03:27 AM,35.0880,-113.4703, 320,426,490,"27,800"
Thu 12:03:58 AM,35.1343,-113.5170, 320,418,481,"27,275"
Thu 12:04:29 AM,35.1814,-113.5646, 320,416,479,"26,750"
Thu 12:04:59 AM,35.2249,-113.6085, 320,416,479,"26,275"
Thu 12:05:29 AM,35.2680,-113.6522, 320,413,475,"25,775"
Thu 12:05:59 AM,35.3124,-113.6969, 320,410,472,"25,250"
Thu 12:06:29 AM,35.3555,-113.7409, 320,407,468,"24,750"
Thu 12:06:59 AM,35.4001,-113.7864, 320,406,467,"24,200"
Thu 12:07:29 AM,35.4437,-113.8307, 320,403,464,"23,725"
Thu 12:07:59 AM,35.4858,-113.8736, 320,403,464,"23,200"
Thu 12:08:29 AM,35.5297,-113.9183, 320,396,456,"22,700"
Thu 12:08:59 AM,35.5696,-113.9590, 320,387,445,"21,900"
Thu 12:09:29 AM,35.6097,-114.0002, 320,380,437,"20,825"
Thu 12:09:59 AM,35.6517,-114.0435, 320,375,432,"19,675"
Thu 12:10:29 AM,35.6911,-114.0838, 320,368,423,"18,575"
Thu 12:10:59 AM,35.7283,-114.1219, 320,347,399,"18,150"
Thu 12:11:15 AM,35.7472,-114.1421, 315,327,376,"18,025"
Thu 12:11:33 AM,35.7647,-114.1685, 304,310,357,"17,800"
Thu 12:12:11 AM,35.7908,-114.2259, 299,307,353,"16,675"
Thu 12:12:41 AM,35.8115,-114.2727, 299,304,350,"15,825"
Thu 12:13:11 AM,35.8314,-114.3182, 298,298,343,"15,000"
Thu 12:13:32 AM,35.8462,-114.3466, 307,300,345,"14,475"
Thu 12:14:02 AM,35.8721,-114.3881, 307,298,343,"13,625"
Thu 12:14:32 AM,35.8966,-114.4274, 308,295,339,"12,800"
Thu 12:15:02 AM,35.9216,-114.4673, 308,293,337,"12,000"
Thu 12:15:32 AM,35.9467,-114.5073, 308,293,337,"11,175"
Thu 12:16:02 AM,35.9706,-114.5459, 307,291,335,"10,400"
Thu 12:16:27 AM,35.9920,-114.5809, 307,280,322,"10,000"
Thu 12:16:57 AM,36.0148,-114.6180, 307,280,322,"9,250"
Thu 12:17:27 AM,36.0374,-114.6552, 305,268,308,"8,600"
Thu 12:17:57 AM,36.0553,-114.6909, 302,249,287,"8,375"
Thu 12:18:20 AM,36.0697,-114.7216, 293,243,280,"8,100"
Thu 12:18:38 AM,36.0733,-114.7449, 270,235,270,"7,775"
