Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 11:54:00 AM    Left Gate (PHX) @ Wednesday 08:54:00 AM MST,,,Airline
,,,
Taxi Time: 13 minutes,,,
Wed 12:07:31 PM    Departure (PHX) @ Wednesday 09:07:31 AM MST,,,FlightAware ADS-B (KFFZ)
Wed 12:07:31 PM,33.4311,-111.9965, 89,169,194,"1,325"
Wed 12:07:47 PM,33.4315,-111.9803, 86,176,203,"1,925"
Wed 12:08:03 PM,33.4326,-111.9639, 85,179,206,"2,550"
Wed 12:08:19 PM,33.4333,-111.9478, 89,201,231,"2,800"
Wed 12:08:35 PM,33.4340,-111.9292, 87,214,246,"3,275"
Wed 12:08:54 PM,33.4349,-111.9068, 87,221,254,"4,025"
Wed 12:09:13 PM,33.4367,-111.8827, 78,246,283,"4,375"
Wed 12:09:29 PM,33.4448,-111.8632, 50,263,303,"4,675"
Wed 12:09:47 PM,33.4646,-111.8479, 17,270,311,"5,425"
Wed 12:10:03 PM,33.4849,-111.8453, 2,272,313,"6,050"
Wed 12:10:30 PM,33.5182,-111.8433, 3,279,321,"7,225"
Wed 12:11:00 PM,33.5590,-111.8412, 2,281,323,"8,625"
Wed 12:11:30 PM,33.5974,-111.8394, 2,283,326,"8,900"
Wed 12:12:00 PM,33.6364,-111.8373, 3,282,325,"8,900"
Wed 12:12:20 PM,33.6619,-111.8384, 353,281,323,"8,900"
Wed 12:12:50 PM,33.7012,-111.8450, 352,283,326,"9,300"
Wed 12:13:07 PM,33.7215,-111.8504, 339,279,321,"10,050"
Wed 12:13:25 PM,33.7420,-111.8659, 315,298,343,"10,525"
Wed 12:14:08 PM,33.7814,-111.9286, 306,340,391,"11,300"
Wed 12:14:38 PM,33.8085,-111.9731, 306,351,404,"12,200"
Wed 12:15:08 PM,33.8374,-112.0208, 306,354,407,"13,425"
Wed 12:15:38 PM,33.8671,-112.0694, 306,361,415,"14,575"
Wed 12:16:08 PM,33.8961,-112.1171, 306,367,422,"15,650"
Wed 12:16:38 PM,33.9269,-112.1679, 306,370,426,"16,850"
Wed 12:17:08 PM,33.9575,-112.2186, 306,374,430,"17,950"
Wed 12:17:38 PM,33.9881,-112.2692, 306,382,440,"18,900"
Wed 12:18:03 PM,34.0144,-112.3123, 307,385,443,"19,750"
Wed 12:18:28 PM,34.0464,-112.3528, 318,386,444,"20,625"
Wed 12:18:58 PM,34.0876,-112.3947, 320,393,452,"21,500"
Wed 12:19:28 PM,34.1293,-112.4368, 320,397,457,"22,400"
Wed 12:19:59 PM,34.1719,-112.4797, 320,399,459,"23,325"
Wed 12:20:29 PM,34.2164,-112.5245, 320,401,461,"24,225"
Wed 12:20:59 PM,34.2583,-112.5666, 320,405,466,"25,000"
Wed 12:21:29 PM,34.3017,-112.6105, 320,409,471,"25,725"
Wed 12:21:59 PM,34.3447,-112.6542, 320,413,475,"26,400"
Wed 12:22:29 PM,34.3881,-112.6980, 320,417,480,"27,025"
Wed 12:22:59 PM,34.4330,-112.7435, 320,421,484,"27,600"
Wed 12:23:29 PM,34.4774,-112.7888, 320,425,489,"28,000"
Wed 12:23:59 PM,34.5234,-112.8356, 320,424,488,"28,000"
Wed 12:24:29 PM,34.5692,-112.8823, 320,422,486,"28,000"
Wed 12:24:59 PM,34.6148,-112.9290, 320,422,486,"28,000"
Wed 12:25:29 PM,34.6582,-112.9733, 320,422,486,"28,000"
Wed 12:25:59 PM,34.7026,-113.0189, 320,421,484,"28,000"
Wed 12:26:29 PM,34.7477,-113.0653, 318,420,483,"28,000"
Wed 12:27:02 PM,34.7935,-113.1219, 314,419,482,"28,000"
Wed 12:27:33 PM,34.8342,-113.1734, 314,420,483,"28,000"
Wed 12:28:05 PM,34.8772,-113.2280, 314,419,482,"28,000"
Wed 12:28:35 PM,34.9167,-113.2781, 314,420,483,"28,000"
Wed 12:29:05 PM,34.9558,-113.3279, 314,421,484,"28,000"
Wed 12:29:25 PM,34.9857,-113.3658, 316,421,484,"28,000"
Wed 12:30:08 PM,35.0483,-113.4303, 320,421,484,"28,000"
Wed 12:30:38 PM,35.0934,-113.4757, 320,422,486,"27,800"
Wed 12:31:08 PM,35.1363,-113.5191, 320,420,483,"27,300"
Wed 12:31:38 PM,35.1827,-113.5658, 320,418,481,"26,800"
Wed 12:32:08 PM,35.2279,-113.6115, 320,417,480,"26,250"
Wed 12:32:38 PM,35.2717,-113.6557, 320,411,473,"25,775"
Wed 12:33:09 PM,35.3166,-113.7012, 320,406,467,"25,700"
Wed 12:33:43 PM,35.3675,-113.7531, 320,406,467,"25,700"
Wed 12:34:13 PM,35.4099,-113.7961, 320,395,455,"25,200"
Wed 12:34:43 PM,35.4519,-113.8389, 320,398,458,"24,150"
Wed 12:35:13 PM,35.4935,-113.8814, 320,399,459,"23,025"
Wed 12:35:43 PM,35.5353,-113.9239, 320,396,456,"21,925"
Wed 12:36:13 PM,35.5774,-113.9670, 320,389,448,"20,775"
Wed 12:36:43 PM,35.6191,-114.0100, 320,382,440,"19,625"
Wed 12:37:13 PM,35.6586,-114.0505, 320,376,433,"18,525"
Wed 12:37:43 PM,35.6990,-114.0916, 320,354,407,"18,050"
Wed 12:38:13 PM,35.7374,-114.1311, 320,348,400,"18,025"
Wed 12:38:29 PM,35.7547,-114.1514, 312,339,390,"17,825"
Wed 12:39:13 PM,35.7892,-114.2222, 299,336,387,"16,450"
Wed 12:39:44 PM,35.8131,-114.2762, 299,331,381,"15,500"
Wed 12:40:14 PM,35.8350,-114.3258, 299,326,375,"14,625"
Wed 12:40:58 PM,35.8725,-114.3885, 307,318,366,"13,425"
Wed 12:41:29 PM,35.9010,-114.4345, 308,314,361,"12,525"
Wed 12:41:59 PM,35.9269,-114.4754, 308,311,358,"11,700"
Wed 12:42:29 PM,35.9526,-114.5172, 307,307,353,"10,900"
Wed 12:42:59 PM,35.9788,-114.5595, 307,301,346,"10,075"
Wed 12:43:16 PM,35.9918,-114.5849, 297,295,339,"9,750"
Wed 12:43:34 PM,35.9999,-114.6126, 285,282,325,"9,775"
Wed 12:43:57 PM,36.0063,-114.6468, 283,273,314,"9,450"
Wed 12:44:27 PM,36.0146,-114.6915, 283,273,314,"8,750"
Wed 12:44:57 PM,36.0231,-114.7383, 283,270,311,"7,975"
Wed 12:45:27 PM,36.0311,-114.7825, 283,264,304,"7,275"
Wed 12:45:57 PM,36.0390,-114.8251, 283,259,298,"6,625"
Wed 12:46:27 PM,36.0466,-114.8680, 283,255,293,"5,950"
Wed 12:46:57 PM,36.0543,-114.9111, 282,241,277,"5,300"
Wed 12:47:27 PM,36.0613,-114.9490, 283,219,252,"4,675"
Wed 12:47:57 PM,36.0675,-114.9825, 283,201,231,"4,100"
Wed 12:48:24 PM,36.0730,-115.0120, 280,182,209,"3,675"
Wed 12:48:40 PM,36.0737,-115.0274, 269,174,200,"3,400"
Wed 12:49:10 PM,36.0738,-115.0575, 270,166,191,"2,925"
,,,
Wed 12:49:17 PM,36.0738,-115.0636, 270,165,190,"2,850"
,,,
Wed 12:49:26 PM,36.0738,-115.0713, 270,165,190,"2,725"
Wed 12:49:42 PM,36.0739,-115.0870, 269,164,189,"2,500"
Wed 12:49:58 PM,36.0737,-115.1014, 269,162,186,"2,275"
Wed 12:50:14 PM,36.0736,-115.1169, 270,162,186,"2,025"
Wed 12:50:30 PM,36.0737,-115.1306, 270,160,184,"1,800"
,,,
Wed 12:51:02 PM    Arrival (LAS) @ Wednesday 09:51:02 AM PDT,,,FlightAware
,,,
Taxi Time: 3 minutes,,,
Wed 12:55:00 PM    Gate Arrival (LAS) @ Wednesday 09:55:00 AM PDT,,,Airline
