Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 01:05:10 PM    Departure (PHX) @ Wednesday 10:05:10 AM MST,,,FlightAware ADS-B (KPHX)
Wed 01:05:10 PM,33.4311,-111.9989, 90,166,191,"1,250"
Wed 01:05:26 PM,33.4312,-111.9846, 89,161,185,"2,000"
Wed 01:05:42 PM,33.4317,-111.9698, 86,179,206,"2,375"
Wed 01:05:58 PM,33.4329,-111.9526, 85,198,228,"2,775"
Wed 01:06:14 PM,33.4341,-111.9325, 87,222,255,"3,175"
Wed 01:06:37 PM,33.4352,-111.9055, 88,246,283,"3,850"
Wed 01:06:55 PM,33.4372,-111.8794, 75,262,302,"4,400"
Wed 01:07:11 PM,33.4478,-111.8586, 44,267,307,"5,150"
Wed 01:07:29 PM,33.4674,-111.8460, 16,270,311,"5,975"
Wed 01:07:58 PM,33.5035,-111.8437, 2,281,323,"7,350"
Wed 01:08:28 PM,33.5431,-111.8416, 2,284,327,"8,750"
Wed 01:08:58 PM,33.5824,-111.8398, 2,280,322,"8,900"
Wed 01:09:18 PM,33.6098,-111.8387, 0,280,322,"8,900"
Wed 01:09:35 PM,33.6289,-111.8451, 329,282,325,"9,100"
Wed 01:09:55 PM,33.6491,-111.8686, 311,282,325,"10,075"
Wed 01:10:11 PM,33.6622,-111.8851, 315,295,339,"10,625"
Wed 01:10:41 PM,33.6939,-111.9229, 315,337,388,"11,150"
Wed 01:11:11 PM,33.7292,-111.9656, 314,365,420,"12,000"
Wed 01:11:41 PM,33.7637,-112.0081, 314,369,425,"13,500"
Wed 01:12:11 PM,33.7999,-112.0529, 314,378,435,"14,850"
Wed 01:12:41 PM,33.8379,-112.1000, 314,385,443,"16,225"
Wed 01:13:11 PM,33.8752,-112.1459, 314,389,448,"17,550"
Wed 01:13:41 PM,33.9119,-112.1912, 314,393,452,"18,750"
Wed 01:14:11 PM,33.9498,-112.2380, 314,397,457,"20,000"
Wed 01:14:41 PM,33.9894,-112.2870, 314,407,468,"20,975"
Wed 01:15:06 PM,34.0230,-112.3286, 316,414,476,"21,725"
Wed 01:15:44 PM,34.0776,-112.3846, 320,419,482,"22,975"
Wed 01:16:15 PM,34.1234,-112.4306, 320,420,483,"24,025"
Wed 01:16:45 PM,34.1688,-112.4764, 320,422,486,"25,000"
Wed 01:17:15 PM,34.2147,-112.5227, 320,427,491,"25,825"
Wed 01:17:45 PM,34.2592,-112.5675, 320,422,486,"26,950"
Wed 01:18:15 PM,34.3051,-112.6140, 320,422,486,"27,900"
Wed 01:18:50 PM,34.3585,-112.6681, 320,423,487,"28,000"
Wed 01:19:20 PM,34.4022,-112.7123, 320,422,486,"28,000"
Wed 01:19:50 PM,34.4464,-112.7573, 320,420,483,"28,000"
Wed 01:20:22 PM,34.4943,-112.8062, 320,420,483,"28,000"
Wed 01:20:53 PM,34.5397,-112.8523, 320,421,484,"28,000"
Wed 01:21:23 PM,34.5838,-112.8974, 320,421,484,"28,000"
Wed 01:21:58 PM,34.6372,-112.9518, 320,421,484,"28,000"
Wed 01:22:29 PM,34.6824,-112.9982, 320,421,484,"28,000"
Wed 01:22:59 PM,34.7279,-113.0448, 320,422,486,"28,000"
Wed 01:23:31 PM,34.7732,-113.0963, 314,422,486,"28,025"
Wed 01:24:05 PM,34.8200,-113.1553, 314,431,496,"28,000"
Wed 01:24:35 PM,34.8622,-113.2091, 314,432,497,"28,000"
Wed 01:25:07 PM,34.9067,-113.2654, 314,433,498,"28,000"
Wed 01:25:37 PM,34.9473,-113.3169, 314,431,496,"28,000"
Wed 01:26:07 PM,34.9899,-113.3704, 316,432,497,"28,000"
Wed 01:26:44 PM,35.0463,-113.4282, 320,432,497,"28,000"
Wed 01:27:14 PM,35.0911,-113.4733, 320,424,488,"27,625"
Wed 01:27:44 PM,35.1355,-113.5185, 320,416,479,"27,075"
Wed 01:28:14 PM,35.1816,-113.5650, 320,411,473,"26,500"
Wed 01:28:44 PM,35.2254,-113.6090, 320,408,470,"26,000"
Wed 01:29:14 PM,35.2690,-113.6531, 320,404,465,"25,475"
Wed 01:29:44 PM,35.3117,-113.6964, 320,400,460,"24,975"
Wed 01:30:14 PM,35.3529,-113.7383, 320,398,458,"24,500"
Wed 01:30:44 PM,35.3952,-113.7812, 320,397,457,"23,975"
Wed 01:31:14 PM,35.4377,-113.8245, 320,396,456,"23,450"
Wed 01:31:45 PM,35.4821,-113.8697, 320,391,450,"22,700"
Wed 01:32:16 PM,35.5243,-113.9126, 320,385,443,"21,600"
Wed 01:32:46 PM,35.5653,-113.9546, 320,378,435,"20,500"
Wed 01:33:16 PM,35.6047,-113.9952, 320,371,427,"19,475"
Wed 01:33:46 PM,35.6429,-114.0345, 320,361,415,"18,550"
Wed 01:34:16 PM,35.6814,-114.0734, 320,356,410,"17,725"
Wed 01:34:46 PM,35.7196,-114.1126, 320,351,404,"17,400"
Wed 01:35:06 PM,35.7432,-114.1371, 319,337,388,"17,100"
Wed 01:35:27 PM,35.7644,-114.1676, 303,327,376,"16,725"
Wed 01:36:02 PM,35.7897,-114.2237, 299,322,371,"15,800"
Wed 01:36:32 PM,35.8115,-114.2730, 298,315,362,"15,000"
Wed 01:37:02 PM,35.8320,-114.3196, 299,310,357,"14,225"
Wed 01:37:21 PM,35.8479,-114.3493, 308,306,352,"13,725"
Wed 01:37:37 PM,35.8603,-114.3688, 309,302,348,"13,375"
Wed 01:37:59 PM,35.8862,-114.3895, 342,294,338,"12,950"
Wed 01:38:29 PM,35.9239,-114.4042, 342,286,329,"12,375"
Wed 01:38:59 PM,35.9602,-114.4190, 341,281,323,"11,700"
Wed 01:39:16 PM,35.9829,-114.4292, 336,282,325,"11,200"
Wed 01:39:35 PM,36.0011,-114.4504, 299,284,327,"10,725"
Wed 01:40:12 PM,36.0157,-114.5071, 288,277,319,"9,975"
Wed 01:40:42 PM,36.0274,-114.5499, 288,275,316,"9,275"
Wed 01:41:12 PM,36.0389,-114.5941, 287,276,318,"8,500"
Wed 01:41:42 PM,36.0508,-114.6404, 288,277,319,"7,775"
Wed 01:42:12 PM,36.0625,-114.6857, 288,256,295,"7,750"
Wed 01:42:37 PM,36.0708,-114.7188, 285,239,275,"7,750"
Wed 01:42:55 PM,36.0732,-114.7428, 272,238,274,"7,725"
Wed 01:43:18 PM,36.0732,-114.7742, 270,239,275,"7,275"
Wed 01:43:48 PM,36.0734,-114.8131, 271,236,272,"6,800"
Wed 01:44:18 PM,36.0736,-114.8534, 270,230,265,"6,175"
Wed 01:44:48 PM,36.0736,-114.8911, 270,216,249,"5,525"
Wed 01:45:18 PM,36.0736,-114.9280, 270,205,236,"4,975"
Wed 01:45:48 PM,36.0737,-114.9626, 270,196,226,"4,425"
Wed 01:46:18 PM,36.0737,-114.9958, 271,187,215,"3,875"
Wed 01:46:48 PM,36.0737,-115.0263, 270,166,191,"3,400"
Wed 01:47:18 PM,36.0737,-115.0544, 270,167,192,"2,950"
,,,
Wed 01:47:28 PM,36.0737,-115.0634, 269,166,191,"2,825"
,,,
Wed 01:47:34 PM,36.0737,-115.0700, 270,166,191,"2,725"
Wed 01:47:50 PM,36.0737,-115.0850, 270,166,191,"2,500"
Wed 01:48:06 PM,36.0737,-115.1002, 270,164,189,"2,250"
Wed 01:48:22 PM,36.0737,-115.1144, 269,165,190,"2,025"
Wed 01:48:38 PM,36.0737,-115.1292, 270,163,188,"1,800"
Wed 01:48:54 PM,36.0737,-115.1416, 270,102,117,"1,825"
,,,
Wed 01:49:10 PM    Arrival (LAS) @ Wednesday 10:49:10 AM PDT,,,FlightAware
,,,
Taxi Time: 3 minutes,,,
Wed 01:53:00 PM    Gate Arrival (LAS) @ Wednesday 10:53:00 AM PDT,,,Airline
