Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 02:15:00 PM    Left Gate (PHX) @ Wednesday 11:15:00 AM MST,,,Airline
,,,
Taxi Time: 18 minutes,,,
Wed 02:33:05 PM    Departure (PHX) @ Wednesday 11:33:05 AM MST,,,FlightAware ADS-B (KDVT)
Wed 02:33:05 PM,33.4311,-111.9923, 89,154,177,"1,575"
Wed 02:33:21 PM,33.4317,-111.9772, 86,161,185,"2,175"
Wed 02:33:37 PM,33.4325,-111.9620, 87,181,208,"2,575"
Wed 02:33:53 PM,33.4332,-111.9457, 87,199,229,"2,950"
Wed 02:34:09 PM,33.4340,-111.9266, 87,222,255,"3,375"
Wed 02:34:26 PM,33.4351,-111.9034, 87,245,282,"3,975"
Wed 02:34:46 PM,33.4370,-111.8747, 82,273,314,"4,675"
Wed 02:35:02 PM,33.4433,-111.8526, 61,278,320,"5,450"
Wed 02:35:19 PM,33.4584,-111.8333, 37,274,315,"6,500"
Wed 02:35:37 PM,33.4787,-111.8239, 9,277,319,"7,550"
Wed 02:35:55 PM,33.5034,-111.8297, 332,290,334,"8,375"
Wed 02:36:12 PM,33.5198,-111.8441, 322,288,331,"9,275"
Wed 02:36:42 PM,33.5517,-111.8741, 322,300,345,"10,725"
Wed 02:37:12 PM,33.5868,-111.9061, 323,330,380,"11,600"
Wed 02:37:42 PM,33.6236,-111.9399, 322,340,391,"12,975"
Wed 02:38:12 PM,33.6596,-111.9748, 321,353,406,"14,150"
Wed 02:38:42 PM,33.6995,-112.0140, 321,358,412,"15,625"
Wed 02:39:12 PM,33.7388,-112.0523, 321,373,429,"16,675"
Wed 02:39:42 PM,33.7791,-112.0914, 321,375,432,"18,050"
Wed 02:40:12 PM,33.8205,-112.1316, 321,383,441,"19,200"
Wed 02:40:42 PM,33.8623,-112.1723, 321,385,443,"20,425"
Wed 02:41:12 PM,33.9037,-112.2126, 321,392,451,"21,450"
Wed 02:41:42 PM,33.9458,-112.2538, 321,397,457,"22,500"
Wed 02:42:12 PM,33.9893,-112.2963, 321,399,459,"23,600"
Wed 02:42:42 PM,34.0330,-112.3390, 321,407,468,"24,475"
Wed 02:43:12 PM,34.0757,-112.3816, 320,412,474,"25,300"
Wed 02:43:42 PM,34.1213,-112.4275, 320,420,483,"26,100"
Wed 02:44:12 PM,34.1656,-112.4723, 320,426,490,"26,875"
Wed 02:44:42 PM,34.2116,-112.5187, 320,426,490,"27,800"
Wed 02:45:12 PM,34.2576,-112.5652, 320,422,486,"28,000"
Wed 02:45:42 PM,34.3019,-112.6099, 320,424,488,"28,000"
Wed 02:46:15 PM,34.3523,-112.6610, 320,423,487,"28,000"
Wed 02:46:45 PM,34.3975,-112.7069, 320,424,488,"28,000"
Wed 02:47:17 PM,34.4448,-112.7549, 320,424,488,"28,000"
Wed 02:47:49 PM,34.4919,-112.8028, 320,424,488,"28,000"
Wed 02:48:19 PM,34.5385,-112.8502, 320,424,488,"28,000"
Wed 02:48:49 PM,34.5821,-112.8946, 320,424,488,"28,000"
Wed 02:49:19 PM,34.6289,-112.9425, 320,424,488,"28,000"
Wed 02:49:50 PM,34.6733,-112.9880, 320,423,487,"28,000"
Wed 02:50:20 PM,34.7194,-113.0353, 320,422,486,"28,000"
Wed 02:50:50 PM,34.7634,-113.0804, 319,422,486,"28,000"
Wed 02:51:20 PM,34.8059,-113.1323, 312,421,484,"27,975"
Wed 02:51:50 PM,34.8432,-113.1825, 312,421,484,"27,975"
Wed 02:52:20 PM,34.8830,-113.2345, 313,421,484,"28,000"
Wed 02:52:50 PM,34.9233,-113.2860, 314,422,486,"28,000"
Wed 02:53:20 PM,34.9627,-113.3360, 314,422,486,"28,000"
Wed 02:53:44 PM,34.9979,-113.3793, 317,423,487,"28,000"
Wed 02:54:18 PM,35.0483,-113.4301, 321,423,487,"28,000"
Wed 02:54:48 PM,35.0927,-113.4745, 321,423,487,"27,975"
Wed 02:55:18 PM,35.1376,-113.5196, 320,406,467,"27,500"
Wed 02:55:49 PM,35.1818,-113.5645, 320,397,457,"27,050"
Wed 02:56:20 PM,35.2250,-113.6082, 320,396,456,"26,550"
Wed 02:56:51 PM,35.2698,-113.6536, 320,394,453,"26,000"
Wed 02:57:21 PM,35.3118,-113.6960, 320,389,448,"25,500"
