Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 02:24:00 PM    Left Gate (PHX) @ Wednesday 11:24:00 AM MST,,,Airline
,,,
Taxi Time: 14 minutes,,,
Wed 02:38:03 PM    Departure (PHX) @ Wednesday 11:38:03 AM MST,,,FlightAware ADS-B (KCHD)
Wed 02:38:03 PM,33.4310,-111.9972, 91,169,194,"1,325"
Wed 02:38:19 PM,33.4313,-111.9822, 88,172,198,"2,025"
Wed 02:38:35 PM,33.4321,-111.9664, 86,184,212,"2,500"
Wed 02:38:51 PM,33.4331,-111.9480, 86,203,234,"2,900"
Wed 02:39:07 PM,33.4340,-111.9304, 87,217,250,"3,300"
Wed 02:39:27 PM,33.4351,-111.9064, 87,222,255,"4,125"
Wed 02:39:46 PM,33.4368,-111.8819, 80,233,268,"4,900"
Wed 02:40:04 PM,33.4454,-111.8612, 49,255,293,"5,225"
Wed 02:40:22 PM,33.4648,-111.8467, 17,267,307,"5,850"
Wed 02:40:41 PM,33.4884,-111.8443, 0,267,307,"6,750"
Wed 02:40:58 PM,33.5081,-111.8488, 337,275,316,"7,400"
Wed 02:41:15 PM,33.5254,-111.8638, 318,282,325,"8,300"
Wed 02:41:38 PM,33.5502,-111.8881, 322,281,323,"9,800"
Wed 02:42:08 PM,33.5799,-111.9157, 322,284,327,"11,525"
Wed 02:42:38 PM,33.6126,-111.9460, 322,292,336,"13,025"
Wed 02:43:08 PM,33.6442,-111.9753, 322,314,361,"14,225"
Wed 02:43:53 PM,33.6975,-112.0254, 323,374,430,"14,900"
Wed 02:44:23 PM,33.7425,-112.0673, 322,373,429,"16,600"
Wed 02:45:03 PM,33.7976,-112.1188, 322,386,444,"18,275"
Wed 02:45:33 PM,33.8416,-112.1598, 322,390,449,"19,550"
Wed 02:46:03 PM,33.8833,-112.1990, 322,399,459,"20,625"
Wed 02:46:34 PM,33.9307,-112.2437, 322,408,470,"21,750"
Wed 02:47:04 PM,33.9747,-112.2849, 322,413,475,"22,825"
Wed 02:47:33 PM,34.0170,-112.3247, 322,417,480,"23,775"
Wed 02:47:52 PM,34.0462,-112.3523, 321,418,481,"24,450"
Wed 02:48:22 PM,34.0910,-112.3975, 320,421,484,"25,475"
Wed 02:48:52 PM,34.1347,-112.4421, 320,395,455,"26,675"
Wed 02:49:22 PM,34.1742,-112.4818, 320,356,410,"27,450"
Wed 02:49:52 PM,34.2101,-112.5181, 320,347,399,"28,000"
Wed 02:50:23 PM,34.2502,-112.5583, 320,349,402,"28,000"
Wed 02:50:54 PM,34.2874,-112.5959, 320,349,402,"28,000"
Wed 02:51:26 PM,34.3280,-112.6372, 320,349,402,"28,000"
Wed 02:51:56 PM,34.3651,-112.6749, 320,349,402,"28,000"
Wed 02:52:27 PM,34.4040,-112.7143, 320,349,402,"28,000"
Wed 02:52:57 PM,34.4400,-112.7507, 320,349,402,"28,000"
Wed 02:53:28 PM,34.4789,-112.7903, 320,348,400,"28,000"
Wed 02:53:58 PM,34.5168,-112.8287, 320,348,400,"28,000"
Wed 02:54:28 PM,34.5528,-112.8655, 320,347,399,"28,000"
Wed 02:54:59 PM,34.5906,-112.9040, 320,349,402,"28,000"
Wed 02:55:30 PM,34.6298,-112.9442, 320,349,402,"28,000"
Wed 02:56:00 PM,34.6659,-112.9811, 320,350,403,"28,000"
Wed 02:56:31 PM,34.7065,-113.0227, 320,351,404,"28,000"
Wed 02:57:01 PM,34.7423,-113.0594, 320,348,400,"28,000"
Wed 02:57:18 PM,34.7620,-113.0819, 314,347,399,"28,000"
Wed 02:57:48 PM,34.7941,-113.1226, 314,347,399,"28,000"
Wed 02:58:18 PM,34.8273,-113.1646, 314,347,399,"28,000"
Wed 02:58:48 PM,34.8620,-113.2085, 314,347,399,"28,000"
Wed 02:59:18 PM,34.8952,-113.2508, 314,347,399,"28,000"
Wed 02:59:49 PM,34.9295,-113.2944, 314,347,399,"28,000"
