Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 02:52:03 PM    Departure (PHX) @ Wednesday 11:52:03 AM MST,,,FlightAware ADS-B (KPHX)
Wed 02:52:03 PM,33.4310,-112.0060, 90,159,183,"1,200"
Wed 02:52:19 PM,33.4311,-111.9938, 90,153,176,"1,900"
Wed 02:52:35 PM,33.4313,-111.9788, 89,157,181,"2,650"
Wed 02:52:51 PM,33.4316,-111.9646, 88,169,194,"3,100"
Wed 02:53:07 PM,33.4322,-111.9482, 87,186,214,"3,550"
Wed 02:53:23 PM,33.4329,-111.9317, 87,203,234,"3,950"
Wed 02:53:44 PM,33.4344,-111.9062, 86,237,273,"4,500"
Wed 02:54:05 PM,33.4360,-111.8779, 84,266,306,"5,075"
Wed 02:54:21 PM,33.4423,-111.8531, 63,275,316,"5,900"
Wed 02:54:38 PM,33.4569,-111.8335, 36,279,321,"6,800"
Wed 02:54:54 PM,33.4753,-111.8239, 13,281,323,"7,625"
Wed 02:55:18 PM,33.5057,-111.8242, 356,276,318,"8,625"
Wed 02:55:48 PM,33.5432,-111.8280, 355,277,319,"8,875"
Wed 02:56:18 PM,33.5818,-111.8315, 356,280,322,"8,875"
Wed 02:56:48 PM,33.6209,-111.8346, 356,281,323,"8,875"
Wed 02:57:10 PM,33.6488,-111.8368, 355,281,323,"8,875"
Wed 02:57:30 PM,33.6760,-111.8413, 349,281,323,"9,200"
Wed 02:57:48 PM,33.6953,-111.8520, 322,282,325,"9,950"
Wed 02:58:21 PM,33.7257,-111.8941, 309,317,365,"10,950"
Wed 02:59:03 PM,33.7669,-111.9549, 309,350,403,"12,250"
Wed 02:59:33 PM,33.7990,-112.0019, 309,358,412,"13,625"
Wed 03:00:03 PM,33.8293,-112.0461, 310,362,417,"15,000"
Wed 03:00:46 PM,33.8765,-112.1148, 310,367,422,"17,125"
Wed 03:01:16 PM,33.9090,-112.1619, 310,375,432,"18,250"
Wed 03:01:37 PM,33.9326,-112.1961, 310,372,428,"19,250"
Wed 03:02:07 PM,33.9659,-112.2442, 310,381,438,"20,350"
Wed 03:02:37 PM,34.0010,-112.2952, 310,389,448,"21,375"
Wed 03:03:03 PM,34.0301,-112.3357, 315,394,453,"22,250"
