Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 03:48:45 PM    Departure (PHX) @ Friday 01:48:45 PM MST,,,FlightAware ADS-B (KCHD)
Fri 03:48:45 PM,33.4311,-112.0275, 270,154,177,"1,700"
Fri 03:49:01 PM,33.4310,-112.0417, 270,160,184,"2,325"
Fri 03:49:17 PM,33.4295,-112.0558, 257,180,207,"2,650"
Fri 03:49:33 PM,33.4252,-112.0729, 252,202,232,"2,975"
Fri 03:49:49 PM,33.4198,-112.0915, 250,215,247,"3,575"
Fri 03:50:16 PM,33.4108,-112.1225, 252,260,299,"4,200"
Fri 03:50:46 PM,33.3994,-112.1650, 251,270,311,"6,150"
Fri 03:51:05 PM,33.3920,-112.1923, 256,279,321,"7,325"
Fri 03:51:21 PM,33.3920,-112.2188, 279,280,322,"8,425"
Fri 03:51:51 PM,33.4012,-112.2642, 281,283,326,"10,525"
Fri 03:52:21 PM,33.4087,-112.3109, 281,314,361,"11,725"
Fri 03:52:51 PM,33.4162,-112.3641, 280,342,394,"12,900"
Fri 03:53:08 PM,33.4216,-112.3995, 281,356,410,"13,625"
Fri 03:53:38 PM,33.4295,-112.4537, 279,351,404,"15,625"
Fri 03:54:08 PM,33.4383,-112.5129, 280,367,422,"17,075"
Fri 03:54:38 PM,33.4472,-112.5740, 279,384,442,"18,250"
Fri 03:54:57 PM,33.4509,-112.6170, 272,391,450,"19,225"
Fri 03:55:27 PM,33.4517,-112.6795, 271,399,459,"20,525"
Fri 03:55:57 PM,33.4526,-112.7498, 271,406,467,"21,925"
Fri 03:56:17 PM,33.4562,-112.7938, 280,411,473,"22,725"
Fri 03:56:40 PM,33.4682,-112.8426, 292,415,478,"23,650"
Fri 03:57:10 PM,33.4904,-112.9064, 292,421,484,"24,800"
Fri 03:57:40 PM,33.5130,-112.9715, 293,423,487,"25,975"
Fri 03:58:10 PM,33.5347,-113.0346, 293,400,460,"28,025"
Fri 03:58:40 PM,33.5555,-113.0944, 293,387,445,"29,650"
Fri 03:59:10 PM,33.5764,-113.1545, 293,376,433,"30,000"
Fri 03:59:40 PM,33.5960,-113.2111, 293,370,426,"30,000"
Fri 04:00:10 PM,33.6156,-113.2669, 293,369,425,"30,000"
Fri 04:00:40 PM,33.6355,-113.3243, 292,368,423,"30,000"
Fri 04:01:10 PM,33.6542,-113.3785, 293,366,421,"30,000"
Fri 04:01:40 PM,33.6742,-113.4362, 292,367,422,"30,000"
Fri 04:02:10 PM,33.6931,-113.4911, 292,359,413,"30,000"
Fri 04:02:40 PM,33.7118,-113.5458, 292,358,412,"30,000"
Fri 04:03:10 PM,33.7317,-113.6039, 292,358,412,"30,000"
Fri 04:03:40 PM,33.7499,-113.6570, 292,358,412,"30,000"
Fri 04:04:10 PM,33.7688,-113.7126, 292,356,410,"30,000"
Fri 04:04:40 PM,33.7875,-113.7672, 292,355,409,"30,000"
Fri 04:05:10 PM,33.8059,-113.8210, 292,355,409,"30,000"
Fri 04:05:40 PM,33.8249,-113.8766, 292,356,410,"30,000"
Fri 04:06:10 PM,33.8432,-113.9303, 292,357,411,"30,000"
