Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 04:53:42 PM    Departure (PHX) @ Friday 02:53:42 PM MST,,,FlightAware ADS-B (KPHX)
Fri 04:53:42 PM,33.4310,-112.0155, 270,153,176,"1,200"
Fri 04:53:58 PM,33.4311,-112.0292, 270,151,174,"1,950"
Fri 04:54:14 PM,33.4309,-112.0422, 269,161,185,"2,425"
Fri 04:54:30 PM,33.4286,-112.0571, 252,189,217,"2,600"
Fri 04:54:46 PM,33.4239,-112.0732, 251,202,232,"3,150"
Fri 04:55:02 PM,33.4188,-112.0916, 253,208,239,"3,850"
Fri 04:55:21 PM,33.4134,-112.1121, 253,230,265,"4,375"
Fri 04:55:51 PM,33.4029,-112.1509, 252,254,292,"5,350"
Fri 04:56:10 PM,33.3950,-112.1806, 252,268,308,"6,125"
Fri 04:56:28 PM,33.3927,-112.2057, 269,276,318,"6,850"
Fri 04:56:52 PM,33.3965,-112.2417, 279,276,318,"8,050"
Fri 04:57:22 PM,33.4036,-112.2869, 281,286,329,"9,300"
Fri 04:58:07 PM,33.4146,-112.3595, 280,313,360,"10,825"
Fri 04:58:37 PM,33.4223,-112.4114, 280,321,369,"11,975"
Fri 04:59:07 PM,33.4299,-112.4625, 280,327,376,"13,000"
Fri 04:59:37 PM,33.4380,-112.5177, 280,328,377,"14,250"
Fri 05:00:07 PM,33.4458,-112.5713, 280,332,382,"15,375"
Fri 05:00:41 PM,33.4507,-112.6338, 271,340,391,"16,475"
Fri 05:01:11 PM,33.4514,-112.6912, 271,344,396,"17,450"
Fri 05:01:41 PM,33.4521,-112.7485, 271,346,398,"18,500"
Fri 05:01:59 PM,33.4535,-112.7844, 276,346,398,"19,150"
Fri 05:02:15 PM,33.4583,-112.8131, 286,348,400,"19,575"
Fri 05:02:53 PM,33.4818,-112.8832, 293,355,409,"20,650"
Fri 05:03:23 PM,33.5004,-112.9360, 293,359,413,"21,400"
Fri 05:03:53 PM,33.5201,-112.9923, 293,363,418,"22,225"
Fri 05:04:23 PM,33.5400,-113.0491, 293,368,423,"22,950"
Fri 05:04:54 PM,33.5601,-113.1069, 293,370,426,"23,750"
Fri 05:05:24 PM,33.5789,-113.1609, 293,374,430,"24,400"
Fri 05:05:54 PM,33.5994,-113.2201, 293,377,434,"25,050"
Fri 05:06:24 PM,33.6200,-113.2796, 292,378,435,"25,850"
Fri 05:06:54 PM,33.6393,-113.3353, 292,380,437,"26,525"
Fri 05:07:24 PM,33.6592,-113.3930, 292,381,438,"27,300"
Fri 05:07:54 PM,33.6800,-113.4532, 292,379,436,"28,000"
Fri 05:08:24 PM,33.7000,-113.5114, 292,375,432,"28,000"
Fri 05:08:54 PM,33.7197,-113.5690, 292,376,433,"28,000"
Fri 05:09:24 PM,33.7401,-113.6285, 292,378,435,"28,000"
Fri 05:09:54 PM,33.7602,-113.6873, 292,381,438,"28,000"
Fri 05:10:24 PM,33.7799,-113.7449, 292,380,437,"28,000"
Fri 05:10:54 PM,33.8001,-113.8042, 292,379,436,"28,000"
Fri 05:11:25 PM,33.8206,-113.8642, 292,384,442,"28,000"
Fri 05:11:55 PM,33.8400,-113.9212, 292,378,435,"28,000"
Fri 05:12:26 PM,33.8608,-113.9827, 292,383,441,"28,000"
Fri 05:12:56 PM,33.8807,-114.0413, 292,384,442,"28,000"
Fri 05:13:20 PM,33.8961,-114.0875, 290,380,437,"27,750"
Fri 05:13:50 PM,33.9111,-114.1489, 283,378,435,"27,225"
Fri 05:14:20 PM,33.9223,-114.2143, 282,386,444,"26,725"
Fri 05:14:50 PM,33.9323,-114.2738, 282,382,440,"26,250"
Fri 05:15:20 PM,33.9426,-114.3347, 281,374,430,"26,000"
Fri 05:15:51 PM,33.9535,-114.3989, 282,377,434,"26,000"
Fri 05:16:21 PM,33.9639,-114.4609, 281,378,435,"26,000"
Fri 05:16:51 PM,33.9744,-114.5238, 281,378,435,"26,000"
Fri 05:17:21 PM,33.9846,-114.5846, 281,377,434,"26,000"
Fri 05:17:51 PM,33.9950,-114.6468, 281,379,436,"26,000"
Fri 05:18:22 PM,34.0055,-114.7107, 281,374,430,"26,000"
Fri 05:18:52 PM,34.0157,-114.7723, 281,372,428,"26,000"
Fri 05:19:23 PM,34.0260,-114.8350, 281,370,426,"26,000"
Fri 05:19:53 PM,34.0361,-114.8962, 281,374,430,"26,000"
Fri 05:20:25 PM,34.0463,-114.9582, 281,377,434,"26,000"
Fri 05:20:55 PM,34.0572,-115.0250, 281,398,458,"26,025"
Fri 05:21:25 PM,34.0678,-115.0896, 281,416,479,"26,025"
Fri 05:21:56 PM,34.0800,-115.1645, 281,421,484,"26,000"
Fri 05:22:26 PM,34.0909,-115.2322, 281,417,480,"26,000"
Fri 05:22:57 PM,34.1017,-115.2991, 281,420,483,"26,000"
Fri 05:23:27 PM,34.1132,-115.3711, 281,419,482,"26,000"
Fri 05:23:57 PM,34.1240,-115.4383, 281,420,483,"26,000"
Fri 05:24:27 PM,34.1353,-115.5095, 281,417,480,"26,000"
Fri 05:24:57 PM,34.1459,-115.5761, 281,419,482,"26,000"
Fri 05:25:27 PM,34.1568,-115.6448, 281,419,482,"26,000"
Fri 05:25:44 PM,34.1607,-115.6832, 273,426,490,"26,000"
Fri 05:26:00 PM,34.1604,-115.7217, 267,413,475,"26,000"
Fri 05:26:44 PM,34.1512,-115.8213, 263,412,474,"26,000"
