Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 05:25:46 PM    Departure (PHX) @ Friday 03:25:46 PM MST,,,FlightAware ADS-B (KPHX)
Fri 05:25:46 PM,33.4310,-112.0224, 270,163,188,"1,475"
Fri 05:26:02 PM,33.4310,-112.0365, 269,162,186,"2,175"
Fri 05:26:18 PM,33.4303,-112.0504, 262,176,203,"2,650"
Fri 05:26:34 PM,33.4264,-112.0655, 252,195,224,"3,125"
Fri 05:26:50 PM,33.4212,-112.0845, 251,220,253,"3,575"
Fri 05:27:16 PM,33.4120,-112.1173, 252,252,290,"4,325"
Fri 05:27:46 PM,33.4007,-112.1596, 252,267,307,"5,900"
Fri 05:28:06 PM,33.3935,-112.1867, 254,278,320,"6,800"
Fri 05:28:28 PM,33.3938,-112.2178, 281,279,321,"8,025"
Fri 05:28:58 PM,33.4013,-112.2672, 280,286,329,"9,600"
Fri 05:29:28 PM,33.4080,-112.3138, 280,309,356,"10,650"
Fri 05:29:58 PM,33.4159,-112.3674, 280,340,391,"11,475"
Fri 05:30:28 PM,33.4244,-112.4250, 280,347,399,"12,925"
Fri 05:30:58 PM,33.4326,-112.4810, 280,354,407,"14,275"
Fri 05:31:28 PM,33.4412,-112.5396, 280,355,409,"15,800"
Fri 05:31:55 PM,33.4488,-112.5917, 279,363,418,"16,875"
Fri 05:32:13 PM,33.4506,-112.6304, 271,370,426,"17,650"
Fri 05:32:44 PM,33.4514,-112.6933, 271,371,427,"19,050"
Fri 05:33:14 PM,33.4522,-112.7546, 271,377,434,"20,175"
Fri 05:33:32 PM,33.4537,-112.7908, 277,380,437,"20,825"
Fri 05:33:51 PM,33.4635,-112.8293, 293,385,443,"21,425"
Fri 05:34:21 PM,33.4845,-112.8886, 292,392,451,"22,450"
Fri 05:34:51 PM,33.5068,-112.9530, 293,413,475,"22,825"
Fri 05:35:21 PM,33.5296,-113.0186, 293,422,486,"23,600"
Fri 05:35:51 PM,33.5506,-113.0790, 293,429,494,"24,325"
Fri 05:36:21 PM,33.5744,-113.1473, 293,431,496,"25,250"
Fri 05:36:51 PM,33.5977,-113.2143, 293,433,498,"26,075"
Fri 05:37:21 PM,33.6205,-113.2804, 293,437,503,"26,750"
