Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 08:23:00 PM    Left Gate (PHX) @ Friday 06:23:00 PM MST,,,Airline
,,,
Taxi Time: 50 minutes,,,
Fri 09:13:00 PM    Departure (PHX) @ Friday 07:13:00 PM MST,,,Albuquerque Center
,,,
Fri 09:14:02 PM,33.4311,-111.9893, 89,169,194,"1,825"
Fri 09:14:18 PM,33.4316,-111.9746, 87,169,194,"2,625"
Fri 09:14:34 PM,33.4322,-111.9593, 88,174,200,"3,100"
Fri 09:14:50 PM,33.4326,-111.9427, 88,190,219,"3,425"
Fri 09:15:06 PM,33.4332,-111.9253, 88,209,241,"3,700"
Fri 09:15:22 PM,33.4338,-111.9069, 88,228,262,"3,950"
Fri 09:15:39 PM,33.4330,-111.8838, 100,236,272,"4,575"
Fri 09:15:57 PM,33.4237,-111.8639, 136,250,288,"5,250"
Fri 09:16:14 PM,33.4064,-111.8500, 156,258,297,"6,000"
Fri 09:16:32 PM,33.3851,-111.8469, 188,268,308,"6,725"
Fri 09:16:50 PM,33.3654,-111.8599, 224,270,311,"7,500"
Fri 09:17:07 PM,33.3550,-111.8804, 249,266,306,"8,250"
Fri 09:17:37 PM,33.3563,-111.9261, 277,262,302,"9,675"
Fri 09:18:01 PM,33.3589,-111.9596, 273,270,311,"10,500"
Fri 09:18:45 PM,33.3537,-112.0300, 264,307,353,"11,425"
Fri 09:19:15 PM,33.3492,-112.0817, 264,326,375,"12,125"
Fri 09:19:45 PM,33.3449,-112.1342, 264,323,372,"13,425"
Fri 09:20:02 PM,33.3426,-112.1672, 268,325,374,"14,025"
Fri 09:20:18 PM,33.3456,-112.1960, 281,335,386,"14,275"
Fri 09:20:48 PM,33.3552,-112.2493, 282,358,412,"14,700"
Fri 09:21:18 PM,33.3667,-112.3136, 282,376,433,"15,325"
Fri 09:21:48 PM,33.3773,-112.3729, 282,379,436,"16,275"
Fri 09:22:18 PM,33.3883,-112.4346, 282,385,443,"17,125"
Fri 09:22:48 PM,33.3997,-112.4981, 282,393,452,"17,975"
Fri 09:23:18 PM,33.4111,-112.5620, 282,392,451,"19,050"
Fri 09:23:48 PM,33.4227,-112.6284, 282,399,459,"19,800"
Fri 09:24:18 PM,33.4334,-112.6892, 282,406,467,"20,450"
Fri 09:24:48 PM,33.4455,-112.7577, 282,413,475,"21,150"
Fri 09:25:05 PM,33.4530,-112.7952, 286,416,479,"21,450"
Fri 09:25:24 PM,33.4657,-112.8362, 293,420,483,"21,850"
Fri 09:25:54 PM,33.4883,-112.9005, 293,424,488,"22,550"
Fri 09:26:24 PM,33.5111,-112.9658, 293,428,493,"23,225"
