Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 09:05:00 AM    Left Gate (PHX) @ Friday 07:05:00 AM MST,,,Airline
,,,
Taxi Time: 17 minutes,,,
Fri 09:22:22 AM    Departure (PHX) @ Friday 07:22:22 AM MST,,,FlightAware ADS-B (KFFZ)
Fri 09:22:22 AM,33.4409,-111.9949, 89,164,189,"1,650"
Fri 09:22:38 AM,33.4407,-111.9800, 94,175,201,"2,200"
Fri 09:22:54 AM,33.4396,-111.9635, 95,195,224,"2,550"
Fri 09:23:10 AM,33.4383,-111.9435, 95,223,257,"2,750"
Fri 09:23:26 AM,33.4372,-111.9253, 93,234,269,"3,300"
Fri 09:23:45 AM,33.4363,-111.8983, 93,232,267,"4,450"
Fri 09:24:03 AM,33.4344,-111.8769, 106,235,270,"5,250"
Fri 09:24:21 AM,33.4221,-111.8601, 149,237,273,"6,100"
Fri 09:24:37 AM,33.4053,-111.8488, 156,242,278,"6,875"
Fri 09:24:56 AM,33.3854,-111.8469, 194,247,284,"7,625"
Fri 09:25:12 AM,33.3695,-111.8567, 221,249,287,"8,400"
Fri 09:25:28 AM,33.3578,-111.8738, 242,250,288,"9,125"
Fri 09:25:45 AM,33.3536,-111.8961, 270,250,288,"9,850"
Fri 09:26:15 AM,33.3570,-111.9378, 276,255,293,"11,150"
Fri 09:26:45 AM,33.3610,-111.9825, 276,284,327,"11,925"
Fri 09:27:05 AM,33.3643,-112.0163, 278,309,356,"12,250"
Fri 09:27:35 AM,33.3721,-112.0692, 280,344,396,"12,725"
Fri 09:28:05 AM,33.3807,-112.1266, 280,348,400,"14,050"
Fri 09:28:46 AM,33.3922,-112.2042, 280,360,414,"15,650"
Fri 09:29:16 AM,33.4008,-112.2627, 280,368,423,"16,800"
Fri 09:29:46 AM,33.4100,-112.3247, 280,373,429,"18,075"
Fri 09:30:16 AM,33.4184,-112.3825, 280,375,432,"19,275"
Fri 09:30:46 AM,33.4275,-112.4448, 280,380,437,"20,425"
Fri 09:31:16 AM,33.4369,-112.5101, 280,388,447,"21,400"
Fri 09:31:46 AM,33.4464,-112.5748, 280,396,456,"22,325"
Fri 09:32:03 AM,33.4499,-112.6103, 274,402,463,"22,800"
Fri 09:32:41 AM,33.4514,-112.6947, 271,410,472,"23,950"
Fri 09:33:10 AM,33.4523,-112.7592, 272,414,476,"24,800"
Fri 09:33:35 AM,33.4607,-112.8179, 286,413,475,"25,575"
Fri 09:33:51 AM,33.4709,-112.8511, 293,414,476,"26,075"
Fri 09:34:21 AM,33.4929,-112.9145, 293,419,482,"26,750"
Fri 09:34:51 AM,33.5155,-112.9798, 293,422,486,"27,575"
Fri 09:35:21 AM,33.5377,-113.0434, 293,422,486,"28,400"
Fri 09:35:51 AM,33.5613,-113.1107, 293,419,482,"29,225"
Fri 09:36:21 AM,33.5829,-113.1729, 293,421,484,"29,875"
Fri 09:36:51 AM,33.6051,-113.2365, 293,423,487,"30,000"
Fri 09:37:21 AM,33.6276,-113.3017, 293,423,487,"30,000"
Fri 09:37:51 AM,33.6501,-113.3667, 293,423,487,"30,000"
Fri 09:38:21 AM,33.6731,-113.4333, 293,424,488,"30,000"
Fri 09:38:51 AM,33.6955,-113.4983, 293,424,488,"30,000"
Fri 09:39:21 AM,33.7175,-113.5625, 292,425,489,"30,000"
Fri 09:39:51 AM,33.7406,-113.6297, 292,425,489,"30,000"
Fri 09:40:21 AM,33.7625,-113.6937, 292,426,490,"30,000"
Fri 09:40:51 AM,33.7853,-113.7608, 292,428,493,"30,000"
Fri 09:41:22 AM,33.8086,-113.8294, 292,427,491,"30,000"
Fri 09:41:53 AM,33.8326,-113.8995, 292,426,490,"30,000"
Fri 09:42:23 AM,33.8545,-113.9639, 292,426,490,"30,000"
Fri 09:42:54 AM,33.8775,-114.0318, 292,425,489,"30,000"
Fri 09:43:24 AM,33.8987,-114.0954, 290,425,489,"30,000"
Fri 09:44:13 AM,33.9210,-114.2079, 282,427,491,"30,000"
Fri 09:44:40 AM,33.9315,-114.2694, 282,426,490,"30,000"
Fri 09:45:15 AM,33.9455,-114.3516, 282,426,490,"30,000"
Fri 09:45:47 AM,33.9581,-114.4263, 282,428,493,"30,000"
Fri 09:46:18 AM,33.9701,-114.4967, 282,428,493,"30,000"
Fri 09:46:51 AM,33.9829,-114.5742, 281,428,493,"30,000"
Fri 09:47:21 AM,33.9942,-114.6424, 281,428,493,"30,000"
Fri 09:47:52 AM,34.0067,-114.7183, 281,428,493,"30,000"
Fri 09:48:22 AM,34.0184,-114.7875, 281,428,493,"30,000"
Fri 09:48:53 AM,34.0304,-114.8605, 281,428,493,"30,000"
Fri 09:49:23 AM,34.0420,-114.9318, 281,428,493,"30,000"
Fri 09:49:53 AM,34.0532,-115.0007, 281,428,493,"30,000"
Fri 09:50:26 AM,34.0659,-115.0776, 281,426,490,"30,000"
Fri 09:50:58 AM,34.0778,-115.1510, 281,427,491,"30,000"
Fri 09:51:28 AM,34.0894,-115.2230, 281,428,493,"30,000"
Fri 09:51:58 AM,34.1005,-115.2920, 281,428,493,"30,000"
Fri 09:52:28 AM,34.1122,-115.3643, 281,429,494,"30,000"
Fri 09:53:07 AM,34.1263,-115.4529, 281,428,493,"30,000"
Fri 09:53:37 AM,34.1375,-115.5231, 281,429,494,"30,000"
Fri 09:54:07 AM,34.1488,-115.5939, 281,426,490,"30,000"
Fri 09:54:35 AM,34.1583,-115.6586, 277,428,493,"30,000"
Fri 09:54:54 AM,34.1604,-115.7037, 270,432,497,"30,000"
Fri 09:55:35 AM,34.1525,-115.8066, 264,435,501,"30,000"
Fri 09:56:05 AM,34.1458,-115.8766, 263,434,499,"30,000"
Fri 09:56:35 AM,34.1389,-115.9486, 263,436,502,"30,000"
Fri 09:57:06 AM,34.1314,-116.0258, 263,437,503,"30,000"
Fri 09:57:36 AM,34.1244,-116.0965, 263,437,503,"30,000"
Fri 09:58:06 AM,34.1171,-116.1698, 263,438,504,"30,000"
Fri 09:58:36 AM,34.1101,-116.2397, 263,437,503,"30,000"
Fri 09:59:07 AM,34.1022,-116.3176, 263,439,505,"30,000"
Fri 09:59:37 AM,34.0947,-116.3898, 263,437,503,"29,975"
Fri 10:00:07 AM,34.0873,-116.4565, 262,416,479,"29,775"
Fri 10:00:37 AM,34.0796,-116.5276, 263,410,472,"28,675"
Fri 10:01:06 AM,34.0732,-116.5873, 264,404,465,"27,725"
Fri 10:01:26 AM,34.0685,-116.6343, 264,397,457,"26,925"
Fri 10:01:56 AM,34.0625,-116.7035, 264,387,445,"25,925"
Fri 10:02:22 AM,34.0580,-116.7531, 264,380,437,"25,125"
Fri 10:02:45 AM,34.0533,-116.8036, 265,375,432,"24,300"
Fri 10:03:25 AM,34.0455,-116.8865, 263,368,423,"22,975"
Fri 10:04:03 AM,34.0355,-116.9644, 261,363,418,"21,700"
Fri 10:04:33 AM,34.0276,-117.0248, 261,370,426,"20,225"
Fri 10:05:03 AM,34.0204,-117.0835, 262,386,444,"18,475"
Fri 10:05:33 AM,34.0128,-117.1496, 262,383,441,"17,225"
Fri 10:05:54 AM,34.0079,-117.1903, 262,377,434,"16,450"
Fri 10:06:15 AM,34.0019,-117.2389, 262,370,426,"15,675"
Fri 10:06:43 AM,33.9954,-117.2929, 262,362,417,"14,800"
Fri 10:07:23 AM,33.9862,-117.3713, 262,357,411,"13,350"
Fri 10:07:53 AM,33.9794,-117.4295, 262,354,407,"12,850"
Fri 10:08:10 AM,33.9756,-117.4628, 264,355,409,"12,575"
Fri 10:08:30 AM,33.9757,-117.5010, 276,333,383,"12,450"
Fri 10:09:09 AM,33.9869,-117.5700, 282,294,338,"11,875"
Fri 10:09:39 AM,33.9951,-117.6158, 282,297,342,"10,725"
Fri 10:10:08 AM,34.0034,-117.6633, 281,284,327,"10,100"
Fri 10:10:24 AM,34.0053,-117.6858, 271,281,323,"9,850"
Fri 10:10:44 AM,34.0035,-117.7166, 263,281,323,"9,375"
Fri 10:11:14 AM,33.9988,-117.7648, 264,272,313,"9,025"
Fri 10:11:33 AM,33.9962,-117.7917, 265,268,308,"8,675"
Fri 10:12:03 AM,33.9917,-117.8382, 264,279,321,"7,725"
Fri 10:12:33 AM,33.9873,-117.8842, 263,283,326,"6,875"
Fri 10:12:56 AM,33.9836,-117.9210, 263,280,322,"6,700"
Fri 10:13:26 AM,33.9789,-117.9688, 264,281,323,"5,875"
Fri 10:13:56 AM,33.9744,-118.0151, 264,273,314,"5,325"
Fri 10:14:26 AM,33.9703,-118.0563, 263,256,295,"5,050"
Fri 10:14:50 AM,33.9669,-118.0901, 263,252,290,"4,625"
Fri 10:15:13 AM,33.9638,-118.1229, 263,250,288,"4,275"
Fri 10:15:41 AM,33.9598,-118.1605, 263,246,283,"3,600"
Fri 10:16:08 AM,33.9563,-118.1970, 263,232,267,"3,025"
Fri 10:16:38 AM,33.9526,-118.2327, 263,205,236,"2,400"
Fri 10:17:08 AM,33.9494,-118.2642, 263,179,206,"1,900"
Fri 10:17:38 AM,33.9465,-118.2928, 263,160,184,"1,425"
Fri 10:18:08 AM,33.9440,-118.3179, 263,156,180,"1,000"
Fri 10:18:24 AM,33.9426,-118.3318, 263,155,178,775
Fri 10:18:40 AM,33.9411,-118.3464, 263,156,180,525
Fri 10:18:56 AM,33.9397,-118.3597, 263,159,183,300
,,,
Fri 10:19:01 AM,33.9393,-118.3634, 263,160,184,225
,,,
Fri 10:19:12 AM,33.9382,-118.3743, 264,159,183,75
Fri 10:19:28 AM,33.9369,-118.3876, 263,155,178,
,,,
Fri 10:20:00 AM    Arrival (LAX) @ Friday 07:20:00 AM PST,,,FlightAware
,,,
Taxi Time: 9 minutes,,,
Fri 10:29:00 AM    Gate Arrival (LAX) @ Friday 07:29:00 AM PST,,,Airline
