Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 12:18:43 PM    Departure (PHX) @ Friday 10:18:43 AM MST,,,FlightAware ADS-B (KPHX)
Fri 12:18:43 PM,33.4310,-112.0000, 90,161,185,"1,225"
Fri 12:18:59 PM,33.4310,-111.9846, 89,165,190,"1,850"
Fri 12:19:15 PM,33.4313,-111.9700, 88,175,201,"2,375"
Fri 12:19:31 PM,33.4318,-111.9529, 88,198,228,"2,825"
Fri 12:19:47 PM,33.4324,-111.9354, 87,220,253,"3,225"
Fri 12:20:11 PM,33.4337,-111.9037, 87,228,262,"4,475"
Fri 12:20:28 PM,33.4337,-111.8840, 98,235,270,"5,225"
Fri 12:20:44 PM,33.4259,-111.8659, 132,239,275,"6,050"
Fri 12:21:01 PM,33.4092,-111.8516, 148,241,277,"7,025"
Fri 12:21:19 PM,33.3907,-111.8464, 180,243,280,"7,950"
Fri 12:21:36 PM,33.3714,-111.8542, 211,248,285,"8,775"
Fri 12:21:53 PM,33.3592,-111.8722, 244,263,303,"9,425"
Fri 12:22:12 PM,33.3574,-111.8976, 282,281,323,"9,925"
Fri 12:22:51 PM,33.3667,-111.9648, 279,337,388,"10,900"
Fri 12:23:21 PM,33.3739,-112.0240, 279,352,405,"12,350"
Fri 12:23:51 PM,33.3816,-112.0815, 279,363,418,"13,675"
Fri 12:24:25 PM,33.3911,-112.1512, 279,363,418,"13,875"
Fri 12:24:55 PM,33.3988,-112.2087, 279,362,417,"13,875"
Fri 12:25:25 PM,33.4066,-112.2673, 279,364,419,"14,100"
Fri 12:25:55 PM,33.4147,-112.3286, 279,370,426,"14,650"
Fri 12:26:25 PM,33.4223,-112.3872, 279,376,433,"15,875"
Fri 12:26:55 PM,33.4309,-112.4525, 279,385,443,"17,550"
Fri 12:27:25 PM,33.4388,-112.5125, 279,391,450,"19,200"
Fri 12:27:55 PM,33.4474,-112.5792, 279,397,457,"20,650"
Fri 12:28:12 PM,33.4503,-112.6170, 273,402,463,"21,425"
Fri 12:28:42 PM,33.4513,-112.6835, 271,412,474,"22,700"
Fri 12:29:12 PM,33.4522,-112.7546, 271,419,482,"23,925"
Fri 12:29:28 PM,33.4556,-112.7910, 279,422,486,"24,550"
Fri 12:29:45 PM,33.4646,-112.8316, 288,425,489,"25,225"
Fri 12:30:26 PM,33.4948,-112.9193, 292,428,493,"26,825"
Fri 12:30:56 PM,33.5166,-112.9824, 293,426,490,"28,050"
Fri 12:31:26 PM,33.5396,-113.0487, 293,419,482,"29,525"
Fri 12:31:56 PM,33.5618,-113.1123, 293,419,482,"29,975"
Fri 12:32:26 PM,33.5853,-113.1794, 293,417,480,"29,975"
Fri 12:32:56 PM,33.6071,-113.2421, 292,417,480,"29,975"
Fri 12:33:26 PM,33.6281,-113.3033, 292,416,479,"29,975"
Fri 12:33:56 PM,33.6506,-113.3688, 292,415,478,"29,975"
Fri 12:34:26 PM,33.6729,-113.4333, 292,414,476,"29,550"
Fri 12:34:56 PM,33.6950,-113.4968, 293,416,479,"29,050"
Fri 12:35:26 PM,33.7170,-113.5607, 292,419,482,"28,575"
Fri 12:35:56 PM,33.7383,-113.6227, 293,419,482,"28,100"
Fri 12:36:27 PM,33.7616,-113.6904, 292,417,480,"27,975"
Fri 12:36:57 PM,33.7827,-113.7524, 292,415,478,"28,000"
Fri 12:37:28 PM,33.8061,-113.8217, 292,423,487,"28,000"
Fri 12:37:58 PM,33.8284,-113.8870, 292,441,507,"28,000"
Fri 12:38:28 PM,33.8525,-113.9563, 293,443,510,"27,975"
Fri 12:38:59 PM,33.8770,-114.0276, 292,443,510,"28,000"
Fri 12:39:25 PM,33.8968,-114.0863, 290,443,510,"27,975"
Fri 12:39:41 PM,33.9063,-114.1217, 285,444,511,"28,000"
Fri 12:40:10 PM,33.9190,-114.1924, 281,447,514,"28,000"
Fri 12:40:41 PM,33.9320,-114.2697, 281,451,519,"28,000"
Fri 12:41:11 PM,33.9445,-114.3435, 282,451,519,"28,000"
Fri 12:41:41 PM,33.9563,-114.4145, 281,418,481,"27,975"
Fri 12:42:11 PM,33.9674,-114.4812, 281,406,467,"27,975"
Fri 12:42:41 PM,33.9785,-114.5476, 281,405,466,"27,975"
Fri 12:43:11 PM,33.9897,-114.6149, 281,404,465,"27,975"
Fri 12:43:41 PM,34.0005,-114.6806, 281,403,464,"27,975"
Fri 12:44:11 PM,34.0114,-114.7465, 281,403,464,"28,000"
Fri 12:44:41 PM,34.0221,-114.8116, 281,402,463,"28,000"
Fri 12:45:11 PM,34.0327,-114.8751, 281,402,463,"27,975"
Fri 12:45:41 PM,34.0438,-114.9430, 281,404,465,"28,000"
Fri 12:46:11 PM,34.0543,-115.0074, 281,406,467,"28,000"
Fri 12:46:41 PM,34.0656,-115.0757, 281,408,470,"28,000"
Fri 12:47:11 PM,34.0763,-115.1415, 281,408,470,"28,000"
Fri 12:47:41 PM,34.0872,-115.2084, 281,407,468,"27,975"
Fri 12:48:12 PM,34.0979,-115.2749, 281,403,464,"27,975"
Fri 12:48:43 PM,34.1094,-115.3476, 281,403,464,"27,975"
Fri 12:49:14 PM,34.1199,-115.4132, 281,403,464,"27,975"
Fri 12:49:45 PM,34.1312,-115.4836, 281,402,463,"28,000"
Fri 12:50:15 PM,34.1415,-115.5470, 281,401,461,"27,975"
Fri 12:50:54 PM,34.1550,-115.6323, 282,399,459,"28,000"
Fri 12:51:18 PM,34.1608,-115.6883, 272,406,467,"28,000"
Fri 12:51:40 PM,34.1593,-115.7366, 264,412,474,"27,975"
Fri 12:52:21 PM,34.1506,-115.8283, 263,409,471,"27,975"
Fri 12:52:51 PM,34.1438,-115.8983, 263,407,468,"27,975"
Fri 12:53:21 PM,34.1373,-115.9648, 263,408,470,"28,000"
Fri 12:53:52 PM,34.1304,-116.0354, 263,408,470,"28,000"
Fri 12:54:22 PM,34.1237,-116.1021, 263,405,466,"27,975"
Fri 12:54:54 PM,34.1166,-116.1743, 263,404,465,"27,975"
Fri 12:55:25 PM,34.1099,-116.2421, 263,391,450,"27,950"
Fri 12:55:55 PM,34.1032,-116.3089, 263,381,438,"27,975"
Fri 12:56:26 PM,34.0965,-116.3719, 263,381,438,"27,975"
Fri 12:56:56 PM,34.0895,-116.4364, 263,381,438,"27,975"
Fri 12:57:15 PM,34.0853,-116.4758, 264,381,438,"27,975"
Fri 12:57:46 PM,34.0781,-116.5418, 263,374,430,"27,125"
Fri 12:58:16 PM,34.0714,-116.6030, 263,369,425,"26,175"
Fri 12:58:46 PM,34.0662,-116.6624, 264,361,415,"25,200"
Fri 12:59:16 PM,34.0610,-116.7222, 264,354,407,"24,275"
Fri 12:59:36 PM,34.0576,-116.7592, 264,349,402,"23,650"
Fri 01:00:06 PM,34.0523,-116.8156, 263,345,397,"22,800"
Fri 01:00:36 PM,34.0465,-116.8743, 263,340,391,"21,850"
Fri 01:01:16 PM,34.0377,-116.9460, 261,338,389,"20,500"
Fri 01:01:46 PM,34.0298,-117.0064, 261,334,384,"19,500"
Fri 01:02:16 PM,34.0232,-117.0591, 262,327,376,"18,725"
Fri 01:02:46 PM,34.0171,-117.1127, 262,324,373,"17,850"
Fri 01:03:16 PM,34.0108,-117.1658, 262,322,371,"16,925"
Fri 01:03:59 PM,34.0016,-117.2424, 262,312,359,"15,650"
Fri 01:04:29 PM,33.9954,-117.2939, 262,307,353,"14,775"
Fri 01:04:59 PM,33.9898,-117.3421, 263,301,346,"14,000"
Fri 01:05:29 PM,33.9840,-117.3904, 262,299,344,"13,275"
Fri 01:05:59 PM,33.9779,-117.4412, 262,296,341,"12,500"
Fri 01:06:22 PM,33.9742,-117.4778, 268,292,336,"11,925"
Fri 01:06:42 PM,33.9766,-117.5114, 280,278,320,"11,550"
Fri 01:07:20 PM,33.9864,-117.5666, 282,262,302,"10,950"
Fri 01:07:50 PM,33.9937,-117.6070, 282,247,284,"10,575"
Fri 01:08:31 PM,34.0036,-117.6629, 283,239,275,"10,000"
Fri 01:08:48 PM,34.0058,-117.6834, 272,239,275,"9,775"
Fri 01:09:16 PM,34.0027,-117.7220, 263,245,282,"9,300"
Fri 01:09:46 PM,33.9989,-117.7621, 263,247,284,"8,775"
Fri 01:10:16 PM,33.9950,-117.8035, 264,250,288,"8,250"
Fri 01:10:38 PM,33.9922,-117.8349, 263,247,284,"7,850"
Fri 01:11:08 PM,33.9884,-117.8733, 263,243,280,"7,375"
Fri 01:11:28 PM,33.9856,-117.9001, 263,240,276,"7,025"
Fri 01:11:53 PM,33.9826,-117.9322, 263,237,273,"6,600"
Fri 01:12:23 PM,33.9787,-117.9721, 263,233,268,"6,100"
Fri 01:12:53 PM,33.9750,-118.0094, 263,232,267,"5,625"
Fri 01:13:18 PM,33.9718,-118.0421, 263,232,267,"5,200"
Fri 01:13:48 PM,33.9681,-118.0785, 263,220,253,"4,725"
Fri 01:14:11 PM,33.9654,-118.1078, 263,217,250,"4,450"
Fri 01:14:36 PM,33.9624,-118.1363, 263,215,247,"3,975"
Fri 01:15:06 PM,33.9587,-118.1718, 263,201,231,"3,400"
Fri 01:15:36 PM,33.9557,-118.2024, 263,191,220,"2,900"
Fri 01:16:06 PM,33.9525,-118.2344, 263,183,211,"2,350"
Fri 01:16:36 PM,33.9495,-118.2634, 263,175,201,"1,875"
Fri 01:16:59 PM,33.9473,-118.2850, 264,168,193,"1,500"
Fri 01:17:29 PM,33.9445,-118.3121, 263,146,168,"1,075"
,,,
Fri 01:17:41 PM,33.9436,-118.3212, 262,144,166,950
,,,
Fri 01:17:45 PM,33.9431,-118.3252, 262,145,167,875
Fri 01:18:01 PM,33.9419,-118.3370, 263,144,166,700
Fri 01:18:17 PM,33.9407,-118.3496, 263,141,162,450
Fri 01:18:33 PM,33.9394,-118.3623, 263,142,163,250
Fri 01:18:49 PM,33.9381,-118.3753, 264,142,163,50
Fri 01:19:05 PM,33.9370,-118.3870, 263,141,162,
,,,
Fri 01:19:37 PM    Arrival (LAX) @ Friday 10:19:37 AM PST,,,FlightAware
,,,
Taxi Time: 11 minutes,,,
Fri 01:31:00 PM    Gate Arrival (LAX) @ Friday 10:31:00 AM PST,,,Airline
