Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 01:58:58 AM    Departure (PHX) @ Friday 11:58:58 PM MST,,,FlightAware ADS-B (KPHX)
Sat 01:58:58 AM,33.4311,-112.0002, 89,166,191,"1,200"
Sat 01:59:14 AM,33.4316,-111.9842, 87,167,192,"1,950"
Sat 01:59:30 AM,33.4322,-111.9691, 86,186,214,"2,300"
Sat 01:59:46 AM,33.4331,-111.9515, 87,200,230,"2,675"
Sat 02:00:02 AM,33.4338,-111.9333, 88,220,253,"2,950"
Sat 02:00:25 AM,33.4345,-111.9049, 89,238,274,"3,600"
Sat 02:00:42 AM,33.4335,-111.8808, 104,237,273,"4,450"
Sat 02:01:00 AM,33.4247,-111.8636, 138,243,280,"5,075"
Sat 02:01:17 AM,33.4065,-111.8491, 153,247,284,"5,750"
Sat 02:01:35 AM,33.3882,-111.8455, 185,246,283,"6,400"
Sat 02:01:53 AM,33.3683,-111.8566, 221,247,284,"7,100"
Sat 02:02:09 AM,33.3590,-111.8732, 248,247,284,"7,650"
Sat 02:02:35 AM,33.3595,-111.9099, 279,270,311,"8,275"
Sat 02:03:05 AM,33.3661,-111.9555, 280,289,333,"9,250"
Sat 02:03:45 AM,33.3752,-112.0210, 279,320,368,"10,500"
Sat 02:04:15 AM,33.3825,-112.0769, 279,355,409,"10,975"
Sat 02:04:45 AM,33.3906,-112.1389, 279,380,437,"11,600"
Sat 02:05:15 AM,33.3989,-112.2029, 279,380,437,"13,125"
Sat 02:05:45 AM,33.4064,-112.2603, 279,382,440,"14,375"
Sat 02:06:15 AM,33.4150,-112.3267, 279,387,445,"15,725"
Sat 02:06:45 AM,33.4233,-112.3910, 279,392,451,"16,925"
Sat 02:07:15 AM,33.4313,-112.4528, 279,398,458,"17,975"
Sat 02:07:45 AM,33.4394,-112.5170, 279,403,464,"19,075"
Sat 02:08:15 AM,33.4483,-112.5874, 278,409,471,"20,175"
Sat 02:08:32 AM,33.4502,-112.6219, 271,413,475,"20,675"
Sat 02:09:08 AM,33.4515,-112.7093, 271,425,489,"21,650"
Sat 02:09:31 AM,33.4526,-112.7629, 275,430,495,"22,225"
Sat 02:09:54 AM,33.4611,-112.8181, 286,429,494,"22,800"
Sat 02:10:16 AM,33.4762,-112.8660, 293,428,493,"23,375"
Sat 02:10:46 AM,33.4983,-112.9300, 293,432,497,"24,200"
Sat 02:11:16 AM,33.5221,-112.9982, 293,431,496,"25,150"
Sat 02:11:46 AM,33.5441,-113.0613, 293,434,499,"25,875"
Sat 02:12:16 AM,33.5678,-113.1291, 293,438,504,"26,575"
Sat 02:12:46 AM,33.5910,-113.1960, 293,432,497,"27,575"
