Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 02:02:58 PM    Departure (PHX) @ Friday 12:02:58 PM MST,,,FlightAware ADS-B (KPHX)
Fri 02:02:58 PM,33.4311,-112.0181, 271,150,173,"1,250"
Fri 02:03:14 PM,33.4311,-112.0317, 270,150,173,"2,000"
Fri 02:03:30 PM,33.4309,-112.0451, 265,156,180,"2,575"
Fri 02:03:46 PM,33.4280,-112.0602, 251,189,217,"2,800"
Fri 02:04:02 PM,33.4227,-112.0785, 252,211,243,"3,200"
Fri 02:04:18 PM,33.4184,-112.0941, 252,210,242,"3,900"
Fri 02:04:34 PM,33.4130,-112.1148, 252,232,267,"4,450"
Fri 02:05:04 PM,33.4025,-112.1534, 252,272,313,"5,025"
Fri 02:05:23 PM,33.3952,-112.1810, 256,276,318,"5,975"
Fri 02:05:40 PM,33.3927,-112.2069, 272,276,318,"6,875"
Fri 02:06:04 PM,33.3973,-112.2436, 280,278,320,"8,125"
Fri 02:06:34 PM,33.4045,-112.2909, 280,288,331,"9,425"
Fri 02:07:04 PM,33.4113,-112.3365, 280,300,345,"10,600"
Fri 02:07:34 PM,33.4191,-112.3885, 280,314,361,"11,575"
Fri 02:07:57 PM,33.4249,-112.4284, 279,322,371,"12,350"
Fri 02:08:42 PM,33.4178,-112.5079, 260,333,383,"14,025"
Fri 02:09:12 PM,33.4093,-112.5631, 260,336,387,"15,175"
Fri 02:09:28 PM,33.4044,-112.5948, 261,338,389,"15,875"
Fri 02:09:45 PM,33.4051,-112.6235, 282,334,384,"16,425"
Fri 02:10:02 PM,33.4128,-112.6548, 290,336,387,"16,975"
Fri 02:10:32 PM,33.4279,-112.7079, 288,341,392,"17,950"
Fri 02:11:02 PM,33.4420,-112.7596, 288,349,402,"18,750"
Fri 02:11:32 PM,33.4589,-112.8167, 291,352,405,"19,650"
Fri 02:12:02 PM,33.4779,-112.8712, 293,356,410,"20,575"
Fri 02:12:32 PM,33.4971,-112.9262, 293,358,412,"21,475"
Fri 02:13:02 PM,33.5161,-112.9804, 293,363,418,"22,225"
Fri 02:13:32 PM,33.5355,-113.0359, 293,367,422,"22,975"
Fri 02:14:02 PM,33.5562,-113.0954, 293,370,426,"23,775"
Fri 02:14:32 PM,33.5755,-113.1509, 293,378,435,"24,350"
Fri 02:15:02 PM,33.5962,-113.2104, 293,396,456,"24,450"
Fri 02:15:32 PM,33.6172,-113.2709, 292,404,465,"24,875"
Fri 02:16:02 PM,33.6383,-113.3321, 293,406,467,"25,475"
Fri 02:16:32 PM,33.6594,-113.3932, 292,410,472,"25,975"
Fri 02:17:02 PM,33.6821,-113.4591, 293,410,472,"26,650"
Fri 02:17:32 PM,33.7037,-113.5217, 292,414,476,"27,175"
Fri 02:18:02 PM,33.7250,-113.5839, 292,416,479,"27,700"
Fri 02:18:34 PM,33.7490,-113.6539, 292,419,482,"28,000"
Fri 02:19:05 PM,33.7717,-113.7202, 292,418,481,"28,000"
Fri 02:19:35 PM,33.7940,-113.7857, 292,422,486,"28,000"
Fri 02:20:05 PM,33.8162,-113.8512, 292,419,482,"28,000"
Fri 02:20:35 PM,33.8375,-113.9137, 292,421,484,"28,000"
Fri 02:21:05 PM,33.8601,-113.9802, 292,424,488,"28,000"
Fri 02:21:36 PM,33.8834,-114.0490, 292,426,490,"28,000"
Fri 02:22:11 PM,33.9063,-114.1267, 286,424,488,"28,000"
Fri 02:22:35 PM,33.9166,-114.1800, 281,425,489,"28,000"
Fri 02:23:05 PM,33.9261,-114.2500, 278,426,490,"28,000"
