Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 02:05:31 PM    Departure (PHX) @ Friday 12:05:31 PM MST,,,FlightAware ADS-B (KDVT)
Fri 02:05:31 PM,33.4312,-112.0323, 271,163,188,"1,875"
Fri 02:05:47 PM,33.4313,-112.0466, 267,169,194,"2,500"
Fri 02:06:03 PM,33.4278,-112.0627, 253,182,209,"3,025"
Fri 02:06:19 PM,33.4228,-112.0797, 250,195,224,"3,575"
Fri 02:06:35 PM,33.4184,-112.0937, 250,213,245,"3,925"
Fri 02:06:51 PM,33.4122,-112.1145, 251,238,274,"4,275"
Fri 02:07:21 PM,33.4019,-112.1549, 254,275,316,"5,225"
Fri 02:07:45 PM,33.3930,-112.1929, 257,276,318,"6,725"
Fri 02:08:05 PM,33.3927,-112.2220, 276,273,314,"7,900"
Fri 02:08:35 PM,33.3990,-112.2665, 281,280,322,"9,375"
Fri 02:09:05 PM,33.4080,-112.3143, 283,291,335,"10,875"
Fri 02:09:22 PM,33.4126,-112.3392, 282,303,349,"11,475"
Fri 02:10:00 PM,33.4223,-112.4098, 278,343,395,"12,475"
Fri 02:10:31 PM,33.4301,-112.4692, 279,355,409,"13,725"
Fri 02:11:01 PM,33.4383,-112.5238, 281,355,409,"15,150"
Fri 02:11:31 PM,33.4479,-112.5836, 281,357,411,"16,600"
Fri 02:11:52 PM,33.4509,-112.6224, 270,364,419,"17,525"
Fri 02:12:22 PM,33.4513,-112.6870, 271,372,428,"18,525"
Fri 02:12:52 PM,33.4523,-112.7471, 271,380,437,"19,650"
Fri 02:13:09 PM,33.4530,-112.7823, 273,381,438,"20,325"
Fri 02:13:25 PM,33.4595,-112.8170, 287,382,440,"20,850"
Fri 02:14:00 PM,33.4833,-112.8851, 292,388,447,"22,175"
Fri 02:14:30 PM,33.5043,-112.9459, 293,393,452,"23,150"
Fri 02:15:00 PM,33.5258,-113.0077, 293,399,459,"24,075"
Fri 02:15:30 PM,33.5468,-113.0683, 293,402,463,"25,000"
Fri 02:16:00 PM,33.5681,-113.1298, 293,406,467,"25,850"
Fri 02:16:30 PM,33.5902,-113.1930, 293,408,470,"26,725"
Fri 02:17:00 PM,33.6123,-113.2565, 293,411,473,"27,500"
Fri 02:17:31 PM,33.6345,-113.3209, 292,415,478,"27,975"
Fri 02:18:01 PM,33.6558,-113.3829, 293,413,475,"28,000"
Fri 02:18:31 PM,33.6784,-113.4483, 292,414,476,"28,000"
Fri 02:19:01 PM,33.7000,-113.5104, 292,415,478,"28,000"
Fri 02:19:31 PM,33.7226,-113.5768, 292,415,478,"28,000"
Fri 02:20:01 PM,33.7447,-113.6410, 292,417,480,"28,000"
Fri 02:20:31 PM,33.7666,-113.7054, 292,417,480,"28,000"
Fri 02:21:01 PM,33.7889,-113.7708, 292,421,484,"28,000"
Fri 02:21:31 PM,33.8099,-113.8323, 292,417,480,"28,000"
Fri 02:22:02 PM,33.8327,-113.8995, 292,420,483,"28,000"
Fri 02:22:32 PM,33.8548,-113.9642, 292,423,487,"28,000"
Fri 02:23:02 PM,33.8776,-114.0317, 292,425,489,"28,000"
Fri 02:23:24 PM,33.8931,-114.0782, 291,422,486,"28,000"
Fri 02:23:46 PM,33.9059,-114.1251, 286,421,484,"28,000"
Fri 02:24:10 PM,33.9168,-114.1812, 282,422,486,"28,000"
Fri 02:24:40 PM,33.9285,-114.2503, 282,422,486,"28,000"
Fri 02:25:11 PM,33.9408,-114.3235, 281,423,487,"28,000"
Fri 02:25:43 PM,33.9524,-114.3927, 282,422,486,"28,000"
Fri 02:26:13 PM,33.9644,-114.4629, 282,413,475,"28,000"
Fri 02:26:44 PM,33.9761,-114.5330, 281,389,448,"28,000"
Fri 02:27:16 PM,33.9868,-114.5967, 282,382,440,"28,000"
Fri 02:27:46 PM,33.9970,-114.6577, 281,386,444,"28,000"
Fri 02:28:16 PM,34.0076,-114.7229, 281,383,441,"28,000"
Fri 02:28:46 PM,34.0179,-114.7845, 281,381,438,"28,000"
Fri 02:29:17 PM,34.0285,-114.8484, 281,386,444,"28,000"
Fri 02:29:47 PM,34.0391,-114.9133, 281,394,453,"28,000"
Fri 02:30:17 PM,34.0496,-114.9778, 281,389,448,"28,000"
Fri 02:30:47 PM,34.0601,-115.0422, 281,389,448,"28,000"
Fri 02:31:17 PM,34.0702,-115.1040, 281,386,444,"28,000"
Fri 02:31:47 PM,34.0804,-115.1673, 281,387,445,"28,000"
Fri 02:32:17 PM,34.0907,-115.2305, 281,386,444,"28,000"
Fri 02:32:47 PM,34.1012,-115.2955, 281,386,444,"28,000"
Fri 02:33:18 PM,34.1118,-115.3616, 281,387,445,"28,000"
