Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 04:39:38 PM    Departure (PHX) @ Monday 01:39:38 PM MST,,,FlightAware ADS-B (KPHX)
Mon 04:39:38 PM,33.4310,-111.9962, 90,155,178,"1,600"
Mon 04:39:54 PM,33.4312,-111.9813, 89,156,180,"2,375"
Mon 04:40:10 PM,33.4315,-111.9683, 88,173,199,"2,725"
Mon 04:40:26 PM,33.4321,-111.9517, 88,198,228,"3,050"
Mon 04:40:42 PM,33.4327,-111.9338, 88,216,249,"3,525"
Mon 04:41:04 PM,33.4335,-111.9061, 88,226,260,"4,550"
Mon 04:41:21 PM,33.4336,-111.8841, 99,233,268,"5,225"
Mon 04:41:40 PM,33.4246,-111.8637, 137,229,264,"6,325"
Mon 04:41:59 PM,33.4067,-111.8487, 154,227,261,"7,475"
Mon 04:42:15 PM,33.3910,-111.8447, 180,233,268,"8,175"
Mon 04:42:31 PM,33.3746,-111.8501, 207,246,283,"8,775"
Mon 04:42:47 PM,33.3601,-111.8631, 230,253,291,"9,525"
Mon 04:43:04 PM,33.3520,-111.8853, 263,269,310,"10,275"
Mon 04:43:49 PM,33.3587,-111.9552, 277,293,337,"11,975"
Mon 04:44:19 PM,33.3638,-112.0073, 278,331,381,"12,325"
Mon 04:44:49 PM,33.3713,-112.0617, 280,346,398,"13,175"
Mon 04:45:19 PM,33.3798,-112.1190, 280,346,398,"14,500"
Mon 04:45:49 PM,33.3879,-112.1740, 280,350,403,"15,600"
Mon 04:46:19 PM,33.3967,-112.2339, 280,352,405,"16,825"
Mon 04:46:49 PM,33.4051,-112.2910, 280,357,411,"17,800"
Mon 04:47:19 PM,33.4137,-112.3493, 280,360,414,"18,775"
Mon 04:47:49 PM,33.4222,-112.4074, 280,361,415,"19,775"
Mon 04:48:19 PM,33.4307,-112.4663, 280,367,422,"20,650"
Mon 04:48:49 PM,33.4397,-112.5279, 280,374,430,"21,400"
Mon 04:49:11 PM,33.4462,-112.5743, 277,378,435,"22,000"
Mon 04:49:30 PM,33.4497,-112.6125, 275,378,435,"22,475"
Mon 04:50:00 PM,33.4512,-112.6737, 271,383,441,"23,200"
Mon 04:50:30 PM,33.4521,-112.7405, 271,391,450,"23,825"
Mon 04:50:54 PM,33.4552,-112.7910, 280,395,455,"24,350"
Mon 04:51:13 PM,33.4638,-112.8302, 290,399,459,"24,775"
Mon 04:51:55 PM,33.4941,-112.9176, 293,399,459,"25,000"
Mon 04:52:25 PM,33.5159,-112.9799, 293,397,457,"25,150"
Mon 04:52:55 PM,33.5365,-113.0387, 293,400,460,"25,725"
Mon 04:53:25 PM,33.5586,-113.1022, 293,401,461,"26,550"
Mon 04:53:55 PM,33.5798,-113.1633, 292,412,474,"26,975"
Mon 04:54:25 PM,33.6010,-113.2242, 293,410,472,"27,800"
Mon 04:54:55 PM,33.6239,-113.2904, 292,410,472,"28,600"
Mon 04:55:25 PM,33.6452,-113.3518, 292,414,476,"29,150"
Mon 04:55:55 PM,33.6670,-113.4153, 292,415,478,"29,875"
Mon 04:56:29 PM,33.6925,-113.4893, 292,422,486,"30,000"
Mon 04:56:59 PM,33.7148,-113.5543, 292,424,488,"30,000"
Mon 04:57:30 PM,33.7375,-113.6203, 292,425,489,"30,000"
Mon 04:58:00 PM,33.7604,-113.6873, 292,424,488,"30,000"
Mon 04:58:31 PM,33.7830,-113.7535, 292,425,489,"30,000"
Mon 04:58:49 PM,33.7955,-113.7907, 290,424,488,"30,000"
Mon 04:59:10 PM,33.8097,-113.8397, 288,425,489,"30,000"
Mon 04:59:40 PM,33.8263,-113.9070, 286,424,488,"30,000"
Mon 05:00:10 PM,33.8431,-113.9762, 286,425,489,"30,000"
Mon 05:00:40 PM,33.8588,-114.0420, 286,426,490,"30,000"
Mon 05:01:10 PM,33.8762,-114.1143, 286,428,493,"30,000"
Mon 05:01:40 PM,33.8914,-114.1776, 286,427,491,"30,000"
Mon 05:02:10 PM,33.9078,-114.2460, 286,427,491,"30,000"
Mon 05:02:40 PM,33.9243,-114.3158, 286,427,491,"30,000"
Mon 05:03:10 PM,33.9415,-114.3875, 286,427,491,"30,000"
Mon 05:03:40 PM,33.9573,-114.4541, 286,426,490,"30,000"
Mon 05:04:10 PM,33.9732,-114.5215, 286,426,490,"30,000"
Mon 05:04:40 PM,33.9894,-114.5904, 286,426,490,"30,000"
Mon 05:05:10 PM,34.0054,-114.6585, 286,427,491,"30,000"
Mon 05:05:40 PM,34.0216,-114.7272, 286,427,491,"30,000"
Mon 05:06:11 PM,34.0388,-114.8009, 286,428,493,"30,000"
Mon 05:06:41 PM,34.0542,-114.8671, 286,429,494,"30,000"
Mon 05:07:01 PM,34.0644,-114.9108, 286,429,494,"30,000"
Mon 05:07:30 PM,34.0803,-114.9794, 287,429,494,"30,000"
Mon 05:08:00 PM,34.0962,-115.0481, 286,431,496,"30,000"
Mon 05:08:30 PM,34.1124,-115.1181, 286,432,497,"30,000"
Mon 05:09:01 PM,34.1290,-115.1903, 286,431,496,"30,000"
Mon 05:09:31 PM,34.1442,-115.2566, 285,435,501,"30,000"
Mon 05:10:01 PM,34.1610,-115.3301, 285,437,503,"30,000"
Mon 05:10:32 PM,34.1782,-115.4054, 285,440,506,"30,000"
Mon 05:11:03 PM,34.1953,-115.4803, 285,441,507,"30,000"
Mon 05:11:33 PM,34.2101,-115.5460, 285,437,503,"30,000"
Mon 05:12:03 PM,34.2264,-115.6181, 285,440,506,"30,000"
Mon 05:12:34 PM,34.2432,-115.6921, 285,443,510,"30,000"
Mon 05:13:05 PM,34.2601,-115.7673, 285,444,511,"30,000"
Mon 05:13:35 PM,34.2759,-115.8379, 286,446,513,"30,000"
Mon 05:14:06 PM,34.2925,-115.9123, 285,446,513,"30,000"
Mon 05:14:36 PM,34.3084,-115.9836, 285,449,517,"30,000"
Mon 05:15:07 PM,34.3250,-116.0586, 285,461,531,"30,000"
Mon 05:15:45 PM,34.3474,-116.1580, 287,475,547,"30,000"
Mon 05:16:28 PM,34.3841,-116.2607, 295,475,547,"30,000"
Mon 05:16:50 PM,34.4033,-116.3149, 289,478,550,"30,000"
Mon 05:17:06 PM,34.4119,-116.3570, 279,481,554,"30,000"
Mon 05:17:23 PM,34.4145,-116.4006, 270,483,556,"30,000"
Mon 05:17:41 PM,34.4103,-116.4478, 258,456,525,"30,000"
Mon 05:17:58 PM,34.3986,-116.4921, 246,450,518,"30,000"
Mon 05:18:17 PM,34.3799,-116.5319, 235,455,524,"30,000"
Mon 05:18:40 PM,34.3484,-116.5737, 220,452,520,"30,000"
Mon 05:18:56 PM,34.3216,-116.5967, 210,449,517,"30,000"
Mon 05:19:13 PM,34.2951,-116.6124, 200,445,512,"30,000"
Mon 05:19:29 PM,34.2566,-116.6250, 189,442,509,"30,000"
Mon 05:19:54 PM,34.2073,-116.6261, 172,437,503,"30,000"
Mon 05:20:11 PM,34.1728,-116.6166, 162,432,497,"30,025"
Mon 05:20:30 PM,34.1426,-116.6003, 149,426,490,"30,000"
Mon 05:20:51 PM,34.1062,-116.5665, 135,424,488,"30,000"
Mon 05:21:07 PM,34.0868,-116.5374, 123,419,482,"30,000"
Mon 05:21:26 PM,34.0700,-116.4981, 110,413,475,"30,000"
Mon 05:21:45 PM,34.0615,-116.4570, 97,411,473,"30,000"
Mon 05:22:03 PM,34.0607,-116.4152, 85,408,470,"30,000"
Mon 05:22:23 PM,34.0689,-116.3705, 71,405,466,"30,000"
Mon 05:22:46 PM,34.0893,-116.3243, 54,406,467,"30,000"
Mon 05:23:11 PM,34.1212,-116.2852, 37,406,467,"30,000"
Mon 05:23:29 PM,34.1497,-116.2649, 24,406,467,"30,000"
Mon 05:23:48 PM,34.1835,-116.2518, 12,410,472,"30,000"
Mon 05:24:05 PM,34.2178,-116.2481, 0,415,478,"30,000"
Mon 05:24:22 PM,34.2497,-116.2527, 348,421,484,"30,000"
Mon 05:24:43 PM,34.2881,-116.2690, 333,425,489,"30,000"
Mon 05:25:01 PM,34.3194,-116.2932, 323,430,495,"30,000"
Mon 05:25:17 PM,34.3407,-116.3178, 311,432,497,"30,000"
Mon 05:25:35 PM,34.3632,-116.3563, 300,436,502,"30,000"
Mon 05:26:05 PM,34.3916,-116.4180, 298,439,505,"30,000"
Mon 05:26:35 PM,34.4208,-116.4831, 298,441,507,"30,000"
Mon 05:27:05 PM,34.4493,-116.5473, 298,439,505,"30,000"
Mon 05:27:35 PM,34.4785,-116.6141, 298,453,521,"29,675"
Mon 05:28:15 PM,34.5170,-116.7029, 298,435,501,"28,325"
Mon 05:28:34 PM,34.5324,-116.7387, 298,431,496,"27,725"
Mon 05:29:04 PM,34.5615,-116.8049, 298,414,476,"26,750"
Mon 05:29:24 PM,34.5779,-116.8461, 291,406,467,"26,175"
Mon 05:29:40 PM,34.5859,-116.8843, 279,406,467,"25,650"
Mon 05:29:56 PM,34.5874,-116.9160, 268,403,464,"25,250"
Mon 05:30:15 PM,34.5816,-116.9607, 254,399,459,"24,650"
Mon 05:30:37 PM,34.5656,-117.0042, 238,391,450,"23,975"
Mon 05:30:54 PM,34.5448,-117.0354, 225,385,443,"23,450"
Mon 05:31:14 PM,34.5196,-117.0587, 212,378,435,"22,975"
Mon 05:31:30 PM,34.4922,-117.0745, 200,371,427,"22,575"
Mon 05:31:48 PM,34.4635,-117.0833, 191,372,428,"22,350"
Mon 05:32:19 PM,34.4115,-117.0950, 191,373,429,"21,675"
Mon 05:32:38 PM,34.3808,-117.1068, 204,373,429,"21,150"
Mon 05:33:11 PM,34.3295,-117.1349, 205,366,421,"20,425"
Mon 05:33:30 PM,34.3002,-117.1507, 204,365,420,"19,975"
Mon 05:34:00 PM,34.2523,-117.1755, 204,359,413,"19,275"
Mon 05:34:30 PM,34.2078,-117.1981, 203,360,414,"18,775"
Mon 05:35:00 PM,34.1617,-117.2213, 202,348,400,"18,250"
Mon 05:35:17 PM,34.1366,-117.2341, 207,345,397,"17,900"
Mon 05:35:35 PM,34.1131,-117.2545, 222,350,403,"17,650"
Mon 05:35:54 PM,34.0972,-117.2861, 255,345,397,"17,075"
Mon 05:36:16 PM,34.0969,-117.3250, 281,334,384,"16,375"
Mon 05:36:34 PM,34.1009,-117.3597, 273,334,384,"15,800"
Mon 05:36:53 PM,34.0987,-117.3942, 259,335,386,"15,275"
Mon 05:37:38 PM,34.0792,-117.4750, 253,328,377,"13,925"
Mon 05:38:18 PM,34.0579,-117.5413, 247,326,375,"12,975"
Mon 05:38:48 PM,34.0394,-117.5926, 247,319,367,"12,100"
Mon 05:39:22 PM,34.0200,-117.6466, 248,311,358,"11,150"
Mon 05:39:39 PM,34.0109,-117.6737, 252,305,351,"10,675"
Mon 05:39:57 PM,34.0049,-117.7037, 261,302,348,"10,400"
Mon 05:40:22 PM,34.0008,-117.7454, 263,299,344,"9,975"
Mon 05:40:52 PM,33.9961,-117.7936, 263,293,337,"9,225"
Mon 05:41:22 PM,33.9913,-117.8431, 264,292,336,"8,450"
Mon 05:41:52 PM,33.9868,-117.8893, 263,275,316,"7,675"
Mon 05:42:22 PM,33.9825,-117.9331, 263,251,289,"6,975"
Mon 05:42:52 PM,33.9786,-117.9726, 263,232,267,"6,375"
Mon 05:43:22 PM,33.9748,-118.0118, 263,237,273,"5,750"
Mon 05:43:52 PM,33.9708,-118.0519, 264,229,264,"5,125"
Mon 05:44:19 PM,33.9674,-118.0860, 264,226,260,"4,750"
Mon 05:44:36 PM,33.9656,-118.1051, 263,225,259,"4,475"
Mon 05:45:06 PM,33.9617,-118.1430, 263,222,255,"3,900"
Mon 05:45:36 PM,33.9582,-118.1785, 264,197,227,"3,350"
Mon 05:46:06 PM,33.9552,-118.2095, 262,183,211,"2,850"
Mon 05:46:36 PM,33.9522,-118.2383, 263,172,198,"2,375"
Mon 05:47:06 PM,33.9493,-118.2663, 263,173,199,"1,950"
Mon 05:47:36 PM,33.9465,-118.2931, 262,148,170,"1,500"
Mon 05:48:06 PM,33.9442,-118.3155, 263,128,147,"1,150"
,,,
Mon 05:48:15 PM,33.9436,-118.3217, 263,128,147,"1,050"
,,,
Mon 05:48:22 PM,33.9430,-118.3272, 263,127,146,975
Mon 05:48:38 PM,33.9419,-118.3379, 263,127,146,775
Mon 05:48:54 PM,33.9409,-118.3486, 263,130,150,625
Mon 05:49:10 PM,33.9397,-118.3609, 263,127,146,425
Mon 05:49:26 PM,33.9385,-118.3718, 262,128,147,250
Mon 05:49:42 PM,33.9374,-118.3828, 263,125,144,75
Mon 05:49:59 PM,33.9363,-118.3935, 262,104,120,25
,,,
Mon 05:50:16 PM    Arrival (LAX) @ Monday 02:50:16 PM PDT,,,FlightAware
,,,
Taxi Time: 4 minutes,,,
Mon 05:55:00 PM    Gate Arrival (LAX) @ Monday 02:55:00 PM PDT,,,Airline
