Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 05:20:41 PM    Departure (PHX) @ Monday 02:20:41 PM MST,,,FlightAware ADS-B (KPHX)
Mon 05:20:41 PM,33.4310,-111.9985, 90,172,198,"1,350"
Mon 05:20:57 PM,33.4312,-111.9839, 89,166,191,"2,075"
Mon 05:21:13 PM,33.4316,-111.9695, 88,179,206,"2,650"
Mon 05:21:29 PM,33.4323,-111.9522, 87,192,221,"3,275"
Mon 05:21:45 PM,33.4331,-111.9344, 87,200,230,"3,900"
Mon 05:22:09 PM,33.4342,-111.9074, 87,209,241,"4,925"
Mon 05:22:27 PM,33.4347,-111.8861, 94,211,243,"5,825"
Mon 05:22:45 PM,33.4272,-111.8668, 128,215,247,"6,550"
Mon 05:23:05 PM,33.4100,-111.8510, 146,231,266,"7,350"
Mon 05:23:24 PM,33.3909,-111.8447, 179,240,276,"8,175"
Mon 05:23:42 PM,33.3724,-111.8533, 215,247,284,"9,275"
Mon 05:24:02 PM,33.3575,-111.8744, 240,258,297,"10,275"
Mon 05:24:18 PM,33.3524,-111.8962, 260,268,308,"11,025"
Mon 05:24:58 PM,33.3590,-111.9582, 278,303,349,"12,450"
Mon 05:25:28 PM,33.3639,-112.0113, 277,339,390,"13,025"
Mon 05:26:10 PM,33.3764,-112.0958, 280,370,426,"14,500"
Mon 05:26:40 PM,33.3847,-112.1523, 280,372,428,"15,875"
Mon 05:27:10 PM,33.3942,-112.2170, 280,379,436,"17,225"
Mon 05:27:40 PM,33.4031,-112.2770, 280,380,437,"18,600"
Mon 05:28:10 PM,33.4124,-112.3406, 280,386,444,"19,825"
Mon 05:28:40 PM,33.4215,-112.4028, 280,395,455,"20,800"
Mon 05:29:10 PM,33.4311,-112.4687, 280,402,463,"21,850"
Mon 05:29:40 PM,33.4403,-112.5324, 280,406,467,"22,925"
Mon 05:30:10 PM,33.4493,-112.6045, 275,401,461,"23,900"
Mon 05:30:42 PM,33.4510,-112.6726, 271,397,457,"24,000"
Mon 05:31:12 PM,33.4520,-112.7391, 271,399,459,"24,000"
Mon 05:31:37 PM,33.4550,-112.7940, 280,400,460,"24,000"
Mon 05:32:25 PM,33.4858,-112.8925, 293,402,463,"24,000"
Mon 05:32:55 PM,33.5087,-112.9584, 293,414,476,"24,000"
Mon 05:33:26 PM,33.5314,-113.0236, 293,423,487,"24,000"
Mon 05:33:56 PM,33.5533,-113.0867, 293,418,481,"24,000"
Mon 05:34:26 PM,33.5760,-113.1519, 293,417,480,"24,000"
Mon 05:34:56 PM,33.5981,-113.2158, 293,418,481,"24,000"
Mon 05:35:27 PM,33.6215,-113.2832, 293,421,484,"24,000"
Mon 05:35:57 PM,33.6438,-113.3478, 293,418,481,"24,000"
Mon 05:36:27 PM,33.6650,-113.4091, 292,418,481,"24,000"
Mon 05:36:57 PM,33.6872,-113.4734, 293,420,483,"24,000"
Mon 05:37:28 PM,33.7101,-113.5400, 292,418,481,"24,000"
Mon 05:37:58 PM,33.7322,-113.6045, 292,418,481,"24,000"
Mon 05:38:30 PM,33.7555,-113.6728, 292,420,483,"24,000"
Mon 05:39:00 PM,33.7783,-113.7394, 292,418,481,"24,000"
Mon 05:39:30 PM,33.7996,-113.8018, 292,418,481,"24,000"
Mon 05:40:00 PM,33.8222,-113.8685, 292,416,479,"24,000"
Mon 05:40:30 PM,33.8443,-113.9335, 292,411,473,"24,000"
Mon 05:41:02 PM,33.8667,-113.9993, 292,414,476,"24,000"
Mon 05:41:32 PM,33.8883,-114.0633, 292,415,478,"24,000"
Mon 05:42:03 PM,33.9079,-114.1312, 285,416,479,"24,000"
Mon 05:42:33 PM,33.9193,-114.1976, 282,415,478,"24,050"
Mon 05:43:03 PM,33.9313,-114.2673, 282,421,484,"24,800"
Mon 05:43:33 PM,33.9429,-114.3355, 282,429,494,"25,575"
Mon 05:44:03 PM,33.9546,-114.4043, 281,426,490,"25,975"
Mon 05:44:33 PM,33.9667,-114.4763, 281,430,495,"26,000"
Mon 05:45:03 PM,33.9783,-114.5460, 281,433,498,"26,000"
Mon 05:45:33 PM,33.9901,-114.6163, 281,436,502,"26,000"
Mon 05:46:03 PM,34.0021,-114.6887, 281,436,502,"26,000"
Mon 05:46:33 PM,34.0144,-114.7627, 281,438,504,"26,000"
Mon 05:47:03 PM,34.0258,-114.8325, 281,436,502,"26,000"
Mon 05:47:33 PM,34.0371,-114.9008, 281,432,497,"26,000"
Mon 05:48:03 PM,34.0492,-114.9751, 281,433,498,"26,000"
Mon 05:48:33 PM,34.0605,-115.0446, 281,436,502,"26,000"
Mon 05:49:03 PM,34.0720,-115.1151, 281,436,502,"26,000"
Mon 05:49:33 PM,34.0840,-115.1889, 281,437,503,"26,000"
Mon 05:50:03 PM,34.0958,-115.2618, 281,438,504,"26,000"
Mon 05:50:34 PM,34.1077,-115.3357, 281,441,507,"26,000"
Mon 05:50:56 PM,34.1156,-115.3846, 282,441,507,"26,000"
