Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 06:26:00 PM    Left Gate (PHX) @ Monday 03:26:00 PM MST,,,Airline
,,,
Taxi Time: 12 minutes,,,
Mon 06:38:20 PM    Departure (PHX) @ Monday 03:38:20 PM MST,,,FlightAware ADS-B (KPHX)
Mon 06:38:20 PM,33.4310,-111.9965, 89,171,197,"1,475"
Mon 06:38:36 PM,33.4315,-111.9816, 87,177,204,"2,100"
Mon 06:38:52 PM,33.4321,-111.9656, 87,190,219,"2,625"
Mon 06:39:08 PM,33.4326,-111.9485, 88,214,246,"2,925"
Mon 06:39:24 PM,33.4332,-111.9266, 88,231,266,"3,400"
Mon 06:39:42 PM,33.4340,-111.9032, 87,239,275,"4,225"
Mon 06:39:58 PM,33.4340,-111.8826, 100,235,270,"5,025"
Mon 06:40:14 PM,33.4266,-111.8640, 130,234,269,"5,725"
Mon 06:40:31 PM,33.4132,-111.8514, 147,232,267,"6,475"
Mon 06:40:47 PM,33.3962,-111.8438, 170,234,269,"7,275"
Mon 06:41:05 PM,33.3773,-111.8481, 207,239,275,"8,150"
Mon 06:41:23 PM,33.3622,-111.8631, 232,249,287,"8,950"
Mon 06:41:40 PM,33.3526,-111.8856, 257,267,307,"9,625"
Mon 06:41:57 PM,33.3516,-111.9123, 273,278,320,"10,200"
Mon 06:42:27 PM,33.3563,-111.9583, 278,316,364,"10,725"
Mon 06:42:57 PM,33.3630,-112.0123, 279,347,399,"11,275"
Mon 06:43:35 PM,33.3745,-112.0863, 281,363,418,"12,675"
Mon 06:44:05 PM,33.3835,-112.1452, 280,361,415,"14,200"
Mon 06:44:35 PM,33.3924,-112.2055, 280,363,418,"15,625"
Mon 06:45:05 PM,33.4015,-112.2671, 280,369,425,"16,875"
Mon 06:45:35 PM,33.4104,-112.3277, 280,395,455,"17,350"
Mon 06:46:05 PM,33.4200,-112.3927, 280,411,473,"18,025"
Mon 06:46:35 PM,33.4299,-112.4612, 280,421,484,"18,900"
Mon 06:47:05 PM,33.4399,-112.5297, 280,429,494,"19,725"
Mon 06:47:26 PM,33.4474,-112.5826, 278,433,498,"20,400"
Mon 06:47:46 PM,33.4504,-112.6299, 271,437,503,"20,950"
Mon 06:48:18 PM,33.4515,-112.7049, 271,442,509,"21,850"
Mon 06:48:39 PM,33.4526,-112.7574, 273,448,516,"22,400"
Mon 06:48:59 PM,33.4593,-112.8085, 284,454,522,"22,875"
Mon 06:49:23 PM,33.4754,-112.8639, 293,460,529,"23,425"
Mon 06:49:53 PM,33.5005,-112.9362, 293,463,533,"24,225"
Mon 06:50:23 PM,33.5247,-113.0057, 293,466,536,"25,000"
Mon 06:50:53 PM,33.5503,-113.0791, 293,468,539,"25,800"
Mon 06:51:23 PM,33.5745,-113.1488, 293,474,545,"26,375"
Mon 06:51:53 PM,33.6001,-113.2224, 293,475,547,"27,100"
Mon 06:52:23 PM,33.6249,-113.2936, 293,451,519,"28,725"
Mon 06:52:53 PM,33.6484,-113.3618, 292,444,511,"29,825"
Mon 06:53:23 PM,33.6720,-113.4304, 292,449,517,"30,375"
Mon 06:53:53 PM,33.6961,-113.5003, 292,453,521,"30,900"
Mon 06:54:23 PM,33.7211,-113.5732, 292,455,524,"31,475"
Mon 06:54:53 PM,33.7440,-113.6400, 293,452,520,"32,000"
Mon 06:55:23 PM,33.7682,-113.7104, 292,452,520,"32,000"
Mon 06:55:53 PM,33.7913,-113.7782, 292,453,521,"32,000"
Mon 06:56:23 PM,33.8157,-113.8503, 292,456,525,"32,000"
Mon 06:56:53 PM,33.8392,-113.9191, 292,459,528,"32,000"
Mon 06:57:24 PM,33.8640,-113.9920, 292,460,529,"32,000"
Mon 06:57:54 PM,33.8881,-114.0633, 292,460,529,"32,000"
Mon 06:58:16 PM,33.9040,-114.1157, 286,461,531,"32,000"
Mon 06:58:43 PM,33.9171,-114.1847, 282,462,532,"32,000"
Mon 06:59:13 PM,33.9299,-114.2588, 282,461,531,"32,000"
Mon 06:59:43 PM,33.9429,-114.3363, 282,458,527,"31,600"
Mon 07:00:13 PM,33.9553,-114.4101, 282,451,519,"31,100"
Mon 07:00:43 PM,33.9679,-114.4830, 282,449,517,"30,600"
Mon 07:01:13 PM,33.9795,-114.5530, 281,452,520,"30,100"
Mon 07:01:53 PM,33.9966,-114.6573, 281,454,522,"30,000"
Mon 07:02:23 PM,34.0088,-114.7310, 281,453,521,"30,000"
Mon 07:02:53 PM,34.0213,-114.8058, 281,453,521,"30,000"
Mon 07:03:23 PM,34.0336,-114.8808, 281,452,520,"30,000"
Mon 07:03:53 PM,34.0456,-114.9543, 281,453,521,"30,000"
Mon 07:04:23 PM,34.0575,-115.0257, 281,453,521,"30,000"
Mon 07:04:53 PM,34.0697,-115.1015, 281,453,521,"30,000"
Mon 07:05:23 PM,34.0817,-115.1753, 281,442,509,"29,975"
Mon 07:05:44 PM,34.0892,-115.2217, 281,425,489,"30,000"
Mon 07:06:14 PM,34.1006,-115.2929, 281,419,482,"30,000"
Mon 07:06:44 PM,34.1114,-115.3601, 281,419,482,"30,000"
Mon 07:07:14 PM,34.1229,-115.4314, 281,420,483,"30,000"
Mon 07:07:58 PM,34.1389,-115.5316, 281,421,484,"30,000"
Mon 07:08:19 PM,34.1462,-115.5776, 282,421,484,"30,000"
Mon 07:08:48 PM,34.1570,-115.6480, 279,423,487,"30,000"
Mon 07:09:09 PM,34.1604,-115.6950, 272,425,489,"30,000"
Mon 07:09:29 PM,34.1585,-115.7415, 263,426,490,"30,000"
Mon 07:09:49 PM,34.1537,-115.7925, 264,427,491,"30,000"
Mon 07:10:32 PM,34.1443,-115.8920, 263,427,491,"30,000"
Mon 07:11:03 PM,34.1373,-115.9635, 263,427,491,"30,000"
Mon 07:11:33 PM,34.1304,-116.0335, 264,426,490,"30,000"
Mon 07:12:03 PM,34.1235,-116.1046, 263,426,490,"30,000"
Mon 07:12:33 PM,34.1164,-116.1768, 263,424,488,"30,000"
Mon 07:13:03 PM,34.1093,-116.2489, 263,437,503,"30,000"
Mon 07:13:33 PM,34.1023,-116.3180, 264,447,514,"29,800"
Mon 07:14:03 PM,34.0938,-116.3969, 264,446,513,"28,650"
Mon 07:14:24 PM,34.0885,-116.4456, 263,442,509,"27,950"
Mon 07:14:51 PM,34.0815,-116.5109, 263,434,499,"27,000"
Mon 07:15:21 PM,34.0737,-116.5829, 263,425,489,"26,025"
Mon 07:15:51 PM,34.0669,-116.6533, 264,399,459,"25,325"
Mon 07:16:21 PM,34.0613,-116.7169, 264,386,444,"24,500"
Mon 07:16:41 PM,34.0575,-116.7606, 264,380,437,"23,825"
Mon 07:17:11 PM,34.0519,-116.8204, 263,374,430,"22,800"
