Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 08:49:25 PM    Departure (PHX) @ Monday 05:49:25 PM MST,,,FlightAware ADS-B (KPHX)
Mon 08:49:25 PM,33.4310,-111.9941, 90,161,185,"1,625"
Mon 08:49:41 PM,33.4310,-111.9794, 91,159,183,"2,550"
Mon 08:49:57 PM,33.4307,-111.9646, 91,168,193,"3,025"
Mon 08:50:13 PM,33.4306,-111.9493, 90,182,209,"3,350"
Mon 08:50:29 PM,33.4306,-111.9327, 90,200,230,"3,600"
Mon 08:50:51 PM,33.4302,-111.9064, 92,228,262,"4,075"
Mon 08:51:21 PM,33.4290,-111.8675, 93,241,277,"5,200"
Mon 08:51:37 PM,33.4233,-111.8460, 121,251,289,"5,825"
Mon 08:51:54 PM,33.4099,-111.8300, 149,269,310,"6,250"
Mon 08:52:11 PM,33.3881,-111.8240, 183,284,327,"6,725"
Mon 08:52:28 PM,33.3664,-111.8350, 218,280,322,"7,525"
Mon 08:52:45 PM,33.3557,-111.8547, 253,277,319,"8,375"
Mon 08:53:12 PM,33.3574,-111.8982, 281,289,333,"9,425"
Mon 08:53:57 PM,33.3676,-111.9701, 279,319,367,"10,700"
Mon 08:54:27 PM,33.3749,-112.0245, 279,349,402,"11,250"
Mon 08:54:57 PM,33.3826,-112.0831, 279,374,430,"11,775"
Mon 08:55:27 PM,33.3910,-112.1473, 279,385,443,"12,825"
Mon 08:55:57 PM,33.3991,-112.2088, 279,388,447,"14,075"
Mon 08:56:27 PM,33.4076,-112.2734, 279,387,445,"15,350"
Mon 08:56:57 PM,33.4157,-112.3370, 279,393,452,"16,350"
Mon 08:57:27 PM,33.4241,-112.4014, 279,400,460,"17,325"
Mon 08:57:57 PM,33.4329,-112.4687, 279,407,468,"18,250"
Mon 08:58:27 PM,33.4418,-112.5376, 279,413,475,"19,125"
Mon 08:58:57 PM,33.4492,-112.6025, 275,417,480,"19,950"
Mon 08:59:36 PM,33.4510,-112.6933, 271,415,478,"21,300"
Mon 09:00:06 PM,33.4520,-112.7623, 271,415,478,"22,275"
Mon 09:00:22 PM,33.4550,-112.7961, 282,418,481,"22,725"
Mon 09:01:06 PM,33.4854,-112.8931, 293,426,490,"23,750"
Mon 09:01:37 PM,33.5100,-112.9638, 293,443,510,"23,975"
Mon 09:02:07 PM,33.5343,-113.0333, 293,460,529,"24,000"
Mon 09:02:37 PM,33.5598,-113.1064, 293,468,539,"24,000"
Mon 09:03:07 PM,33.5831,-113.1734, 293,473,544,"24,000"
Mon 09:03:37 PM,33.6086,-113.2468, 293,471,542,"24,000"
Mon 09:04:08 PM,33.6347,-113.3226, 293,469,540,"24,000"
Mon 09:04:38 PM,33.6601,-113.3961, 292,466,536,"24,000"
Mon 09:05:08 PM,33.6848,-113.4677, 292,470,541,"24,000"
Mon 09:05:39 PM,33.7102,-113.5415, 292,473,544,"24,000"
Mon 09:06:09 PM,33.7350,-113.6137, 292,475,547,"24,000"
Mon 09:06:40 PM,33.7617,-113.6919, 292,475,547,"24,000"
Mon 09:07:10 PM,33.7859,-113.7626, 292,473,544,"24,000"
Mon 09:07:41 PM,33.8115,-113.8376, 292,475,547,"24,000"
Mon 09:08:11 PM,33.8361,-113.9100, 292,477,549,"24,000"
Mon 09:08:41 PM,33.8614,-113.9847, 292,479,551,"24,000"
Mon 09:09:11 PM,33.8871,-114.0603, 292,480,552,"24,000"
Mon 09:09:47 PM,33.9112,-114.1509, 283,481,554,"24,000"
Mon 09:10:17 PM,33.9245,-114.2287, 282,480,552,"24,000"
Mon 09:10:47 PM,33.9375,-114.3052, 282,484,557,"24,000"
Mon 09:11:17 PM,33.9515,-114.3872, 282,483,556,"24,000"
Mon 09:11:47 PM,33.9645,-114.4648, 281,482,555,"24,000"
Mon 09:12:17 PM,33.9774,-114.5420, 281,482,555,"24,000"
Mon 09:12:47 PM,33.9907,-114.6217, 281,482,555,"24,000"
Mon 09:13:18 PM,34.0042,-114.7034, 281,484,557,"24,000"
Mon 09:13:49 PM,34.0184,-114.7889, 281,484,557,"24,000"
Mon 09:14:19 PM,34.0315,-114.8682, 281,484,557,"24,000"
Mon 09:14:50 PM,34.0444,-114.9473, 281,481,554,"24,000"
Mon 09:15:20 PM,34.0575,-115.0278, 281,478,550,"24,000"
Mon 09:15:50 PM,34.0697,-115.1030, 281,481,554,"24,000"
Mon 09:16:20 PM,34.0828,-115.1830, 281,483,556,"24,000"
Mon 09:16:51 PM,34.0962,-115.2661, 281,484,557,"24,000"
Mon 09:17:21 PM,34.1088,-115.3447, 281,485,558,"24,000"
Mon 09:17:51 PM,34.1218,-115.4254, 281,481,554,"24,000"
Mon 09:18:21 PM,34.1340,-115.5021, 281,479,551,"24,000"
Mon 09:18:51 PM,34.1464,-115.5802, 281,481,554,"24,000"
Mon 09:19:16 PM,34.1566,-115.6462, 279,480,552,"24,000"
Mon 09:19:37 PM,34.1604,-115.7017, 270,482,555,"24,000"
Mon 09:19:54 PM,34.1578,-115.7473, 264,482,555,"24,000"
Mon 09:20:24 PM,34.1496,-115.8318, 263,483,556,"24,000"
Mon 09:20:54 PM,34.1425,-115.9060, 263,483,556,"24,000"
Mon 09:21:24 PM,34.1344,-115.9895, 263,483,556,"24,000"
Mon 09:21:54 PM,34.1267,-116.0688, 263,482,555,"24,000"
Mon 09:22:24 PM,34.1190,-116.1481, 263,480,552,"24,000"
Mon 09:22:54 PM,34.1110,-116.2290, 263,481,554,"24,000"
Mon 09:23:24 PM,34.1029,-116.3093, 263,456,525,"24,000"
