Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 09:05:00 AM    Left Gate (PHX) @ Monday 06:05:00 AM MST,,,Airline
,,,
Taxi Time: 15 minutes,,,
Mon 09:20:58 AM    Departure (PHX) @ Monday 06:20:58 AM MST,,,FlightAware ADS-B (KFFZ)
Mon 09:20:58 AM,33.4310,-112.0022, 90,162,186,"1,250"
Mon 09:21:14 AM,33.4310,-111.9874, 89,158,182,"2,025"
Mon 09:21:30 AM,33.4313,-111.9738, 89,163,188,"2,600"
Mon 09:21:46 AM,33.4318,-111.9575, 87,182,209,"2,900"
Mon 09:22:02 AM,33.4325,-111.9405, 87,201,231,"3,250"
Mon 09:22:32 AM,33.4337,-111.9061, 87,226,260,"4,050"
Mon 09:22:49 AM,33.4335,-111.8838, 101,225,259,"4,900"
Mon 09:23:07 AM,33.4243,-111.8647, 133,220,253,"5,750"
Mon 09:23:23 AM,33.4105,-111.8551, 161,231,266,"6,275"
Mon 09:23:41 AM,33.3908,-111.8557, 199,263,303,"6,575"
Mon 09:23:57 AM,33.3750,-111.8686, 229,279,321,"7,050"
Mon 09:24:15 AM,33.3667,-111.8967, 268,293,337,"7,775"
Mon 09:24:43 AM,33.3716,-111.9427, 278,300,345,"9,025"
Mon 09:25:28 AM,33.3805,-112.0182, 278,323,372,"10,775"
Mon 09:25:58 AM,33.3870,-112.0713, 278,343,395,"11,775"
Mon 09:26:28 AM,33.3940,-112.1286, 278,351,404,"13,100"
Mon 09:26:58 AM,33.4011,-112.1876, 278,352,405,"14,700"
Mon 09:27:28 AM,33.4081,-112.2468, 278,358,412,"16,200"
Mon 09:27:58 AM,33.4149,-112.3028, 278,362,417,"17,550"
Mon 09:28:28 AM,33.4223,-112.3643, 278,372,428,"18,775"
Mon 09:28:58 AM,33.4292,-112.4234, 278,379,436,"20,000"
Mon 09:29:28 AM,33.4369,-112.4882, 278,381,438,"21,325"
Mon 09:29:58 AM,33.4445,-112.5532, 278,385,443,"22,575"
Mon 09:30:23 AM,33.4496,-112.6018, 274,390,449,"23,350"
Mon 09:31:01 AM,33.4513,-112.6889, 271,400,460,"24,625"
Mon 09:31:31 AM,33.4521,-112.7511, 271,402,463,"25,625"
Mon 09:31:48 AM,33.4558,-112.7936, 281,406,467,"26,250"
Mon 09:32:04 AM,33.4631,-112.8269, 287,411,473,"26,700"
Mon 09:32:42 AM,33.4904,-112.9072, 292,417,480,"27,800"
Mon 09:33:12 AM,33.5130,-112.9720, 293,424,488,"28,475"
Mon 09:33:42 AM,33.5352,-113.0357, 293,434,499,"28,975"
Mon 09:34:12 AM,33.5593,-113.1049, 293,444,511,"29,500"
Mon 09:34:42 AM,33.5839,-113.1755, 293,452,520,"30,000"
Mon 09:35:12 AM,33.6067,-113.2413, 293,457,526,"30,675"
Mon 09:35:42 AM,33.6325,-113.3157, 293,456,525,"31,525"
Mon 09:36:12 AM,33.6554,-113.3819, 292,450,518,"32,000"
Mon 09:36:42 AM,33.6801,-113.4536, 292,449,517,"32,000"
Mon 09:37:12 AM,33.7038,-113.5224, 292,449,517,"32,000"
Mon 09:37:42 AM,33.7269,-113.5897, 292,448,516,"32,000"
Mon 09:38:12 AM,33.7506,-113.6589, 292,447,514,"32,000"
Mon 09:38:42 AM,33.7743,-113.7281, 292,447,514,"32,000"
Mon 09:39:12 AM,33.7971,-113.7952, 292,447,514,"32,000"
Mon 09:39:42 AM,33.8199,-113.8623, 292,448,516,"32,000"
Mon 09:40:12 AM,33.8438,-113.9323, 292,451,519,"32,000"
Mon 09:40:42 AM,33.8680,-114.0033, 292,454,522,"32,000"
Mon 09:41:12 AM,33.8923,-114.0751, 292,455,524,"32,000"
Mon 09:41:42 AM,33.9104,-114.1453, 282,457,526,"32,000"
Mon 09:42:32 AM,33.9320,-114.2717, 281,457,526,"32,000"
Mon 09:43:04 AM,33.9451,-114.3499, 281,458,527,"32,000"
Mon 09:43:35 AM,33.9579,-114.4256, 281,459,528,"32,000"
Mon 09:44:05 AM,33.9704,-114.5000, 282,460,529,"32,000"
Mon 09:44:36 AM,33.9837,-114.5788, 281,461,531,"32,000"
Mon 09:45:06 AM,33.9955,-114.6500, 282,461,531,"32,000"
Mon 09:45:37 AM,34.0093,-114.7335, 281,462,532,"32,000"
Mon 09:46:07 AM,34.0218,-114.8087, 281,462,532,"32,000"
Mon 09:46:38 AM,34.0352,-114.8904, 281,463,533,"32,000"
Mon 09:47:08 AM,34.0470,-114.9634, 281,463,533,"32,000"
Mon 09:47:38 AM,34.0594,-115.0397, 281,463,533,"32,000"
Mon 09:48:08 AM,34.0719,-115.1165, 281,463,533,"32,000"
Mon 09:48:38 AM,34.0838,-115.1897, 281,463,533,"32,000"
Mon 09:49:08 AM,34.0962,-115.2652, 281,463,533,"32,000"
Mon 09:49:38 AM,34.1090,-115.3434, 281,464,534,"32,000"
Mon 09:50:25 AM,34.1282,-115.4640, 281,464,534,"32,000"
Mon 09:50:55 AM,34.1400,-115.5387, 281,465,535,"32,000"
Mon 09:51:25 AM,34.1516,-115.6116, 281,464,534,"32,000"
Mon 09:51:42 AM,34.1579,-115.6581, 276,467,537,"32,000"
Mon 09:52:04 AM,34.1598,-115.7165, 269,470,541,"32,000"
Mon 09:52:43 AM,34.1512,-115.8194, 264,472,543,"32,000"
Mon 09:53:13 AM,34.1438,-115.8976, 263,473,544,"32,000"
Mon 09:53:43 AM,34.1365,-115.9733, 263,472,543,"32,000"
Mon 09:54:13 AM,34.1289,-116.0508, 263,472,543,"32,000"
Mon 09:54:43 AM,34.1209,-116.1312, 263,471,542,"32,000"
Mon 09:55:13 AM,34.1133,-116.2081, 263,464,534,"31,700"
Mon 09:55:43 AM,34.1056,-116.2840, 263,463,533,"30,450"
Mon 09:56:04 AM,34.1000,-116.3370, 264,459,528,"29,650"
Mon 09:56:25 AM,34.0944,-116.3899, 263,459,528,"28,725"
Mon 09:56:53 AM,34.0868,-116.4615, 263,456,525,"27,700"
Mon 09:57:14 AM,34.0814,-116.5122, 263,452,520,"26,925"
Mon 09:57:53 AM,34.0708,-116.6108, 263,444,511,"25,500"
Mon 09:58:14 AM,34.0655,-116.6653, 264,439,505,"24,775"
Mon 09:58:39 AM,34.0601,-116.7257, 264,433,498,"23,925"
Mon 09:59:09 AM,34.0538,-116.7969, 264,425,489,"22,925"
Mon 09:59:39 AM,34.0476,-116.8657, 264,425,489,"22,100"
Mon 10:00:09 AM,34.0392,-116.9366, 261,430,495,"20,550"
Mon 10:00:39 AM,34.0297,-117.0090, 261,425,489,"19,300"
Mon 10:01:09 AM,34.0211,-117.0764, 262,417,480,"18,350"
Mon 10:01:39 AM,34.0132,-117.1445, 262,406,467,"17,475"
Mon 10:02:09 AM,34.0056,-117.2100, 262,395,455,"16,575"
Mon 10:02:39 AM,33.9974,-117.2780, 262,392,451,"15,325"
Mon 10:02:57 AM,33.9933,-117.3118, 262,393,452,"14,550"
Mon 10:03:27 AM,33.9855,-117.3780, 262,387,445,"13,400"
Mon 10:03:55 AM,33.9785,-117.4377, 262,376,433,"12,450"
Mon 10:04:17 AM,33.9748,-117.4810, 270,359,413,"11,900"
Mon 10:04:35 AM,33.9776,-117.5154, 281,331,381,"11,850"
Mon 10:05:05 AM,33.9870,-117.5705, 282,317,365,"11,175"
Mon 10:05:35 AM,33.9959,-117.6215, 282,305,351,"10,550"
Mon 10:06:04 AM,34.0038,-117.6674, 279,304,350,"10,075"
Mon 10:06:22 AM,34.0051,-117.6982, 267,312,359,"9,700"
Mon 10:06:41 AM,34.0018,-117.7315, 265,308,354,"9,300"
