Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 10:24:08 PM    Departure (PHX) @ Monday 07:24:08 PM MST,,,FlightAware ADS-B (KFFZ)
Mon 10:24:08 PM,33.4308,-112.0001, 92,159,183,"1,350"
Mon 10:24:24 PM,33.4303,-111.9861, 92,151,174,"2,150"
Mon 10:24:40 PM,33.4303,-111.9720, 88,162,186,"2,700"
Mon 10:24:56 PM,33.4310,-111.9562, 86,187,215,"3,025"
Mon 10:25:12 PM,33.4317,-111.9399, 87,195,224,"3,600"
Mon 10:25:41 PM,33.4332,-111.9065, 87,223,257,"4,625"
Mon 10:26:00 PM,33.4333,-111.8829, 100,231,266,"5,450"
Mon 10:26:16 PM,33.4239,-111.8635, 138,237,273,"6,200"
Mon 10:26:32 PM,33.4106,-111.8512, 147,243,280,"6,875"
Mon 10:26:48 PM,33.3949,-111.8446, 177,245,282,"7,500"
Mon 10:27:06 PM,33.3734,-111.8517, 208,242,278,"8,525"
Mon 10:27:24 PM,33.3587,-111.8653, 233,244,281,"9,350"
Mon 10:27:42 PM,33.3522,-111.8893, 269,251,289,"10,225"
Mon 10:28:01 PM,33.3540,-111.9144, 277,257,296,"11,000"
Mon 10:28:31 PM,33.3588,-111.9599, 277,279,321,"11,850"
Mon 10:29:01 PM,33.3636,-112.0077, 278,318,366,"12,100"
Mon 10:29:31 PM,33.3712,-112.0615, 280,326,375,"13,250"
Mon 10:30:01 PM,33.3794,-112.1161, 280,346,398,"13,900"
Mon 10:30:31 PM,33.3881,-112.1749, 280,353,406,"14,925"
Mon 10:31:01 PM,33.3963,-112.2305, 280,358,412,"15,850"
Mon 10:31:31 PM,33.4051,-112.2896, 280,366,421,"16,675"
Mon 10:32:01 PM,33.4143,-112.3525, 280,371,427,"17,575"
Mon 10:32:31 PM,33.4232,-112.4134, 280,373,429,"18,500"
Mon 10:33:01 PM,33.4317,-112.4725, 280,374,430,"19,400"
Mon 10:33:31 PM,33.4405,-112.5325, 280,382,440,"20,025"
Mon 10:33:55 PM,33.4476,-112.5845, 278,384,442,"20,625"
Mon 10:34:20 PM,33.4509,-112.6399, 272,386,444,"21,200"
Mon 10:34:50 PM,33.4518,-112.7046, 271,392,451,"21,850"
Mon 10:35:20 PM,33.4528,-112.7660, 273,396,456,"22,500"
Mon 10:35:36 PM,33.4569,-112.8023, 281,401,461,"22,800"
Mon 10:35:55 PM,33.4677,-112.8421, 292,404,465,"23,150"
Mon 10:36:36 PM,33.4975,-112.9271, 293,400,460,"24,375"
Mon 10:37:07 PM,33.5206,-112.9932, 293,410,472,"24,875"
Mon 10:37:37 PM,33.5422,-113.0549, 293,416,479,"25,450"
Mon 10:38:07 PM,33.5638,-113.1172, 293,407,468,"26,625"
Mon 10:38:37 PM,33.5852,-113.1787, 293,409,471,"27,375"
Mon 10:39:07 PM,33.6066,-113.2403, 293,399,459,"28,000"
Mon 10:39:37 PM,33.6290,-113.3050, 293,414,476,"28,025"
Mon 10:40:07 PM,33.6490,-113.3628, 292,392,451,"29,350"
Mon 10:40:37 PM,33.6708,-113.4261, 292,394,453,"30,000"
Mon 10:41:07 PM,33.6911,-113.4851, 292,415,478,"30,000"
Mon 10:41:37 PM,33.7145,-113.5530, 292,433,498,"30,000"
Mon 10:42:08 PM,33.7382,-113.6220, 292,447,514,"30,125"
Mon 10:42:38 PM,33.7619,-113.6912, 292,447,514,"30,725"
Mon 10:43:08 PM,33.7846,-113.7576, 292,445,512,"31,325"
Mon 10:43:38 PM,33.8090,-113.8296, 292,444,511,"31,950"
Mon 10:44:09 PM,33.8328,-113.8996, 292,444,511,"32,000"
Mon 10:44:41 PM,33.8580,-113.9735, 292,445,512,"32,000"
Mon 10:45:12 PM,33.8824,-114.0459, 292,446,513,"32,000"
Mon 10:45:42 PM,33.9029,-114.1128, 287,445,512,"32,000"
Mon 10:46:15 PM,33.9187,-114.1921, 282,442,509,"32,000"
Mon 10:46:52 PM,33.9342,-114.2834, 281,440,506,"32,000"
Mon 10:47:22 PM,33.9464,-114.3555, 281,441,507,"32,000"
Mon 10:47:57 PM,33.9603,-114.4378, 281,441,507,"32,000"
Mon 10:48:27 PM,33.9721,-114.5086, 281,441,507,"32,000"
Mon 10:48:59 PM,33.9877,-114.5829, 291,440,506,"32,000"
Mon 10:49:35 PM,34.0189,-114.6681, 294,439,505,"32,000"
Mon 10:50:05 PM,34.0434,-114.7337, 294,442,509,"32,000"
Mon 10:50:35 PM,34.0678,-114.7995, 294,443,510,"32,000"
Mon 10:51:05 PM,34.0911,-114.8649, 293,444,511,"32,000"
Mon 10:51:35 PM,34.1167,-114.9382, 292,444,511,"32,000"
Mon 10:52:05 PM,34.1393,-115.0039, 293,442,509,"32,000"
Mon 10:52:35 PM,34.1634,-115.0738, 292,444,511,"32,000"
Mon 10:53:05 PM,34.1863,-115.1408, 292,446,513,"32,000"
Mon 10:53:36 PM,34.2111,-115.2135, 292,443,510,"32,000"
Mon 10:54:06 PM,34.2346,-115.2838, 292,442,509,"32,000"
Mon 10:54:30 PM,34.2522,-115.3375, 290,443,510,"32,000"
Mon 10:54:50 PM,34.2607,-115.3867, 275,448,516,"32,000"
Mon 10:55:07 PM,34.2585,-115.4267, 260,451,519,"32,000"
Mon 10:55:37 PM,34.2371,-115.4973, 246,454,522,"32,000"
Mon 10:56:20 PM,34.2002,-115.5942, 245,431,496,"32,000"
Mon 10:56:47 PM,34.1786,-115.6522, 248,429,494,"32,000"
Mon 10:57:10 PM,34.1642,-115.7074, 257,427,491,"32,000"
Mon 10:57:37 PM,34.1565,-115.7668, 265,427,491,"32,000"
Mon 10:58:07 PM,34.1495,-115.8405, 263,427,491,"32,000"
Mon 10:58:37 PM,34.1426,-115.9116, 263,426,490,"32,000"
Mon 10:59:07 PM,34.1358,-115.9815, 264,424,488,"32,000"
Mon 10:59:37 PM,34.1288,-116.0525, 263,424,488,"32,000"
Mon 11:00:07 PM,34.1221,-116.1214, 263,423,487,"32,000"
Mon 11:00:37 PM,34.1149,-116.1941, 263,425,489,"32,000"
Mon 11:01:07 PM,34.1080,-116.2635, 264,430,495,"32,000"
Mon 11:01:37 PM,34.1009,-116.3338, 263,435,501,"31,975"
Mon 11:02:07 PM,34.0930,-116.4072, 263,430,495,"31,025"
Mon 11:02:35 PM,34.0857,-116.4737, 263,415,478,"29,975"
Mon 11:03:05 PM,34.0784,-116.5409, 263,437,503,"28,875"
Mon 11:03:35 PM,34.0704,-116.6169, 263,462,532,"27,700"
Mon 11:04:05 PM,34.0633,-116.6951, 264,469,540,"26,450"
Mon 11:04:35 PM,34.0564,-116.7708, 264,460,529,"25,225"
Mon 11:05:05 PM,34.0492,-116.8474, 264,447,514,"24,050"
Mon 11:05:31 PM,34.0433,-116.9088, 264,420,483,"23,075"
Mon 11:05:54 PM,34.0366,-116.9591, 261,397,457,"22,225"
Mon 11:06:14 PM,34.0303,-117.0053, 261,386,444,"21,450"
Mon 11:06:44 PM,34.0228,-117.0632, 262,360,414,"20,625"
Mon 11:07:14 PM,34.0160,-117.1220, 262,353,406,"19,700"
Mon 11:07:30 PM,34.0122,-117.1562, 264,352,405,"19,175"
Mon 11:07:47 PM,34.0155,-117.1859, 291,340,391,"18,675"
Mon 11:08:03 PM,34.0283,-117.2109, 308,328,377,"18,275"
Mon 11:08:28 PM,34.0512,-117.2454, 310,322,371,"17,700"
Mon 11:08:49 PM,34.0714,-117.2757, 310,322,371,"17,175"
Mon 11:09:30 PM,34.1102,-117.3335, 309,323,372,"16,200"
Mon 11:09:49 PM,34.1237,-117.3661, 284,332,382,"15,950"
Mon 11:10:09 PM,34.1219,-117.4007, 252,339,390,"15,325"
Mon 11:10:52 PM,34.0927,-117.4739, 244,330,380,"14,050"
Mon 11:11:15 PM,34.0774,-117.5108, 244,328,377,"13,400"
Mon 11:11:53 PM,34.0522,-117.5724, 244,328,377,"12,300"
Mon 11:12:33 PM,34.0260,-117.6362, 244,302,348,"11,175"
Mon 11:12:51 PM,34.0156,-117.6619, 246,285,328,"10,850"
Mon 11:13:13 PM,34.0062,-117.6963, 258,260,299,"10,475"
Mon 11:13:48 PM,34.0010,-117.7433, 263,236,272,"10,000"
Mon 11:14:18 PM,33.9973,-117.7819, 263,241,277,"9,400"
Mon 11:14:48 PM,33.9936,-117.8200, 263,237,273,"8,800"
Mon 11:15:18 PM,33.9897,-117.8594, 263,233,268,"8,175"
Mon 11:15:48 PM,33.9858,-117.8995, 263,230,265,"7,525"
Mon 11:16:18 PM,33.9823,-117.9354, 263,221,254,"6,950"
Mon 11:16:48 PM,33.9788,-117.9707, 263,201,231,"6,375"
Mon 11:17:18 PM,33.9757,-118.0017, 263,185,213,"5,875"
Mon 11:17:48 PM,33.9727,-118.0320, 263,176,203,"5,400"
Mon 11:18:18 PM,33.9698,-118.0615, 263,182,209,"5,025"
Mon 11:18:48 PM,33.9670,-118.0910, 264,180,207,"4,650"
Mon 11:19:10 PM,33.9648,-118.1123, 263,170,196,"4,325"
Mon 11:19:40 PM,33.9620,-118.1401, 263,166,191,"3,900"
Mon 11:20:10 PM,33.9592,-118.1683, 263,164,189,"3,475"
Mon 11:20:37 PM,33.9570,-118.1919, 263,161,185,"3,150"
Mon 11:21:07 PM,33.9542,-118.2180, 263,159,183,"2,700"
Mon 11:21:35 PM,33.9517,-118.2425, 263,160,184,"2,300"
Mon 11:22:05 PM,33.9489,-118.2699, 263,160,184,"1,850"
Mon 11:22:27 PM,33.9470,-118.2882, 263,143,165,"1,525"
Mon 11:22:57 PM,33.9445,-118.3119, 263,140,161,"1,150"
,,,
Mon 11:23:09 PM,33.9437,-118.3210, 263,140,161,"1,000"
,,,
Mon 11:23:13 PM,33.9434,-118.3231, 263,140,161,975
Mon 11:23:29 PM,33.9421,-118.3358, 263,135,155,775
Mon 11:23:45 PM,33.9409,-118.3481, 263,130,150,575
Mon 11:24:01 PM,33.9397,-118.3603, 263,131,151,375
Mon 11:24:17 PM,33.9386,-118.3708, 263,131,151,200
Mon 11:24:33 PM,33.9374,-118.3828, 263,131,151,25
Mon 11:24:49 PM,33.9363,-118.3932, 263,109,125,
,,,
Mon 11:25:06 PM    Arrival (LAX) @ Monday 08:25:06 PM PDT,,,FlightAware
,,,
Taxi Time: 5 minutes,,,
Mon 11:31:00 PM    Gate Arrival (LAX) @ Monday 08:31:00 PM PDT,,,Airline
