Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 12:13:44 AM    Departure (PHX) @ Monday 09:13:44 PM MST,,,FlightAware ADS-B (KCHD)
Tue 12:13:44 AM,33.4310,-111.9977, 90,177,204,"1,150"
Tue 12:14:00 AM,33.4313,-111.9812, 88,177,204,"1,875"
Tue 12:14:16 AM,33.4319,-111.9666, 87,172,198,"2,675"
Tue 12:14:32 AM,33.4327,-111.9506, 87,188,216,"3,050"
Tue 12:14:48 AM,33.4334,-111.9352, 87,196,226,"3,500"
Tue 12:15:11 AM,33.4345,-111.9066, 88,226,260,"4,000"
Tue 12:15:41 AM,33.4355,-111.8649, 88,253,291,"4,875"
Tue 12:15:59 AM,33.4310,-111.8410, 116,262,302,"5,525"
Tue 12:16:17 AM,33.4140,-111.8242, 156,266,306,"6,250"
Tue 12:16:33 AM,33.3935,-111.8232, 192,274,315,"6,875"
Tue 12:16:51 AM,33.3756,-111.8376, 228,278,320,"7,600"
Tue 12:17:09 AM,33.3630,-111.8600, 240,277,319,"8,525"
Tue 12:17:27 AM,33.3543,-111.8855, 252,280,322,"9,350"
Tue 12:17:43 AM,33.3523,-111.9117, 272,289,333,"10,075"
Tue 12:18:06 AM,33.3567,-111.9496, 278,314,361,"10,575"
Tue 12:18:36 AM,33.3626,-112.0051, 277,349,402,"11,200"
Tue 12:19:06 AM,33.3706,-112.0617, 280,353,406,"12,650"
Tue 12:19:36 AM,33.3795,-112.1199, 280,365,420,"13,900"
Tue 12:20:06 AM,33.3888,-112.1811, 280,375,432,"15,225"
Tue 12:20:36 AM,33.3982,-112.2448, 280,379,436,"16,800"
Tue 12:21:06 AM,33.4073,-112.3063, 280,383,441,"18,200"
Tue 12:21:36 AM,33.4164,-112.3691, 280,391,450,"19,425"
Tue 12:22:06 AM,33.4255,-112.4311, 280,399,459,"20,550"
Tue 12:22:36 AM,33.4350,-112.4970, 280,404,465,"21,750"
Tue 12:23:06 AM,33.4450,-112.5655, 280,417,480,"22,600"
Tue 12:23:30 AM,33.4503,-112.6224, 273,430,495,"23,125"
Tue 12:24:00 AM,33.4512,-112.6931, 271,451,519,"23,600"
Tue 12:24:26 AM,33.4526,-112.7581, 273,462,532,"24,150"
Tue 12:24:43 AM,33.4579,-112.8014, 281,468,539,"24,525"
Tue 12:25:05 AM,33.4733,-112.8579, 292,468,539,"25,250"
Tue 12:25:35 AM,33.4987,-112.9307, 293,476,548,"25,975"
Tue 12:26:05 AM,33.5241,-113.0041, 293,474,545,"27,025"
