Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 11:56:00 AM    Left Gate (PHX) @ Monday 08:56:00 AM MST,,,Airline
,,,
Taxi Time: 11 minutes,,,
Mon 12:07:44 PM    Departure (PHX) @ Monday 09:07:44 AM MST,,,FlightAware ADS-B (KPHX)
Mon 12:07:44 PM,33.4310,-112.0028, 90,156,180,"1,125"
Mon 12:08:00 PM,33.4310,-111.9887, 89,156,180,"1,800"
Mon 12:08:16 PM,33.4315,-111.9742, 86,155,178,"2,525"
Mon 12:08:32 PM,33.4325,-111.9604, 86,175,201,"2,875"
Mon 12:08:48 PM,33.4329,-111.9441, 89,201,231,"3,150"
Mon 12:09:04 PM,33.4333,-111.9257, 89,214,246,"3,725"
Mon 12:09:20 PM,33.4337,-111.9064, 88,217,250,"4,450"
Mon 12:09:36 PM,33.4338,-111.8851, 98,221,254,"5,400"
Mon 12:09:54 PM,33.4266,-111.8670, 131,223,257,"6,450"
Mon 12:10:13 PM,33.4096,-111.8521, 148,227,261,"7,700"
Mon 12:10:30 PM,33.3939,-111.8461, 177,234,269,"8,700"
Mon 12:10:47 PM,33.3750,-111.8517, 209,245,282,"9,775"
Mon 12:11:05 PM,33.3599,-111.8699, 236,272,313,"10,525"
Mon 12:11:21 PM,33.3551,-111.8938, 272,321,369,"10,800"
Mon 12:11:48 PM,33.3624,-111.9445, 280,355,409,"11,650"
Mon 12:12:18 PM,33.3705,-112.0041, 279,367,422,"13,300"
Mon 12:12:58 PM,33.3813,-112.0860, 279,382,440,"15,325"
Mon 12:13:28 PM,33.3900,-112.1510, 279,387,445,"17,000"
Mon 12:13:58 PM,33.3983,-112.2130, 279,390,449,"18,600"
Mon 12:14:28 PM,33.4072,-112.2794, 279,397,457,"20,025"
Mon 12:14:58 PM,33.4158,-112.3433, 279,405,466,"21,350"
Mon 12:15:28 PM,33.4248,-112.4107, 279,394,453,"23,225"
Mon 12:15:58 PM,33.4329,-112.4728, 279,396,456,"24,650"
Mon 12:16:28 PM,33.4414,-112.5379, 279,399,459,"25,900"
Mon 12:16:56 PM,33.4492,-112.6024, 276,399,459,"27,050"
Mon 12:17:14 PM,33.4503,-112.6386, 271,397,457,"27,875"
Mon 12:17:44 PM,33.4513,-112.7074, 271,400,460,"28,925"
Mon 12:18:09 PM,33.4522,-112.7610, 272,403,464,"29,700"
Mon 12:18:28 PM,33.4573,-112.8031, 283,408,470,"30,275"
Mon 12:18:54 PM,33.4730,-112.8580, 293,417,480,"30,850"
Mon 12:19:24 PM,33.4950,-112.9209, 292,425,489,"31,475"
Mon 12:19:54 PM,33.5186,-112.9892, 293,432,497,"32,000"
Mon 12:20:24 PM,33.5416,-113.0552, 293,433,498,"32,000"
Mon 12:20:54 PM,33.5646,-113.1215, 293,432,497,"32,000"
Mon 12:21:24 PM,33.5883,-113.1887, 293,433,498,"32,000"
Mon 12:21:54 PM,33.6104,-113.2517, 293,434,499,"32,000"
Mon 12:22:24 PM,33.6341,-113.3201, 292,435,501,"32,000"
Mon 12:22:54 PM,33.6564,-113.3849, 292,435,501,"32,000"
Mon 12:23:24 PM,33.6810,-113.4561, 292,435,501,"32,000"
Mon 12:23:54 PM,33.7032,-113.5206, 292,436,502,"32,000"
Mon 12:24:24 PM,33.7271,-113.5898, 293,437,503,"32,000"
Mon 12:24:55 PM,33.7503,-113.6568, 292,438,504,"32,000"
Mon 12:25:25 PM,33.7732,-113.7248, 292,440,506,"32,000"
