Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 01:46:30 PM    Departure (PHX) @ Monday 10:46:30 AM MST,,,FlightAware ADS-B (KPHX)
Mon 01:46:30 PM,33.4310,-112.0092, 90,156,180,"1,050"
Mon 01:46:46 PM,33.4310,-111.9941, 90,169,194,"1,475"
Mon 01:47:02 PM,33.4313,-111.9783, 88,167,192,"2,275"
Mon 01:47:18 PM,33.4320,-111.9632, 87,177,204,"2,875"
Mon 01:47:34 PM,33.4326,-111.9475, 87,195,224,"3,300"
Mon 01:47:50 PM,33.4332,-111.9276, 88,213,245,"3,825"
Mon 01:48:09 PM,33.4340,-111.9049, 87,223,257,"4,825"
Mon 01:48:26 PM,33.4339,-111.8844, 99,228,262,"5,650"
Mon 01:48:42 PM,33.4266,-111.8669, 129,222,255,"6,675"
Mon 01:49:01 PM,33.4101,-111.8519, 147,227,261,"7,750"
Mon 01:49:19 PM,33.3919,-111.8452, 175,237,273,"8,600"
Mon 01:49:35 PM,33.3762,-111.8503, 205,245,282,"9,325"
Mon 01:49:54 PM,33.3600,-111.8697, 236,261,300,"10,300"
Mon 01:50:11 PM,33.3533,-111.8919, 264,279,321,"11,000"
Mon 01:50:42 PM,33.3578,-111.9415, 276,276,318,"12,900"
Mon 01:51:04 PM,33.3603,-111.9734, 275,300,345,"13,400"
Mon 01:51:34 PM,33.3661,-112.0302, 280,344,396,"13,950"
Mon 01:52:04 PM,33.3751,-112.0886, 280,370,426,"14,775"
Mon 01:52:34 PM,33.3841,-112.1487, 280,374,430,"16,200"
Mon 01:53:04 PM,33.3935,-112.2115, 280,379,436,"17,575"
Mon 01:53:34 PM,33.4023,-112.2720, 280,388,447,"18,675"
Mon 01:54:04 PM,33.4113,-112.3333, 280,384,442,"20,150"
Mon 01:54:34 PM,33.4206,-112.3966, 280,382,440,"20,950"
Mon 01:55:04 PM,33.4296,-112.4588, 280,385,443,"21,000"
Mon 01:55:35 PM,33.4391,-112.5238, 280,384,442,"21,000"
Mon 01:56:04 PM,33.4481,-112.5876, 278,382,440,"21,000"
Mon 01:56:47 PM,33.4510,-112.6741, 271,378,435,"21,000"
Mon 01:57:21 PM,33.4522,-112.7497, 271,376,433,"21,000"
Mon 01:57:42 PM,33.4538,-112.7903, 277,377,434,"21,000"
Mon 01:58:22 PM,33.4772,-112.8678, 293,384,442,"21,000"
Mon 01:58:54 PM,33.4996,-112.9323, 292,385,443,"21,000"
Mon 01:59:26 PM,33.5214,-112.9952, 293,386,444,"21,000"
Mon 01:59:56 PM,33.5423,-113.0553, 292,385,443,"21,125"
Mon 02:00:26 PM,33.5621,-113.1124, 293,383,441,"21,625"
Mon 02:00:56 PM,33.5825,-113.1711, 293,381,438,"21,975"
Mon 02:01:27 PM,33.6040,-113.2328, 293,382,440,"22,000"
Mon 02:01:57 PM,33.6244,-113.2917, 293,384,442,"22,000"
Mon 02:02:28 PM,33.6454,-113.3523, 292,384,442,"22,000"
Mon 02:02:58 PM,33.6656,-113.4107, 292,380,437,"22,000"
Mon 02:03:28 PM,33.6856,-113.4691, 292,379,436,"22,000"
Mon 02:03:58 PM,33.7051,-113.5256, 292,381,438,"22,000"
Mon 02:04:29 PM,33.7263,-113.5873, 292,379,436,"22,000"
Mon 02:04:59 PM,33.7463,-113.6459, 292,380,437,"22,000"
Mon 02:05:29 PM,33.7666,-113.7054, 292,381,438,"22,000"
Mon 02:06:00 PM,33.7875,-113.7664, 292,379,436,"22,000"
Mon 02:06:30 PM,33.8068,-113.8232, 292,379,436,"22,000"
Mon 02:07:00 PM,33.8270,-113.8824, 292,381,438,"22,000"
Mon 02:07:30 PM,33.8466,-113.9403, 292,380,437,"22,000"
Mon 02:08:00 PM,33.8669,-114.0002, 292,380,437,"22,000"
Mon 02:08:30 PM,33.8868,-114.0592, 292,382,440,"22,000"
