Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 01:56:06 PM    Departure (PHX) @ Monday 10:56:06 AM MST,,,FlightAware ADS-B (KPHX)
Mon 01:56:06 PM,33.4307,-111.9948, 92,144,166,"1,775"
Mon 01:56:22 PM,33.4306,-111.9823, 88,147,169,"2,375"
Mon 01:56:38 PM,33.4313,-111.9668, 86,175,201,"2,700"
Mon 01:56:54 PM,33.4319,-111.9512, 87,196,226,"3,050"
Mon 01:57:10 PM,33.4326,-111.9341, 87,202,232,"3,675"
Mon 01:57:33 PM,33.4336,-111.9064, 88,213,245,"4,725"
Mon 01:57:50 PM,33.4340,-111.8871, 94,217,250,"5,425"
Mon 01:58:09 PM,33.4267,-111.8662, 132,213,245,"6,375"
Mon 01:58:27 PM,33.4131,-111.8531, 145,219,252,"7,200"
Mon 01:58:45 PM,33.3959,-111.8438, 172,227,261,"7,925"
Mon 01:59:01 PM,33.3793,-111.8475, 203,237,273,"8,600"
Mon 01:59:19 PM,33.3619,-111.8609, 226,247,284,"9,450"
Mon 01:59:35 PM,33.3526,-111.8815, 250,261,300,"10,100"
Mon 01:59:54 PM,33.3528,-111.9074, 277,278,320,"10,775"
Mon 02:00:30 PM,33.3590,-111.9634, 277,294,338,"12,025"
Mon 02:00:58 PM,33.3642,-112.0126, 278,328,377,"12,350"
Mon 02:01:28 PM,33.3719,-112.0661, 280,337,388,"13,375"
Mon 02:01:58 PM,33.3803,-112.1226, 280,347,399,"14,350"
Mon 02:02:28 PM,33.3887,-112.1794, 280,348,400,"15,525"
Mon 02:02:58 PM,33.3973,-112.2376, 280,352,405,"16,625"
Mon 02:03:16 PM,33.4023,-112.2715, 280,355,409,"17,200"
Mon 02:03:46 PM,33.4107,-112.3289, 280,361,415,"18,075"
Mon 02:04:16 PM,33.4194,-112.3883, 280,363,418,"19,025"
Mon 02:04:46 PM,33.4283,-112.4499, 280,366,421,"20,000"
Mon 02:05:16 PM,33.4368,-112.5077, 280,371,427,"20,775"
Mon 02:05:46 PM,33.4456,-112.5697, 279,376,433,"21,575"
Mon 02:06:12 PM,33.4503,-112.6240, 273,378,435,"22,250"
Mon 02:06:42 PM,33.4515,-112.6877, 271,380,437,"23,075"
Mon 02:07:12 PM,33.4522,-112.7491, 271,387,445,"23,700"
Mon 02:07:32 PM,33.4553,-112.7922, 280,394,453,"24,075"
Mon 02:07:55 PM,33.4675,-112.8416, 292,399,459,"24,600"
Mon 02:08:31 PM,33.4924,-112.9129, 293,400,460,"25,500"
Mon 02:09:01 PM,33.5138,-112.9740, 293,400,460,"26,275"
Mon 02:09:31 PM,33.5357,-113.0366, 293,401,461,"27,050"
Mon 02:10:01 PM,33.5568,-113.0970, 293,409,471,"27,525"
Mon 02:10:31 PM,33.5793,-113.1617, 293,414,476,"28,075"
Mon 02:11:01 PM,33.6015,-113.2255, 293,413,475,"28,825"
Mon 02:11:31 PM,33.6228,-113.2873, 293,418,481,"29,375"
Mon 02:12:01 PM,33.6454,-113.3526, 293,423,487,"29,875"
Mon 02:12:33 PM,33.6703,-113.4249, 292,427,491,"30,000"
Mon 02:13:03 PM,33.6923,-113.4887, 292,426,490,"30,000"
Mon 02:13:33 PM,33.7157,-113.5568, 292,439,505,"30,000"
Mon 02:14:06 PM,33.7416,-113.6324, 292,454,522,"30,000"
Mon 02:14:36 PM,33.7658,-113.7030, 292,459,528,"30,000"
Mon 02:15:06 PM,33.7895,-113.7727, 292,458,527,"30,000"
Mon 02:15:36 PM,33.8140,-113.8443, 292,457,526,"30,000"
Mon 02:16:09 PM,33.8398,-113.9203, 292,460,529,"30,000"
Mon 02:16:39 PM,33.8634,-113.9898, 292,463,533,"30,000"
Mon 02:17:11 PM,33.8903,-114.0699, 291,461,531,"30,000"
Mon 02:17:41 PM,33.9093,-114.1411, 285,461,531,"30,000"
Mon 02:18:00 PM,33.9179,-114.1873, 281,460,529,"30,000"
Mon 02:18:30 PM,33.9306,-114.2626, 282,460,529,"30,000"
Mon 02:19:01 PM,33.9438,-114.3408, 282,461,531,"30,000"
Mon 02:19:31 PM,33.9565,-114.4157, 281,463,533,"30,000"
Mon 02:20:01 PM,33.9694,-114.4931, 281,463,533,"30,000"
Mon 02:20:31 PM,33.9819,-114.5673, 281,464,534,"30,000"
Mon 02:21:01 PM,33.9947,-114.6446, 281,465,535,"30,000"
Mon 02:21:31 PM,34.0069,-114.7181, 281,465,535,"30,000"
Mon 02:22:01 PM,34.0199,-114.7965, 281,466,536,"30,000"
Mon 02:22:31 PM,34.0320,-114.8700, 281,465,535,"30,000"
Mon 02:23:01 PM,34.0444,-114.9462, 281,466,536,"30,000"
Mon 02:23:31 PM,34.0573,-115.0252, 281,468,539,"30,000"
Mon 02:24:01 PM,34.0697,-115.1012, 281,470,541,"30,000"
Mon 02:24:31 PM,34.0823,-115.1787, 281,471,542,"30,000"
Mon 02:25:01 PM,34.0943,-115.2525, 281,471,542,"30,000"
Mon 02:25:31 PM,34.1070,-115.3318, 281,472,543,"30,000"
Mon 02:26:01 PM,34.1201,-115.4130, 281,475,547,"30,000"
Mon 02:26:32 PM,34.1322,-115.4888, 281,474,545,"30,000"
Mon 02:27:02 PM,34.1449,-115.5692, 281,473,544,"30,000"
Mon 02:27:32 PM,34.1566,-115.6462, 278,473,544,"30,000"
Mon 02:28:00 PM,34.1598,-115.7229, 268,473,544,"30,000"
Mon 02:28:38 PM,34.1516,-115.8180, 263,474,545,"30,000"
Mon 02:29:09 PM,34.1437,-115.8995, 263,478,550,"30,000"
Mon 02:29:40 PM,34.1355,-115.9832, 263,475,547,"30,000"
Mon 02:30:10 PM,34.1278,-116.0624, 263,474,545,"30,000"
Mon 02:30:41 PM,34.1198,-116.1435, 263,467,537,"29,975"
Mon 02:31:11 PM,34.1123,-116.2188, 263,456,525,"29,325"
Mon 02:31:42 PM,34.1046,-116.2950, 263,447,514,"28,300"
Mon 02:32:12 PM,34.0967,-116.3707, 263,442,509,"27,300"
Mon 02:32:42 PM,34.0892,-116.4407, 263,433,498,"26,350"
Mon 02:33:09 PM,34.0820,-116.5073, 264,421,484,"25,500"
Mon 02:33:30 PM,34.0768,-116.5556, 263,419,482,"24,825"
Mon 02:34:00 PM,34.0697,-116.6232, 264,418,481,"23,925"
Mon 02:34:26 PM,34.0643,-116.6840, 264,420,483,"23,125"
Mon 02:34:56 PM,34.0580,-116.7524, 264,409,471,"22,200"
Mon 02:35:33 PM,34.0503,-116.8347, 264,399,459,"21,100"
Mon 02:36:05 PM,34.0436,-116.9052, 263,395,455,"20,175"
Mon 02:36:25 PM,34.0378,-116.9482, 261,386,444,"19,600"
Mon 02:36:42 PM,34.0332,-116.9825, 261,377,434,"19,125"
Mon 02:37:12 PM,34.0246,-117.0483, 261,373,429,"18,250"
Mon 02:37:42 PM,34.0176,-117.1078, 262,376,433,"17,450"
Mon 02:37:59 PM,34.0136,-117.1422, 263,374,430,"17,000"
Mon 02:38:21 PM,34.0081,-117.1884, 262,373,429,"16,275"
Mon 02:39:02 PM,33.9981,-117.2714, 262,368,423,"15,175"
Mon 02:39:32 PM,33.9909,-117.3320, 262,361,415,"14,350"
Mon 02:40:02 PM,33.9841,-117.3899, 262,353,406,"13,575"
Mon 02:40:32 PM,33.9773,-117.4477, 262,351,404,"12,800"
Mon 02:40:54 PM,33.9748,-117.4899, 272,333,383,"12,350"
Mon 02:41:12 PM,33.9784,-117.5223, 282,319,367,"11,925"
Mon 02:41:42 PM,33.9877,-117.5744, 282,306,352,"11,225"
Mon 02:42:12 PM,33.9958,-117.6200, 282,302,348,"10,625"
Mon 02:42:39 PM,34.0038,-117.6667, 279,302,348,"10,150"
Mon 02:42:57 PM,34.0052,-117.6977, 268,303,349,"9,825"
Mon 02:43:25 PM,34.0010,-117.7440, 263,295,339,"9,175"
Mon 02:43:55 PM,33.9962,-117.7932, 263,292,336,"8,500"
Mon 02:44:25 PM,33.9916,-117.8393, 263,287,330,"7,900"
Mon 02:44:55 PM,33.9871,-117.8862, 263,282,325,"7,250"
Mon 02:45:25 PM,33.9827,-117.9307, 263,248,285,"6,675"
Mon 02:45:55 PM,33.9788,-117.9705, 263,238,274,"6,150"
Mon 02:46:25 PM,33.9749,-118.0098, 263,234,269,"5,625"
Mon 02:46:55 PM,33.9712,-118.0476, 263,222,255,"5,175"
Mon 02:47:25 PM,33.9677,-118.0828, 264,202,232,"4,775"
Mon 02:47:55 PM,33.9646,-118.1148, 263,190,219,"4,275"
Mon 02:48:25 PM,33.9613,-118.1466, 263,191,220,"3,800"
Mon 02:48:55 PM,33.9582,-118.1784, 264,191,220,"3,275"
Mon 02:49:19 PM,33.9558,-118.2031, 263,185,213,"2,925"
Mon 02:49:49 PM,33.9525,-118.2353, 263,183,211,"2,425"
Mon 02:50:19 PM,33.9495,-118.2638, 263,181,208,"1,950"
Mon 02:50:49 PM,33.9467,-118.2913, 263,153,176,"1,500"
Mon 02:51:19 PM,33.9441,-118.3162, 263,134,154,"1,100"
,,,
Mon 02:51:26 PM,33.9436,-118.3210, 263,135,155,"1,050"
,,,
Mon 02:51:35 PM,33.9429,-118.3282, 264,135,155,925
Mon 02:51:51 PM,33.9418,-118.3389, 263,133,153,750
Mon 02:52:07 PM,33.9406,-118.3513, 263,134,154,550
Mon 02:52:23 PM,33.9393,-118.3632, 263,132,152,375
Mon 02:52:39 PM,33.9383,-118.3737, 263,129,148,200
Mon 02:52:55 PM,33.9371,-118.3854, 263,127,146,
,,,
Mon 02:53:00 PM    Arrival (LAX) @ Monday 11:53:00 AM PDT,,,ffas
,,,
Taxi Time: 10 minutes,,,
Mon 03:03:00 PM    Gate Arrival (LAX) @ Monday 12:03:00 PM PDT,,,Delta Air Lines
