Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 03:13:00 PM    Left Gate (PHX) @ Monday 12:13:00 PM MST,,,Airline
,,,
Taxi Time: 11 minutes,,,
Mon 03:24:09 PM    Departure (PHX) @ Monday 12:24:09 PM MST,,,FlightAware ADS-B (KPHX)
Mon 03:24:09 PM,33.4310,-111.9959, 90,157,181,"1,525"
Mon 03:24:25 PM,33.4312,-111.9813, 88,160,184,"2,175"
Mon 03:24:41 PM,33.4318,-111.9664, 88,180,207,"2,550"
Mon 03:24:57 PM,33.4323,-111.9498, 88,204,235,"2,850"
Mon 03:25:13 PM,33.4328,-111.9316, 88,208,239,"3,550"
Mon 03:25:33 PM,33.4334,-111.9081, 89,209,241,"4,600"
Mon 03:25:52 PM,33.4338,-111.8854, 93,220,253,"5,350"
Mon 03:26:10 PM,33.4254,-111.8656, 134,232,267,"6,275"
Mon 03:26:28 PM,33.4085,-111.8513, 148,236,272,"7,425"
Mon 03:26:44 PM,33.3936,-111.8462, 177,236,272,"8,475"
Mon 03:27:03 PM,33.3731,-111.8531, 212,244,281,"9,825"
Mon 03:27:20 PM,33.3597,-111.8695, 232,254,292,"10,875"
Mon 03:27:37 PM,33.3535,-111.8923, 265,273,314,"11,750"
Mon 03:28:18 PM,33.3592,-111.9636, 277,353,406,"12,450"
Mon 03:28:45 PM,33.3647,-112.0161, 279,371,427,"13,675"
Mon 03:29:20 PM,33.3758,-112.0890, 280,385,443,"15,400"
Mon 03:29:40 PM,33.3819,-112.1307, 280,391,450,"16,475"
Mon 03:30:10 PM,33.3913,-112.1955, 280,392,451,"18,125"
Mon 03:30:40 PM,33.4005,-112.2595, 280,387,445,"19,675"
Mon 03:31:01 PM,33.4069,-112.3044, 280,399,459,"20,050"
Mon 03:31:31 PM,33.4164,-112.3698, 280,405,466,"21,325"
Mon 03:32:01 PM,33.4258,-112.4331, 280,384,442,"22,750"
Mon 03:32:31 PM,33.4347,-112.4947, 280,376,433,"23,275"
Mon 03:33:01 PM,33.4434,-112.5555, 280,381,438,"24,575"
Mon 03:33:17 PM,33.4481,-112.5902, 277,384,442,"25,275"
Mon 03:34:02 PM,33.4512,-112.6870, 271,389,448,"26,000"
Mon 03:34:32 PM,33.4522,-112.7525, 273,385,443,"26,000"
Mon 03:34:49 PM,33.4556,-112.7871, 280,385,443,"26,000"
Mon 03:35:10 PM,33.4645,-112.8306, 288,384,442,"26,000"
Mon 03:35:41 PM,33.4842,-112.8897, 293,383,441,"26,000"
Mon 03:36:11 PM,33.5053,-112.9505, 293,382,440,"26,000"
Mon 03:36:46 PM,33.5286,-113.0171, 293,382,440,"26,000"
Mon 03:37:18 PM,33.5506,-113.0802, 293,386,444,"26,025"
Mon 03:37:49 PM,33.5739,-113.1471, 293,411,473,"26,025"
Mon 03:38:19 PM,33.5953,-113.2082, 293,413,475,"26,000"
Mon 03:38:49 PM,33.6173,-113.2714, 293,413,475,"26,000"
Mon 03:39:19 PM,33.6391,-113.3345, 293,416,479,"26,700"
Mon 03:39:49 PM,33.6621,-113.4010, 292,433,498,"27,375"
