Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 05:07:28 PM    Departure (PHX) @ Saturday 02:07:28 PM MST,,,FlightAware ADS-B (KPHX)
Sat 05:07:28 PM,33.4314,-112.0281, 272,172,198,"1,875"
Sat 05:07:44 PM,33.4323,-112.0441, 275,178,205,"2,600"
Sat 05:08:00 PM,33.4337,-112.0589, 277,194,223,"3,050"
Sat 05:08:16 PM,33.4348,-112.0776, 273,219,252,"3,500"
Sat 05:08:32 PM,33.4355,-112.0977, 273,249,287,"3,775"
Sat 05:09:02 PM,33.4368,-112.1445, 272,267,307,"5,225"
Sat 05:09:32 PM,33.4378,-112.1878, 272,276,318,"6,900"
Sat 05:10:02 PM,33.4392,-112.2337, 272,279,321,"8,600"
Sat 05:10:47 PM,33.4416,-112.3042, 272,285,328,"11,100"
Sat 05:11:17 PM,33.4428,-112.3519, 271,296,341,"12,500"
Sat 05:11:47 PM,33.4441,-112.4033, 272,329,379,"13,150"
Sat 05:12:17 PM,33.4459,-112.4607, 272,351,404,"14,100"
Sat 05:12:47 PM,33.4479,-112.5207, 272,353,406,"15,625"
Sat 05:13:17 PM,33.4496,-112.5780, 272,357,411,"16,900"
Sat 05:13:47 PM,33.4511,-112.6393, 271,360,414,"18,225"
Sat 05:14:17 PM,33.4517,-112.6979, 271,362,417,"19,450"
Sat 05:14:47 PM,33.4525,-112.7572, 271,361,415,"20,675"
Sat 05:15:06 PM,33.4549,-112.7967, 280,368,423,"21,550"
Sat 05:15:51 PM,33.4823,-112.8826, 292,386,444,"23,125"
Sat 05:16:21 PM,33.5031,-112.9425, 293,391,450,"23,925"
Sat 05:16:51 PM,33.5246,-113.0040, 293,395,455,"24,800"
Sat 05:17:21 PM,33.5449,-113.0624, 293,402,463,"25,525"
Sat 05:17:51 PM,33.5673,-113.1267, 293,407,468,"26,250"
Sat 05:18:21 PM,33.5886,-113.1882, 293,412,474,"26,975"
Sat 05:18:51 PM,33.6110,-113.2522, 293,407,468,"27,900"
Sat 05:19:22 PM,33.6336,-113.3177, 292,401,461,"28,000"
Sat 05:19:53 PM,33.6556,-113.3817, 292,404,465,"28,000"
Sat 05:20:23 PM,33.6773,-113.4445, 292,405,466,"28,000"
Sat 05:20:53 PM,33.6979,-113.5043, 292,404,465,"28,000"
Sat 05:21:24 PM,33.7207,-113.5706, 292,403,464,"28,025"
Sat 05:21:54 PM,33.7417,-113.6319, 292,404,465,"28,050"
Sat 05:22:24 PM,33.7624,-113.6926, 292,403,464,"28,050"
