Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 04:48:00 PM    Left Gate (PHX) @ Saturday 02:48:00 PM MST,,,Airline
,,,
Taxi Time: 18 minutes,,,
Sat 05:06:06 PM    Departure (PHX) @ Saturday 03:06:06 PM MST,,,FlightAware ADS-B (KFFZ)
Sat 05:06:06 PM,33.4311,-111.9932, 90,177,204,"1,425"
Sat 05:06:22 PM,33.4314,-111.9771, 88,172,198,"2,300"
Sat 05:06:38 PM,33.4318,-111.9623, 88,177,204,"2,875"
Sat 05:06:54 PM,33.4323,-111.9458, 88,187,215,"3,475"
Sat 05:07:10 PM,33.4328,-111.9284, 88,200,230,"4,025"
Sat 05:07:29 PM,33.4336,-111.9060, 88,213,245,"4,700"
Sat 05:07:46 PM,33.4340,-111.8870, 91,215,247,"5,475"
Sat 05:08:04 PM,33.4279,-111.8671, 123,226,260,"6,175"
Sat 05:08:22 PM,33.4124,-111.8515, 145,241,277,"6,775"
Sat 05:08:38 PM,33.3952,-111.8446, 171,249,287,"7,500"
Sat 05:08:56 PM,33.3747,-111.8513, 211,250,288,"8,425"
Sat 05:09:14 PM,33.3587,-111.8678, 233,250,288,"9,250"
Sat 05:09:31 PM,33.3532,-111.8886, 267,256,295,"9,925"
Sat 05:10:06 PM,33.3584,-111.9419, 276,279,321,"11,300"
Sat 05:10:36 PM,33.3620,-111.9892, 276,314,361,"11,975"
Sat 05:10:59 PM,33.3665,-112.0307, 280,339,390,"12,475"
Sat 05:11:29 PM,33.3752,-112.0878, 280,350,403,"13,800"
Sat 05:11:59 PM,33.3834,-112.1437, 280,350,403,"15,250"
Sat 05:12:29 PM,33.3920,-112.2017, 280,350,403,"16,775"
Sat 05:12:59 PM,33.4006,-112.2598, 280,356,410,"18,000"
Sat 05:13:29 PM,33.4093,-112.3188, 280,367,422,"19,050"
Sat 05:13:59 PM,33.4181,-112.3789, 280,365,420,"20,425"
Sat 05:14:29 PM,33.4270,-112.4401, 280,371,427,"21,500"
Sat 05:14:59 PM,33.4358,-112.5006, 280,375,432,"22,550"
Sat 05:15:29 PM,33.4444,-112.5605, 280,382,440,"23,400"
Sat 05:15:55 PM,33.4503,-112.6188, 273,388,447,"24,300"
Sat 05:16:33 PM,33.4513,-112.6977, 271,387,445,"25,575"
Sat 05:17:03 PM,33.4523,-112.7603, 272,381,438,"26,000"
Sat 05:17:23 PM,33.4569,-112.8026, 282,378,435,"26,025"
Sat 05:17:41 PM,33.4669,-112.8389, 292,392,451,"26,025"
Sat 05:18:11 PM,33.4890,-112.9017, 292,409,471,"26,025"
Sat 05:18:41 PM,33.5102,-112.9627, 293,411,473,"26,025"
Sat 05:19:11 PM,33.5330,-113.0282, 293,410,472,"26,025"
Sat 05:19:41 PM,33.5538,-113.0882, 293,409,471,"26,025"
Sat 05:20:11 PM,33.5764,-113.1531, 293,411,473,"26,025"
Sat 05:20:42 PM,33.5992,-113.2183, 292,411,473,"26,025"
Sat 05:21:12 PM,33.6213,-113.2827, 292,412,474,"26,025"
Sat 05:21:42 PM,33.6424,-113.3439, 293,413,475,"26,025"
Sat 05:22:13 PM,33.6650,-113.4092, 293,413,475,"26,025"
Sat 05:22:43 PM,33.6879,-113.4755, 292,413,475,"26,025"
Sat 05:23:13 PM,33.7099,-113.5393, 292,413,475,"26,025"
Sat 05:23:43 PM,33.7307,-113.5999, 293,413,475,"26,025"
Sat 05:24:13 PM,33.7523,-113.6629, 292,414,476,"26,025"
Sat 05:24:44 PM,33.7761,-113.7328, 292,414,476,"26,025"
Sat 05:25:14 PM,33.7963,-113.7919, 292,414,476,"26,025"
Sat 05:25:44 PM,33.8186,-113.8574, 292,413,475,"26,025"
Sat 05:26:14 PM,33.8408,-113.9228, 292,412,474,"26,025"
Sat 05:26:44 PM,33.8614,-113.9837, 292,413,475,"26,000"
Sat 05:27:14 PM,33.8834,-114.0489, 292,413,475,"26,000"
Sat 05:27:32 PM,33.8969,-114.0897, 290,414,476,"26,000"
Sat 05:28:15 PM,33.9171,-114.1839, 281,416,479,"26,000"
Sat 05:28:45 PM,33.9286,-114.2507, 282,417,480,"26,025"
Sat 05:29:15 PM,33.9402,-114.3190, 282,416,479,"26,050"
Sat 05:29:45 PM,33.9517,-114.3870, 282,414,476,"26,075"
Sat 05:30:15 PM,33.9630,-114.4548, 281,412,474,"26,050"
Sat 05:30:45 PM,33.9738,-114.5194, 282,412,474,"26,025"
Sat 05:31:15 PM,33.9855,-114.5886, 281,412,474,"25,975"
Sat 05:31:45 PM,33.9968,-114.6565, 281,413,475,"25,975"
Sat 05:32:16 PM,34.0088,-114.7290, 281,414,476,"26,000"
Sat 05:32:46 PM,34.0199,-114.7964, 281,415,478,"26,000"
Sat 05:33:03 PM,34.0272,-114.8307, 289,417,480,"26,000"
Sat 05:33:21 PM,34.0434,-114.8697, 301,418,481,"26,050"
Sat 05:33:51 PM,34.0738,-114.9280, 302,417,480,"26,050"
Sat 05:34:12 PM,34.0964,-114.9707, 305,418,481,"26,050"
Sat 05:34:29 PM,34.1184,-114.9998, 317,421,484,"26,050"
Sat 05:35:04 PM,34.1729,-115.0497, 323,420,483,"26,050"
Sat 05:35:35 PM,34.2211,-115.0935, 323,418,481,"26,025"
Sat 05:35:51 PM,34.2448,-115.1185, 315,417,480,"26,000"
Sat 05:36:09 PM,34.2646,-115.1523, 298,417,480,"26,000"
Sat 05:36:27 PM,34.2756,-115.1918, 282,419,482,"26,025"
Sat 05:36:48 PM,34.2761,-115.2397, 263,423,487,"26,025"
Sat 05:37:25 PM,34.2630,-115.3234, 260,419,482,"26,050"
Sat 05:37:55 PM,34.2525,-115.3915, 259,416,479,"26,025"
Sat 05:38:25 PM,34.2412,-115.4623, 259,414,476,"26,000"
Sat 05:38:55 PM,34.2302,-115.5315, 259,414,476,"26,000"
Sat 05:39:25 PM,34.2199,-115.5947, 259,412,474,"26,000"
Sat 05:39:55 PM,34.2085,-115.6656, 259,410,472,"26,000"
Sat 05:40:25 PM,34.1977,-115.7322, 259,410,472,"26,000"
Sat 05:40:51 PM,34.1887,-115.7878, 259,410,472,"26,000"
Sat 05:41:21 PM,34.1774,-115.8566, 259,410,472,"25,975"
Sat 05:41:53 PM,34.1657,-115.9282, 259,411,473,"25,975"
Sat 05:42:32 PM,34.1511,-116.0168, 259,414,476,"26,000"
Sat 05:43:00 PM,34.1408,-116.0792, 260,416,479,"26,025"
Sat 05:43:25 PM,34.1315,-116.1356, 259,417,480,"26,050"
Sat 05:43:55 PM,34.1200,-116.2047, 259,418,481,"26,050"
Sat 05:44:25 PM,34.1085,-116.2733, 259,419,482,"26,050"
Sat 05:44:55 PM,34.0994,-116.3451, 263,419,482,"26,075"
Sat 05:45:29 PM,34.0915,-116.4177, 263,385,443,"26,025"
Sat 05:45:59 PM,34.0847,-116.4813, 263,378,435,"26,025"
Sat 05:46:29 PM,34.0779,-116.5444, 263,380,437,"26,025"
Sat 05:46:59 PM,34.0711,-116.6082, 263,389,448,"25,900"
Sat 05:47:29 PM,34.0653,-116.6720, 264,393,452,"25,400"
Sat 05:47:59 PM,34.0596,-116.7344, 264,391,450,"24,700"
Sat 05:48:19 PM,34.0556,-116.7783, 264,386,444,"24,025"
Sat 05:48:49 PM,34.0495,-116.8430, 263,379,436,"22,975"
Sat 05:49:19 PM,34.0431,-116.9048, 261,371,427,"21,975"
Sat 05:49:49 PM,34.0350,-116.9658, 261,363,418,"21,000"
Sat 05:50:19 PM,34.0274,-117.0259, 261,357,411,"20,025"
Sat 05:50:35 PM,34.0237,-117.0549, 262,355,409,"19,525"
Sat 05:51:00 PM,34.0179,-117.1038, 262,350,403,"18,750"
Sat 05:51:18 PM,34.0138,-117.1394, 262,347,399,"18,200"
Sat 05:51:38 PM,34.0096,-117.1748, 262,341,392,"17,575"
Sat 05:52:08 PM,34.0024,-117.2354, 262,336,387,"16,700"
Sat 05:52:38 PM,33.9957,-117.2907, 262,330,380,"15,800"
Sat 05:53:23 PM,33.9866,-117.3677, 262,317,365,"14,725"
Sat 05:53:53 PM,33.9808,-117.4177, 262,301,346,"14,175"
Sat 05:54:23 PM,33.9747,-117.4691, 262,293,337,"13,200"
Sat 05:54:42 PM,33.9745,-117.4982, 278,293,337,"12,750"
Sat 05:55:09 PM,33.9826,-117.5438, 282,295,339,"12,050"
Sat 05:55:49 PM,33.9935,-117.6062, 282,294,338,"11,000"
Sat 05:56:13 PM,34.0004,-117.6454, 282,290,334,"10,375"
Sat 05:56:35 PM,34.0056,-117.6780, 276,287,330,"10,100"
Sat 05:56:53 PM,34.0042,-117.7087, 263,288,331,"9,875"
Sat 05:57:12 PM,34.0012,-117.7372, 263,289,333,"9,400"
Sat 05:57:42 PM,33.9966,-117.7858, 264,285,328,"8,625"
Sat 05:58:12 PM,33.9922,-117.8319, 263,283,326,"7,900"
Sat 05:58:42 PM,33.9877,-117.8775, 263,266,306,"7,450"
