Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 06:27:59 PM    Departure (PHX) @ Saturday 04:27:59 PM MST,,,FlightAware ADS-B (KPHX)
Sat 06:27:59 PM,33.4311,-111.9973, 88,165,190,"1,450"
Sat 06:28:15 PM,33.4317,-111.9819, 86,174,200,"2,050"
Sat 06:28:31 PM,33.4324,-111.9650, 87,188,216,"2,600"
Sat 06:28:47 PM,33.4327,-111.9464, 90,212,244,"2,950"
Sat 06:29:03 PM,33.4328,-111.9303, 89,225,259,"3,325"
Sat 06:29:21 PM,33.4333,-111.9048, 88,229,264,"4,275"
Sat 06:29:39 PM,33.4335,-111.8846, 97,231,266,"5,100"
Sat 06:29:57 PM,33.4251,-111.8625, 134,236,272,"5,875"
Sat 06:30:15 PM,33.4090,-111.8500, 154,245,282,"6,525"
Sat 06:30:32 PM,33.3904,-111.8452, 183,247,284,"7,325"
Sat 06:30:48 PM,33.3713,-111.8523, 210,253,291,"7,950"
Sat 06:31:05 PM,33.3571,-111.8698, 237,252,290,"8,825"
Sat 06:31:21 PM,33.3509,-111.8895, 261,262,302,"9,300"
Sat 06:31:59 PM,33.3561,-111.9445, 279,270,311,"10,850"
Sat 06:32:29 PM,33.3618,-111.9896, 278,305,351,"11,350"
Sat 06:32:51 PM,33.3668,-112.0283, 280,329,379,"11,700"
Sat 06:33:21 PM,33.3755,-112.0879, 280,357,411,"12,300"
Sat 06:33:51 PM,33.3838,-112.1449, 280,362,417,"13,500"
Sat 06:34:21 PM,33.3924,-112.2047, 280,365,420,"14,825"
Sat 06:34:51 PM,33.4008,-112.2624, 280,362,417,"16,250"
Sat 06:35:21 PM,33.4101,-112.3248, 280,367,422,"17,525"
Sat 06:35:51 PM,33.4188,-112.3847, 280,375,432,"18,575"
Sat 06:36:21 PM,33.4274,-112.4443, 280,376,433,"19,725"
Sat 06:36:51 PM,33.4364,-112.5061, 280,376,433,"20,925"
Sat 06:37:21 PM,33.4453,-112.5675, 280,380,437,"21,950"
Sat 06:37:39 PM,33.4498,-112.6075, 274,386,444,"22,550"
Sat 06:38:15 PM,33.4512,-112.6830, 271,395,455,"23,500"
Sat 06:38:45 PM,33.4521,-112.7477, 271,402,463,"24,225"
Sat 06:39:03 PM,33.4554,-112.7916, 281,403,464,"24,700"
Sat 06:39:20 PM,33.4626,-112.8253, 288,403,464,"25,100"
Sat 06:40:05 PM,33.4949,-112.9202, 293,412,474,"26,150"
Sat 06:40:35 PM,33.5170,-112.9833, 293,414,476,"26,875"
Sat 06:41:05 PM,33.5389,-113.0464, 293,417,480,"27,625"
Sat 06:41:35 PM,33.5612,-113.1102, 293,420,483,"28,250"
Sat 06:42:05 PM,33.5844,-113.1771, 293,425,489,"28,900"
Sat 06:42:35 PM,33.6068,-113.2413, 293,428,493,"29,475"
Sat 06:43:05 PM,33.6295,-113.3067, 293,432,497,"30,025"
Sat 06:43:35 PM,33.6532,-113.3755, 293,435,501,"30,550"
Sat 06:44:06 PM,33.6768,-113.4437, 292,438,504,"31,100"
Sat 06:44:36 PM,33.6996,-113.5101, 292,437,503,"31,800"
