Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 09:06:03 PM    Departure (PHX) @ Saturday 06:06:03 PM MST,,,FlightAware ADS-B (KFFZ)
Sat 09:06:03 PM,33.4313,-112.0237, 273,170,196,"1,975"
Sat 09:06:19 PM,33.4325,-112.0379, 275,176,203,"2,775"
Sat 09:06:35 PM,33.4305,-112.0531, 256,173,199,"3,275"
Sat 09:06:51 PM,33.4267,-112.0683, 252,188,216,"3,575"
Sat 09:07:07 PM,33.4214,-112.0858, 250,203,234,"3,925"
Sat 09:07:33 PM,33.4127,-112.1146, 251,242,278,"4,350"
Sat 09:08:03 PM,33.4018,-112.1547, 253,264,304,"5,500"
Sat 09:08:26 PM,33.3933,-112.1883, 256,269,310,"6,525"
Sat 09:08:55 PM,33.3953,-112.2309, 278,275,316,"8,000"
Sat 09:09:16 PM,33.4001,-112.2642, 281,280,322,"8,975"
Sat 09:10:01 PM,33.4106,-112.3324, 280,283,326,"10,950"
Sat 09:10:31 PM,33.4175,-112.3794, 280,311,358,"11,500"
Sat 09:11:01 PM,33.4256,-112.4341, 280,339,390,"12,050"
Sat 09:11:31 PM,33.4342,-112.4918, 280,367,422,"12,650"
Sat 09:12:01 PM,33.4431,-112.5516, 280,367,422,"13,875"
Sat 09:12:23 PM,33.4492,-112.5953, 277,374,430,"14,575"
Sat 09:13:04 PM,33.4514,-112.6825, 271,371,427,"16,150"
Sat 09:13:34 PM,33.4523,-112.7430, 271,371,427,"17,250"
Sat 09:13:50 PM,33.4529,-112.7772, 272,368,423,"17,950"
Sat 09:14:07 PM,33.4582,-112.8121, 284,382,440,"18,400"
Sat 09:14:49 PM,33.4861,-112.8924, 293,382,440,"20,250"
Sat 09:15:19 PM,33.5071,-112.9531, 293,387,445,"21,050"
Sat 09:15:49 PM,33.5280,-113.0134, 293,393,452,"21,775"
Sat 09:16:20 PM,33.5503,-113.0774, 293,399,459,"22,525"
Sat 09:16:50 PM,33.5714,-113.1379, 293,400,460,"23,275"
Sat 09:17:20 PM,33.5928,-113.1995, 292,401,461,"23,925"
Sat 09:17:50 PM,33.6148,-113.2631, 293,406,467,"24,475"
Sat 09:18:20 PM,33.6358,-113.3239, 292,411,473,"24,950"
Sat 09:18:50 PM,33.6568,-113.3847, 292,415,478,"25,450"
Sat 09:19:20 PM,33.6797,-113.4509, 293,413,475,"26,175"
Sat 09:19:50 PM,33.7010,-113.5122, 293,397,457,"27,425"
Sat 09:20:20 PM,33.7223,-113.5745, 292,393,452,"27,975"
Sat 09:20:50 PM,33.7426,-113.6338, 292,391,450,"28,000"
Sat 09:21:20 PM,33.7622,-113.6914, 292,391,450,"28,000"
Sat 09:21:50 PM,33.7832,-113.7527, 292,393,452,"28,000"
Sat 09:22:20 PM,33.8042,-113.8141, 292,393,452,"28,000"
Sat 09:22:50 PM,33.8251,-113.8758, 292,393,452,"28,000"
Sat 09:23:20 PM,33.8456,-113.9361, 292,395,455,"27,975"
Sat 09:23:50 PM,33.8659,-113.9957, 292,398,458,"27,975"
Sat 09:24:20 PM,33.8879,-114.0611, 292,400,460,"28,000"
Sat 09:24:50 PM,33.9057,-114.1223, 286,395,455,"28,025"
Sat 09:25:26 PM,33.9194,-114.1958, 281,389,448,"28,025"
Sat 09:26:02 PM,33.9330,-114.2754, 282,390,449,"28,025"
Sat 09:26:32 PM,33.9437,-114.3381, 282,390,449,"28,025"
