Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 08:39:28 AM    Departure (PHX) @ Saturday 05:39:28 AM MST,,,FlightAware ADS-B (KSDL)
Sat 08:39:28 AM,33.4311,-112.0000, 89,167,192,"1,450"
Sat 08:39:44 AM,33.4318,-111.9841, 87,167,192,"2,225"
Sat 08:40:00 AM,33.4322,-111.9693, 89,191,220,"2,700"
Sat 08:40:16 AM,33.4328,-111.9502, 88,217,250,"3,225"
Sat 08:40:32 AM,33.4332,-111.9303, 88,223,257,"4,100"
Sat 08:40:53 AM,33.4340,-111.9034, 88,237,273,"5,125"
Sat 08:41:11 AM,33.4335,-111.8802, 104,242,278,"6,025"
Sat 08:41:29 AM,33.4231,-111.8619, 138,229,264,"7,025"
Sat 08:41:48 AM,33.4067,-111.8493, 150,224,258,"8,225"
Sat 08:42:04 AM,33.3913,-111.8450, 182,217,250,"9,100"
Sat 08:42:20 AM,33.3752,-111.8505, 209,221,254,"9,950"
Sat 08:42:38 AM,33.3599,-111.8647, 224,232,267,"10,850"
Sat 08:42:56 AM,33.3510,-111.8854, 261,266,306,"11,475"
Sat 08:43:13 AM,33.3519,-111.9111, 277,295,339,"11,775"
Sat 08:43:43 AM,33.3584,-111.9640, 278,319,367,"12,925"
Sat 08:44:13 AM,33.3642,-112.0180, 279,324,373,"14,525"
Sat 08:44:53 AM,33.3742,-112.0846, 280,330,380,"16,500"
Sat 08:45:23 AM,33.3826,-112.1415, 280,335,386,"17,950"
Sat 08:45:53 AM,33.3907,-112.1950, 280,338,389,"19,300"
Sat 08:46:23 AM,33.3993,-112.2521, 280,343,395,"20,600"
Sat 08:46:53 AM,33.4074,-112.3074, 280,349,402,"21,725"
Sat 08:47:14 AM,33.4132,-112.3475, 280,353,406,"22,525"
Sat 08:47:44 AM,33.4219,-112.4069, 280,357,411,"23,675"
Sat 08:48:14 AM,33.4304,-112.4647, 280,358,412,"24,850"
Sat 08:48:44 AM,33.4389,-112.5230, 280,359,413,"25,925"
Sat 08:49:14 AM,33.4475,-112.5829, 279,361,415,"26,975"
Sat 08:49:34 AM,33.4503,-112.6238, 271,355,409,"27,650"
Sat 08:50:04 AM,33.4512,-112.6830, 271,359,413,"28,525"
Sat 08:50:34 AM,33.4520,-112.7422, 271,364,419,"29,250"
Sat 08:50:53 AM,33.4536,-112.7813, 277,372,428,"29,750"
Sat 08:51:13 AM,33.4606,-112.8198, 287,382,440,"30,250"
Sat 08:51:50 AM,33.4863,-112.8957, 292,391,450,"31,275"
Sat 08:52:20 AM,33.5071,-112.9555, 293,392,451,"32,025"
Sat 08:52:50 AM,33.5280,-113.0151, 293,387,445,"33,000"
Sat 08:53:20 AM,33.5482,-113.0730, 293,381,438,"33,925"
Sat 08:53:51 AM,33.5690,-113.1329, 293,379,436,"34,000"
Sat 08:54:21 AM,33.5892,-113.1908, 293,378,435,"34,000"
Sat 08:54:52 AM,33.6088,-113.2472, 293,377,434,"34,000"
Sat 08:55:22 AM,33.6302,-113.3088, 293,374,430,"34,000"
Sat 08:55:52 AM,33.6494,-113.3646, 292,373,429,"34,000"
Sat 08:56:25 AM,33.6709,-113.4270, 292,372,428,"34,000"
Sat 08:56:57 AM,33.6925,-113.4899, 292,372,428,"34,000"
Sat 08:57:14 AM,33.7038,-113.5232, 290,368,423,"34,000"
Sat 08:57:52 AM,33.7206,-113.5959, 285,362,417,"34,000"
Sat 08:58:23 AM,33.7338,-113.6556, 285,362,417,"34,000"
Sat 08:58:55 AM,33.7473,-113.7167, 285,362,417,"34,000"
Sat 08:59:25 AM,33.7597,-113.7735, 285,361,415,"34,000"
Sat 09:00:01 AM,33.7749,-113.8434, 285,361,415,"34,000"
Sat 09:00:31 AM,33.7881,-113.9037, 285,364,419,"34,000"
Sat 09:01:01 AM,33.8006,-113.9612, 285,364,419,"34,000"
Sat 09:01:31 AM,33.8135,-114.0199, 285,365,420,"34,000"
Sat 09:02:01 AM,33.8262,-114.0782, 285,365,420,"34,000"
Sat 09:02:31 AM,33.8389,-114.1366, 285,366,421,"34,000"
Sat 09:03:01 AM,33.8521,-114.1973, 285,365,420,"34,000"
Sat 09:03:31 AM,33.8649,-114.2554, 285,364,419,"34,000"
Sat 09:04:01 AM,33.8776,-114.3141, 284,362,417,"34,000"
Sat 09:04:31 AM,33.8900,-114.3733, 284,361,415,"34,000"
Sat 09:05:02 AM,33.9023,-114.4310, 284,361,415,"34,000"
Sat 09:05:32 AM,33.9152,-114.4913, 284,363,418,"34,000"
Sat 09:06:02 AM,33.9279,-114.5517, 284,365,420,"34,000"
Sat 09:06:32 AM,33.9401,-114.6091, 284,366,421,"34,000"
Sat 09:07:02 AM,33.9526,-114.6681, 284,367,422,"34,000"
Sat 09:07:32 AM,33.9651,-114.7272, 284,367,422,"34,000"
Sat 09:07:49 AM,33.9727,-114.7627, 286,366,421,"34,000"
Sat 09:08:19 AM,33.9846,-114.8190, 284,366,421,"34,000"
Sat 09:08:49 AM,33.9973,-114.8800, 284,367,422,"34,000"
Sat 09:09:19 AM,34.0093,-114.9377, 284,368,423,"34,000"
Sat 09:09:49 AM,34.0218,-114.9975, 284,368,423,"34,000"
Sat 09:10:19 AM,34.0347,-115.0594, 284,370,426,"34,000"
Sat 09:10:49 AM,34.0467,-115.1178, 284,371,427,"34,000"
Sat 09:11:19 AM,34.0594,-115.1787, 284,372,428,"34,000"
Sat 09:11:49 AM,34.0717,-115.2383, 284,371,427,"34,000"
Sat 09:12:34 AM,34.0902,-115.3285, 284,372,428,"34,000"
Sat 09:13:03 AM,34.1023,-115.3876, 285,372,428,"34,000"
Sat 09:13:33 AM,34.1150,-115.4488, 285,370,426,"34,000"
Sat 09:14:03 AM,34.1271,-115.5084, 284,369,425,"34,000"
Sat 09:14:33 AM,34.1395,-115.5696, 284,367,422,"34,000"
Sat 09:15:03 AM,34.1510,-115.6264, 284,367,422,"34,000"
Sat 09:15:20 AM,34.1579,-115.6612, 283,362,417,"34,000"
Sat 09:15:36 AM,34.1611,-115.6940, 273,350,403,"34,000"
Sat 09:16:19 AM,34.1559,-115.7729, 263,341,392,"34,000"
Sat 09:16:49 AM,34.1503,-115.8310, 263,347,399,"34,000"
Sat 09:17:19 AM,34.1448,-115.8869, 263,347,399,"34,000"
Sat 09:17:49 AM,34.1391,-115.9454, 263,346,398,"34,000"
Sat 09:18:19 AM,34.1334,-116.0036, 263,348,400,"34,000"
Sat 09:18:49 AM,34.1277,-116.0617, 263,354,407,"34,000"
Sat 09:19:19 AM,34.1218,-116.1214, 263,357,411,"34,000"
Sat 09:19:51 AM,34.1156,-116.1841, 263,361,415,"34,025"
Sat 09:20:21 AM,34.1096,-116.2455, 263,363,418,"33,325"
Sat 09:20:51 AM,34.1035,-116.3062, 263,364,419,"32,125"
Sat 09:21:21 AM,34.0973,-116.3651, 263,359,413,"31,975"
Sat 09:21:51 AM,34.0906,-116.4254, 263,357,411,"32,000"
Sat 09:22:34 AM,34.0820,-116.5064, 264,353,406,"31,675"
Sat 09:23:14 AM,34.0734,-116.5864, 263,343,395,"30,025"
Sat 09:23:59 AM,34.0659,-116.6682, 264,328,377,"28,500"
Sat 09:24:29 AM,34.0609,-116.7209, 264,320,368,"27,475"
Sat 09:25:12 AM,34.0536,-116.7980, 264,321,369,"25,875"
Sat 09:25:36 AM,34.0495,-116.8420, 264,324,373,"24,850"
Sat 09:26:03 AM,34.0449,-116.8898, 263,319,367,"23,975"
Sat 09:26:41 AM,34.0370,-116.9514, 261,294,338,"23,475"
Sat 09:27:11 AM,34.0308,-116.9992, 261,279,321,"23,000"
Sat 09:27:41 AM,34.0247,-117.0462, 262,272,313,"22,125"
Sat 09:28:11 AM,34.0195,-117.0917, 262,273,314,"21,125"
Sat 09:28:41 AM,34.0144,-117.1347, 262,281,323,"20,050"
Sat 09:29:11 AM,34.0085,-117.1841, 262,287,330,"18,950"
Sat 09:29:38 AM,34.0037,-117.2250, 262,294,338,"17,975"
Sat 09:30:05 AM,33.9982,-117.2701, 262,288,331,"17,325"
Sat 09:30:35 AM,33.9926,-117.3177, 262,287,330,"16,475"
Sat 09:31:05 AM,33.9871,-117.3635, 262,288,331,"15,625"
Sat 09:31:35 AM,33.9815,-117.4117, 262,290,334,"14,750"
Sat 09:32:05 AM,33.9758,-117.4599, 262,291,335,"13,825"
Sat 09:32:26 AM,33.9746,-117.4951, 275,292,336,"13,175"
Sat 09:32:47 AM,33.9793,-117.5269, 283,291,335,"12,625"
Sat 09:33:17 AM,33.9876,-117.5734, 282,277,319,"12,025"
Sat 09:33:47 AM,33.9954,-117.6181, 282,266,306,"11,475"
Sat 09:34:17 AM,34.0029,-117.6603, 282,259,298,"10,850"
Sat 09:34:33 AM,34.0055,-117.6834, 273,252,290,"10,450"
Sat 09:35:03 AM,34.0028,-117.7246, 264,243,280,"9,725"
Sat 09:35:33 AM,33.9991,-117.7634, 263,239,275,"9,225"
Sat 09:36:03 AM,33.9949,-117.8051, 263,236,272,"8,675"
Sat 09:36:33 AM,33.9914,-117.8421, 264,233,268,"8,200"
Sat 09:37:03 AM,33.9876,-117.8804, 263,228,262,"7,700"
Sat 09:37:33 AM,33.9841,-117.9165, 263,216,249,"7,275"
Sat 09:38:03 AM,33.9805,-117.9520, 263,205,236,"6,775"
Sat 09:38:24 AM,33.9781,-117.9758, 263,204,235,"6,475"
Sat 09:38:54 AM,33.9749,-118.0103, 263,208,239,"6,050"
Sat 09:39:24 AM,33.9715,-118.0439, 263,208,239,"5,625"
Sat 09:39:54 AM,33.9680,-118.0798, 263,200,230,"5,175"
Sat 09:40:24 AM,33.9650,-118.1102, 263,182,209,"4,700"
Sat 09:40:44 AM,33.9627,-118.1307, 263,179,206,"4,400"
Sat 09:41:14 AM,33.9601,-118.1585, 262,158,182,"3,975"
Sat 09:41:44 AM,33.9576,-118.1833, 264,158,182,"3,650"
Sat 09:42:14 AM,33.9549,-118.2094, 263,150,173,"3,150"
Sat 09:42:44 AM,33.9526,-118.2326, 264,143,165,"2,850"
Sat 09:43:14 AM,33.9503,-118.2561, 263,134,154,"2,425"
Sat 09:43:44 AM,33.9481,-118.2779, 263,124,143,"2,075"
Sat 09:44:14 AM,33.9460,-118.2983, 264,130,150,"1,725"
Sat 09:44:33 AM,33.9446,-118.3115, 263,130,150,"1,525"
,,,
Sat 09:44:47 AM,33.9437,-118.3213, 263,133,153,"1,350"
,,,
Sat 09:44:49 AM,33.9434,-118.3233, 263,133,153,"1,325"
Sat 09:45:05 AM,33.9423,-118.3350, 263,135,155,"1,125"
Sat 09:45:21 AM,33.9409,-118.3483, 263,139,160,900
Sat 09:45:37 AM,33.9397,-118.3603, 264,144,166,700
Sat 09:45:53 AM,33.9385,-118.3724, 262,144,166,525
,,,
Sat 09:46:00 AM    Arrival (LAX) @ Saturday 06:46:00 AM PDT,,,ffas
,,,
Sat 09:46:09 AM,33.9370,-118.3860, 263,149,171,300
,,,
Taxi Time: 7 minutes,,,
Sat 09:53:00 AM    Gate Arrival (LAX) @ Saturday 06:53:00 AM PDT,,,United Airlines
