Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 09:52:49 AM    Departure (PHX) @ Saturday 06:52:49 AM MST,,,FlightAware ADS-B (KFFZ)
Sat 09:52:49 AM,33.4311,-112.0038, 90,142,163,"1,675"
Sat 09:53:05 AM,33.4312,-111.9912, 89,144,166,"2,350"
Sat 09:53:21 AM,33.4315,-111.9778, 89,162,186,"2,825"
Sat 09:53:37 AM,33.4318,-111.9623, 89,196,226,"3,025"
Sat 09:53:53 AM,33.4325,-111.9424, 88,207,238,"3,650"
Sat 09:54:09 AM,33.4331,-111.9254, 88,217,250,"4,475"
Sat 09:54:37 AM,33.4339,-111.8886, 92,241,277,"5,500"
Sat 09:54:54 AM,33.4280,-111.8679, 126,230,265,"6,325"
Sat 09:55:17 AM,33.4099,-111.8498, 146,225,259,"7,450"
Sat 09:55:35 AM,33.3917,-111.8425, 181,217,250,"8,400"
Sat 09:55:51 AM,33.3777,-111.8483, 209,222,255,"9,100"
Sat 09:56:07 AM,33.3633,-111.8589, 218,222,255,"9,950"
Sat 09:56:25 AM,33.3524,-111.8785, 255,236,272,"10,850"
Sat 09:56:41 AM,33.3520,-111.8966, 274,245,282,"11,575"
Sat 09:57:01 AM,33.3550,-111.9265, 278,247,284,"12,625"
Sat 09:57:31 AM,33.3595,-111.9692, 277,281,323,"13,225"
Sat 09:58:01 AM,33.3645,-112.0166, 279,308,354,"13,825"
Sat 09:58:31 AM,33.3722,-112.0690, 280,313,360,"15,100"
Sat 09:59:01 AM,33.3795,-112.1179, 280,317,365,"16,200"
Sat 09:59:31 AM,33.3873,-112.1706, 280,319,367,"17,350"
Sat 10:00:01 AM,33.3948,-112.2212, 280,319,367,"18,450"
Sat 10:00:40 AM,33.4053,-112.2927, 280,323,372,"19,750"
Sat 10:01:10 AM,33.4129,-112.3444, 280,326,375,"20,725"
Sat 10:01:40 AM,33.4207,-112.3979, 280,331,381,"21,575"
Sat 10:02:10 AM,33.4289,-112.4539, 280,333,383,"22,550"
Sat 10:02:40 AM,33.4367,-112.5075, 280,335,386,"23,425"
Sat 10:03:10 AM,33.4448,-112.5632, 280,337,388,"24,250"
Sat 10:03:29 AM,33.4485,-112.5943, 276,335,386,"24,750"
Sat 10:03:49 AM,33.4507,-112.6325, 271,332,382,"25,275"
Sat 10:04:19 AM,33.4514,-112.6886, 271,334,384,"26,050"
Sat 10:04:49 AM,33.4521,-112.7452, 271,339,390,"26,775"
Sat 10:05:06 AM,33.4530,-112.7764, 274,343,395,"27,225"
Sat 10:05:24 AM,33.4583,-112.8115, 285,356,410,"27,650"
Sat 10:06:07 AM,33.4851,-112.8921, 293,364,419,"28,825"
Sat 10:06:37 AM,33.5049,-112.9487, 293,372,428,"29,450"
Sat 10:07:07 AM,33.5237,-113.0025, 293,376,433,"30,000"
Sat 10:07:37 AM,33.5438,-113.0601, 293,374,430,"30,000"
Sat 10:08:07 AM,33.5640,-113.1180, 293,373,429,"30,000"
Sat 10:08:37 AM,33.5833,-113.1736, 292,372,428,"30,000"
Sat 10:09:07 AM,33.6036,-113.2321, 292,370,426,"30,000"
Sat 10:09:38 AM,33.6240,-113.2910, 293,369,425,"30,000"
Sat 10:10:08 AM,33.6433,-113.3466, 293,368,423,"30,000"
Sat 10:10:38 AM,33.6623,-113.4018, 293,366,421,"30,000"
Sat 10:11:08 AM,33.6821,-113.4592, 292,363,418,"30,000"
Sat 10:11:38 AM,33.7017,-113.5164, 292,366,421,"30,000"
Sat 10:12:08 AM,33.7213,-113.5733, 292,366,421,"30,000"
Sat 10:12:38 AM,33.7401,-113.6281, 292,366,421,"30,000"
