Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 10:10:52 AM    Departure (PHX) @ Saturday 07:10:52 AM MST,,,FlightAware ADS-B (KPHX)
Sat 10:10:52 AM,33.4311,-111.9984, 90,156,180,"1,800"
Sat 10:11:08 AM,33.4314,-111.9853, 88,153,176,"2,575"
Sat 10:11:24 AM,33.4318,-111.9717, 88,169,194,"2,975"
Sat 10:11:40 AM,33.4324,-111.9543, 88,190,219,"3,450"
Sat 10:11:56 AM,33.4329,-111.9373, 88,208,239,"3,875"
Sat 10:12:22 AM,33.4338,-111.9051, 88,235,270,"4,875"
Sat 10:12:39 AM,33.4325,-111.8815, 101,238,274,"5,725"
Sat 10:12:55 AM,33.4246,-111.8652, 133,229,264,"6,500"
Sat 10:13:15 AM,33.4083,-111.8505, 147,224,258,"7,625"
Sat 10:13:31 AM,33.3923,-111.8449, 176,218,251,"8,500"
Sat 10:13:47 AM,33.3763,-111.8504, 205,219,252,"9,325"
Sat 10:14:04 AM,33.3619,-111.8627, 221,220,253,"10,275"
Sat 10:14:24 AM,33.3530,-111.8847, 259,232,267,"11,300"
Sat 10:15:09 AM,33.3578,-111.9451, 276,256,295,"13,425"
Sat 10:15:39 AM,33.3617,-111.9896, 276,287,330,"14,175"
Sat 10:16:09 AM,33.3678,-112.0401, 280,323,372,"14,850"
Sat 10:16:39 AM,33.3762,-112.0966, 280,351,404,"15,475"
Sat 10:17:09 AM,33.3849,-112.1552, 280,378,435,"16,025"
Sat 10:17:39 AM,33.3941,-112.2168, 280,386,444,"17,075"
Sat 10:18:12 AM,33.4045,-112.2873, 280,389,448,"18,400"
Sat 10:18:32 AM,33.4108,-112.3302, 280,394,453,"19,050"
Sat 10:19:02 AM,33.4205,-112.3960, 280,396,456,"20,175"
Sat 10:19:32 AM,33.4298,-112.4601, 280,400,460,"21,100"
Sat 10:20:02 AM,33.4396,-112.5281, 280,406,467,"21,975"
Sat 10:20:28 AM,33.4472,-112.5819, 278,404,465,"22,850"
Sat 10:20:48 AM,33.4548,-112.6305, 285,413,475,"23,400"
Sat 10:21:25 AM,33.4790,-112.7105, 290,423,487,"24,325"
Sat 10:21:55 AM,33.4987,-112.7738, 290,424,488,"25,125"
Sat 10:22:25 AM,33.5195,-112.8412, 290,432,497,"25,650"
Sat 10:22:55 AM,33.5408,-112.9103, 290,435,501,"26,275"
Sat 10:23:25 AM,33.5612,-112.9758, 290,432,497,"27,075"
Sat 10:23:55 AM,33.5820,-113.0431, 290,422,486,"27,875"
Sat 10:24:28 AM,33.6046,-113.1166, 290,419,482,"28,000"
Sat 10:24:59 AM,33.6251,-113.1840, 290,423,487,"28,000"
Sat 10:25:29 AM,33.6454,-113.2501, 290,423,487,"28,000"
Sat 10:25:59 AM,33.6660,-113.3175, 290,422,486,"28,000"
