Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 10:17:00 AM    Left Gate (PHX) @ Saturday 07:17:00 AM MST,,,Airline
,,,
Taxi Time: 18 minutes,,,
Sat 10:35:19 AM    Departure (PHX) @ Saturday 07:35:19 AM MST,,,FlightAware ADS-B (KPHX)
Sat 10:35:19 AM,33.4310,-112.0041, 91,161,185,"1,350"
Sat 10:35:35 AM,33.4314,-111.9901, 87,164,189,"2,025"
Sat 10:35:51 AM,33.4320,-111.9752, 88,174,200,"2,525"
Sat 10:36:07 AM,33.4323,-111.9613, 89,193,222,"2,775"
Sat 10:36:23 AM,33.4326,-111.9423, 89,215,247,"3,075"
Sat 10:36:52 AM,33.4336,-111.9073, 88,219,252,"4,375"
Sat 10:37:08 AM,33.4338,-111.8861, 95,227,261,"4,925"
Sat 10:37:25 AM,33.4268,-111.8677, 130,225,259,"5,425"
Sat 10:37:48 AM,33.4084,-111.8505, 148,223,257,"6,400"
Sat 10:38:06 AM,33.3917,-111.8444, 181,218,251,"7,150"
Sat 10:38:22 AM,33.3740,-111.8510, 213,238,274,"7,475"
Sat 10:38:41 AM,33.3610,-111.8718, 247,259,298,"8,075"
Sat 10:38:59 AM,33.3596,-111.8953, 278,279,321,"8,850"
Sat 10:39:37 AM,33.3675,-111.9570, 279,291,335,"10,675"
Sat 10:40:17 AM,33.3766,-112.0265, 279,328,377,"11,700"
Sat 10:40:47 AM,33.3837,-112.0797, 279,334,384,"13,050"
Sat 10:41:17 AM,33.3908,-112.1348, 279,339,390,"14,525"
Sat 10:41:38 AM,33.3953,-112.1712, 280,341,392,"15,475"
Sat 10:42:08 AM,33.4023,-112.2263, 279,344,396,"16,925"
Sat 10:42:38 AM,33.4102,-112.2869, 279,348,400,"18,375"
Sat 10:43:09 AM,33.4175,-112.3435, 279,352,405,"19,625"
Sat 10:43:39 AM,33.4252,-112.4036, 279,355,409,"21,000"
Sat 10:44:09 AM,33.4325,-112.4616, 279,357,411,"22,200"
Sat 10:44:39 AM,33.4398,-112.5185, 279,359,413,"23,350"
Sat 10:45:09 AM,33.4477,-112.5818, 278,362,417,"24,525"
Sat 10:45:29 AM,33.4503,-112.6190, 271,359,413,"25,150"
Sat 10:45:59 AM,33.4511,-112.6810, 271,364,419,"26,100"
Sat 10:46:29 AM,33.4519,-112.7395, 271,367,422,"27,025"
Sat 10:46:50 AM,33.4541,-112.7848, 277,375,432,"27,650"
Sat 10:47:13 AM,33.4636,-112.8297, 289,389,448,"28,200"
Sat 10:47:49 AM,33.4891,-112.9035, 293,399,459,"29,100"
Sat 10:48:19 AM,33.5101,-112.9637, 293,403,464,"29,825"
Sat 10:48:49 AM,33.5316,-113.0252, 293,404,465,"30,000"
Sat 10:49:19 AM,33.5534,-113.0875, 293,403,464,"30,000"
Sat 10:49:51 AM,33.5763,-113.1536, 293,402,463,"30,000"
Sat 10:50:21 AM,33.5976,-113.2150, 293,400,460,"30,000"
Sat 10:50:54 AM,33.6207,-113.2816, 292,398,458,"30,000"
Sat 10:51:25 AM,33.6420,-113.3431, 293,397,457,"30,000"
Sat 10:51:56 AM,33.6638,-113.4063, 292,399,459,"30,000"
Sat 10:52:27 AM,33.6860,-113.4708, 292,399,459,"30,000"
Sat 10:52:58 AM,33.7078,-113.5341, 292,401,461,"30,000"
Sat 10:53:28 AM,33.7291,-113.5964, 292,402,463,"30,000"
Sat 10:54:01 AM,33.7530,-113.6661, 292,402,463,"30,000"
Sat 10:54:31 AM,33.7735,-113.7261, 292,403,464,"30,000"
Sat 10:55:02 AM,33.7950,-113.7889, 292,407,468,"30,000"
Sat 10:55:37 AM,33.8204,-113.8635, 292,409,471,"30,000"
Sat 10:56:07 AM,33.8426,-113.9287, 292,409,471,"30,000"
Sat 10:56:37 AM,33.8635,-113.9904, 292,405,466,"29,975"
Sat 10:57:07 AM,33.8840,-114.0503, 292,371,427,"29,975"
Sat 10:57:34 AM,33.9010,-114.1013, 290,346,398,"29,975"
Sat 10:57:52 AM,33.9097,-114.1352, 290,340,391,"30,000"
Sat 10:58:09 AM,33.9223,-114.1617, 308,363,418,"30,000"
Sat 10:58:48 AM,33.9725,-114.2161, 320,383,441,"30,000"
Sat 10:59:19 AM,34.0158,-114.2599, 320,383,441,"30,000"
Sat 10:59:49 AM,34.0571,-114.3014, 320,384,442,"30,000"
Sat 11:00:22 AM,34.1014,-114.3461, 320,384,442,"30,000"
Sat 11:00:52 AM,34.1408,-114.3862, 320,385,443,"30,000"
Sat 11:01:09 AM,34.1606,-114.4103, 304,357,411,"30,025"
Sat 11:01:26 AM,34.1703,-114.4423, 278,326,375,"30,000"
Sat 11:01:59 AM,34.1704,-114.5010, 269,318,366,"30,000"
Sat 11:02:29 AM,34.1704,-114.5535, 270,318,366,"30,000"
Sat 11:02:59 AM,34.1707,-114.6074, 270,316,364,"30,000"
Sat 11:03:29 AM,34.1707,-114.6592, 270,313,360,"30,000"
Sat 11:04:00 AM,34.1707,-114.7124, 270,311,358,"30,000"
Sat 11:04:30 AM,34.1705,-114.7642, 270,310,357,"30,000"
Sat 11:05:00 AM,34.1703,-114.8164, 270,308,354,"30,000"
Sat 11:05:30 AM,34.1700,-114.8678, 270,307,353,"30,000"
Sat 11:06:01 AM,34.1697,-114.9217, 270,325,374,"30,000"
Sat 11:06:31 AM,34.1694,-114.9777, 270,335,386,"30,000"
Sat 11:07:01 AM,34.1693,-115.0338, 270,334,384,"30,000"
Sat 11:07:31 AM,34.1690,-115.0889, 270,333,383,"30,000"
Sat 11:08:01 AM,34.1687,-115.1453, 270,334,384,"30,000"
Sat 11:08:32 AM,34.1682,-115.2015, 270,334,384,"30,000"
Sat 11:09:03 AM,34.1678,-115.2595, 270,335,386,"30,000"
Sat 11:09:33 AM,34.1674,-115.3147, 270,337,388,"30,000"
Sat 11:10:03 AM,34.1669,-115.3732, 270,338,389,"30,000"
Sat 11:10:34 AM,34.1664,-115.4327, 270,343,395,"30,000"
Sat 11:11:04 AM,34.1659,-115.4881, 269,342,394,"30,000"
Sat 11:11:34 AM,34.1653,-115.5467, 269,339,390,"30,000"
Sat 11:12:05 AM,34.1647,-115.6023, 270,337,388,"30,000"
Sat 11:12:35 AM,34.1641,-115.6604, 270,335,386,"30,000"
Sat 11:12:57 AM,34.1627,-115.7009, 264,327,376,"30,000"
Sat 11:13:27 AM,34.1572,-115.7575, 263,324,373,"30,000"
Sat 11:13:57 AM,34.1522,-115.8096, 263,326,375,"30,000"
Sat 11:14:27 AM,34.1472,-115.8623, 264,330,380,"30,000"
Sat 11:15:05 AM,34.1401,-115.9346, 263,331,381,"30,000"
Sat 11:15:35 AM,34.1348,-115.9888, 263,333,383,"30,000"
Sat 11:16:05 AM,34.1295,-116.0437, 264,336,387,"30,000"
Sat 11:16:35 AM,34.1240,-116.1000, 263,336,387,"30,000"
Sat 11:17:05 AM,34.1185,-116.1557, 263,336,387,"30,000"
Sat 11:17:35 AM,34.1131,-116.2106, 263,335,386,"30,000"
Sat 11:18:05 AM,34.1074,-116.2672, 263,334,384,"30,000"
Sat 11:18:35 AM,34.1017,-116.3241, 263,333,383,"30,000"
Sat 11:19:06 AM,34.0958,-116.3779, 263,330,380,"30,000"
Sat 11:19:32 AM,34.0905,-116.4266, 263,326,375,"30,000"
Sat 11:20:02 AM,34.0848,-116.4803, 263,326,375,"30,000"
Sat 11:20:32 AM,34.0789,-116.5348, 263,333,383,"30,000"
Sat 11:21:14 AM,34.0709,-116.6112, 263,330,380,"30,000"
Sat 11:21:52 AM,34.0648,-116.6790, 264,323,372,"29,050"
Sat 11:22:13 AM,34.0614,-116.7171, 264,317,365,"28,325"
Sat 11:22:43 AM,34.0564,-116.7694, 264,315,362,"27,050"
Sat 11:23:13 AM,34.0514,-116.8217, 263,317,365,"25,625"
Sat 11:23:43 AM,34.0461,-116.8761, 263,321,369,"24,200"
Sat 11:24:13 AM,34.0400,-116.9271, 261,316,364,"24,000"
Sat 11:24:43 AM,34.0334,-116.9784, 261,314,361,"23,325"
Sat 11:25:13 AM,34.0268,-117.0285, 261,309,356,"22,075"
Sat 11:25:30 AM,34.0254,-117.0595, 279,307,353,"21,850"
Sat 11:25:46 AM,34.0356,-117.0856, 304,327,376,"21,575"
Sat 11:26:06 AM,34.0531,-117.1150, 306,332,382,"20,975"
Sat 11:26:36 AM,34.0794,-117.1594, 305,324,373,"20,250"
Sat 11:27:06 AM,34.1045,-117.2032, 304,316,364,"19,700"
Sat 11:27:28 AM,34.1228,-117.2361, 301,313,360,"19,100"
Sat 11:27:44 AM,34.1285,-117.2625, 267,282,325,"18,625"
Sat 11:28:00 AM,34.1223,-117.2835, 233,270,311,"18,125"
Sat 11:28:18 AM,34.1043,-117.2999, 211,271,312,"17,575"
Sat 11:28:48 AM,34.0722,-117.3226, 210,268,308,"16,900"
Sat 11:29:14 AM,34.0439,-117.3426, 211,264,304,"16,350"
Sat 11:29:32 AM,34.0262,-117.3553, 213,265,305,"15,875"
Sat 11:29:49 AM,34.0129,-117.3739, 247,271,312,"15,425"
Sat 11:30:07 AM,34.0129,-117.4043, 287,296,341,"14,900"
Sat 11:30:44 AM,34.0294,-117.4588, 290,291,335,"14,175"
Sat 11:31:01 AM,34.0373,-117.4863, 285,291,335,"13,600"
Sat 11:31:21 AM,34.0398,-117.5165, 269,278,320,"13,125"
Sat 11:32:00 AM,34.0346,-117.5743, 264,274,315,"12,250"
Sat 11:32:30 AM,34.0301,-117.6201, 263,257,296,"12,075"
Sat 11:33:09 AM,34.0245,-117.6731, 264,232,267,"11,700"
Sat 11:33:51 AM,34.0195,-117.7242, 264,214,246,"11,050"
Sat 11:34:07 AM,34.0178,-117.7429, 263,211,243,"10,825"
Sat 11:34:26 AM,34.0156,-117.7640, 263,212,244,"10,500"
Sat 11:34:49 AM,34.0130,-117.7920, 264,207,238,"10,150"
Sat 11:35:19 AM,34.0096,-117.8262, 263,192,221,"9,850"
Sat 11:35:49 AM,34.0067,-117.8561, 264,183,211,"9,475"
Sat 11:36:08 AM,34.0048,-117.8751, 264,181,208,"9,150"
Sat 11:36:28 AM,34.0026,-117.8957, 265,181,208,"8,775"
Sat 11:36:58 AM,34.0001,-117.9246, 263,170,196,"8,275"
Sat 11:37:20 AM,33.9981,-117.9446, 263,167,192,"7,900"
Sat 11:37:50 AM,33.9954,-117.9714, 263,157,181,"7,400"
Sat 11:38:20 AM,33.9929,-117.9974, 264,153,176,"6,825"
Sat 11:38:50 AM,33.9903,-118.0222, 263,150,173,"6,275"
Sat 11:39:13 AM,33.9884,-118.0419, 264,143,165,"5,875"
Sat 11:39:43 AM,33.9862,-118.0641, 263,139,160,"5,600"
Sat 11:40:13 AM,33.9839,-118.0873, 263,140,161,"5,300"
Sat 11:40:43 AM,33.9815,-118.1107, 263,142,163,"5,000"
