Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 10:40:39 PM    Departure (PHX) @ Saturday 07:40:39 PM MST,,,FlightAware ADS-B (KPHX)
Sat 10:40:39 PM,33.4310,-112.0186, 269,166,191,"1,675"
Sat 10:40:55 PM,33.4311,-112.0319, 271,160,184,"2,600"
Sat 10:41:11 PM,33.4309,-112.0470, 265,167,192,"3,325"
Sat 10:41:27 PM,33.4278,-112.0626, 252,189,217,"3,675"
Sat 10:41:43 PM,33.4238,-112.0767, 251,195,224,"4,175"
Sat 10:41:59 PM,33.4190,-112.0937, 251,201,231,"4,950"
Sat 10:42:16 PM,33.4132,-112.1139, 251,232,267,"5,325"
Sat 10:42:46 PM,33.4030,-112.1521, 253,253,291,"6,450"
Sat 10:43:16 PM,33.3925,-112.1940, 256,253,291,"8,150"
Sat 10:43:33 PM,33.3918,-112.2176, 278,269,310,"8,900"
Sat 10:43:54 PM,33.3969,-112.2460, 282,276,318,"9,850"
Sat 10:44:24 PM,33.4038,-112.2881, 281,288,331,"10,950"
Sat 10:44:54 PM,33.4120,-112.3423, 280,311,358,"11,800"
Sat 10:45:24 PM,33.4196,-112.3929, 280,315,362,"13,000"
Sat 10:45:54 PM,33.4275,-112.4462, 280,318,366,"14,250"
Sat 10:46:24 PM,33.4350,-112.4968, 280,320,368,"15,425"
Sat 10:46:55 PM,33.4430,-112.5514, 280,317,365,"16,800"
Sat 10:47:14 PM,33.4477,-112.5844, 278,313,360,"17,600"
Sat 10:47:32 PM,33.4502,-112.6144, 273,308,354,"18,250"
Sat 10:48:12 PM,33.4513,-112.6801, 271,299,344,"19,825"
Sat 10:48:42 PM,33.4520,-112.7312, 271,297,342,"20,950"
Sat 10:49:09 PM,33.4527,-112.7748, 273,304,350,"21,600"
Sat 10:49:27 PM,33.4565,-112.8057, 284,318,366,"22,075"
Sat 10:49:46 PM,33.4665,-112.8398, 293,332,382,"22,575"
Sat 10:50:16 PM,33.4840,-112.8891, 293,335,386,"23,275"
Sat 10:50:46 PM,33.5021,-112.9408, 293,341,392,"23,950"
Sat 10:51:17 PM,33.5220,-112.9976, 293,340,391,"24,000"
Sat 10:51:47 PM,33.5396,-113.0479, 293,339,390,"24,000"
Sat 10:52:18 PM,33.5572,-113.0983, 293,339,390,"24,000"
Sat 10:52:48 PM,33.5767,-113.1545, 293,339,390,"24,000"
Sat 10:53:18 PM,33.5949,-113.2070, 293,339,390,"24,000"
Sat 10:53:48 PM,33.6122,-113.2567, 293,340,391,"24,000"
Sat 10:54:19 PM,33.6316,-113.3128, 292,341,392,"24,000"
Sat 10:54:49 PM,33.6495,-113.3647, 293,340,391,"24,000"
Sat 10:55:19 PM,33.6679,-113.4182, 292,343,395,"24,000"
Sat 10:55:49 PM,33.6859,-113.4703, 292,344,396,"24,000"
Sat 10:56:19 PM,33.7040,-113.5228, 292,342,394,"24,000"
Sat 10:56:49 PM,33.7221,-113.5756, 292,340,391,"24,000"
Sat 10:57:21 PM,33.7404,-113.6289, 292,340,391,"24,000"
Sat 10:57:51 PM,33.7585,-113.6818, 292,338,389,"24,000"
Sat 10:58:21 PM,33.7764,-113.7343, 292,339,390,"24,000"
Sat 10:58:51 PM,33.7943,-113.7868, 292,339,390,"24,000"
Sat 10:59:21 PM,33.8123,-113.8396, 292,337,388,"24,000"
Sat 10:59:51 PM,33.8302,-113.8924, 292,339,390,"24,000"
Sat 11:00:21 PM,33.8480,-113.9444, 292,336,387,"24,000"
Sat 11:00:52 PM,33.8660,-113.9977, 292,336,387,"24,000"
Sat 11:01:22 PM,33.8824,-114.0461, 292,335,386,"24,000"
Sat 11:01:52 PM,33.8997,-114.0980, 290,329,379,"24,000"
Sat 11:02:22 PM,33.9117,-114.1516, 281,320,368,"24,000"
Sat 11:03:03 PM,33.9238,-114.2231, 281,319,367,"24,000"
Sat 11:03:37 PM,33.9342,-114.2843, 282,321,369,"24,000"
Sat 11:04:08 PM,33.9433,-114.3379, 281,318,366,"24,000"
Sat 11:04:39 PM,33.9518,-114.3880, 282,316,364,"24,000"
Sat 11:05:14 PM,33.9622,-114.4503, 282,316,364,"24,000"
Sat 11:05:45 PM,33.9713,-114.5046, 282,317,365,"24,000"
Sat 11:06:16 PM,33.9798,-114.5555, 281,317,365,"24,000"
Sat 11:06:46 PM,33.9883,-114.6063, 281,317,365,"23,950"
Sat 11:07:19 PM,33.9980,-114.6649, 282,318,366,"24,000"
Sat 11:07:47 PM,34.0060,-114.7129, 283,320,368,"24,000"
Sat 11:08:04 PM,34.0182,-114.7434, 309,368,423,"24,025"
Sat 11:08:34 PM,34.0646,-114.7790, 337,433,498,"24,400"
Sat 11:09:04 PM,34.1227,-114.8069, 338,437,503,"25,075"
Sat 11:09:34 PM,34.1791,-114.8334, 339,438,504,"25,725"
Sat 11:09:51 PM,34.2104,-114.8489, 334,431,496,"26,000"
Sat 11:10:09 PM,34.2374,-114.8732, 313,384,442,"26,000"
Sat 11:10:28 PM,34.2542,-114.9044, 294,345,397,"26,000"
Sat 11:10:44 PM,34.2617,-114.9342, 280,319,367,"26,000"
Sat 11:11:04 PM,34.2627,-114.9677, 265,300,345,"26,000"
Sat 11:11:43 PM,34.2545,-115.0298, 261,296,341,"26,000"
Sat 11:12:13 PM,34.2478,-115.0787, 261,296,341,"26,000"
Sat 11:12:43 PM,34.2409,-115.1297, 261,301,346,"26,000"
Sat 11:13:13 PM,34.2343,-115.1783, 261,298,343,"26,000"
Sat 11:13:43 PM,34.2274,-115.2287, 261,315,362,"26,000"
Sat 11:14:13 PM,34.2198,-115.2842, 261,329,379,"26,000"
Sat 11:14:43 PM,34.2126,-115.3372, 261,326,375,"26,000"
Sat 11:15:14 PM,34.2053,-115.3909, 261,324,373,"26,000"
Sat 11:15:39 PM,34.1989,-115.4375, 261,323,372,"26,000"
Sat 11:16:09 PM,34.1915,-115.4911, 261,323,372,"26,000"
Sat 11:16:39 PM,34.1844,-115.5422, 261,321,369,"26,000"
Sat 11:17:09 PM,34.1768,-115.5969, 260,323,372,"26,000"
Sat 11:17:39 PM,34.1694,-115.6500, 260,324,373,"26,000"
Sat 11:18:09 PM,34.1628,-115.7021, 262,325,374,"26,000"
Sat 11:18:31 PM,34.1588,-115.7431, 264,314,361,"26,000"
Sat 11:19:01 PM,34.1538,-115.7946, 263,315,362,"26,000"
Sat 11:19:31 PM,34.1487,-115.8477, 263,316,364,"26,000"
Sat 11:20:01 PM,34.1437,-115.8994, 263,316,364,"26,000"
Sat 11:20:31 PM,34.1386,-115.9518, 263,319,367,"26,000"
Sat 11:21:01 PM,34.1332,-116.0066, 263,320,368,"26,000"
Sat 11:21:32 PM,34.1281,-116.0591, 263,320,368,"26,000"
Sat 11:22:02 PM,34.1227,-116.1130, 263,320,368,"26,000"
Sat 11:22:32 PM,34.1174,-116.1665, 263,321,369,"26,000"
Sat 11:23:02 PM,34.1122,-116.2195, 263,318,366,"26,000"
Sat 11:23:33 PM,34.1067,-116.2749, 263,316,364,"26,000"
Sat 11:23:57 PM,34.1026,-116.3151, 263,315,362,"26,000"
Sat 11:24:28 PM,34.0969,-116.3687, 264,315,362,"26,000"
Sat 11:24:58 PM,34.0913,-116.4204, 263,314,361,"26,000"
Sat 11:25:28 PM,34.0855,-116.4747, 263,314,361,"26,000"
Sat 11:25:53 PM,34.0811,-116.5155, 263,317,365,"26,000"
Sat 11:26:23 PM,34.0752,-116.5698, 263,320,368,"26,000"
Sat 11:26:53 PM,34.0699,-116.6226, 264,324,373,"26,000"
Sat 11:27:23 PM,34.0651,-116.6754, 264,325,374,"26,000"
Sat 11:27:53 PM,34.0601,-116.7292, 264,326,375,"26,000"
Sat 11:28:34 PM,34.0532,-116.8040, 265,323,372,"26,000"
Sat 11:29:04 PM,34.0480,-116.8587, 263,341,392,"26,000"
Sat 11:29:34 PM,34.0423,-116.9162, 262,356,410,"26,000"
Sat 11:30:12 PM,34.0334,-116.9896, 262,356,410,"25,200"
Sat 11:30:42 PM,34.0264,-117.0485, 262,360,414,"24,250"
Sat 11:31:12 PM,34.0189,-117.1106, 262,370,426,"23,250"
Sat 11:31:41 PM,34.0114,-117.1726, 262,373,429,"22,250"
Sat 11:32:26 PM,34.0020,-117.2621, 265,373,429,"20,825"
Sat 11:32:56 PM,33.9978,-117.3241, 265,369,425,"19,825"
Sat 11:33:26 PM,33.9936,-117.3868, 265,364,419,"18,825"
Sat 11:33:56 PM,33.9896,-117.4451, 265,366,421,"17,925"
Sat 11:34:26 PM,33.9851,-117.5093, 265,366,421,"17,050"
Sat 11:34:56 PM,33.9810,-117.5697, 265,362,417,"16,100"
Sat 11:35:26 PM,33.9773,-117.6248, 265,356,410,"15,150"
Sat 11:35:56 PM,33.9730,-117.6878, 265,350,403,"14,550"
Sat 11:36:26 PM,33.9691,-117.7428, 264,346,398,"13,975"
Sat 11:36:53 PM,33.9645,-117.7944, 264,345,397,"13,500"
Sat 11:37:20 PM,33.9599,-117.8466, 264,332,382,"12,975"
Sat 11:37:53 PM,33.9547,-117.9055, 264,302,348,"12,400"
Sat 11:38:23 PM,33.9504,-117.9537, 264,278,320,"11,950"
Sat 11:38:44 PM,33.9476,-117.9858, 264,265,305,"11,625"
Sat 11:39:14 PM,33.9441,-118.0251, 264,247,284,"11,250"
Sat 11:39:44 PM,33.9411,-118.0671, 265,244,281,"10,850"
Sat 11:40:24 PM,33.9373,-118.1195, 265,235,270,"10,325"
Sat 11:40:45 PM,33.9353,-118.1470, 265,225,259,"10,075"
Sat 11:41:11 PM,33.9330,-118.1776, 266,224,258,"9,775"
Sat 11:41:41 PM,33.9302,-118.2156, 266,223,257,"9,250"
Sat 11:41:57 PM,33.9276,-118.2369, 255,220,253,"9,000"
Sat 11:42:16 PM,33.9202,-118.2557, 239,216,249,"8,750"
Sat 11:42:46 PM,33.9043,-118.2864, 238,217,250,"8,325"
Sat 11:43:16 PM,33.8883,-118.3173, 238,216,249,"7,900"
Sat 11:43:46 PM,33.8721,-118.3487, 238,215,247,"7,475"
Sat 11:44:07 PM,33.8612,-118.3705, 243,217,250,"7,200"
Sat 11:44:26 PM,33.8550,-118.3928, 259,221,254,"7,100"
Sat 11:44:51 PM,33.8518,-118.4221, 263,224,258,"6,550"
