Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 10:20:41 PM    Departure (PHX) @ Saturday 08:20:41 PM MST,,,FlightAware ADS-B (KCHD)
Sat 10:20:41 PM,33.4309,-111.9986, 91,150,173,"1,525"
Sat 10:20:57 PM,33.4310,-111.9862, 89,148,170,"2,200"
Sat 10:21:13 PM,33.4312,-111.9721, 89,164,189,"2,750"
Sat 10:21:29 PM,33.4315,-111.9570, 89,190,219,"3,025"
Sat 10:21:45 PM,33.4320,-111.9380, 87,201,231,"3,725"
Sat 10:22:13 PM,33.4334,-111.9058, 87,226,260,"4,750"
Sat 10:22:31 PM,33.4334,-111.8830, 100,231,266,"5,675"
Sat 10:22:50 PM,33.4234,-111.8627, 137,239,275,"6,575"
Sat 10:23:07 PM,33.4068,-111.8479, 156,246,283,"7,475"
Sat 10:23:23 PM,33.3894,-111.8445, 185,254,292,"8,250"
Sat 10:23:39 PM,33.3717,-111.8520, 208,261,300,"8,900"
Sat 10:23:55 PM,33.3578,-111.8666, 236,272,313,"9,650"
Sat 10:24:18 PM,33.3524,-111.9014, 274,278,320,"10,650"
Sat 10:24:57 PM,33.3586,-111.9600, 277,305,351,"11,925"
Sat 10:25:27 PM,33.3647,-112.0164, 278,342,394,"12,300"
Sat 10:25:57 PM,33.3728,-112.0729, 280,336,387,"13,800"
Sat 10:26:27 PM,33.3806,-112.1254, 280,334,384,"15,125"
Sat 10:26:57 PM,33.3889,-112.1811, 280,338,389,"16,250"
Sat 10:27:27 PM,33.3972,-112.2379, 280,345,397,"17,300"
Sat 10:27:57 PM,33.4052,-112.2921, 280,347,399,"18,325"
Sat 10:28:27 PM,33.4136,-112.3492, 280,348,400,"19,375"
Sat 10:28:52 PM,33.4208,-112.3967, 282,350,403,"20,150"
Sat 10:29:10 PM,33.4285,-112.4302, 288,348,400,"20,775"
Sat 10:29:48 PM,33.4490,-112.5008, 289,353,406,"21,900"
Sat 10:30:18 PM,33.4649,-112.5554, 289,357,411,"22,700"
Sat 10:30:48 PM,33.4821,-112.6148, 289,364,419,"23,425"
Sat 10:31:18 PM,33.4986,-112.6715, 289,369,425,"24,125"
Sat 10:31:48 PM,33.5149,-112.7282, 289,372,428,"24,850"
Sat 10:32:18 PM,33.5317,-112.7863, 289,374,430,"25,625"
Sat 10:32:48 PM,33.5486,-112.8451, 289,379,436,"26,300"
