Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 10:31:38 AM    Departure (PHX) @ Saturday 08:31:38 AM MST,,,FlightAware ADS-B (KPHX)
Sat 10:31:38 AM,33.4311,-111.9989, 89,165,190,"1,175"
Sat 10:31:54 AM,33.4318,-111.9843, 84,158,182,"2,100"
Sat 10:32:10 AM,33.4326,-111.9693, 89,170,196,"2,525"
Sat 10:32:26 AM,33.4325,-111.9543, 90,190,219,"2,825"
Sat 10:32:42 AM,33.4327,-111.9372, 89,210,242,"3,100"
Sat 10:33:07 AM,33.4336,-111.9049, 88,226,260,"4,075"
Sat 10:33:24 AM,33.4339,-111.8854, 95,232,267,"4,725"
Sat 10:33:40 AM,33.4260,-111.8657, 135,238,274,"5,500"
Sat 10:33:57 AM,33.4104,-111.8520, 148,246,283,"6,200"
Sat 10:34:13 AM,33.3937,-111.8455, 177,255,293,"6,875"
Sat 10:34:31 AM,33.3743,-111.8521, 209,255,293,"7,925"
Sat 10:34:50 AM,33.3592,-111.8711, 238,250,288,"9,150"
Sat 10:35:06 AM,33.3538,-111.8922, 266,248,285,"10,175"
Sat 10:35:46 AM,33.3579,-111.9487, 276,282,325,"11,775"
Sat 10:36:16 AM,33.3625,-112.0000, 276,332,382,"12,250"
Sat 10:36:37 AM,33.3676,-112.0393, 280,358,412,"12,700"
Sat 10:37:07 AM,33.3767,-112.1000, 280,344,396,"15,075"
Sat 10:37:37 AM,33.3854,-112.1577, 280,366,421,"16,075"
Sat 10:38:07 AM,33.3943,-112.2180, 280,380,437,"17,100"
Sat 10:38:37 AM,33.4034,-112.2796, 280,388,447,"18,400"
Sat 10:39:07 AM,33.4125,-112.3424, 280,390,449,"19,800"
Sat 10:39:37 AM,33.4217,-112.4053, 280,392,451,"21,125"
Sat 10:40:07 AM,33.4309,-112.4686, 280,400,460,"22,175"
Sat 10:40:37 AM,33.4406,-112.5357, 280,406,467,"23,175"
Sat 10:41:00 AM,33.4480,-112.5885, 277,409,471,"24,050"
Sat 10:41:17 AM,33.4503,-112.6277, 271,413,475,"24,700"
Sat 10:41:48 AM,33.4514,-112.7009, 271,421,484,"25,475"
Sat 10:42:14 AM,33.4524,-112.7608, 273,426,490,"26,175"
Sat 10:42:37 AM,33.4595,-112.8128, 283,423,487,"26,800"
Sat 10:43:20 AM,33.4905,-112.9087, 292,423,487,"28,050"
Sat 10:43:50 AM,33.5110,-112.9682, 293,420,483,"28,975"
Sat 10:44:20 AM,33.5346,-113.0351, 293,421,484,"29,825"
Sat 10:44:50 AM,33.5570,-113.0993, 293,423,487,"30,575"
Sat 10:45:20 AM,33.5794,-113.1634, 293,424,488,"31,325"
Sat 10:45:50 AM,33.6028,-113.2304, 293,426,490,"32,000"
Sat 10:46:20 AM,33.6251,-113.2946, 292,425,489,"32,000"
Sat 10:46:51 AM,33.6484,-113.3623, 292,425,489,"32,000"
Sat 10:47:21 AM,33.6709,-113.4271, 293,424,488,"32,000"
Sat 10:47:51 AM,33.6930,-113.4912, 293,424,488,"32,000"
Sat 10:48:21 AM,33.7166,-113.5595, 293,424,488,"31,400"
Sat 10:48:52 AM,33.7398,-113.6269, 292,427,491,"30,625"
Sat 10:49:22 AM,33.7620,-113.6920, 292,426,490,"30,000"
Sat 10:49:52 AM,33.7841,-113.7570, 292,426,490,"30,000"
Sat 10:50:23 AM,33.8066,-113.8232, 292,426,490,"30,000"
Sat 10:50:53 AM,33.8289,-113.8884, 292,425,489,"30,000"
Sat 10:51:24 AM,33.8527,-113.9586, 292,427,491,"30,000"
Sat 10:51:54 AM,33.8746,-114.0232, 292,428,493,"30,000"
Sat 10:52:24 AM,33.8977,-114.0921, 291,429,494,"30,000"
Sat 10:52:40 AM,33.9063,-114.1247, 285,431,496,"30,000"
Sat 10:53:14 AM,33.9206,-114.2049, 282,429,494,"30,000"
Sat 10:53:44 AM,33.9330,-114.2778, 282,428,493,"30,000"
Sat 10:54:14 AM,33.9443,-114.3444, 282,427,491,"30,000"
Sat 10:54:47 AM,33.9577,-114.4232, 281,426,490,"30,000"
Sat 10:55:17 AM,33.9696,-114.4943, 281,426,490,"30,000"
Sat 10:55:48 AM,33.9812,-114.5637, 281,427,491,"30,000"
Sat 10:56:18 AM,33.9930,-114.6352, 281,428,493,"30,000"
Sat 10:56:48 AM,34.0044,-114.7035, 281,427,491,"30,000"
Sat 10:57:18 AM,34.0163,-114.7760, 281,428,493,"30,000"
Sat 10:57:50 AM,34.0281,-114.8469, 281,428,493,"30,000"
Sat 10:58:20 AM,34.0398,-114.9185, 281,430,495,"30,000"
Sat 10:58:50 AM,34.0516,-114.9905, 281,431,496,"30,000"
Sat 10:59:20 AM,34.0632,-115.0617, 281,432,497,"30,000"
Sat 10:59:50 AM,34.0746,-115.1319, 281,434,499,"30,000"
