Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 11:58:00 PM    Left Gate (PHX) @ Saturday 08:58:00 PM MST,,,Airline
,,,
Taxi Time: 8 minutes,,,
Sun 12:06:07 AM    Departure (PHX) @ Saturday 09:06:07 PM MST,,,FlightAware ADS-B (KIWA)
Sun 12:06:07 AM,33.4313,-112.0247, 274,157,181,"1,850"
Sun 12:06:23 AM,33.4323,-112.0401, 270,158,182,"2,600"
Sun 12:06:39 AM,33.4301,-112.0536, 252,175,201,"2,925"
Sun 12:06:55 AM,33.4253,-112.0695, 252,197,227,"3,325"
Sun 12:07:11 AM,33.4205,-112.0859, 251,205,236,"4,050"
Sun 12:07:35 AM,33.4130,-112.1141, 253,235,270,"4,850"
Sun 12:08:05 AM,33.4028,-112.1537, 252,264,304,"5,750"
Sun 12:08:23 AM,33.3955,-112.1802, 253,273,314,"6,575"
Sun 12:08:43 AM,33.3934,-112.2091, 276,285,328,"7,900"
Sun 12:09:05 AM,33.3982,-112.2447, 279,285,328,"9,725"
Sun 12:09:35 AM,33.4049,-112.2931, 279,310,357,"11,275"
Sun 12:10:05 AM,33.4127,-112.3467, 280,327,376,"12,800"
Sun 12:10:35 AM,33.4207,-112.4003, 280,328,377,"14,800"
Sun 12:11:05 AM,33.4285,-112.4527, 280,326,375,"16,775"
Sun 12:11:35 AM,33.4361,-112.5047, 280,323,372,"18,650"
Sun 12:12:05 AM,33.4434,-112.5554, 280,319,367,"20,425"
Sun 12:12:25 AM,33.4484,-112.5906, 279,320,368,"21,525"
Sun 12:13:05 AM,33.4507,-112.6589, 271,321,369,"23,275"
Sun 12:13:35 AM,33.4515,-112.7164, 271,350,403,"23,800"
Sun 12:14:00 AM,33.4526,-112.7680, 274,368,423,"24,400"
Sun 12:14:18 AM,33.4573,-112.8036, 282,381,438,"24,975"
Sun 12:14:35 AM,33.4672,-112.8405, 292,394,453,"25,675"
Sun 12:15:05 AM,33.4881,-112.9003, 293,396,456,"26,775"
Sun 12:15:35 AM,33.5085,-112.9588, 293,403,464,"27,675"
Sun 12:16:05 AM,33.5303,-113.0212, 293,402,463,"28,775"
Sun 12:16:35 AM,33.5519,-113.0831, 293,399,459,"29,925"
Sun 12:17:05 AM,33.5733,-113.1450, 293,395,455,"30,975"
Sun 12:17:35 AM,33.5945,-113.2060, 293,395,455,"31,950"
Sun 12:18:05 AM,33.6151,-113.2655, 293,395,455,"32,000"
Sun 12:18:35 AM,33.6364,-113.3267, 293,393,452,"32,000"
Sun 12:19:05 AM,33.6574,-113.3878, 292,391,450,"32,000"
Sun 12:19:35 AM,33.6781,-113.4480, 292,391,450,"32,000"
Sun 12:20:05 AM,33.6978,-113.5052, 292,392,451,"32,000"
Sun 12:20:35 AM,33.7181,-113.5642, 292,391,450,"32,000"
Sun 12:21:05 AM,33.7389,-113.6250, 292,392,451,"32,000"
Sun 12:21:36 AM,33.7613,-113.6904, 292,394,453,"32,000"
Sun 12:22:06 AM,33.7820,-113.7509, 292,397,457,"32,000"
Sun 12:22:23 AM,33.7928,-113.7855, 287,388,447,"32,000"
Sun 12:22:41 AM,33.8001,-113.8216, 280,377,434,"32,000"
Sun 12:23:18 AM,33.8103,-113.8982, 279,375,432,"32,000"
Sun 12:23:48 AM,33.8182,-113.9578, 279,374,430,"32,000"
Sun 12:24:18 AM,33.8265,-114.0208, 279,375,432,"32,000"
Sun 12:24:51 AM,33.8353,-114.0874, 279,376,433,"32,000"
Sun 12:25:21 AM,33.8432,-114.1485, 279,376,433,"32,000"
Sun 12:25:51 AM,33.8512,-114.2099, 279,376,433,"32,000"
Sun 12:26:22 AM,33.8598,-114.2757, 279,377,434,"32,000"
Sun 12:26:52 AM,33.8680,-114.3385, 279,376,433,"32,000"
Sun 12:27:22 AM,33.8756,-114.3976, 279,374,430,"32,000"
Sun 12:27:53 AM,33.8838,-114.4625, 279,373,429,"32,000"
Sun 12:28:24 AM,33.8921,-114.5278, 279,372,428,"32,000"
Sun 12:28:52 AM,33.8993,-114.5836, 279,370,426,"32,000"
Sun 12:29:23 AM,33.9073,-114.6466, 279,369,425,"32,000"
Sun 12:29:52 AM,33.9145,-114.7043, 280,368,423,"32,000"
Sun 12:30:23 AM,33.9223,-114.7667, 279,367,422,"32,000"
Sun 12:30:53 AM,33.9293,-114.8237, 279,366,421,"32,000"
Sun 12:31:25 AM,33.9381,-114.8933, 279,366,421,"32,000"
Sun 12:31:55 AM,33.9456,-114.9534, 279,367,422,"32,000"
Sun 12:32:25 AM,33.9532,-115.0153, 278,368,423,"32,000"
Sun 12:32:56 AM,33.9607,-115.0767, 278,368,423,"32,000"
Sun 12:33:26 AM,33.9680,-115.1367, 278,369,425,"32,000"
Sun 12:33:56 AM,33.9754,-115.1967, 278,369,425,"32,000"
Sun 12:34:26 AM,33.9831,-115.2603, 278,370,426,"32,000"
Sun 12:34:56 AM,33.9905,-115.3215, 278,369,425,"32,000"
Sun 12:35:26 AM,33.9974,-115.3791, 278,368,423,"32,000"
Sun 12:35:57 AM,34.0051,-115.4434, 278,368,423,"32,000"
Sun 12:36:27 AM,34.0123,-115.5040, 278,369,425,"32,000"
Sun 12:36:57 AM,34.0196,-115.5647, 278,370,426,"32,000"
Sun 12:37:27 AM,34.0269,-115.6268, 278,370,426,"32,000"
Sun 12:37:57 AM,34.0341,-115.6885, 278,371,427,"32,000"
Sun 12:38:27 AM,34.0410,-115.7467, 278,372,428,"32,000"
Sun 12:38:57 AM,34.0482,-115.8087, 278,373,429,"32,000"
Sun 12:39:27 AM,34.0554,-115.8713, 278,374,430,"32,000"
Sun 12:39:57 AM,34.0626,-115.9342, 278,375,432,"32,000"
Sun 12:40:38 AM,34.0724,-116.0185, 278,378,435,"32,000"
Sun 12:41:09 AM,34.0796,-116.0827, 278,379,436,"32,000"
Sun 12:41:39 AM,34.0870,-116.1459, 278,382,440,"32,000"
Sun 12:42:11 AM,34.0948,-116.2150, 278,382,440,"32,000"
Sun 12:42:38 AM,34.1011,-116.2721, 275,379,436,"32,000"
Sun 12:42:59 AM,34.1017,-116.3158, 267,368,423,"32,000"
Sun 12:43:20 AM,34.0979,-116.3579, 263,363,418,"32,000"
Sun 12:43:38 AM,34.0942,-116.3929, 264,363,418,"32,000"
Sun 12:44:08 AM,34.0875,-116.4559, 263,368,423,"32,000"
Sun 12:44:38 AM,34.0811,-116.5153, 263,369,425,"32,000"
Sun 12:45:08 AM,34.0746,-116.5757, 263,370,426,"32,000"
Sun 12:45:45 AM,34.0669,-116.6547, 264,371,427,"32,000"
Sun 12:46:15 AM,34.0615,-116.7156, 264,368,423,"32,000"
Sun 12:46:45 AM,34.0560,-116.7752, 263,367,422,"31,525"
Sun 12:47:15 AM,34.0505,-116.8326, 265,363,418,"30,150"
Sun 12:47:35 AM,34.0466,-116.8738, 265,359,413,"29,275"
Sun 12:48:00 AM,34.0418,-116.9224, 262,329,379,"28,950"
Sun 12:48:37 AM,34.0331,-116.9895, 261,321,369,"27,375"
Sun 12:49:07 AM,34.0263,-117.0424, 263,321,369,"26,075"
Sun 12:49:46 AM,34.0185,-117.1116, 263,323,372,"24,450"
Sun 12:50:08 AM,34.0143,-117.1482, 262,323,372,"23,725"
Sun 12:50:38 AM,34.0072,-117.2055, 262,335,386,"22,675"
Sun 12:50:57 AM,34.0034,-117.2394, 264,340,391,"22,050"
Sun 12:51:37 AM,33.9984,-117.3150, 265,341,392,"20,725"
Sun 12:52:07 AM,33.9945,-117.3723, 266,342,394,"19,700"
Sun 12:52:37 AM,33.9907,-117.4293, 265,339,390,"18,700"
Sun 12:53:07 AM,33.9871,-117.4820, 265,337,388,"17,700"
