Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 11:49:07 PM    Departure (PHX) @ Saturday 09:49:07 PM MST,,,FlightAware ADS-B (KGYR)
Sat 11:49:07 PM,33.4311,-111.9929, 90,179,206,"1,300"
Sat 11:49:23 PM,33.4313,-111.9784, 88,175,201,"2,100"
Sat 11:49:39 PM,33.4318,-111.9611, 88,183,211,"2,650"
Sat 11:49:55 PM,33.4325,-111.9444, 87,202,232,"2,975"
Sat 11:50:11 PM,33.4333,-111.9253, 87,214,246,"3,500"
Sat 11:50:27 PM,33.4340,-111.9077, 87,220,253,"4,100"
Sat 11:50:44 PM,33.4343,-111.8843, 94,231,266,"4,800"
Sat 11:51:01 PM,33.4265,-111.8640, 125,235,270,"5,500"
Sat 11:51:20 PM,33.4111,-111.8510, 150,243,280,"6,300"
Sat 11:51:38 PM,33.3907,-111.8443, 179,250,288,"7,100"
Sat 11:51:54 PM,33.3733,-111.8504, 207,258,297,"7,725"
Sat 11:52:11 PM,33.3589,-111.8678, 235,261,300,"8,475"
Sat 11:52:31 PM,33.3525,-111.8958, 269,266,306,"9,250"
Sat 11:53:10 PM,33.3583,-111.9565, 278,298,343,"10,500"
Sat 11:53:40 PM,33.3636,-112.0095, 277,339,390,"11,000"
Sat 11:54:17 PM,33.3738,-112.0798, 280,371,427,"11,975"
Sat 11:54:47 PM,33.3832,-112.1437, 280,375,432,"13,500"
Sat 11:55:17 PM,33.3918,-112.2022, 280,376,433,"15,000"
Sat 11:55:42 PM,33.3999,-112.2544, 282,378,435,"16,225"
Sat 11:56:00 PM,33.4083,-112.2885, 289,381,438,"17,075"
Sat 11:56:32 PM,33.4276,-112.3564, 289,389,448,"18,400"
Sat 11:57:02 PM,33.4444,-112.4164, 289,395,455,"19,575"
Sat 11:57:32 PM,33.4621,-112.4799, 288,398,458,"20,875"
Sat 11:58:02 PM,33.4796,-112.5428, 288,401,461,"22,075"
Sat 11:58:32 PM,33.4975,-112.6068, 288,408,470,"23,100"
Sat 11:59:02 PM,33.5148,-112.6692, 288,414,476,"23,975"
Sat 11:59:32 PM,33.5337,-112.7373, 288,421,484,"24,875"
Sun 12:00:02 AM,33.5519,-112.8036, 288,427,491,"25,700"
Sun 12:00:32 AM,33.5702,-112.8702, 288,434,499,"26,450"
Sun 12:01:02 AM,33.5900,-112.9421, 288,436,502,"27,400"
Sun 12:01:32 AM,33.6084,-113.0091, 288,427,491,"28,000"
Sun 12:02:02 AM,33.6257,-113.0724, 288,423,487,"28,000"
Sun 12:02:32 AM,33.6443,-113.1403, 288,422,486,"28,000"
Sun 12:03:02 AM,33.6633,-113.2102, 288,421,484,"28,000"
Sun 12:03:32 AM,33.6812,-113.2759, 288,421,484,"28,000"
Sun 12:04:02 AM,33.6990,-113.3427, 288,421,484,"28,000"
Sun 12:04:32 AM,33.7169,-113.4093, 288,421,484,"28,000"
Sun 12:05:02 AM,33.7343,-113.4735, 288,421,484,"28,000"
Sun 12:05:32 AM,33.7527,-113.5414, 288,422,486,"28,000"
Sun 12:06:03 AM,33.7709,-113.6088, 288,422,486,"28,000"
Sun 12:06:33 AM,33.7898,-113.6790, 288,423,487,"28,000"
Sun 12:07:03 AM,33.8068,-113.7425, 288,423,487,"28,000"
Sun 12:07:33 AM,33.8247,-113.8096, 288,423,487,"28,000"
Sun 12:08:03 AM,33.8427,-113.8774, 288,423,487,"28,000"
Sun 12:08:34 AM,33.8610,-113.9464, 288,423,487,"28,000"
Sun 12:09:04 AM,33.8785,-114.0128, 288,423,487,"28,000"
Sun 12:09:34 AM,33.8966,-114.0814, 288,422,486,"28,000"
Sun 12:10:17 AM,33.9161,-114.1786, 282,423,487,"28,000"
Sun 12:10:48 AM,33.9288,-114.2528, 282,422,486,"28,000"
Sun 12:11:18 AM,33.9402,-114.3201, 282,422,486,"28,000"
Sun 12:11:49 AM,33.9519,-114.3899, 281,421,484,"28,000"
Sun 12:12:22 AM,33.9646,-114.4655, 281,420,483,"28,000"
Sun 12:12:52 AM,33.9767,-114.5376, 281,421,484,"28,000"
Sun 12:13:23 AM,33.9883,-114.6068, 281,422,486,"28,000"
Sun 12:13:53 AM,34.0000,-114.6776, 281,423,487,"28,000"
Sun 12:14:23 AM,34.0115,-114.7470, 281,423,487,"28,000"
Sun 12:14:54 AM,34.0237,-114.8194, 282,423,487,"28,000"
Sun 12:15:24 AM,34.0347,-114.8877, 281,425,489,"28,000"
Sun 12:15:54 AM,34.0459,-114.9576, 281,437,503,"28,000"
Sun 12:16:24 AM,34.0571,-115.0266, 282,440,506,"28,000"
Sun 12:16:54 AM,34.0695,-115.1022, 281,440,506,"28,000"
Sun 12:17:25 AM,34.0813,-115.1739, 281,440,506,"28,000"
Sun 12:17:55 AM,34.0936,-115.2496, 281,441,507,"28,000"
Sun 12:18:25 AM,34.1045,-115.3167, 281,442,509,"28,000"
Sun 12:18:55 AM,34.1164,-115.3908, 281,442,509,"28,000"
Sun 12:19:26 AM,34.1287,-115.4682, 281,442,509,"28,000"
Sun 12:19:56 AM,34.1398,-115.5380, 281,442,509,"28,000"
Sun 12:20:26 AM,34.1520,-115.6141, 281,442,509,"28,000"
Sun 12:20:48 AM,34.1589,-115.6658, 276,442,509,"28,000"
Sun 12:21:04 AM,34.1604,-115.7078, 270,442,509,"28,000"
Sun 12:21:20 AM,34.1585,-115.7450, 264,443,510,"28,000"
Sun 12:21:56 AM,34.1502,-115.8318, 264,441,507,"28,000"
Sun 12:22:26 AM,34.1432,-115.9040, 263,441,507,"28,000"
Sun 12:22:56 AM,34.1359,-115.9788, 263,442,509,"28,000"
Sun 12:23:26 AM,34.1288,-116.0508, 263,443,510,"28,000"
Sun 12:23:56 AM,34.1215,-116.1256, 263,444,511,"28,000"
Sun 12:24:26 AM,34.1142,-116.1987, 264,444,511,"28,000"
Sun 12:24:56 AM,34.1071,-116.2709, 263,444,511,"28,000"
Sun 12:25:26 AM,34.0994,-116.3462, 263,426,490,"27,775"
Sun 12:25:56 AM,34.0918,-116.4163, 263,421,484,"26,525"
Sun 12:26:26 AM,34.0848,-116.4818, 263,413,475,"25,350"
Sun 12:26:56 AM,34.0770,-116.5541, 263,407,468,"24,200"
