Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 02:06:00 PM    Left Gate (PHX) @ Saturday 11:06:00 AM MST,,,Airline
,,,
Taxi Time: 17 minutes,,,
Sat 02:23:04 PM    Departure (PHX) @ Saturday 11:23:04 AM MST,,,FlightAware ADS-B (KPHX)
Sat 02:23:04 PM,33.4311,-111.9927, 89,175,201,"1,800"
Sat 02:23:20 PM,33.4316,-111.9776, 87,178,205,"2,575"
Sat 02:23:36 PM,33.4325,-111.9595, 87,195,224,"3,100"
Sat 02:23:52 PM,33.4331,-111.9423, 88,210,242,"3,700"
Sat 02:24:22 PM,33.4335,-111.9029, 89,246,283,"4,675"
Sat 02:24:39 PM,33.4320,-111.8817, 103,243,280,"5,475"
Sat 02:24:55 PM,33.4222,-111.8628, 136,236,272,"6,350"
Sat 02:25:13 PM,33.4069,-111.8500, 151,232,267,"7,350"
Sat 02:25:30 PM,33.3905,-111.8456, 180,220,253,"8,275"
Sat 02:25:54 PM,33.3680,-111.8571, 214,222,255,"9,550"
Sat 02:26:10 PM,33.3558,-111.8736, 239,238,274,"10,125"
Sat 02:26:27 PM,33.3524,-111.8960, 272,273,314,"10,450"
Sat 02:26:51 PM,33.3567,-111.9361, 277,309,356,"11,100"
Sat 02:27:21 PM,33.3614,-111.9899, 276,336,387,"11,850"
Sat 02:27:40 PM,33.3656,-112.0275, 279,344,396,"12,700"
Sat 02:28:10 PM,33.3739,-112.0812, 280,354,407,"13,850"
Sat 02:28:40 PM,33.3826,-112.1400, 280,355,409,"15,300"
Sat 02:29:10 PM,33.3912,-112.1974, 280,358,412,"16,750"
Sat 02:29:40 PM,33.3998,-112.2564, 280,366,421,"17,975"
Sat 02:30:10 PM,33.4091,-112.3199, 280,370,426,"19,250"
Sat 02:30:40 PM,33.4179,-112.3794, 280,368,423,"20,700"
Sat 02:31:10 PM,33.4267,-112.4395, 280,375,432,"21,700"
Sat 02:31:40 PM,33.4357,-112.5007, 280,376,433,"22,800"
Sat 02:32:10 PM,33.4446,-112.5623, 280,380,437,"23,650"
Sat 02:32:27 PM,33.4487,-112.5961, 276,380,437,"24,125"
Sat 02:33:08 PM,33.4510,-112.6830, 271,379,436,"25,350"
Sat 02:33:38 PM,33.4520,-112.7465, 271,383,441,"26,075"
Sat 02:33:56 PM,33.4544,-112.7823, 278,391,450,"26,475"
Sat 02:34:20 PM,33.4654,-112.8340, 289,406,467,"27,000"
Sat 02:35:04 PM,33.4979,-112.9273, 293,405,466,"27,975"
Sat 02:35:34 PM,33.5190,-112.9883, 292,404,465,"28,000"
Sat 02:36:04 PM,33.5408,-113.0512, 293,405,466,"28,000"
Sat 02:36:34 PM,33.5624,-113.1131, 293,408,470,"28,000"
Sat 02:37:04 PM,33.5840,-113.1751, 293,409,471,"28,000"
Sat 02:37:34 PM,33.6058,-113.2382, 292,410,472,"28,025"
