Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 01:53:05 PM    Departure (PHX) @ Saturday 10:53:05 AM MST,,,FlightAware ADS-B (KFFZ)
Sat 01:53:05 PM,33.4311,-111.9935, 90,161,185,"1,750"
Sat 01:53:21 PM,33.4313,-111.9797, 89,161,185,"2,425"
Sat 01:53:37 PM,33.4316,-111.9641, 88,183,211,"2,825"
Sat 01:53:53 PM,33.4322,-111.9463, 87,208,239,"3,175"
Sat 01:54:09 PM,33.4329,-111.9271, 88,224,258,"3,675"
Sat 01:54:27 PM,33.4336,-111.9048, 87,234,269,"4,425"
Sat 01:54:44 PM,33.4335,-111.8810, 98,235,270,"5,225"
Sat 01:55:02 PM,33.4257,-111.8627, 136,226,260,"5,975"
Sat 01:55:19 PM,33.4105,-111.8487, 148,219,252,"6,900"
Sat 01:55:35 PM,33.3954,-111.8410, 166,215,247,"7,625"
Sat 01:55:52 PM,33.3813,-111.8447, 208,208,239,"8,325"
Sat 01:56:12 PM,33.3644,-111.8571, 214,211,243,"9,350"
Sat 01:56:28 PM,33.3538,-111.8701, 243,225,259,"9,900"
Sat 01:56:55 PM,33.3524,-111.9054, 278,241,277,"11,100"
Sat 01:57:21 PM,33.3565,-111.9402, 277,250,288,"12,100"
Sat 01:57:51 PM,33.3610,-111.9841, 277,280,322,"12,650"
Sat 01:58:21 PM,33.3666,-112.0320, 280,300,345,"13,475"
Sat 01:58:51 PM,33.3745,-112.0845, 280,310,357,"14,425"
Sat 01:59:21 PM,33.3820,-112.1345, 280,311,358,"15,475"
Sat 01:59:51 PM,33.3892,-112.1834, 280,311,358,"16,500"
Sat 02:00:09 PM,33.3936,-112.2133, 280,314,361,"17,125"
Sat 02:00:27 PM,33.3992,-112.2463, 284,321,369,"17,775"
Sat 02:00:46 PM,33.4070,-112.2770, 289,329,379,"18,350"
Sat 02:01:23 PM,33.4253,-112.3417, 289,331,381,"19,600"
Sat 02:01:53 PM,33.4398,-112.3937, 288,333,383,"20,450"
Sat 02:02:23 PM,33.4549,-112.4481, 288,335,386,"21,350"
Sat 02:02:53 PM,33.4697,-112.5009, 288,335,386,"22,250"
Sat 02:03:23 PM,33.4837,-112.5517, 288,336,387,"23,075"
Sat 02:03:53 PM,33.4984,-112.6046, 288,343,395,"23,725"
Sat 02:04:25 PM,33.5152,-112.6656, 288,350,403,"24,000"
Sat 02:04:55 PM,33.5305,-112.7208, 288,350,403,"24,100"
Sat 02:05:25 PM,33.5459,-112.7767, 288,349,402,"24,600"
Sat 02:05:55 PM,33.5610,-112.8314, 288,349,402,"25,150"
Sat 02:06:25 PM,33.5755,-112.8844, 288,350,403,"25,800"
Sat 02:06:55 PM,33.5904,-112.9388, 288,354,407,"26,450"
