Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 01:36:00 PM    Left Gate (PHX) @ Saturday 11:36:00 AM MST,,,Airline
,,,
Taxi Time: 13 minutes,,,
Sat 01:49:24 PM    Departure (PHX) @ Saturday 11:49:24 AM MST,,,FlightAware ADS-B (KFFZ)
Sat 01:49:24 PM,33.4311,-112.0004, 90,177,204,"1,075"
Sat 01:49:40 PM,33.4310,-111.9840, 90,165,190,"1,925"
Sat 01:49:56 PM,33.4314,-111.9706, 89,172,198,"2,525"
Sat 01:50:12 PM,33.4319,-111.9538, 88,186,214,"3,050"
Sat 01:50:28 PM,33.4327,-111.9369, 87,206,237,"3,500"
Sat 01:50:53 PM,33.4339,-111.9069, 87,226,260,"4,400"
Sat 01:51:11 PM,33.4333,-111.8821, 101,228,262,"5,450"
Sat 01:51:29 PM,33.4245,-111.8641, 133,238,274,"6,150"
Sat 01:51:47 PM,33.4085,-111.8508, 151,244,281,"7,000"
Sat 01:52:04 PM,33.3885,-111.8459, 183,251,289,"7,800"
Sat 01:52:20 PM,33.3720,-111.8533, 210,251,289,"8,575"
Sat 01:52:36 PM,33.3577,-111.8699, 235,250,288,"9,425"
Sat 01:52:52 PM,33.3529,-111.8902, 264,251,289,"10,100"
Sat 01:53:25 PM,33.3566,-111.9353, 277,267,307,"11,375"
Sat 01:53:55 PM,33.3613,-111.9834, 276,305,351,"12,000"
Sat 01:54:14 PM,33.3648,-112.0181, 278,329,379,"12,375"
Sat 01:54:44 PM,33.3728,-112.0724, 280,342,394,"13,550"
Sat 01:55:14 PM,33.3813,-112.1297, 280,348,400,"14,825"
Sat 01:55:44 PM,33.3899,-112.1882, 280,355,409,"16,150"
Sat 01:56:14 PM,33.3986,-112.2465, 280,366,421,"17,125"
Sat 01:56:44 PM,33.4075,-112.3072, 280,376,433,"18,100"
Sat 01:57:14 PM,33.4164,-112.3686, 280,380,437,"19,350"
Sat 01:57:44 PM,33.4257,-112.4326, 280,385,443,"20,450"
Sat 01:58:14 PM,33.4347,-112.4944, 280,392,451,"21,375"
Sat 01:58:44 PM,33.4437,-112.5560, 280,384,442,"22,800"
Sat 01:59:02 PM,33.4485,-112.5933, 277,382,440,"23,600"
Sat 01:59:41 PM,33.4510,-112.6769, 271,390,449,"24,775"
Sat 02:00:11 PM,33.4520,-112.7438, 271,397,457,"25,575"
Sat 02:00:35 PM,33.4562,-112.7965, 281,399,459,"26,100"
