Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 05:18:23 PM    Departure (PHX) @ Sunday 02:18:23 PM MST,,,FlightAware ADS-B (KPHX)
Sun 05:18:23 PM,33.4311,-111.9928, 89,165,190,"1,700"
Sun 05:18:39 PM,33.4316,-111.9774, 88,162,186,"2,450"
Sun 05:18:55 PM,33.4323,-111.9631, 87,172,198,"3,050"
Sun 05:19:11 PM,33.4333,-111.9460, 86,188,216,"3,650"
Sun 05:19:27 PM,33.4337,-111.9307, 89,205,236,"4,125"
Sun 05:19:45 PM,33.4342,-111.9081, 88,223,257,"4,675"
Sun 05:20:03 PM,33.4341,-111.8857, 96,222,255,"5,550"
Sun 05:20:19 PM,33.4277,-111.8682, 128,219,252,"6,375"
Sun 05:20:40 PM,33.4107,-111.8518, 145,221,254,"7,400"
Sun 05:20:58 PM,33.3922,-111.8442, 176,234,269,"8,175"
Sun 05:21:16 PM,33.3745,-111.8515, 210,237,273,"8,950"
Sun 05:21:34 PM,33.3598,-111.8664, 230,241,277,"9,775"
Sun 05:21:50 PM,33.3530,-111.8861, 257,239,275,"10,475"
Sun 05:22:32 PM,33.3579,-111.9462, 276,290,334,"11,425"
Sun 05:23:02 PM,33.3627,-111.9981, 276,322,371,"12,225"
Sun 05:23:21 PM,33.3667,-112.0315, 280,328,377,"13,025"
Sun 05:23:51 PM,33.3752,-112.0875, 280,331,381,"14,600"
Sun 05:24:21 PM,33.3830,-112.1398, 280,338,389,"15,850"
Sun 05:24:51 PM,33.3910,-112.1944, 280,340,391,"17,250"
Sun 05:25:21 PM,33.3996,-112.2517, 280,348,400,"18,425"
Sun 05:25:51 PM,33.4085,-112.3124, 280,377,434,"18,875"
Sun 05:26:21 PM,33.4174,-112.3736, 280,389,448,"19,725"
Sun 05:26:51 PM,33.4269,-112.4382, 280,395,455,"20,775"
Sun 05:27:21 PM,33.4360,-112.5009, 280,400,460,"21,775"
Sun 05:27:51 PM,33.4457,-112.5678, 280,405,466,"22,725"
Sun 05:28:08 PM,33.4499,-112.6070, 275,408,470,"23,275"
Sun 05:28:48 PM,33.4517,-112.6995, 271,418,481,"24,300"
